Individual	site	population	region
PO010715_02_92bp	Pohang	KoreaSouth	West
PO010715_04_92bp	Pohang	KoreaSouth	West
PO010715_06.1_92bp	Pohang	KoreaSouth	West
PO010715_07_92bp	Pohang	KoreaSouth	West
PO010715_08.1_92bp	Pohang	KoreaSouth	West
PO010715_10.1_92bp	Pohang	KoreaSouth	West
PO010715_11.1_92bp	Pohang	KoreaSouth	West
PO010715_12_92bp	Pohang	KoreaSouth	West
PO010715_17.1_92bp	Pohang	KoreaSouth	West
PO010715_19.1_92bp	Pohang	KoreaSouth	West
PO010715_26_2_92bp	Pohang	KoreaSouth	West
PO010715_27.1_92bp	Pohang	KoreaSouth	West
PO010715_28.1_92bp	Pohang	KoreaSouth	West
PO010715_29.1_92bp	Pohang	KoreaSouth	West
PO020515_01_92bp	Pohang	KoreaSouth	West
PO020515_03.1_92bp	Pohang	KoreaSouth	West
PO020515_05.1_92bp	Pohang	KoreaSouth	West
PO020515_06_92bp	Pohang	KoreaSouth	West
PO020515_08.1_92bp	Pohang	KoreaSouth	West
PO020515_09.1_92bp	Pohang	KoreaSouth	West
PO020515_10.1_92bp	Pohang	KoreaSouth	West
PO020515_14.1_92bp	Pohang	KoreaSouth	West
PO020515_15.1_92bp	Pohang	KoreaSouth	West
PO020515_16.1_92bp	Pohang	KoreaSouth	West
PO020515_17.1_92bp	Pohang	KoreaSouth	West
PO031715_03_92bp	Pohang	KoreaSouth	West
PO031715_04_92bp	Pohang	KoreaSouth	West
PO031715_13.1_92bp	Pohang	KoreaSouth	West
PO031715_20.1_92bp	Pohang	KoreaSouth	West
PO031715_23_92bp	Pohang	KoreaSouth	West
PO031715_24_92bp	Pohang	KoreaSouth	West
GE011215_01.1_92bp	Geoje	KoreaSouth	West
GE011215_07.1_92bp	Geoje	KoreaSouth	West
GE011215_08.1_92bp	Geoje	KoreaSouth	West
GE011215_09.1_92bp	Geoje	KoreaSouth	West
GE011215_10.1_92bp	Geoje	KoreaSouth	West
GE011215_11_92bp	Geoje	KoreaSouth	West
GE011215_14.1_92bp	Geoje	KoreaSouth	West
GE011215_15.1_92bp	Geoje	KoreaSouth	West
GE011215_16.1_92bp	Geoje	KoreaSouth	West
GE011215_18_92bp	Geoje	KoreaSouth	West
GE011215_19_92bp	Geoje	KoreaSouth	West
GE011215_20.1_92bp	Geoje	KoreaSouth	West
GE011215_21.1_92bp	Geoje	KoreaSouth	West
GE011215_22_92bp	Geoje	KoreaSouth	West
GE011215_24.1_92bp	Geoje	KoreaSouth	West
GE011215_28_92bp	Geoje	KoreaSouth	West
GE011215_29.1_92bp	Geoje	KoreaSouth	West
GE012315_01.1_92bp	Geoje	KoreaSouth	West
GE012315_03.1_92bp	Geoje	KoreaSouth	West
GE012315_06.1_92bp	Geoje	KoreaSouth	West
GE012315_08.1_92bp	Geoje	KoreaSouth	West
GE012315_17.1_92bp	Geoje	KoreaSouth	West
GE012315_20.1_92bp	Geoje	KoreaSouth	West
GE012315_22.1_92bp	Geoje	KoreaSouth	West
GEO012315_02_92bp	Geoje	KoreaSouth	West
GEO012315_12_92bp	Geoje	KoreaSouth	West
GEO012315_18_92bp	Geoje	KoreaSouth	West
GEO012315_21_92bp	Geoje	KoreaSouth	West
GEO020414_10_2_92bp	Geoje	KoreaSouth	West
GEO020414_11_300_92bp	Geoje	KoreaSouth	West
GEO020414_13_2_92bp	Geoje	KoreaSouth	West
GEO020414_14_300_92bp	Geoje	KoreaSouth	West
GEO020414_15_300_92bp	Geoje	KoreaSouth	West
GEO020414_16_300_92bp	Geoje	KoreaSouth	West
GEO020414_17_300_92bp	Geoje	KoreaSouth	West
GEO020414_23_300_92bp	Geoje	KoreaSouth	West
GEO020414_24_300_92bp	Geoje	KoreaSouth	West
GEO020414_25_300_92bp	Geoje	KoreaSouth	West
GEO020414_26_92bp	Geoje	KoreaSouth	West
GEO020414_27_92bp	Geoje	KoreaSouth	West
GEO020414_29_92bp	Geoje	KoreaSouth	West
GEO020414_2_92bp	Geoje	KoreaSouth	West
GEO020414_30_2_92bp	Geoje	KoreaSouth	West
GEO020414_3_92bp	Geoje	KoreaSouth	West
GEO020414_4_92bp	Geoje	KoreaSouth	West
GEO020414_5_92bp	Geoje	KoreaSouth	West
GEO020414_6_92bp	Geoje	KoreaSouth	West
GEO020414_7_92bp	Geoje	KoreaSouth	West
GEO020414_8_300_92bp	Geoje	KoreaSouth	West
GEO020414_9_300_92bp	Geoje	KoreaSouth	West
NA021015_02.1_92bp	Namhae	KoreaSouth	West
NA021015_08.1_92bp	Namhae	KoreaSouth	West
NA021015_14.1_92bp	Namhae	KoreaSouth	West
NA021015_16.1_92bp	Namhae	KoreaSouth	West
NA021015_17.1_92bp	Namhae	KoreaSouth	West
NA021015_21.1_92bp	Namhae	KoreaSouth	West
NA021015_22.1_92bp	Namhae	KoreaSouth	West
NA021015_23_92bp	Namhae	KoreaSouth	West
NA021015_25_92bp	Namhae	KoreaSouth	West
NA021015_26_92bp	Namhae	KoreaSouth	West
NA021015_30_92bp	Namhae	KoreaSouth	West
JB121807_01_92bp	Jinhae Bay	KoreaSouth	West
JB121807_03.1_92bp	Jinhae Bay	KoreaSouth	West
JB121807_04.1_92bp	Jinhae Bay	KoreaSouth	West
JB121807_05_2_92bp	Jinhae Bay	KoreaSouth	West
JB121807_06.1_92bp	Jinhae Bay	KoreaSouth	West
JB121807_08_92bp	Jinhae Bay	KoreaSouth	West
JB121807_09.1_92bp	Jinhae Bay	KoreaSouth	West
JB121807_11.1_92bp	Jinhae Bay	KoreaSouth	West
JB121807_12.1_92bp	Jinhae Bay	KoreaSouth	West
JB121807_14.1_92bp	Jinhae Bay	KoreaSouth	West
JB121807_16_2_92bp	Jinhae Bay	KoreaSouth	West
JB121807_18_92bp	Jinhae Bay	KoreaSouth	West
JB121807_19.1_92bp	Jinhae Bay	KoreaSouth	West
JB121807_20.1_92bp	Jinhae Bay	KoreaSouth	West
JB121807_21.1_92bp	Jinhae Bay	KoreaSouth	West
JB121807_22_c_92bp	Jinhae Bay	KoreaSouth	West
JB121807_23_2_92bp	Jinhae Bay	KoreaSouth	West
JB121807_24.1_92bp	Jinhae Bay	KoreaSouth	West
