sample	prop_het	prop_missing	num_seq
PO010715_02_92bp	0.129987586	0.00774239	6817653
PO010715_02_rep_92bp	0.129146709	0.008094316	7823165
PO010715_04_92bp	0.124621684	0.011613584	3432097
PO010715_06.1_92bp	0.112452694	0.023579096	2473192
PO010715_08.1_92bp	0.117531657	0.013373218	2503625
PO010715_10.1_92bp	0.127697521	0.013373218	3106846
PO010715_11.1_92bp	0.128173043	0.015660743	3372281
PO010715_12_92bp	0.121109728	0.010557804	3295834
PO010715_17.1_92bp	0.120575022	0.020763681	2645508
PO010715_19.1_92bp	0.124153901	0.012141475	2927703
PO010715_27.1_92bp	0.123700251	0.018476157	2937015
PO010715_28.1_92bp	0.126896306	0.014077072	3255176
PO010715_29.1_92bp	0.121548942	0.018476157	3110048
PO020515_01_92bp	0.122663343	0.011613584	2640637
PO020515_03.1_92bp	0.12609708	0.01759634	3142354
PO020515_05.1_92bp	0.127207207	0.023403132	3691453
PO020515_06_92bp	0.13326207	0.012317438	8336214
PO020515_08.1_92bp	0.122397703	0.019531937	2808032
PO020515_09.1_92bp	0.126694379	0.02639451	3016815
PO020515_10.1_92bp	0.127667205	0.01865212	4812537
PO020515_14.1_92bp	0.120520592	0.013021292	3306735
PO020515_15.1_92bp	0.125710227	0.008974133	4916525
PO020515_16.1_92bp	0.126672614	0.013725145	3504202
PO020515_17.1_92bp	0.120135666	0.014253035	4137911
PO031715_03_92bp	0.124733096	0.011085694	2722559
PO031715_04_92bp	0.127826242	0.011613584	3094421
PO031715_13.1_92bp	0.130217624	0.013549182	3495400
PO031715_20.1_92bp	0.120416966	0.020939645	1961294
PO031715_23_92bp	0.120526972	0.011613584	4707310
PO031715_24_92bp	0.1217903	0.013197255	2820366
PO010715_26_2_92bp	0.124091473	0.007390463	4097320
PO010715_07_92bp	0.129181495	0.011085694	4070626
PO010715_07_rep_92bp	0.127958712	0.011261658	4135965
GE011215_01.1_92bp	0.127094474	0.012845328	3807454
GE011215_07.1_92bp	0.122459989	0.021467535	3631183
GE011215_08.1_92bp	0.124795937	0.029913778	2076442
GE011215_09.1_92bp	0.126182402	0.014077072	3758901
GE011215_10.1_92bp	0.12723055	0.013901109	3440184
GE011215_14.1_92bp	0.118139701	0.012493401	6549008
GE011215_15.1_92bp	0.133820385	0.012493401	5694239
GE011215_16.1_92bp	0.127383951	0.021995425	3791389
GE011215_18_92bp	0.125778331	0.010909731	6852956
GE011215_19_92bp	0.12680064	0.010557804	4019476
GE011215_20.1_92bp	0.131293364	0.010909731	4147822
GE011215_21.1_92bp	0.124285714	0.014604962	3384807
GE011215_22_92bp	0.123601492	0.009150097	6470888
GE011215_24.1_92bp	0.128553549	0.015836706	3134738
GE011215_28_92bp	0.129777778	0.010205877	3861430
GE011215_29.1_92bp	0.127783863	0.036072497	2245206
GE012315_01.1_92bp	0.127778782	0.02639451	2199367
GE012315_03.1_92bp	0.122346168	0.021995425	3747521
GE012315_05.1_92bp	0.135635906	0.021819462	3029457
GE012315_06.1_92bp	0.138585497	0.017244413	3646562
GE012315_08.1_92bp	0.127009646	0.014956889	2649848
GE012315_17.1_92bp	0.124821683	0.013197255	3009275
GE012315_20.1_92bp	0.126958689	0.011789548	3109124
GE012315_22.1_92bp	0.118219499	0.023579096	3048700
GEO012315_02_92bp	0.104565801	0.017244413	5152585
GEO012315_12_92bp	0.136209663	0.013021292	6131307
GEO012315_18_92bp	0.108127462	0.01706845	4614041
GEO012315_21_92bp	0.111031519	0.017420377	4819847
GE011215_11_92bp	0.12777679	0.00985395	8550021
GE011215_11_rep_92bp	0.126955903	0.010381841	7558364
NA021015_02.1_92bp	0.131702051	0.021995425	4039779
NA021015_08.1_92bp	0.122300853	0.030265705	2468650
NA021015_14.1_92bp	0.126401994	0.011613584	4332781
NA021015_16.1_92bp	0.124376336	0.012493401	5291624
NA021015_17.1_92bp	0.124710493	0.012317438	4162902
NA021015_21.1_92bp	0.129124309	0.013373218	3800139
NA021015_22.1_92bp	0.126516774	0.013901109	3309272
NA021015_23_92bp	0.12390956	0.011613584	2712287
NA021015_25_92bp	0.127376088	0.009502024	5191269
NA021015_26_92bp	0.135951662	0.00985395	3817109
NA021015_30_92bp	0.135620334	0.010029914	3712357
YS_121316_01_92bp	0.128205128	0.004926975	6316229
YS_121316_03_92bp	0.129083807	0.008974133	2808906
YS_121316_05_92bp	0.132390279	0.029737815	6635649
YS_121316_13_92bp	0.126944837	0.004751012	4409814
YS_121316_17_92bp	0.131513648	0.007214499	3900580
YS_121316_18_92bp	0.113828613	0.043111033	5165500
YS_121316_21_92bp	0.135221239	0.005806792	5653775
YS_121316_22_92bp	0.129442971	0.004926975	5677131
YS_121316_23_92bp	0.134771843	0.005102939	3985378
YS_121316_24_92bp	0.126371681	0.005806792	6058065
YS_121316_25_92bp	0.123579545	0.008974133	3211547
YS_121316_26_92bp	0.136363636	0.005102939	2863848
YS_121316_27_92bp	0.110217066	0.059651592	4262963
YS_121316_28_92bp	0.111153335	0.073904628	3981699
YS_121316_29_92bp	0.099495733	0.092732712	2857842
YS121315_08.1_92bp	0.127575703	0.017948267	2252448
YS121315_10.1_92bp	0.122858184	0.03466479	1311987
YS121315_12_92bp	0.121045148	0.010029914	5791989
YS121315_12_300_92bp	0.111050725	0.028682034	4038365
YS121315_15_92bp	0.117480035	0.008446243	4324878
YS121315_16_92bp	0.124047492	0.007038536	6716657
YS121316_30_92bp	0.137784091	0.008974133	4335330
YS_121316_04_92bp	0.120087336	0.032905156	1444967
YS_121316_19_92bp	0.110505544	0.063698751	980562
YS_121316_21_2_92bp	0.134241245	0.005102939	10601998
YS_121316_20_2_92bp	0.133038087	0.006686609	7233818
YS_121316_07_92bp	0.130773314	0.005630829	2921349
JUK07_01_92bp	0.096960656	0.056308288	3616220
JUK07_02.1_92bp	0.138186959	0.004223122	8561987
JUK07_02_rep.1_92bp	0.137626039	0.005278902	3929100
JUK07_03_92bp	0.103845439	0.05278902	3800860
JUK07_06.1_92bp	0.138035175	0.009502024	17189641
JUK07_09.1_92bp	0.140257905	0.003871195	7283224
JUK07_09_rep.1_92bp	0.140611199	0.003871195	7959380
JUK07_14_92bp	0.107175969	0.051029386	3822809
JUK07_15_92bp	0.116456595	0.00879817	6618897
JUK07_16.1_92bp	0.138133333	0.010205877	6629190
JUK07_16_rep.1_92bp	0.138256228	0.011085694	5945979
JUK07_17_92bp	0.095045306	0.087277846	2540837
JUK07_18_92bp	0.111603843	0.047686081	3931160
JUK07_19_92bp	0.115535714	0.014604962	4498926
JUK07_20_92bp	0.097098214	0.054020764	3519086
JUK07_22_92bp	0.087805803	0.072144994	2968381
JUK07_25_92bp	0.079606978	0.122470526	2183098
JUK07_26_92bp	0.113944365	0.013197255	4618372
JUK07_27_92bp	0.117186109	0.011965511	5317563
JUK07_28_92bp	0.079018547	0.089213444	2441945
JUK07_29.1_92bp	0.126810314	0.003695231	9984096
JUK07_30_92bp	0.13253012	0.006862573	9952413
JUK07_32_92bp	0.14328675	0.005278902	10988844
JUK07_36.1_92bp	0.134649591	0.010733767	4837063
JUK07_37.1_92bp	0.135159168	0.010557804	5751544
JUK07_10_92bp	0.108399546	0.06985747	966730
JUK07_13_92bp	0.123432461	0.017772303	2331019
JUK07_21_92bp	0.127158273	0.021643498	1992512
JUK07_23_92bp	0.134365545	0.011261658	6616902
JUK07_34_92bp	0.133381012	0.015836706	3598520
JUK07_04_92bp	0.126213592	0.021291571	2122471
JUK07_12_92bp	0.107273076	0.083054725	843226
JUK07_31_92bp	0.120353982	0.005806792	5458205
JUK07_11_92bp	0.137992832	0.01812423	2625620
JUK07_06_2_92bp	0.138311111	0.010205877	10884840
JUK07_08_92bp	0.140989399	0.004047158	6164980
JUK07_33_92bp	0.128236963	0.007918353	4761034
JB121807_01_92bp	0.128601921	0.010733767	2672936
JB121807_03.1_92bp	0.13086771	0.010381841	2695033
JB121807_04.1_92bp	0.104185022	0.201126166	626185
JB121807_05_92bp	0.06886354	0.166989266	1990280
JB121807_06.1_92bp	0.137076649	0.012845328	2942523
JB121807_08_92bp	0.122267638	0.00985395	2592970
JB121807_08_rep_92bp	0.120931887	0.010557804	2268661
JB121807_09.1_92bp	0.093967796	0.267816294	612073
JB121807_11.1_92bp	0.13318005	0.005102939	4079581
JB121807_12.1_92bp	0.11743487	0.121942636	1220369
JB121807_14.1_92bp	0.127829078	0.028154144	3532063
JB121807_16.1_92bp	0.103440572	0.212387823	1814325
JB121807_19.1_92bp	0.137531217	0.013549182	2325569
JB121807_20.1_92bp	0.134749241	0.014077072	1789463
JB121807_21.1_92bp	0.117723157	0.047862045	3461393
JB121807_24.1_92bp	0.123941632	0.023227169	2080584
JB121807_25_92bp	0.116032928	0.102234735	1119322
JB121807_27_92bp	0.075686106	0.179306704	1521654
JB121807_28.1_92bp	0.123329722	0.025514693	1348383
JB121807_30_92bp	0.079916753	0.154495865	1799365
JB121807_31.1_92bp	0.119440459	0.018828084	4858641
JB121807_32.1_92bp	0.113032399	0.033257083	3692041
JB121807_33.1_92bp	0.119299526	0.035368643	4011732
JB121807_34.1_92bp	0.127610209	0.014077072	3964034
JB121807_37_92bp	0.125155777	0.011613584	3947023
JB121807_38.1_92bp	0.125272331	0.030793595	3410899
JB121807_41.1_92bp	0.112048453	0.186521204	2021500
JB121807_42_92bp	0.082821478	0.111912722	2624412
JB121807_44_92bp	0.118362239	0.015836706	5447707
JB121807_46_92bp	0.100752432	0.041175436	3609690
JB121807_48.1_92bp	0.095056227	0.170684498	1626523
JB121807_22_c_92bp	0.092127303	0.159598803	3313335
JB121807_26_c_92bp	0.104283776	0.092204821	3862006
JB121807_39_92bp	0.122146933	0.013197255	8133702
JB121807_03_rep_92bp	0.125558135	0.014780926	7297187
JB121807_05_2_92bp	0.132906894	0.009677987	2716081
JB121807_35_2_92bp	0.103672107	0.051205349	1045274
JB121807_47_2_92bp	0.078936851	0.119479148	601315
JB121807_23_2_92bp	0.096892811	0.04293507	1844035
JB121807_27_2_92bp	0.128648649	0.023403132	2720735
JB121807_30_2_92bp	0.126575441	0.022699279	3019204
JB121807_16_2_92bp	0.119607843	0.012845328	5692288
JB121807_18_92bp	0.120028536	0.013373218	2622235
JB121807_43_92bp	0.123423903	0.009150097	3599829
JB121807_29_92bp	0.12463925	0.024458913	1504511
JB021108_01.1_92bp	0.100484262	0.27327116	826535
JB021108_02.1_92bp	0.125900576	0.023051205	4311669
JB021108_04.1_92bp	0.127696456	0.086398029	1816458
JB021108_05_92bp	0.115153656	0.003695231	10651977
JB021108_05_rep_92bp	0.115309906	0.003519268	12697218
JB021108_06_92bp	0.128688233	0.010029914	2104987
JB021108_07.1_92bp	0.127552848	0.017772303	2503842
JB021108_08.1_92bp	0.111748948	0.080415274	1721654
JB021108_09.1_92bp	0.122324159	0.021819462	4329770
JB021108_12.1_92bp	0.126108549	0.007918353	4944510
JB021108_13.1_92bp	0.123049327	0.019004047	2579086
JB021108_16_92bp	0.129989403	0.003695231	3108991
JB021108_17.1_92bp	0.135481574	0.011613584	2425901
JB021108_19.1_92bp	0.124399359	0.011261658	6267465
JB021108_20_92bp	0.120007362	0.04399085	1053046
JB021108_22.1_92bp	0.118428544	0.072848847	3244823
JB021108_25.1_92bp	0.106836713	0.15836706	1081054
JB021108_26.1_92bp	0.125248509	0.02639451	2900671
JB021108_29_92bp	0.126368528	0.051733239	1814690
JB021108_30_92bp	0.126566637	0.003167341	5002275
JB021108_32_92bp	0.138442522	0.003519268	7666082
JB021108_34_92bp	0.125848468	0.040823509	2553725
JB021108_35_92bp	0.116988062	0.041879289	910556
JB021108_35_rep_92bp	0.120538966	0.033609009	986962
JB021108_36.1_92bp	0.132062021	0.012669365	3564362
JB021108_36_rep.1_92bp	0.131907308	0.012845328	3473439
JB021108_37.1_92bp	0.130836144	0.00879817	3874496
JB021108_37_rep.1_92bp	0.13117668	0.010029914	3852296
JB021108_38.1_92bp	0.111200483	0.124934014	1459670
JB021108_39_92bp	0.084634664	0.087277846	2476612
JB021108_41.1_92bp	0.117502365	0.070033433	2899441
JB021108_44.1_92bp	0.123780812	0.00774239	3562001
JB021108_45_92bp	0.122741764	0.006510646	7512937
JB021108_46.1_92bp	0.12931187	0.005278902	5675208
JB021108_46_rep.1_92bp	0.128654971	0.007038536	3527876
JB021108_47.1_92bp	0.127060074	0.007038536	3923619
JB021108_48.1_92bp	0.122383253	0.01654056	7101400
JB021108_24_c_92bp	0.097914253	0.088861517	2981537
JB021108_33_rep_92bp	0.122273865	0.015660743	7652833
JB021108_11_2_92bp	0.123653984	0.019531937	1922970
JB021108_28_2_92bp	0.094589409	0.082878761	746368
JB021108_40_2_92bp	0.105435375	0.032025339	1167827
JB021108_14_2_92bp	0.106367451	0.035544607	2035030
JB021108_25_2_92bp	0.089150228	0.072320957	1555987
JB021108_31_2_92bp	0.112243042	0.032729192	2674493
JB021108_23_92bp	0.117327539	0.028154144	1216964
JB021108_11_rep_92bp	0.110221205	0.077247932	642350
BOR07_01_92bp	0.068195781	0.14077072	1717981
BOR07_02.1_92bp	0.131457891	0.005454865	4096017
BOR07_03_92bp	0.103126714	0.037656168	2968140
BOR07_04_92bp	0.131211317	0.004926975	5993580
BOR07_05.1_92bp	0.136299185	0.007214499	8659570
BOR07_06.1_92bp	0.128414331	0.007918353	4078253
BOR07_07.1_92bp	0.139975226	0.005630829	6259115
BOR07_08.1_92bp	0.125486726	0.005806792	9296113
BOR07_09_92bp	0.125176803	0.004751012	5769259
BOR07_11.1_92bp	0.132555673	0.004399085	6057266
BOR07_12.1_92bp	0.134785689	0.006510646	3962949
BOR07_13.1_92bp	0.129655906	0.007918353	4475682
BOR07_14_92bp	0.131811748	0.005454865	10735145
BOR07_15_92bp	0.126768034	0.004751012	7761056
BOR07_16_92bp	0.130914265	0.010733767	3692985
BOR07_17.1_92bp	0.140909896	0.005982756	3287279
BOR07_18_92bp	0.12938636	0.022171388	7110518
BOR07_19.1_92bp	0.129543001	0.021995425	5149426
BOR07_20.1_92bp	0.132105543	0.006334682	7747504
BOR07_21.1_92bp	0.121322784	0.132676403	3280358
BOR07_22_92bp	0.123873476	0.004223122	6685657
BOR07_01_2_92bp	0.124688279	0.012141475	3986942
BOR07_21_2_92bp	0.13022508	0.014956889	4331290
GEO020414_10_92bp	0.083992696	0.132676403	1962002
GEO020414_11_92bp	0.124445233	0.00879817	5803141
GEO020414_11_300_92bp	0.119115044	0.005806792	4659273
GEO020414_13_300_92bp	0.111645299	0.011789548	3172787
GEO020414_14_92bp	0.119163512	0.023931022	4039842
GEO020414_14_300_92bp	0.113653137	0.046278374	3494966
GEO020414_15_92bp	0.119521912	0.072496921	2336383
GEO020414_15_300_92bp	0.115422494	0.10663382	2039080
GEO020414_16_92bp	0.128581792	0.029737815	4033436
GEO020414_16_300_92bp	0.123399716	0.010381841	3618428
GEO020414_17_92bp	0.125948681	0.026218547	3864586
GEO020414_17_300_92bp	0.117712382	0.049269752	3057343
GEO020414_2_92bp	0.109443631	0.038535985	4056569
GEO020414_23_92bp	0.129455577	0.00774239	7069859
GEO020414_23_300_92bp	0.126261732	0.006334682	6158191
GEO020414_24_92bp	0.134618818	0.014428999	4525205
GEO020414_24_300_92bp	0.12533286	0.00879817	3842521
GEO020414_25_92bp	0.125665993	0.042231216	3666663
GEO020414_25_300_92bp	0.11023166	0.08850959	2587646
GEO020414_26_92bp	0.098804632	0.057891958	3752341
GEO020414_27_92bp	0.106835257	0.039767728	4659426
GEO020414_29_92bp	0.08865048	0.065106458	3083761
GEO020414_3_92bp	0.109425205	0.014253035	4784237
GEO020414_30_92bp	0.078451883	0.15889495	1585848
GEO020414_4_92bp	0.112866016	0.008446243	5641450
GEO020414_5_92bp	0.109156845	0.029561851	4831675
GEO020414_6_92bp	0.099795196	0.054900581	3555024
GEO020414_7_92bp	0.123980135	0.007918353	4631204
GEO020414_8_92bp	0.122844444	0.010205877	5825946
GEO020414_8_300_92bp	0.122102283	0.005630829	5328677
GEO020414_9_92bp	0.125968643	0.023579096	3815390
GEO020414_9_300_92bp	0.116642959	0.010381841	3311770
GEO020414_10_2_92bp	0.123258307	0.014956889	2970744
GEO020414_30_2_92bp	0.123088262	0.04504663	1798634
GEO020414_13_2_92bp	0.128774423	0.00932606	2092010
KOD03_035	0.115145044	0.011261658	2644952
KOD03_051	0.104982534	0.04293507	1353028
KOD03_052	0.110657194	0.00932606	3604717
KOD03_053	0.093266332	0.124582087	757340
KOD03_054	0.115543576	0.020763681	1783756
KOD03_055	0.109097308	0.004926975	14674304
KOD03_056	0.107686663	0.040823509	1196107
KOD03_057	0.108174771	0.001231744	9225135
KOD03_058	0.102986425	0.027802217	1736725
KOD03_059	0.089389407	0.112264649	4613828
KOD03_060	0.097689898	0.101178955	649419
KOD03_061	0.106127494	0.003519268	5100042
KOD03_062	0.089115213	0.170684498	1205638
KOD03_065	0.110855728	0.004751012	3613026
KOD03_067	0.105699665	0.002815414	6279450
KOD03_068	0.094965449	0.108745381	1158489
KOD03_069	0.10185847	0.015308816	2271243
KOD03_070	0.095657165	0.08023931	1027848
KOD03_071	0.104739925	0.00879817	4874649
KOD03_072	0.092494314	0.071617104	893099
KOD03_073	0.084536877	0.086222066	818087
KOD03_074	0.108967488	0.014956889	2681786
