LG	n_loci	avg_dist
LG21	104	212904.68932
LG20	120	195378.319328
LG23	103	225112.794118
LG22	86	248392.176471
LG09	111	220169.481818
LG08	127	208951.047619
LG07	119	255226.559322
LG06	122	196045.38843
LG05	105	229922.278846
LG04	101	342360.55
LG03	118	245799.264957
LG02	80	289817.620253
LG01	161	174654.4125
LG18	108	200441.158879
LG19	100	206808.939394
LG14	132	220371.946565
LG15	112	219831.342342
LG16	129	238903.101562
LG17	66	270131.753846
LG10	93	256987.891304
LG11	128	218658.133858
LG12	111	239012.472727
LG13	146	169938.841379
