Locus	Program
75	2
1345	1
1407	1
2349	1
2947	1
2985	1
3226	3
3855	1
4556	2
4599	3
4715	3
4734	3
4856	1
5273	1
5707	3
6432	3
6441	2
7000	1
7241	1
7509	2
8586	3
8671	1
9211	1
9452	2
10012	1
10706	1
10913	3
11741	3
11990	3
12233	3
12711	1
12779	1
13286	3
13406	1
13411	3
13693	1
13724	1
13911	1
14011	1
14236	1
14344	2
14514	3
14554	1
14754	1
15274	1
15568	1
16036	1
16650	1
16752	1
16834	1
17440	1
18276	1
18478	1
18633	2
19081	1
20078	1
20705	3
21148	3
22145	1
22276	1
22637	2
22918	1
24940	3
25323	1
4255	2
