Missing data from input file batccompare_batch_8_r05_filtered_aligned_west_byreg_LDNe.

Possible four types of missing data at a locus:
	1. Genotype contains only zeros or partially scored.
	2. Genotype has less digits than normal one.
	3. Genotype has more digits than normal one.
	4. Genotype contains non-digit character.
Types 3 and 4 stop the program.

In the table, each row is for an individual with missing data
(a) If column 'Locus' has only one number, then it is the first
    locus with missing data and also of highest missing data type.
(b) If column 'Locus' has 2 numbers, then the first number is
    the first locus with data missing, and the second number is
    the first locus that has highest missing data type.
(c) Genotype column contains the genotype of the locus in case (a)
    or the second locus in case (b).

Population 1 [PO010715_02_92bp]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1          160             0000            21
       2          217             0000            39
       3           81             0000            89
       4          215             0000            42
       5           93             0000            48
       6           90             0000            50
       7           79             0000            58
       8          426             0000            38
       9           75             0000            76
      10          110             0000            42
      11          160             0000            23
      12          215             0000            65
      13           40             0000            47
      14           40             0000            64
      15          210             0000            44
      16          160             0000            69
      17           81             0000            86
      18          215             0000            43
      19           83             0000            71
      20           81             0000           101
      21          215             0000            72
      22          215             0000            46
      23          160             0000            29
      24           27             0000            50
      25          215             0000            50
      26          362             0000            38
      27          881             0000            38
      28           81             0000            47
      29           51             0000            80
      30           40             0000            41
      31           87             0000            45
      32          214             0000            44
      33          173             0000            78
      34           35             0000           112
      35           22             0000            45
      36          766             0000            51
      37          214             0000            35
      38           82             0000            41
      39          414             0000            41
      40           58             0000            76
      41          346             0000            43
      42          215             0000            34
      43          470             0000            37
      44          317             0000            52
      45          151             0000            35
      46           75             0000            57
      47          192             0000            37
      48           54             0000           146
      49           41             0000           102
      50           40             0000            81
      51           51             0000            62
      52          426             0000            54
      53          414             0000            45
      54           79             0000            44
      55           54             0000            87
      56          160             0000            58
      57          198             0000            47
      58           58             0000            62
      59           41             0000            68
      60           39             0000            63
      61          564             0000            22
      62           39             0000            32
      63          132             0000           187
      64            1             0000           468
      65           46             0000            34
      66            3             0000           205
      67          759             0000            22
      68           64             0000            32
      69           26             0000           392
      70           14             0000           265
      71           95             0000           164
      72           21             0000           264
      73           46             0000           164
      74           31             0000           197
      75           82             0000            43
      76          238             0000            31
      77           17             0000           111
      78           37             0000           220
      79          208             0000            32
      80          304             0000            21
      81           40             0000            43
      82           58             0000            78
      83           10             0000           118
      84           51             0000            34
      85          439             0000            46
      86          346             0000            42
      87          215             0000            44
      88          160             0000            48
      89           40             0000            38
      90          210             0000            35
      91          426             0000            33
      92           79             0000            36
      93           35             0000            36
      94          210             0000            34
      95           10             0000           832
      96           58             0000            34
      97          215             0000            46
      98          215             0000            32
      99            2             0000          1140
     100          677             0000            18
     101            2             0000           511
     102           51             0000           108
     103           35             0000            44
     104           58             0000            48
     105           22             0000            52
     106          215             0000            50
     107            2             0000           189
     108            2             0000           672
     109           82             0000           172
     110           40             0000            91
     111            2             0000           431
     112           10             0000           380
     113           11             0000            86
     114          112             0000            92
     115           22             0000            94
     116           75             0000            98
     117          151             0000            71
     118           93             0000           137
     119           58             0000           134
     120           51             0000            49
     121           18             0000           208
     122          103             0000            49
     123           35             0000           119
     124          215             0000            50
     125            2             0000           784
     126           16             0000           453
     127          215             0000            35
     128          191             0000            57
     129           35             0000           162
     130           40             0000           503
     131            2             0000           710
     132            2             0000          1151
     133           35             0000            89
     134            2             0000           355
     135           51             0000            10
     136          195             0000            34
     137           58             0000            71
     138            2             0000           336
     139           58             0000            82
     140            5             0000            74
     141           31             0000           329
     142           51             0000            26
     143           58             0000            69
     144          102             0000           147
     145          303             0000            14
     146          210             0000            48
     147          103             0000            46
     148           12             0000           188
     149            2             0000           296
     150           40             0000           121
     151           35             0000           369
     152            2             0000           666
     153            4             0000           312
     154           35             0000           102
     155           10             0000           356
     156           58             0000           205
     157          214             0000            11
     158           25             0000           137
     159          210             0000            12
     160           39             0000            57
     161            2             0000           163
     162           18             0000           139
     163           75             0000            42
     164           58             0000            35
     165            2             0000           520
     166           18             0000           365
     167           66             0000           130
     168            2             0000           279
     169          215             0000            21
     170           93             0000            19
     171          215             0000            18
     172          160             0000            25
     173           35             0000            69
-----------------------------------------------------------
Total missing data for population    1:        23239

Population 2 [YS121315_08.1_92bp]
-----------------------------------------------------------
Individual       Locus         Genotype     Number of Loci
                                          with missing data
       1           78             0000            62
       2           79             0000           132
       3          326             0000            30
       4           79             0000            27
       5          210             0000            26
       6          210             0000            39
       7          215             0000            13
       8           40             0000            34
       9           23             0000           134
      10          101             0000           119
      11          451             0000            16
      12          210             0000            14
      13          210             0000            22
      14           16             0000           172
      15            2             0000           249
      16           66             0000            21
      17          153             0000            17
      18          215             0000            18
      19          215             0000            20
      20          215             0000            20
      21           40             0000            32
      22          215             0000            13
      23            7             0000           252
      24           16             0000           309
      25           21             0000           396
      26          215             0000            38
      27          215             0000            15
      28           67             0000           159
      29           79             0000            16
      30          145             0000            23
      31          140             0000            29
      32            8             0000            15
      33          210             0000            20
      34           79             0000            17
      35          215             0000            14
      36          215             0000            20
      37          153             0000            25
      38          215             0000            13
      39          215             0000            18
      40           59             0000            31
      41          215             0000            23
      42           37             0000            82
      43           10             0000            88
      44           79             0000            18
      45            9             0000            55
      46          215             0000            11
-----------------------------------------------------------
Total missing data for population    2:         2917

