LIST OF LOGLIKELIHOODS

This output shows the Ln(Likelihood) for each of the four following
relationships:

U  = Unrelated
HS = Half Sibs
FS = Full Sibs
PO = Parent / Offspring

Interpretation

R                     This column lists the relationship with the highest likelihood.
LnL(R)                This column lists the log likelihood of R
Delta Ln(L)           These columns list how much lower the log likelihoods are for
                          the other relationships. For example, if there is a 2.1
                          the FS column, it means that the loglikelihood of the
                          individuals being full sibs is 2.1 less than the
                          loglikelihood of the relationship with the highest
                          likelihood.

Note:                 A Delta Ln(L) of '9999' indicates that the relationship
                           is not possible.


						Delta Ln(L)
Ind1	Ind2	R	LnL(R)		U	HS	FS	PO

GS13_002	GS13_001	U	-2728.98		-	24.72	174.88	9999
GS13_003	GS13_001	U	-3265.74		-	15.72	180.10	9999
GS13_003	GS13_002	U	-2524.09		-	14.56	151.53	9999
GS13_004	GS13_001	U	-2839.33		-	2.11	136.34	9999
GS13_004	GS13_002	U	-2224.69		-	4.67	108.96	9999
GS13_004	GS13_003	U	-2679.37		-	29.85	183.65	9999
GS13_005	GS13_001	U	-3515.99		-	20.72	203.74	9999
GS13_005	GS13_002	U	-2679.14		-	11.13	147.36	9999
GS13_005	GS13_003	HS	-3231.43		8.43	-	142.32	9999
GS13_005	GS13_004	U	-2817.32		-	37.02	197.12	9999
GS13_006	GS13_001	U	-3475.88		-	17.45	189.02	9999
GS13_006	GS13_002	U	-2618.96		-	10.00	146.65	9999
GS13_006	GS13_003	FS	-2287.70		883.38	403.67	-	127.92
GS13_006	GS13_004	U	-2781.62		-	15.42	161.45	9999
GS13_006	GS13_005	HS	-3442.38		8.97	-	153.37	9999
GS13_007	GS13_001	U	-3018.40		-	41.60	208.69	9999
GS13_007	GS13_002	U	-2393.22		-	3.13	128.96	9999
GS13_007	GS13_003	U	-2815.60		-	26.12	176.90	9999
GS13_007	GS13_004	U	-2468.51		-	9.43	129.25	9999
GS13_007	GS13_005	U	-3003.44		-	55.10	234.84	9999
