filename	loci	population
Bern16_001.tags.tsv	27164	Bern16
Bern16_002.tags.tsv	27103	Bern16
Bern16_003.tags.tsv	27661	Bern16
Bern16_004.tags.tsv	26603	Bern16
Bern16_005.tags.tsv	28161	Bern16
Bern16_006.tags.tsv	26913	Bern16
Bern16_007.tags.tsv	28263	Bern16
Bern16_008.tags.tsv	25554	Bern16
Bern16_009.tags.tsv	27890	Bern16
Bern16_010.tags.tsv	24078	Bern16
Bern16_011.tags.tsv	28032	Bern16
Bern16_012.tags.tsv	27511	Bern16
Bern16_013.tags.tsv	28540	Bern16
Bern16_014.tags.tsv	28256	Bern16
Bern16_015.tags.tsv	28554	Bern16
Bern16_016.tags.tsv	28580	Bern16
Bern16_017.tags.tsv	25287	Bern16
Bern16_018.tags.tsv	27459	Bern16
Bern16_019.tags.tsv	28488	Bern16
Bern16_020.tags.tsv	28210	Bern16
Bern16_021.tags.tsv	26509	Bern16
Bern16_022.tags.tsv	24479	Bern16
Bern16_023.tags.tsv	28295	Bern16
Bern16_024.tags.tsv	28126	Bern16
Bern16_025.tags.tsv	25973	Bern16
Bern16_026.tags.tsv	27408	Bern16
Bern16_027.tags.tsv	27476	Bern16
Bern16_028.tags.tsv	25176	Bern16
Bern16_029.tags.tsv	26744	Bern16
Bern16_030.tags.tsv	26557	Bern16
Bern16_031.tags.tsv	28553	Bern16
Bern16_032.tags.tsv	28627	Bern16
Bern16_033.tags.tsv	26709	Bern16
Bern16_034.tags.tsv	22072	Bern16
Bern16_035.tags.tsv	23772	Bern16
Bern16_036.tags.tsv	28356	Bern16
Bern16_037.tags.tsv	28065	Bern16
Bern16_038.tags.tsv	27639	Bern16
Bern16_039.tags.tsv	27880	Bern16
Bern16_040.tags.tsv	26988	Bern16
Bute04_001.tags.tsv	28549	Bute04
Bute04_002.tags.tsv	28387	Bute04
Bute04_003.tags.tsv	28394	Bute04
Bute04_004.tags.tsv	28494	Bute04
Bute04_005.tags.tsv	28470	Bute04
Bute04_006.tags.tsv	28582	Bute04
Bute04_007.tags.tsv	28597	Bute04
Bute04_008.tags.tsv	28419	Bute04
Bute04_009.tags.tsv	28486	Bute04
Bute04_010.tags.tsv	28498	Bute04
Bute04_011.tags.tsv	28491	Bute04
Bute04_012.tags.tsv	28475	Bute04
Bute04_013.tags.tsv	28538	Bute04
Bute04_014.tags.tsv	28541	Bute04
Bute04_015.tags.tsv	28457	Bute04
Bute04_016.tags.tsv	28539	Bute04
Bute04_017.tags.tsv	28432	Bute04
Bute04_018.tags.tsv	28488	Bute04
Bute04_019.tags.tsv	28474	Bute04
Bute04_020.tags.tsv	28545	Bute04
Bute04_021.tags.tsv	28547	Bute04
Bute04_022.tags.tsv	28545	Bute04
Bute04_023.tags.tsv	28481	Bute04
Bute04_024.tags.tsv	28495	Bute04
Bute04_025.tags.tsv	28457	Bute04
Bute04_026.tags.tsv	28560	Bute04
Bute04_027.tags.tsv	28537	Bute04
Bute04_028.tags.tsv	28545	Bute04
Bute04_029.tags.tsv	28603	Bute04
Bute04_030.tags.tsv	28526	Bute04
Bute04_031.tags.tsv	28591	Bute04
Bute04_032.tags.tsv	28471	Bute04
Bute04_033.tags.tsv	28539	Bute04
Bute04_034.tags.tsv	28471	Bute04
Bute04_035.tags.tsv	28528	Bute04
Bute04_036.tags.tsv	28493	Bute04
Bute04_037.tags.tsv	28592	Bute04
Bute04_038.tags.tsv	28546	Bute04
Bute04_039.tags.tsv	28521	Bute04
Bute04_041.tags.tsv	28573	Bute04
Bute04_042_REP.tags.tsv	28573	Bute04
Bute04_042.tags.tsv	28547	Bute04
Bute04_043.tags.tsv	28588	Bute04
Bute04_044.tags.tsv	28500	Bute04
Bute04_045.tags.tsv	28576	Bute04
Bute04_046.tags.tsv	28377	Bute04
Bute04_047.tags.tsv	28545	Bute04
Bute04_048.tags.tsv	28445	Bute04
Case07_001.tags.tsv	28279	Case07
Case07_002.tags.tsv	28449	Case07
Case07_003.tags.tsv	28469	Case07
Case07_004.tags.tsv	27814	Case07
Case07_005.tags.tsv	28332	Case07
Case07_006.tags.tsv	28264	Case07
Case07_007.tags.tsv	27073	Case07
Case07_008_rep.tags.tsv	28490	Case07
Case07_008.tags.tsv	28586	Case07
Case07_010.tags.tsv	27654	Case07
Case07_011.tags.tsv	27881	Case07
Case07_012.tags.tsv	27746	Case07
