sample	num_loci
KOD03_035	22830
KOD03_051	19779
KOD03_052	23027
KOD03_053	13032
KOD03_054	22299
KOD03_055	23255
KOD03_056	19330
KOD03_057	23729
KOD03_058	20870
KOD03_059	15097
KOD03_060	14007
KOD03_061	23435
KOD03_062	11382
KOD03_063	22657
KOD03_064	23927
KOD03_065	23344
KOD03_066	23706
KOD03_067	23505
KOD03_068	15212
KOD03_069	22453
KOD03_070	16472
KOD03_071	23311
KOD03_072	16297
KOD03_073	15033
KOD03_074	22775
KOD03_075	17365
KOD03_076	21689
KOD03_077	19329
KOD03_078	23324
KOD03_079	16673
KOD03_080	16358
KOD03_081	23425
KOD03_082	23110
KOD03_083	20159
KOD03_084	23139
KOD03_085	22900
KOD03_086	18934
KOD03_087	6065
KOD03_088	9425
KOD03_089	23307
KOD03_090	22295
KOD03_091	11278
KOD03_092	3920
KOD03_093	21387
KOD03_094	15467
KOD03_095	17239
KOD03_096	22939
KOD03_097	20303
AD06_001	23495
AD06_002	5899
AD06_003	21742
AD06_004	22602
AD06_005	8761
AD06_006	21312
AD06_007	21770
AD06_008	23250
AD06_009	15914
AD06_010	14092
AD06_011	23464
AD06_012	11928
AD06_013	17198
AD06_014	10076
AD06_015	10109
AD06_016	10001
AD06_017	23443
AD06_018	23042
AD06_019	14847
AD06_020	21494
AD06_021	19860
AD06_022	7077
AD06_023	19336
AD06_024	9093
AD06_025	21963
AD06_026	11299
AD06_027	10602
AD06_028	8381
AD06_029	22528
AD06_030	22860
AD06_031	3113
AD06_032	20947
AD06_033	11439
AD06_034	6942
AD06_035	22386
AD06_036	23037
AD06_037	14882
AD06_038	15324
AD06_039	10879
AD06_040	21765
AD06_041	22468
AD06_042	18221
AD06_043	9007
AD06_044	23234
AD06_045	21768
AD06_046	20564
AD06_047	21594
AD06_048	23047
WC05_001	21199
WC05_002	19698
WC05_003	22272
WC05_004	14178
WC05_005	20094
WC05_006	22542
WC05_007	13572
WC05_008	23577
WC05_009	20273
WC05_010	15175
WC05_011	9411
WC05_012	22798
WC05_013	10127
WC05_014	22152
WC05_015	23838
WC05_016	23362
WC05_017	23277
WC05_018	23445
WC05_019	13360
WC05_020	10341
WC05_021	17645
WC05_022	23336
WC05_023	19190
WC05_024	12133
WC05_025	22840
WC05_026	14046
WC05_027	14524
WC05_028	10827
WC05_029	23237
WC05_030	13635
WC05_031	19475
WC05_032	23058
WC05_033	22073
WC05_034	17500
WC05_035	22446
WC05_036	20617
WC05_037	19569
WC05_038	3436
WC05_039	7581
WC05_040	23430
WC05_041	21409
WC05_042	9939
WC05_043	5667
WC05_044	18163
WC05_045	10483
WC05_046	12194
WC05_047	20223
WC05_048	19288
HS04_001	22682
HS04_002	19639
HS04_003	23042
HS04_004	15314
HS04_005	22752
HS04_006	23468
HS04_007	19581
HS04_008	23737
HS04_009	20513
HS04_010	11488
HS04_011	5907
HS04_012	23258
HS04_013	12654
HS04_014	23260
HS04_015	23957
HS04_016	23477
HS04_017	23671
HS04_018	23421
HS04_019	16718
HS04_020	23165
HS04_021	18744
HS04_022	23459
HS04_023	19157
HS04_024	20082
HS04_025	22624
HS04_026	12326
HS04_027	22583
HS04_028	17262
HS04_029	23322
HS04_030	14051
HS04_031	20302
HS04_032	23472
HS04_033	22806
HS04_034	18564
HS04_035	22582
HS04_036	15497
HS04_037	22286
HS04_038	10130
HS04_039	8281
HS04_040	23443
HS04_041	21563
HS04_042	16706
HS04_043	8488
HS04_044	21731
HS04_045	18256
HS04_046	21287
HS04_047	23179
HS04_048	21691
PI04_001	1430
PI04_002	127
PI04_003	1645
PI04_004	171
PI04_005	92
PI04_006	12965
PI04_007	1778
PI04_008	2573
PI04_009	9
PI04_010	4
PI04_011	1535
PI04_012	73
PI04_013	55
PI04_014	223
PI04_015	39
PI04_016	171
PI04_017	16187
PI04_018	108
PI04_019	647
PI04_020	3038
PI04_021	97
PI04_022	817
PI04_023	1109
PI04_024	41
PI04_025	89
PI04_026	42
PI04_027	169
PI04_028	46
PI04_029	93
PI04_030	2575
PI04_031	8
PI04_032	1355
PI04_033	31
PI04_034	615
PI04_035	1034
PI04_036	12731
PI04_037	59
PI04_038	97
PI04_039	74
PI04_040	996
PI04_041	550
PI04_042	37
PI04_043	62
PI04_044	3136
PI04_045	28
PI04_046	432
PI04_047	506
PI04_048	2411
PS12_008	23682
PS12_048	21314
PS12_031	20437
PS12_036	21819
PS12_030	15760
PS12_006	23405
PS12_016	23362
PS12_033	21415
PS12_015	23894
PS12_014	23317
PS12_044	20147
PS12_037	22535
PS12_004	11454
PS12_040	23415
PS12_023	12464
PS12_042	11683
PS12_024	22861
PS12_034	18730
PS12_003	22838
PS12_002	14943
PS12_001	21026
PS12_041	21704
PS12_013	17287
PS12_027	22412
PS12_039	8828
PS12_020	23174
PS12_012	23285
PS12_029	23111
PS12_022	23404
PS12_007	16195
PS12_046	22159
PS12_043	6243
PS12_045	17053
PS12_011	11188
PS12_028	19421
PS12_021	20083
PS12_026	18577
PS12_010	11724
PS12_025	23069
PS12_019	15260
PS12_038	14280
PS12_017	23670
PS12_047	22766
PS12_032	23335
PS12_018	23269
PS12_035	22972
PS12_005	22775
PS12_009	16315
GS13_001	23174
GS13_002	6594
GS13_003	18124
GS13_004	11642
GS13_005	22908
GS13_006	23022
GS13_007	10879
GS13_008	22598
GS13_009	7276
GS13_010	11717
GS13_011	22233
GS13_012	23223
GS13_013	18787
GS13_014	18573
GS13_015	14463
GS13_016	22543
GS13_017	22119
PWS12_002	23729
PWS12_003	20692
PWS12_005	23449
PWS12_006	23216
PWS12_009	22576
PWS12_010	23469
PWS12_011	22709
PWS12_014	23492
PWS12_015	21470
PWS12_016	22731
PWS12_017	23827
PWS12_018	21660
PWS12_021	22447
PWS12_022	22340
PWS12_023	19331
PWS12_063	19525
PWS12_075	23789
PWS12_079	23244
PWS12_094	22247
PWS12_095	22576
PWS12_096	22405
PWS12_097	20034
PWS12_131	22518
PWS12_133	15999
UP03_001	23665
UP03_009	21556
UP03_017	20998
UP03_025	22045
UP03_033	12594
UP03_041	22681
UP03_002	15282
UP03_010	22990
UP03_018	23149
UP03_026	4033
UP03_034	12215
UP03_042	17573
UP03_003	23125
UP03_011	23908
UP03_019	21360
UP03_027	16333
UP03_035	20961
UP03_043	20341
UP03_004	22933
UP03_012	19532
UP03_020	17471
UP03_028	14565
UP03_036	23436
UP03_044	23637
UP03_005	20872
UP03_013	23000
UP03_021	23018
UP03_029	23248
UP03_037	19785
UP03_045	22383
UP03_006	21877
UP03_014	22426
UP03_022	21870
UP03_030	23369
UP03_038	18806
UP03_046	22829
UP03_007	17986
UP03_015	14940
UP03_023	20280
UP03_031	2122
UP03_039	7105
UP03_047	20822
UP03_008	23157
UP03_016	13537
UP03_024	8681
UP03_032	19429
UP03_040	22728
UP03_048	21887
