individual	n_missing	p_missing
PO010715_02_92bp	293	0.119396903015
PO010715_02_rep_92bp	292	0.118989405053
PO010715_04_92bp	300	0.122249388753
PO010715_06.1_92bp	342	0.139364303178
PO010715_07_92bp	296	0.120619396903
PO010715_07_rep_92bp	302	0.123064384678
PO010715_08.1_92bp	306	0.124694376528
PO010715_10.1_92bp	300	0.122249388753
PO010715_11.1_92bp	303	0.123471882641
PO010715_12_92bp	299	0.121841890791
PO010715_17.1_92bp	313	0.127546862266
PO010715_19.1_92bp	305	0.124286878566
PO010715_26_2_92bp	295	0.120211898941
PO010715_26_92bp	295	0.120211898941
PO010715_27.1_92bp	315	0.128361858191
PO010715_28.1_92bp	310	0.126324368378
PO010715_29.1_92bp	312	0.127139364303
PO020515_01_92bp	306	0.124694376528
PO020515_03.1_92bp	305	0.124286878566
PO020515_05.1_92bp	319	0.129991850041
PO020515_06_92bp	305	0.124286878566
PO020515_08.1_92bp	312	0.127139364303
PO020515_09.1_92bp	337	0.137326813366
PO020515_10.1_92bp	317	0.129176854116
PO020515_14.1_92bp	304	0.123879380603
PO020515_15.1_92bp	297	0.121026894866
PO020515_16.1_92bp	305	0.124286878566
PO020515_17.1_92bp	301	0.122656886716
PO031715_03_92bp	303	0.123471882641
PO031715_04_92bp	303	0.123471882641
PO031715_13.1_92bp	307	0.125101874491
PO031715_20.1_92bp	319	0.129991850041
PO031715_23_92bp	308	0.125509372453
PO031715_24_92bp	307	0.125101874491
GE011215_01.1_92bp	249	0.101466992665
GE011215_07.1_92bp	268	0.109209453953
GE011215_08.1_92bp	317	0.129176854116
GE011215_09.1_92bp	262	0.106764466178
GE011215_10.1_92bp	253	0.103096984515
GE011215_11_92bp	240	0.0977995110024
GE011215_11_rep_92bp	239	0.0973920130399
GE011215_14.1_92bp	250	0.101874490628
GE011215_15.1_92bp	246	0.100244498778
GE011215_16.1_92bp	273	0.111246943765
GE011215_18_92bp	239	0.0973920130399
GE011215_19_92bp	242	0.0986145069275
GE011215_20.1_92bp	247	0.10065199674
GE011215_21.1_92bp	253	0.103096984515
GE011215_22_92bp	241	0.098207008965
GE011215_24.1_92bp	253	0.103096984515
GE011215_28_92bp	234	0.0953545232274
GE011215_29.1_92bp	320	0.130399348003
GE011215_30.1_92bp	248	0.101059494703
GE012315_01.1_92bp	301	0.122656886716
GE012315_03.1_92bp	280	0.114099429503
GE012315_04.1_92bp	277	0.112876935615
GE012315_05.1_92bp	266	0.108394458028
GE012315_06.1_92bp	256	0.104319478403
GE012315_08.1_92bp	258	0.105134474328
GE012315_09.1_92bp	261	0.106356968215
GE012315_09_2_92bp	239	0.0973920130399
GE012315_10.1_92bp	279	0.11369193154
GE012315_11.1_92bp	248	0.101059494703
GE012315_11_2_92bp	236	0.0961695191524
GE012315_17.1_92bp	250	0.101874490628
GE012315_20.1_92bp	247	0.10065199674
GE012315_22.1_92bp	271	0.11043194784
GEO012315_02_92bp	260	0.105949470253
GEO012315_12_92bp	247	0.10065199674
GEO012315_18_92bp	267	0.10880195599
GEO012315_21_92bp	266	0.108394458028
NA021015_02.1_92bp	262	0.106764466178
NA021015_03.1_92bp	290	0.118174409128
NA021015_06.1_92bp	239	0.0973920130399
NA021015_06_2_92bp	228	0.0929095354523
NA021015_08.1_92bp	288	0.117359413203
NA021015_09.1_92bp	238	0.0969845150774
NA021015_09_2_92bp	224	0.0912795436023
NA021015_10.1_92bp	241	0.098207008965
NA021015_10_2_92bp	234	0.0953545232274
NA021015_13.1_92bp	247	0.10065199674
NA021015_14.1_92bp	238	0.0969845150774
NA021015_16.1_92bp	238	0.0969845150774
NA021015_17.1_92bp	249	0.101466992665
NA021015_21.1_92bp	238	0.0969845150774
NA021015_22.1_92bp	241	0.098207008965
NA021015_23_92bp	247	0.10065199674
NA021015_25_92bp	234	0.0953545232274
NA021015_26_92bp	236	0.0961695191524
NA021015_30_92bp	230	0.0937245313773
YS121315_08.1_92bp	229	0.0933170334148
YS121315_10.1_92bp	363	0.147921760391
YS121315_12_300_92bp	154	0.0627546862266
YS121315_12_92bp	86	0.0350448247759
YS121315_14.1_92bp	225	0.0916870415648
YS121315_14_2_92bp	92	0.0374898125509
YS121315_15_92bp	101	0.0411572942135
YS121315_16_92bp	81	0.0330073349633
YS121316_30_92bp	89	0.0362673186634
YS_121316_01_92bp	77	0.0313773431133
YS_121316_03_92bp	95	0.0387123064385
YS_121316_04_92bp	288	0.117359413203
YS_121316_05_92bp	131	0.0533822330888
YS_121316_07_92bp	91	0.0370823145884
YS_121316_13_92bp	81	0.0330073349633
YS_121316_17_92bp	78	0.0317848410758
YS_121316_18_92bp	162	0.0660146699267
YS_121316_19_92bp	540	0.220048899756
YS_121316_20.1_92bp	85	0.0346373268134
YS_121316_20_2_92bp	85	0.0346373268134
YS_121316_21_2_92bp	76	0.0309698451508
YS_121316_21_92bp	77	0.0313773431133
YS_121316_22_92bp	81	0.0330073349633
YS_121316_23_92bp	80	0.0325998370008
YS_121316_24_92bp	74	0.0301548492258
YS_121316_25_92bp	86	0.0350448247759
YS_121316_26_92bp	86	0.0350448247759
YS_121316_27_92bp	234	0.0953545232274
YS_121316_28_92bp	246	0.100244498778
YS_121316_29_92bp	345	0.140586797066
JUK07_01_92bp	208	0.0847595762021
JUK07_02.1_92bp	85	0.0346373268134
JUK07_02_rep.1_92bp	90	0.0366748166259
JUK07_03_92bp	203	0.0827220863896
JUK07_04_92bp	141	0.0574572127139
JUK07_06.1_92bp	96	0.039119804401
JUK07_06_2_92bp	94	0.038304808476
JUK07_08_92bp	86	0.0350448247759
JUK07_09.1_92bp	80	0.0325998370008
JUK07_09_rep.1_92bp	79	0.0321923390383
JUK07_10_92bp	656	0.267318663407
JUK07_11_92bp	115	0.0468622656887
JUK07_12_92bp	703	0.286471067645
JUK07_13_92bp	163	0.0664221678892
JUK07_14_92bp	217	0.0884270578647
JUK07_15_92bp	98	0.039934800326
JUK07_16.1_92bp	98	0.039934800326
JUK07_16_rep.1_92bp	97	0.0395273023635
JUK07_17_92bp	315	0.128361858191
JUK07_18_92bp	212	0.0863895680522
JUK07_19_92bp	120	0.0488997555012
JUK07_20_92bp	225	0.0916870415648
JUK07_21_92bp	166	0.0676446617767
JUK07_22_92bp	272	0.110839445803
JUK07_23_92bp	92	0.0374898125509
JUK07_25_92bp	384	0.156479217604
JUK07_26_92bp	120	0.0488997555012
JUK07_27_92bp	102	0.041564792176
JUK07_28_92bp	355	0.144661776691
JUK07_29.1_92bp	85	0.0346373268134
JUK07_30_92bp	87	0.0354523227384
JUK07_31_92bp	96	0.039119804401
JUK07_32_92bp	83	0.0338223308883
JUK07_33_92bp	99	0.0403422982885
JUK07_34_92bp	122	0.0497147514262
JUK07_36.1_92bp	100	0.040749796251
JUK07_37.1_92bp	105	0.0427872860636
JB121807_01_92bp	732	0.298288508557
JB121807_03.1_92bp	734	0.299103504482
JB121807_03_rep_92bp	736	0.299918500407
JB121807_04.1_92bp	947	0.385900570497
JB121807_05_2_92bp	729	0.29706601467
JB121807_05_92bp	991	0.403830480848
JB121807_06.1_92bp	727	0.296251018745
JB121807_07.1_92bp	2454	1.0
JB121807_08_92bp	728	0.296658516707
JB121807_08_rep_92bp	728	0.296658516707
JB121807_09.1_92bp	1136	0.462917685412
JB121807_10_c_92bp	2167	0.88304808476
JB121807_11.1_92bp	724	0.295028524857
JB121807_12.1_92bp	763	0.310920945395
JB121807_13_c_92bp	966	0.393643031785
JB121807_14.1_92bp	726	0.295843520782
JB121807_16.1_92bp	861	0.350855745721
JB121807_16_2_92bp	725	0.29543602282
JB121807_18_92bp	729	0.29706601467
JB121807_19.1_92bp	725	0.29543602282
JB121807_20.1_92bp	728	0.296658516707
JB121807_21.1_92bp	728	0.296658516707
JB121807_22_c_92bp	761	0.31010594947
JB121807_23_2_92bp	792	0.322738386308
JB121807_23_92bp	1189	0.484515077425
JB121807_24.1_92bp	743	0.302770986145
JB121807_25_92bp	765	0.31173594132
JB121807_26_c_92bp	749	0.30521597392
JB121807_27_2_92bp	760	0.309698451508
JB121807_27_92bp	985	0.401385493073
JB121807_28.1_92bp	747	0.304400977995
JB121807_29_92bp	755	0.307660961695
JB121807_30_2_92bp	751	0.306030969845
JB121807_30_92bp	935	0.381010594947
JB121807_31.1_92bp	728	0.296658516707
JB121807_32.1_92bp	726	0.295843520782
JB121807_33.1_92bp	724	0.295028524857
JB121807_34.1_92bp	727	0.296251018745
JB121807_35_2_92bp	923	0.376120619397
JB121807_35_92bp	1714	0.698451507742
JB121807_36_c_92bp	1370	0.558272208639
JB121807_37_92bp	724	0.295028524857
JB121807_38.1_92bp	726	0.295843520782
JB121807_39_92bp	728	0.296658516707
JB121807_41.1_92bp	802	0.326813365933
JB121807_42_92bp	830	0.338223308883
JB121807_43_92bp	727	0.296251018745
JB121807_44_92bp	732	0.298288508557
JB121807_45.1_92bp	1117	0.455175224124
JB121807_46_92bp	744	0.303178484108
JB121807_47_2_92bp	1287	0.524449877751
JB121807_47_92bp	2056	0.837815810921
JB121807_48.1_92bp	801	0.326405867971
JB021108_01.1_92bp	973	0.396495517522
JB021108_02.1_92bp	484	0.197229013855
JB021108_04.1_92bp	505	0.205786471068
JB021108_05_92bp	480	0.195599022005
JB021108_05_rep_92bp	481	0.196006519967
JB021108_06_92bp	485	0.197636511817
JB021108_07.1_92bp	502	0.20456397718
JB021108_08.1_92bp	527	0.214751426243
JB021108_09.1_92bp	481	0.196006519967
JB021108_10.1_92bp	999	0.407090464548
JB021108_11_2_92bp	505	0.205786471068
JB021108_11_92bp	2040	0.831295843521
JB021108_11_rep_92bp	932	0.379788101059
JB021108_12.1_92bp	480	0.195599022005
JB021108_13.1_92bp	494	0.20130399348
JB021108_14_2_92bp	547	0.222901385493
JB021108_14_92bp	1085	0.442135289324
JB021108_16_92bp	477	0.194376528117
JB021108_17.1_92bp	489	0.199266503667
JB021108_19.1_92bp	481	0.196006519967
JB021108_20_92bp	545	0.222086389568
JB021108_21_c_92bp	1056	0.430317848411
JB021108_22.1_92bp	496	0.202118989405
JB021108_23_92bp	542	0.220863895681
JB021108_24_c_92bp	541	0.220456397718
JB021108_25.1_92bp	708	0.288508557457
JB021108_25_2_92bp	598	0.243683781581
JB021108_26.1_92bp	486	0.19804400978
JB021108_27_c_92bp	2221	0.905052974735
JB021108_28_2_92bp	921	0.375305623472
JB021108_28_92bp	1222	0.497962510187
JB021108_29_92bp	492	0.200488997555
JB021108_30_92bp	482	0.19641401793
JB021108_31.1_92bp	1195	0.4869600652
JB021108_31_2_92bp	508	0.207008964955
JB021108_32_92bp	483	0.196821515892
JB021108_33_92bp	1423	0.579869600652
JB021108_33_rep_92bp	490	0.19967400163
JB021108_34_92bp	484	0.197229013855
JB021108_35_92bp	641	0.261206193969
JB021108_35_rep_92bp	579	0.235941320293
JB021108_36.1_92bp	483	0.196821515892
JB021108_36_rep.1_92bp	484	0.197229013855
JB021108_37.1_92bp	483	0.196821515892
JB021108_37_rep.1_92bp	489	0.199266503667
JB021108_38.1_92bp	603	0.245721271394
JB021108_39_92bp	647	0.263651181744
JB021108_40_2_92bp	598	0.243683781581
JB021108_40_92bp	1588	0.647106764466
JB021108_41.1_92bp	494	0.20130399348
JB021108_44.1_92bp	484	0.197229013855
JB021108_45_92bp	481	0.196006519967
JB021108_46.1_92bp	479	0.195191524042
JB021108_46_rep.1_92bp	482	0.19641401793
JB021108_47.1_92bp	482	0.19641401793
JB021108_48.1_92bp	482	0.19641401793
BOR07_01_2_92bp	86	0.0350448247759
BOR07_01_92bp	597	0.243276283619
BOR07_02.1_92bp	66	0.0268948655257
BOR07_03_92bp	174	0.0709046454768
BOR07_04_92bp	62	0.0252648736756
BOR07_05.1_92bp	65	0.0264873675632
BOR07_06.1_92bp	69	0.0281173594132
BOR07_07.1_92bp	57	0.0232273838631
BOR07_08.1_92bp	62	0.0252648736756
BOR07_09_92bp	72	0.0293398533007
BOR07_10.1_92bp	79	0.0321923390383
BOR07_11.1_92bp	60	0.0244498777506
BOR07_12.1_92bp	70	0.0285248573757
BOR07_13.1_92bp	64	0.0260798696007
BOR07_14_92bp	58	0.0236348818256
BOR07_15_92bp	63	0.0256723716381
BOR07_16_92bp	85	0.0346373268134
BOR07_17.1_92bp	66	0.0268948655257
BOR07_18_92bp	97	0.0395273023635
BOR07_19.1_92bp	117	0.0476772616137
BOR07_20.1_92bp	59	0.0240423797881
BOR07_21.1_92bp	428	0.174409127954
BOR07_21_2_92bp	85	0.0346373268134
BOR07_22_92bp	52	0.0211898940505
GEO020414_10_2_92bp	139	0.0566422167889
GEO020414_10_92bp	476	0.193969030155
GEO020414_11_300_92bp	123	0.0501222493888
GEO020414_11_92bp	127	0.0517522412388
GEO020414_13_2_92bp	134	0.0546047269764
GEO020414_13_300_92bp	143	0.058272208639
GEO020414_13_92bp	2453	0.999592502037
GEO020414_14_300_92bp	194	0.079054604727
GEO020414_14_92bp	158	0.0643846780766
GEO020414_15_300_92bp	422	0.171964140179
GEO020414_15_92bp	314	0.127954360228
GEO020414_16_300_92bp	131	0.0533822330888
GEO020414_16_92bp	168	0.0684596577017
GEO020414_17_300_92bp	230	0.0937245313773
GEO020414_17_92bp	171	0.0696821515892
GEO020414_23_300_92bp	124	0.0505297473513
GEO020414_23_92bp	122	0.0497147514262
GEO020414_24_300_92bp	133	0.0541972290139
GEO020414_24_92bp	140	0.0570497147514
GEO020414_25_300_92bp	315	0.128361858191
GEO020414_25_92bp	198	0.080684596577
GEO020414_26_92bp	266	0.108394458028
GEO020414_27_92bp	204	0.0831295843521
GEO020414_29_92bp	300	0.122249388753
GEO020414_2_92bp	193	0.0786471067645
GEO020414_30_2_92bp	199	0.0810920945395
GEO020414_30_92bp	566	0.230643846781
GEO020414_3_92bp	131	0.0533822330888
GEO020414_4_92bp	132	0.0537897310513
GEO020414_5_92bp	187	0.0762021189894
GEO020414_6_92bp	242	0.0986145069275
GEO020414_7_92bp	127	0.0517522412388
GEO020414_8_300_92bp	123	0.0501222493888
GEO020414_8_92bp	127	0.0517522412388
GEO020414_9_300_92bp	146	0.0594947025265
GEO020414_9_92bp	159	0.0647921760391
KOD03_035	388	0.158109209454
KOD03_051	409	0.166666666667
KOD03_052	393	0.160146699267
KOD03_053	807	0.328850855746
KOD03_054	404	0.164629176854
KOD03_055	383	0.156071719641
KOD03_056	431	0.175631621842
KOD03_057	377	0.153626731866
KOD03_058	393	0.160146699267
KOD03_059	642	0.261613691932
KOD03_060	829	0.337815810921
KOD03_061	378	0.154034229829
KOD03_062	949	0.386715566422
KOD03_063	387	0.157701711491
KOD03_064	389	0.158516707416
KOD03_065	383	0.156071719641
KOD03_066	387	0.157701711491
KOD03_067	378	0.154034229829
KOD03_068	617	0.251426242869
KOD03_069	388	0.158109209454
KOD03_070	534	0.21760391198
KOD03_071	387	0.157701711491
KOD03_072	545	0.222086389568
KOD03_073	588	0.239608801956
KOD03_074	389	0.158516707416
KOD03_075	499	0.203341483293
KOD03_076	390	0.158924205379
KOD03_077	436	0.177669111654
KOD03_078	381	0.155256723716
KOD03_079	524	0.213528932355
KOD03_080	497	0.202526487368
KOD03_081	382	0.155664221679
KOD03_082	379	0.154441727791
KOD03_083	423	0.172371638142
KOD03_084	389	0.158516707416
KOD03_085	394	0.160554197229
KOD03_086	492	0.200488997555
KOD03_087	1582	0.644661776691
KOD03_088	1141	0.464955175224
KOD03_089	382	0.155664221679
KOD03_090	400	0.162999185004
KOD03_091	952	0.38793806031
KOD03_092	1911	0.778728606357
KOD03_093	395	0.160961695192
KOD03_094	625	0.254686226569
KOD03_095	506	0.20619396903
KOD03_096	388	0.158109209454
KOD03_097	407	0.165851670742
AD06_001	1107	0.451100244499
AD06_002	1755	0.715158924205
AD06_003	1117	0.455175224124
AD06_004	1099	0.447840260799
AD06_005	1481	0.603504482478
AD06_006	1129	0.460065199674
AD06_007	1105	0.450285248574
AD06_008	1101	0.448655256724
AD06_009	1149	0.468215158924
AD06_010	1216	0.495517522412
AD06_011	1112	0.453137734311
AD06_012	1239	0.50488997555
AD06_013	1131	0.460880195599
AD06_014	1325	0.539934800326
AD06_015	1403	0.571719641402
AD06_016	1317	0.536674816626
AD06_017	1105	0.450285248574
AD06_018	1101	0.448655256724
AD06_019	1182	0.481662591687
AD06_020	1114	0.453952730236
AD06_021	1115	0.454360228199
AD06_022	1580	0.643846780766
AD06_023	1104	0.449877750611
AD06_024	1398	0.569682151589
AD06_025	1104	0.449877750611
AD06_026	1418	0.577832110839
AD06_027	1306	0.532192339038
AD06_028	1415	0.576609616952
AD06_029	1100	0.448247758761
AD06_030	1102	0.449062754686
AD06_031	2083	0.848818255909
AD06_032	1114	0.453952730236
AD06_033	1269	0.517114914425
AD06_034	1556	0.634066829666
AD06_035	1104	0.449877750611
AD06_036	1102	0.449062754686
AD06_037	1132	0.461287693562
AD06_038	1144	0.466177669112
AD06_039	1271	0.51792991035
AD06_040	1103	0.449470252649
AD06_041	1110	0.452322738386
AD06_042	1112	0.453137734311
AD06_043	1403	0.571719641402
AD06_044	1112	0.453137734311
AD06_045	1110	0.452322738386
AD06_046	1115	0.454360228199
AD06_047	1111	0.452730236349
AD06_048	1104	0.449877750611
WC05_001	809	0.329665851671
WC05_002	816	0.332518337408
WC05_003	802	0.326813365933
WC05_004	941	0.383455582722
WC05_005	831	0.338630806846
WC05_006	801	0.326405867971
WC05_007	947	0.385900570497
WC05_008	796	0.324368378158
WC05_009	812	0.330888345558
WC05_010	904	0.368378158109
WC05_011	1384	0.563977180114
WC05_012	801	0.326405867971
WC05_013	1175	0.478810105949
WC05_014	799	0.325590872046
WC05_015	800	0.325998370008
WC05_016	801	0.326405867971
WC05_017	807	0.328850855746
WC05_018	795	0.323960880196
WC05_019	927	0.377750611247
WC05_020	1167	0.475550122249
WC05_021	815	0.332110839446
WC05_022	795	0.323960880196
WC05_023	812	0.330888345558
WC05_024	1030	0.419722901385
WC05_025	802	0.326813365933
WC05_026	939	0.382640586797
WC05_027	898	0.365933170334
WC05_028	1145	0.466585167074
WC05_029	796	0.324368378158
WC05_030	990	0.403422982885
WC05_031	810	0.330073349633
WC05_032	800	0.325998370008
WC05_033	808	0.329258353708
WC05_034	823	0.335370823146
WC05_035	800	0.325998370008
WC05_036	827	0.337000814996
WC05_037	836	0.340668296659
WC05_038	1939	0.790138549307
WC05_039	1422	0.579462102689
WC05_040	797	0.324775876121
WC05_041	805	0.328035859821
WC05_042	1193	0.486145069275
WC05_043	1728	0.704156479218
WC05_044	814	0.331703341483
WC05_045	1180	0.480847595762
WC05_046	1018	0.414832925835
WC05_047	824	0.335778321108
WC05_048	820	0.334148329258
HS04_001	312	0.127139364303
HS04_002	355	0.144661776691
HS04_003	307	0.125101874491
HS04_004	571	0.232681336593
HS04_005	321	0.130806845966
