individual	n_missing	p_missing
PO010715_02_92bp	129	0.0174844131201
PO010715_02_rep_92bp	133	0.0180265654649
PO010715_04_92bp	186	0.0252100840336
PO010715_06.1_92bp	302	0.0409325020331
PO010715_07_92bp	162	0.0219571699648
PO010715_07_rep_92bp	162	0.0219571699648
PO010715_08.1_92bp	194	0.0262943887232
PO010715_10.1_92bp	200	0.0271076172404
PO010715_11.1_92bp	221	0.0299539170507
PO010715_12_92bp	184	0.0249390078612
PO010715_17.1_92bp	264	0.0357820547574
PO010715_19.1_92bp	188	0.025481160206
PO010715_26_2_92bp	155	0.0210084033613
PO010715_26_92bp	122	0.0165356465167
PO010715_27.1_92bp	237	0.0321225264299
PO010715_28.1_92bp	167	0.0226348603958
PO010715_29.1_92bp	211	0.0285985361887
PO020515_01_92bp	200	0.0271076172404
PO020515_03.1_92bp	224	0.0303605313093
PO020515_05.1_92bp	290	0.0393060449986
PO020515_06_92bp	185	0.0250745459474
PO020515_08.1_92bp	233	0.0315803740851
PO020515_09.1_92bp	290	0.0393060449986
PO020515_10.1_92bp	265	0.0359175928436
PO020515_14.1_92bp	193	0.026158850637
PO020515_15.1_92bp	146	0.0197885605855
PO020515_16.1_92bp	199	0.0269720791542
PO020515_17.1_92bp	205	0.0277853076715
PO031715_03_92bp	196	0.0265654648956
PO031715_04_92bp	190	0.0257522363784
PO031715_13.1_92bp	172	0.0233125508268
PO031715_20.1_92bp	261	0.0353754404988
PO031715_23_92bp	189	0.0256166982922
PO031715_24_92bp	205	0.0277853076715
GE011215_01.1_92bp	173	0.023448088913
GE011215_07.1_92bp	265	0.0359175928436
GE011215_08.1_92bp	321	0.0435077256709
GE011215_09.1_92bp	180	0.0243968555164
GE011215_10.1_92bp	198	0.026836541068
GE011215_11_92bp	163	0.022092708051
GE011215_11_rep_92bp	166	0.0224993223096
GE011215_14.1_92bp	176	0.0238547031716
GE011215_15.1_92bp	179	0.0242613174302
GE011215_16.1_92bp	242	0.0328002168609
GE011215_18_92bp	182	0.0246679316888
GE011215_19_92bp	175	0.0237191650854
GE011215_20.1_92bp	176	0.0238547031716
GE011215_21.1_92bp	215	0.0291406885335
GE011215_22_92bp	170	0.0230414746544
GE011215_24.1_92bp	209	0.0283274600163
GE011215_28_92bp	166	0.0224993223096
GE011215_29.1_92bp	365	0.0494714014638
GE011215_30.1_92bp	126	0.0170777988615
GE012315_01.1_92bp	294	0.0398481973435
GE012315_03.1_92bp	260	0.0352399024126
GE012315_04.1_92bp	252	0.034155597723
GE012315_05.1_92bp	268	0.0363242071022
GE012315_06.1_92bp	222	0.0300894551369
GE012315_08.1_92bp	197	0.0267010029818
GE012315_09.1_92bp	169	0.0229059365682
GE012315_09_2_92bp	101	0.0136893467064
GE012315_10.1_92bp	206	0.0279208457577
GE012315_11.1_92bp	148	0.0200596367579
GE012315_11_2_92bp	99	0.013418270534
GE012315_17.1_92bp	196	0.0265654648956
GE012315_20.1_92bp	167	0.0226348603958
GE012315_22.1_92bp	293	0.0397126592573
GEO012315_02_92bp	219	0.0296828408783
GEO012315_12_92bp	172	0.0233125508268
GEO012315_18_92bp	238	0.0322580645161
GEO012315_21_92bp	235	0.0318514502575
NA021015_02.1_92bp	279	0.0378151260504
NA021015_03.1_92bp	290	0.0393060449986
NA021015_06.1_92bp	160	0.0216860937924
NA021015_06_2_92bp	101	0.0136893467064
NA021015_08.1_92bp	342	0.0463540254812
NA021015_09.1_92bp	153	0.0207373271889
NA021015_09_2_92bp	80	0.0108430468962
NA021015_10.1_92bp	181	0.0245323936026
NA021015_10_2_92bp	154	0.0208728652751
NA021015_13.1_92bp	194	0.0262943887232
NA021015_14.1_92bp	162	0.0219571699648
NA021015_16.1_92bp	175	0.0237191650854
NA021015_17.1_92bp	206	0.0279208457577
NA021015_21.1_92bp	206	0.0279208457577
NA021015_22.1_92bp	203	0.0275142314991
NA021015_23_92bp	186	0.0252100840336
NA021015_25_92bp	156	0.0211439414475
NA021015_26_92bp	154	0.0208728652751
NA021015_30_92bp	175	0.0237191650854
YS121315_08.1_92bp	249	0.0337489834644
YS121315_10.1_92bp	384	0.0520466251017
YS121315_12_300_92bp	337	0.0456763350501
YS121315_12_92bp	187	0.0253456221198
YS121315_14.1_92bp	169	0.0229059365682
YS121315_14_2_92bp	126	0.0170777988615
YS121315_15_92bp	179	0.0242613174302
YS121315_16_92bp	157	0.0212794795337
YS121316_30_92bp	160	0.0216860937924
YS_121316_01_92bp	149	0.0201951748441
YS_121316_03_92bp	184	0.0249390078612
YS_121316_04_92bp	366	0.04960693955
YS_121316_05_92bp	330	0.0447275684467
YS_121316_07_92bp	144	0.0195174844131
YS_121316_13_92bp	151	0.0204662510165
YS_121316_17_92bp	155	0.0210084033613
YS_121316_18_92bp	428	0.0580103008946
YS_121316_19_92bp	613	0.083084846842
YS_121316_20.1_92bp	118	0.0159934941719
YS_121316_20_2_92bp	120	0.0162645703443
YS_121316_21_2_92bp	120	0.0162645703443
YS_121316_21_92bp	121	0.0164001084305
YS_121316_22_92bp	157	0.0212794795337
YS_121316_23_92bp	160	0.0216860937924
YS_121316_24_92bp	143	0.0193819463269
YS_121316_25_92bp	179	0.0242613174302
YS_121316_26_92bp	140	0.0189753320683
YS_121316_27_92bp	583	0.0790187042559
YS_121316_28_92bp	655	0.0887774464625
YS_121316_29_92bp	798	0.108159392789
JUK07_01_92bp	547	0.0741393331526
JUK07_02.1_92bp	136	0.0184331797235
JUK07_02_rep.1_92bp	160	0.0216860937924
JUK07_03_92bp	532	0.0721062618596
JUK07_04_92bp	305	0.0413391162917
JUK07_06.1_92bp	192	0.0260233125508
JUK07_06_2_92bp	202	0.0273786934128
JUK07_08_92bp	144	0.0195174844131
JUK07_09.1_92bp	160	0.0216860937924
JUK07_09_rep.1_92bp	162	0.0219571699648
JUK07_10_92bp	722	0.097858498238
JUK07_11_92bp	267	0.036188669016
JUK07_12_92bp	830	0.112496611548
JUK07_13_92bp	269	0.0364597451884
JUK07_14_92bp	549	0.074410409325
JUK07_15_92bp	199	0.0269720791542
JUK07_16.1_92bp	210	0.0284629981025
JUK07_16_rep.1_92bp	214	0.0290051504473
JUK07_17_92bp	795	0.107752778531
JUK07_18_92bp	501	0.0679045811873
JUK07_19_92bp	272	0.036866359447
JUK07_20_92bp	572	0.0775277853077
JUK07_21_92bp	317	0.0429655733261
JUK07_22_92bp	675	0.0914882081865
JUK07_23_92bp	207	0.0280563838439
JUK07_25_92bp	1104	0.149634047167
JUK07_26_92bp	260	0.0352399024126
JUK07_27_92bp	271	0.0367308213608
JUK07_28_92bp	815	0.110463540255
