individual	n_missing	p_missing
PO010715_02_92bp	167	0.0293291183702
PO010715_02_rep_92bp	161	0.0282753775904
PO010715_04_92bp	201	0.0353003161222
PO010715_06.1_92bp	426	0.0748155953635
PO010715_08.1_92bp	267	0.0468914646997
PO010715_10.1_92bp	241	0.042325254654
PO010715_11.1_92bp	253	0.0444327362136
PO010715_12_92bp	195	0.0342465753425
PO010715_17.1_92bp	340	0.0597119775202
PO010715_19.1_92bp	272	0.0477695820162
PO010715_26_92bp	155	0.0272216368107
PO010715_27.1_92bp	326	0.0572532490341
PO010715_28.1_92bp	267	0.0468914646997
PO010715_29.1_92bp	301	0.0528626624517
PO020515_01_92bp	234	0.041095890411
PO020515_03.1_92bp	266	0.0467158412364
PO020515_05.1_92bp	354	0.0621707060063
PO020515_06_92bp	184	0.0323147172462
PO020515_08.1_92bp	296	0.0519845451352
PO020515_09.1_92bp	424	0.074464348437
PO020515_10.1_92bp	346	0.0607657183
PO020515_14.1_92bp	256	0.0449596066034
PO020515_15.1_92bp	202	0.0354759395855
PO020515_16.1_92bp	249	0.0437302423604
PO020515_17.1_92bp	255	0.0447839831401
PO031715_03_92bp	224	0.039339655778
PO031715_04_92bp	214	0.0375834211451
PO031715_13.1_92bp	250	0.0439058658237
PO031715_20.1_92bp	387	0.067966280295
PO031715_23_92bp	194	0.0340709518792
PO031715_24_92bp	234	0.041095890411
PO010715_26_2_92bp	176	0.0309097295399
PO010715_07_92bp	195	0.0342465753425
PO010715_07_rep_92bp	192	0.0337197049526
GE011215_01.1_92bp	228	0.0400421496312
GE011215_07.1_92bp	369	0.0648050579557
GE011215_08.1_92bp	473	0.0830698981384
GE011215_09.1_92bp	278	0.0488233227959
GE011215_10.1_92bp	288	0.0505795574289
GE011215_14.1_92bp	211	0.0370565507552
GE011215_15.1_92bp	253	0.0444327362136
GE011215_16.1_92bp	341	0.0598876009835
GE011215_18_92bp	164	0.0288022479803
GE011215_19_92bp	196	0.0344221988058
GE011215_20.1_92bp	241	0.042325254654
GE011215_21.1_92bp	261	0.0458377239199
GE011215_22_92bp	173	0.03038285915
GE011215_24.1_92bp	268	0.047067088163
GE011215_28_92bp	183	0.0321390937829
GE011215_29.1_92bp	533	0.0936073059361
GE011215_30.1_92bp	207	0.036354056902
GE012315_01.1_92bp	412	0.0723568668774
GE012315_03.1_92bp	370	0.064980681419
GE012315_04.1_92bp	336	0.059009483667
GE012315_05.1_92bp	317	0.0556726378644
GE012315_06.1_92bp	264	0.0463645943098
GE012315_08.1_92bp	258	0.04531085353
GE012315_09.1_92bp	216	0.0379346680717
GE012315_10.1_92bp	275	0.048296452406
GE012315_11.1_92bp	212	0.0372321742185
GE012315_17.1_92bp	240	0.0421496311907
GE012315_20.1_92bp	224	0.039339655778
GE012315_22.1_92bp	396	0.0695468914647
GEO012315_02_92bp	221	0.0388127853881
GEO012315_12_92bp	172	0.0302072356867
GEO012315_18_92bp	231	0.0405690200211
GEO012315_21_92bp	223	0.0391640323147
GE012315_11_2_92bp	125	0.0219529329118
GE012315_09_2_92bp	122	0.021426062522
GE011215_11_92bp	179	0.0314365999298
