# Variant positions
# Pop ID	Private	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Pohang	0	30.7431	1.0273	0.0156	0.9132	0.0157	0.0019	0.1263	0.0263	0.0025	0.8737	0.0263	0.0025	0.1272	0.0256	0.0025	0.8728	0.0256	0.0025	0.1293	0.0264	0.0025	0.0096	20.5629	0.0156
Geoje	3	48.9565	3.9556	0.0306	0.9121	0.0158	0.0019	0.1228	0.0244	0.0024	0.8772	0.0244	0.0024	0.1287	0.0255	0.0025	0.8713	0.0255	0.0025	0.1300	0.0260	0.0025	0.0329	19.4525	0.0306
Namhae	8	10.9176	0.1630	0.0062	0.9131	0.0161	0.0020	0.1312	0.0325	0.0028	0.8688	0.0325	0.0028	0.1265	0.0262	0.0025	0.8735	0.0262	0.0025	0.1325	0.0288	0.0026	0.0065	24.5302	0.0062
Jinhae Bay	5	77.2087	32.8049	0.0881	0.9127	0.0155	0.0019	0.1193	0.0224	0.0023	0.8807	0.0224	0.0023	0.1284	0.0251	0.0024	0.8716	0.0251	0.0024	0.1292	0.0254	0.0025	0.0430	19.1425	0.0881
YSBlock	22	24.4959	0.8499	0.0142	0.9118	0.0153	0.0019	0.1268	0.0254	0.0024	0.8732	0.0254	0.0024	0.1304	0.0249	0.0024	0.8696	0.0249	0.0024	0.1331	0.0260	0.0025	0.0238	19.5686	0.0142
Boryeong	25	20.8350	0.3123	0.0086	0.9105	0.0159	0.0019	0.1303	0.0270	0.0025	0.8697	0.0270	0.0025	0.1312	0.0254	0.0025	0.8688	0.0254	0.0025	0.1344	0.0267	0.0025	0.0157	19.9620	0.0086
Kodiak	1	40.9393	9.3431	0.0470	0.9267	0.0141	0.0018	0.1054	0.0234	0.0024	0.8946	0.0234	0.0024	0.1076	0.0233	0.0023	0.8924	0.0233	0.0023	0.1090	0.0239	0.0024	0.0165	22.5132	0.0470
Adak	3	38.1769	13.3302	0.0562	0.9240	0.0145	0.0019	0.1120	0.0256	0.0025	0.8880	0.0256	0.0025	0.1114	0.0238	0.0024	0.8886	0.0238	0.0024	0.1129	0.0244	0.0024	0.0071	22.6426	0.0562
WashCoast	1	38.4025	13.2900	0.0561	0.9286	0.0141	0.0018	0.1000	0.0223	0.0023	0.9000	0.0223	0.0023	0.1044	0.0232	0.0023	0.8956	0.0232	0.0023	0.1058	0.0238	0.0024	0.0235	24.2899	0.0561
HecateStrait	2	44.1485	7.9297	0.0433	0.9278	0.0140	0.0018	0.1027	0.0225	0.0023	0.8973	0.0225	0.0023	0.1059	0.0231	0.0023	0.8941	0.0231	0.0023	0.1071	0.0236	0.0024	0.0189	23.5748	0.0433
PWSound	3	45.8844	6.0034	0.0377	0.9245	0.0143	0.0018	0.1102	0.0242	0.0024	0.8898	0.0242	0.0024	0.1108	0.0235	0.0024	0.8892	0.0235	0.0024	0.1121	0.0240	0.0024	0.0088	22.0759	0.0377
UnimakPass	2	40.4295	7.6234	0.0425	0.9231	0.0143	0.0018	0.1138	0.0252	0.0024	0.8862	0.0252	0.0024	0.1134	0.0236	0.0024	0.8866	0.0236	0.0024	0.1148	0.0242	0.0024	0.0084	20.6881	0.0425
# All positions (variant and fixed)
# Pop ID	Private	Sites	Variant Sites	Polymorphic Sites	% Polymorphic Loci	Num Indv	Var	StdErr	P	Var	StdErr	Obs Het	Var	StdErr	Obs Hom	Var	StdErr	Exp Het	Var	StdErr	Exp Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
Pohang	0	387596.0000	4212.0000	2451.0000	0.6324	30.7887	0.9374	0.0016	0.9991	0.0003	0.0000	0.0014	0.0005	0.0000	0.9986	0.0005	0.0000	0.0014	0.0005	0.0000	0.9986	0.0005	0.0000	0.0014	0.0005	0.0000	0.0001	48.6919	0.0016
Geoje	3	389344.0000	4231.0000	2569.0000	0.6598	49.0692	3.7250	0.0031	0.9990	0.0003	0.0000	0.0013	0.0004	0.0000	0.9987	0.0004	0.0000	0.0014	0.0005	0.0000	0.9986	0.0005	0.0000	0.0014	0.0005	0.0000	0.0004	48.6820	0.0031
Namhae	8	387688.0000	4213.0000	2111.0000	0.5445	10.9294	0.1478	0.0006	0.9991	0.0003	0.0000	0.0014	0.0005	0.0000	0.9986	0.0005	0.0000	0.0014	0.0005	0.0000	0.9986	0.0005	0.0000	0.0014	0.0005	0.0000	0.0001	48.7346	0.0006
Jinhae Bay	5	389344.0000	4231.0000	2600.0000	0.6678	77.5564	30.7134	0.0089	0.9991	0.0003	0.0000	0.0013	0.0004	0.0000	0.9987	0.0004	0.0000	0.0014	0.0004	0.0000	0.9986	0.0004	0.0000	0.0014	0.0005	0.0000	0.0005	48.6796	0.0089
YSBlock	22	389160.0000	4229.0000	2554.0000	0.6563	24.5582	0.7578	0.0014	0.9990	0.0002	0.0000	0.0014	0.0004	0.0000	0.9986	0.0004	0.0000	0.0014	0.0005	0.0000	0.9986	0.0005	0.0000	0.0014	0.0005	0.0000	0.0003	48.6824	0.0014
Boryeong	25	389252.0000	4230.0000	2517.0000	0.6466	20.8558	0.2786	0.0008	0.9990	0.0003	0.0000	0.0014	0.0005	0.0000	0.9986	0.0005	0.0000	0.0014	0.0005	0.0000	0.9986	0.0005	0.0000	0.0015	0.0005	0.0000	0.0002	48.6859	0.0008
Kodiak	1	389344.0000	4231.0000	2298.0000	0.5902	41.3247	7.7115	0.0045	0.9992	0.0002	0.0000	0.0011	0.0004	0.0000	0.9989	0.0004	0.0000	0.0012	0.0004	0.0000	0.9988	0.0004	0.0000	0.0012	0.0004	0.0000	0.0002	48.7136	0.0045
Adak	3	388692.0000	4217.0000	2274.0000	0.5850	38.7291	10.6858	0.0052	0.9992	0.0002	0.0000	0.0012	0.0004	0.0000	0.9988	0.0004	0.0000	0.0012	0.0004	0.0000	0.9988	0.0004	0.0000	0.0012	0.0004	0.0000	0.0001	48.7147	0.0052
WashCoast	1	388975.0000	4226.0000	2147.0000	0.5520	38.7551	11.8670	0.0055	0.9992	0.0002	0.0000	0.0011	0.0003	0.0000	0.9989	0.0003	0.0000	0.0011	0.0004	0.0000	0.9989	0.0004	0.0000	0.0011	0.0004	0.0000	0.0003	48.7334	0.0055
HecateStrait	2	389342.0000	4229.0000	2207.0000	0.5669	44.4679	6.6792	0.0041	0.9992	0.0002	0.0000	0.0011	0.0004	0.0000	0.9989	0.0004	0.0000	0.0012	0.0004	0.0000	0.9988	0.0004	0.0000	0.0012	0.0004	0.0000	0.0002	48.7254	0.0041
PWSound	3	389159.0000	4229.0000	2330.0000	0.5987	46.1334	4.2964	0.0033	0.9992	0.0002	0.0000	0.0012	0.0004	0.0000	0.9988	0.0004	0.0000	0.0012	0.0004	0.0000	0.9988	0.0004	0.0000	0.0012	0.0004	0.0000	0.0001	48.7082	0.0033
UnimakPass	2	389158.0000	4228.0000	2449.0000	0.6293	40.7967	5.2608	0.0037	0.9992	0.0002	0.0000	0.0012	0.0004	0.0000	0.9988	0.0004	0.0000	0.0012	0.0004	0.0000	0.9988	0.0004	0.0000	0.0012	0.0004	0.0000	0.0001	48.6932	0.0037
