sample	genotyped.b1	genotyped.b2	same.genos.wmissing	same.genos	diff.genos	diff.het_hom	diff.hom_het	diff.het_het	diff.hom_hom	diff.miss_het	diff.miss_hom	diff.het_miss	diff.hom_miss
PO010715_26	5253	5279	5483	4271	1454	208	145	0	183	82	390	29	417
PO010715_27.1	5105	4979	5557	4180	1380	62	96	0	186	60	395	28	553
PO020515_10.1	5098	5047	5620	4239	1317	54	105	0	191	56	402	23	486
PO031715_04	5223	5135	5577	4343	1360	26	104	0	182	61	419	23	545
PO031715_23	5227	5186	5610	4376	1327	40	96	0	198	55	421	20	497
PO010715_07_rep	5227	5180	5526	4294	1411	100	110	0	198	70	408	31	494
GE011215_08.1	4977	4558	5282	3740	1655	132	111	0	157	75	343	88	749
GE011215_30.1	5228	5221	5439	4202	1498	223	146	0	178	91	381	30	449
GE012315_05.1	5105	4977	5598	4213	1339	40	99	0	178	58	389	32	543
GE012315_10.1	5155	4951	5371	4032	1566	179	130	0	167	73	370	42	605
GEO012315_02	5187	5149	5647	4363	1290	34	94	0	192	52	414	17	487
GEO012315_12	5267	5239	5622	4410	1315	37	144	0	190	83	375	18	468
GEO012315_18	5172	5099	5608	4301	1329	46	88	0	206	50	408	17	514
GEO012315_21	5183	5116	5619	4323	1318	32	108	0	195	55	403	18	507
GE012315_11_2	5331	5338	5517	4366	1420	152	208	0	157	111	344	31	417
GE011215_11	5238	5281	5652	4430	1285	75	105	0	194	46	431	20	414
NA021015_02.1	5066	4969	5608	4192	1329	47	87	0	188	44	411	32	520
NA021015_10.1	5157	5137	5489	4177	1448	190	133	0	169	81	387	25	463
NA021015_25	5237	5286	5670	4458	1267	40	98	0	202	62	426	15	424
YS_121316_18	4952	4821	5568	4048	1369	33	95	0	180	52	413	36	560
YS_121316_28	4658	4372	5475	3640	1462	35	92	0	161	58	386	40	690
YS_121316_29	4397	3866	5311	3193	1626	45	67	0	139	36	386	41	912
YS_121316_21_2	5248	5293	5638	4427	1299	71	124	0	193	67	411	14	419
JUK07_14	4856	4725	5595	3973	1342	35	83	0	175	49	410	29	561
JUK07_15	5204	5191	5647	4384	1290	56	94	0	187	55	415	24	459
JUK07_29.1	5237	5274	5627	4403	1310	95	110	0	190	62	414	20	419
JUK07_32	5212	5261	5638	4398	1299	97	87	0	194	62	423	30	406
JUK07_13	5002	4445	5285	3750	1652	22	99	0	174	38	362	66	891
JUK07_12	3694	2065	4786	1740	2151	23	30	0	75	27	170	187	1639
JB121807_01	5143	4920	5557	4192	1380	22	95	0	182	51	378	41	611
JB121807_05	3967	3355	5495	2837	1442	25	48	0	133	23	289	22	902
JB121807_12.1	3838	2976	5323	2504	1614	26	50	0	116	33	247	116	1026
JB121807_19.1	5115	4846	5489	4110	1448	23	94	0	176	42	401	45	667
JB121807_25	3999	3110	5272	2627	1665	22	53	0	115	35	258	109	1073
JB121807_33.1	4855	4567	5551	3871	1386	36	85	0	173	39	363	45	645
JB121807_41.1	3598	3031	5643	2562	1294	34	57	0	120	23	235	69	756
JB121807_05_2	5193	5030	5516	4229	1421	46	114	0	184	59	398	38	582
JB121807_23_2	4767	4148	5280	3500	1657	33	66	0	159	58	332	70	939
JB021108_25.1	3600	2805	5462	2377	1475	22	48	0	106	26	226	85	962
JB021108_45	5181	5141	5612	4332	1325	60	86	0	187	50	426	24	492
JB021108_46_rep.1	5227	5203	5646	4404	1291	31	104	0	196	56	412	18	474
JB021108_48.1	5022	4873	5555	4081	1382	75	97	0	179	51	390	45	545
BOR07_07.1	5248	5277	5647	4432	1290	61	122	0	188	49	425	20	425
BOR07_10.1	5187	5054	5364	4072	1573	212	148	0	164	94	364	48	543
BOR07_12.1	5210	5148	5559	4293	1378	90	113	0	191	66	395	29	494
GEO020414_11	5237	5259	5620	4403	1317	56	124	0	193	71	412	19	442
GEO020414_16	5141	5094	5587	4278	1350	42	95	0	192	48	439	22	512
GEO020414_2	4950	4842	5564	4050	1373	36	92	0	191	50	423	21	560
GEO020414_27	4998	4959	5635	4177	1302	29	90	0	182	53	428	17	503
GEO020414_4	5207	5170	5616	4354	1321	41	101	0	206	48	420	14	491
