locus_ID	n_pairs	both_miss	b1_miss	b2_miss	both_genotyped	matched	diff_homhom	diff_homhet	diff_hethom
2	50	0.1	0.1	0.06	0.74	1.0	0.0	0.0	0.0
3	50	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
5	50	0.18	0.12	0.04	0.66	0.939393939394	0.030303030303	0.0	0.030303030303
10	50	0.0	0.0	0.04	0.96	1.0	0.0	0.0	0.0
11	50	0.0	0.0	0.02	0.98	1.0	0.0	0.0	0.0
13	50	0.06	0.14	0.06	0.74	1.0	0.0	0.0	0.0
16	50	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
17	50	0.0	0.0	0.08	0.92	1.0	0.0	0.0	0.0
18	50	0.0	0.0	0.04	0.96	1.0	0.0	0.0	0.0
19	50	0.04	0.08	0.06	0.82	0.975609756098	0.0	0.0243902439024	0.0
25	50	0.04	0.06	0.02	0.88	1.0	0.0	0.0	0.0
26	50	0.04	0.0	0.02	0.94	0.978723404255	0.0212765957447	0.0	0.0
30	50	0.1	0.1	0.02	0.78	1.0	0.0	0.0	0.0
34	50	0.02	0.0	0.0	0.98	1.0	0.0	0.0	0.0
35	50	0.0	0.0	0.04	0.96	1.0	0.0	0.0	0.0
38	50	0.3	0.32	0.02	0.36	1.0	0.0	0.0	0.0
42	50	0.1	0.1	0.02	0.78	1.0	0.0	0.0	0.0
44	50	0.0	0.0	0.08	0.92	0.978260869565	0.0	0.0	0.0217391304348
47	50	0.02	0.0	0.02	0.96	1.0	0.0	0.0	0.0
49	50	0.12	0.18	0.06	0.64	1.0	0.0	0.0	0.0
53	50	0.0	0.0	0.02	0.98	1.0	0.0	0.0	0.0
55	50	0.06	0.26	0.02	0.66	1.0	0.0	0.0	0.0
56	50	0.0	0.0	0.06	0.94	1.0	0.0	0.0	0.0
57	50	0.28	0.14	0.06	0.52	1.0	0.0	0.0	0.0
58	50	0.08	0.18	0.0	0.74	1.0	0.0	0.0	0.0
59	50	0.0	0.0	0.0	1.0	0.98	0.0	0.0	0.02
60	50	0.16	0.12	0.04	0.68	0.970588235294	0.0	0.0294117647059	0.0
62	50	0.26	0.48	0.06	0.2	1.0	0.0	0.0	0.0
63	50	0.02	0.0	0.02	0.96	0.979166666667	0.0	0.0208333333333	0.0
64	50	0.02	0.04	0.02	0.92	1.0	0.0	0.0	0.0
67	50	0.0	0.0	0.08	0.92	0.978260869565	0.0	0.0217391304348	0.0
69	50	0.22	0.2	0.0	0.58	1.0	0.0	0.0	0.0
71	50	0.18	0.2	0.04	0.58	1.0	0.0	0.0	0.0
72	50	0.0	0.0	0.02	0.98	1.0	0.0	0.0	0.0
74	50	0.1	0.1	0.04	0.76	0.973684210526	0.0263157894737	0.0	0.0
77	50	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
78	50	0.0	0.0	0.04	0.96	1.0	0.0	0.0	0.0
84	50	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
85	50	0.04	0.04	0.1	0.82	1.0	0.0	0.0	0.0
90	50	0.02	0.0	0.04	0.94	1.0	0.0	0.0	0.0
91	50	0.1	0.2	0.06	0.64	0.9375	0.0	0.03125	0.03125
93	50	0.0	0.02	0.02	0.96	0.979166666667	0.0	0.0208333333333	0.0
94	50	0.16	0.12	0.02	0.7	1.0	0.0	0.0	0.0
95	50	0.0	0.0	0.02	0.98	0.959183673469	0.0204081632653	0.0	0.0204081632653
96	50	0.0	0.0	0.04	0.96	1.0	0.0	0.0	0.0
97	50	0.08	0.1	0.0	0.82	1.0	0.0	0.0	0.0
98	50	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
101	50	0.0	0.02	0.02	0.96	1.0	0.0	0.0	0.0
102	50	0.02	0.0	0.06	0.92	0.913043478261	0.0	0.0869565217391	0.0
106	50	0.02	0.02	0.04	0.92	0.978260869565	0.0	0.0	0.0217391304348
107	50	0.02	0.0	0.02	0.96	1.0	0.0	0.0	0.0
108	50	0.2	0.18	0.06	0.56	1.0	0.0	0.0	0.0
110	50	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
111	50	0.04	0.0	0.08	0.88	0.954545454545	0.0227272727273	0.0227272727273	0.0
113	50	0.02	0.02	0.12	0.84	0.97619047619	0.0238095238095	0.0	0.0
114	50	0.0	0.0	0.04	0.96	1.0	0.0	0.0	0.0
116	50	0.06	0.12	0.02	0.8	0.975	0.025	0.0	0.0
117	50	0.0	0.0	0.02	0.98	0.979591836735	0.0	0.0	0.0204081632653
121	50	0.02	0.0	0.06	0.92	1.0	0.0	0.0	0.0
123	50	0.0	0.0	0.1	0.9	1.0	0.0	0.0	0.0
124	50	0.06	0.14	0.02	0.78	1.0	0.0	0.0	0.0
128	50	0.12	0.04	0.08	0.76	1.0	0.0	0.0	0.0
130	50	0.08	0.0	0.02	0.9	0.977777777778	0.0	0.0222222222222	0.0
131	50	0.24	0.38	0.04	0.34	1.0	0.0	0.0	0.0
134	50	0.02	0.0	0.1	0.88	0.977272727273	0.0227272727273	0.0	0.0
138	50	0.02	0.0	0.06	0.92	0.978260869565	0.0217391304348	0.0	0.0
139	50	0.1	0.12	0.04	0.74	0.972972972973	0.0	0.027027027027	0.0
140	50	0.1	0.1	0.02	0.78	0.948717948718	0.0	0.0512820512821	0.0
141	50	0.12	0.16	0.04	0.68	1.0	0.0	0.0	0.0
142	50	0.18	0.52	0.02	0.28	1.0	0.0	0.0	0.0
144	50	0.02	0.0	0.06	0.92	1.0	0.0	0.0	0.0
146	50	0.06	0.02	0.06	0.86	1.0	0.0	0.0	0.0
148	50	0.06	0.12	0.04	0.78	1.0	0.0	0.0	0.0
150	50	0.0	0.0	0.02	0.98	1.0	0.0	0.0	0.0
156	50	0.04	0.18	0.02	0.76	1.0	0.0	0.0	0.0
159	50	0.06	0.0	0.08	0.86	1.0	0.0	0.0	0.0
160	50	0.02	0.02	0.1	0.86	1.0	0.0	0.0	0.0
161	50	0.06	0.22	0.0	0.72	0.972222222222	0.0277777777778	0.0	0.0
163	50	0.0	0.0	0.06	0.94	1.0	0.0	0.0	0.0
164	50	0.02	0.02	0.1	0.86	1.0	0.0	0.0	0.0
174	50	0.02	0.0	0.1	0.88	1.0	0.0	0.0	0.0
179	50	0.16	0.2	0.06	0.58	1.0	0.0	0.0	0.0
180	50	0.12	0.18	0.02	0.68	1.0	0.0	0.0	0.0
182	50	0.0	0.0	0.06	0.94	1.0	0.0	0.0	0.0
