sample	n.loci	n.both.miss	n.b1.miss	n.b2.miss	n.both.genod	n.matched	n.mismatch.hom2hom	n.mismatch.het2hom	n.mismatch.hom2het
JUK07_13	11496	931	342	1284	8939	8900	0	4	35
JUK07_12	11496	3763	129	3598	4006	3972	0	6	28
GEO020414_2	11496	829	636	477	9554	9504	0	19	31
JB021108_45	11496	613	3465	10	7408	7404	0	3	1
JUK07_15	11496	325	592	191	10388	10346	0	13	29
NA021015_25	11496	195	457	67	10777	10761	0	2	14
GEO020414_11	11496	239	709	104	10444	10418	0	11	15
PO010715_27.1	11496	541	196	476	10283	10261	0	10	12
GE011215_08.1	11496	881	167	1243	9205	9157	0	20	28
JB021108_25.1	11496	4497	470	1387	5142	5123	0	3	16
JB021108_46_rep.1	11496	470	3601	41	7384	7374	0	7	3
GE012315_11_2	11496	90	418	91	10897	10856	0	21	20
BOR07_07.1	11496	187	435	64	10810	10794	0	10	6
GE012315_10.1	11496	550	182	643	10121	10080	0	15	26
GEO012315_12	11496	215	429	252	10600	10518	0	41	41
JUK07_14	11496	1069	558	512	9357	9318	0	14	25
PO010715_26	11496	166	438	82	10810	10795	0	9	6
GEO012315_18	11496	410	376	361	10349	10311	0	14	24
JB021108_48.1	11496	1217	2860	15	7404	7397	0	4	3
JB121807_05_2	11496	753	4129	197	6417	6390	0	7	20
GEO020414_27	11496	656	699	315	9826	9780	0	16	30
JB121807_33.1	11496	1859	2992	29	6616	6606	0	4	6
NA021015_02.1	11496	615	205	408	10268	10253	0	9	6
YS_121316_18	11496	819	378	510	9789	9748	0	18	23
JB121807_12.1	11496	4371	737	1062	5326	5309	0	3	14
JUK07_29.1	11496	232	625	29	10610	10599	0	4	7
JB121807_23_2	11496	2158	3079	789	5470	5443	0	8	19
GEO020414_4	11496	306	707	239	10244	10199	0	16	29
JB121807_41.1	11496	4484	744	788	5480	5458	0	6	16
BOR07_12.1	11496	346	377	303	10470	10450	0	7	13
BOR07_10.1	11496	449	318	509	10220	10180	0	22	18
GE012315_05.1	11496	592	207	479	10218	10182	0	8	28
YS_121316_21_2	11496	183	406	42	10865	10841	0	16	8
JB121807_19.1	11496	1293	3576	117	6510	6502	0	4	4
PO010715_07_rep	11496	243	394	322	10537	10503	0	12	22
JB121807_25	11496	4066	965	1066	5399	5388	0	3	8
JB121807_01	11496	1088	3767	73	6568	6558	0	2	8
GEO012315_21	11496	377	385	345	10389	10328	0	21	40
GE011215_11	11496	202	367	37	10890	10878	0	7	5
JB121807_05	11496	3640	2350	879	4627	4613	0	6	8
GEO012315_02	11496	330	388	254	10524	10492	0	11	21
PO031715_04	11496	285	411	368	10432	10398	0	10	24
PO020515_10.1	11496	557	194	280	10465	10448	0	8	9
YS_121316_28	11496	1429	364	947	8756	8713	0	11	32
YS_121316_29	11496	2000	320	1395	7781	7740	0	11	30
NA021015_10.1	11496	455	252	216	10573	10549	0	8	16
PO031715_23	11496	282	431	294	10489	10448	0	10	31
JUK07_32	11496	269	606	68	10553	10523	0	9	21
GEO020414_16	11496	458	651	326	10061	10011	0	9	41
GE011215_30.1	11496	345	222	154	10775	10756	0	10	9
