sample	genotyped.b1	genotyped.b2	same.genos.wmissing	same.genos	diff.genos	diff.het_hom	diff.hom_het	diff.het_het	diff.hom_hom	diff.miss_het	diff.miss_hom	diff.het_miss	diff.hom_miss
PO010715_07_rep	10859	10931	10746	10503	750	22	12	0	0	47	347	63	259
PO010715_26	10892	11248	10961	10795	535	6	9	0	0	65	373	17	65
PO010715_27.1	10759	10479	10802	10261	694	12	10	0	0	28	168	91	385
PO020515_10.1	10745	10659	11005	10448	491	9	8	0	0	25	169	28	252
PO031715_04	10800	10843	10683	10398	813	24	10	0	0	61	350	86	282
PO031715_23	10783	10920	10730	10448	766	31	10	0	0	74	357	70	224
GE011215_08.1	10448	9372	10038	9157	1458	28	20	0	0	38	129	210	1033
GE011215_11	10927	11257	11080	10878	416	5	7	0	0	50	317	5	32
GE011215_30.1	10929	10997	11101	10756	395	9	10	0	0	49	173	37	117
GE012315_05.1	10697	10425	10774	10182	722	28	8	0	0	41	166	102	377
GE012315_10.1	10764	10303	10630	10080	866	26	15	0	0	41	141	134	509
GE012315_11_2	10988	11315	10946	10856	550	20	21	0	0	72	346	28	63
GEO012315_02	10778	10912	10822	10492	674	21	11	0	0	65	323	41	213
GEO012315_12	10852	11029	10733	10518	763	41	41	0	0	76	353	63	189
GEO012315_18	10710	10725	10721	10311	775	24	14	0	0	65	311	63	298
GEO012315_21	10734	10774	10705	10328	791	40	21	0	0	49	336	73	272
NA021015_02.1	10676	10473	10868	10253	628	6	9	0	0	24	181	70	338
NA021015_10.1	10789	10825	11004	10549	492	16	8	0	0	39	213	38	178
NA021015_25	10844	11234	10956	10761	540	14	2	0	0	65	392	22	45
YS_121316_18	10299	10167	10567	9748	929	23	18	0	0	48	330	78	432
YS_121316_21_2	10907	11271	11024	10841	472	8	16	0	0	51	355	10	32
YS_121316_28	9703	9120	10142	8713	1354	32	11	0	0	59	305	123	824
YS_121316_29	9176	8101	9740	7740	1756	30	11	0	0	54	266	111	1284
JUK07_12	7604	4135	7735	3972	3761	28	6	0	0	34	95	406	3192
JUK07_13	10223	9281	9831	8900	1665	35	4	0	0	55	287	217	1067
JUK07_14	9869	9915	10387	9318	1109	25	14	0	0	59	499	77	435
JUK07_15	10579	10980	10671	10346	825	29	13	0	0	62	530	51	140
JUK07_29.1	10639	11235	10831	10599	665	7	4	0	0	78	547	6	23
JUK07_32	10621	11159	10792	10523	704	21	9	0	0	79	527	21	47
JB121807_01	6641	10335	7646	6558	3850	8	2	0	0	568	3199	18	55
JB121807_05_2	6614	10546	7143	6390	4353	20	7	0	0	593	3536	54	143
JB121807_05	5506	6977	8253	4613	3243	8	6	0	0	192	2158	53	826
JB121807_12.1	6388	6063	9680	5309	1816	14	3	0	0	100	637	172	890
JB121807_19.1	6627	10086	7795	6502	3701	4	4	0	0	520	3056	40	77
JB121807_23_2	6259	8549	7601	5443	3895	19	8	0	0	336	2743	123	666
JB121807_25	6465	6364	9454	5388	2042	8	3	0	0	149	816	166	900
JB121807_33.1	6645	9608	8465	6606	3031	6	4	0	0	398	2594	9	20
JB121807_41.1	6268	6224	9942	5458	1554	16	6	0	0	91	653	106	682
JB021108_25.1	6529	5612	9620	5123	1876	16	3	0	0	58	412	166	1221
JB021108_45	7418	10873	8017	7404	3479	1	3	0	0	529	2936	4	6
JB021108_46_rep.1	7425	10985	7844	7374	3652	3	7	0	0	534	3067	15	26
JB021108_48.1	7419	10264	8614	7397	2882	3	4	0	0	382	2478	5	10
BOR07_07.1	10874	11245	10981	10794	515	6	10	0	0	68	367	15	49
BOR07_10.1	10729	10538	10629	10180	867	18	22	0	0	58	260	103	406
BOR07_12.1	10773	10847	10796	10450	700	13	7	0	0	51	326	65	238
GEO020414_11	10548	11153	10657	10418	839	15	11	0	0	87	622	32	72
GEO020414_16	10387	10712	10469	10011	1027	41	9	0	0	85	566	73	253
GEO020414_27	10141	10525	10436	9780	1060	30	16	0	0	80	619	55	260
GEO020414_2	10031	10190	10333	9504	1163	31	19	0	0	67	569	72	405
GEO020414_4	10483	10951	10505	10199	991	29	16	0	0	75	632	48	191
