per locus comparison. all values as proportions
locus_ID	n_pairs	both_miss	b1_miss	b2_miss	both_genotyped	matched	diff_homhom	diff_homhet	diff_hethom
10000	50	0.0	0.1	0.0	0.9	0.0	0.0	0.733333333333	0.266666666667
10004	50	0.0	0.02	0.0	0.98	0.0	0.0	0.918367346939	0.0816326530612
10011	50	0.0	0.1	0.0	0.9	0.0	0.0	0.4	0.6
10012	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10016	50	0.0	0.06	0.0	0.94	0.0	0.0	0.851063829787	0.148936170213
10018	50	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
10019	50	0.0	0.02	0.0	0.98	0.0	0.0	0.897959183673	0.102040816327
10023	50	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
10026	50	0.0	0.14	0.0	0.86	0.0	0.0	0.93023255814	0.0697674418605
10027	50	0.0	0.04	0.0	0.96	0.0	0.0	0.979166666667	0.0208333333333
10036	50	0.0	0.36	0.0	0.64	0.0	0.0	1.0	0.0
1004	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10040	50	0.0	0.06	0.0	0.94	0.0	0.0	1.0	0.0
10043	50	0.0	0.0	0.0	1.0	0.0	0.0	0.8	0.2
10048	50	0.0	0.02	0.0	0.98	0.0	0.0	1.0	0.0
10049	50	0.0	0.02	0.0	0.98	0.0	0.0	0.530612244898	0.469387755102
1005	50	0.0	0.0	0.0	1.0	0.0	0.0	0.86	0.14
10051	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10055	50	0.0	0.08	0.0	0.92	0.0	0.0	0.934782608696	0.0652173913043
10057	50	0.0	0.02	0.0	0.98	0.0	0.0	0.0	1.0
10070	50	0.0	0.02	0.0	0.98	0.0	0.0	0.795918367347	0.204081632653
10073	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10086	50	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
10096	50	0.0	0.16	0.0	0.84	0.0	0.0	0.97619047619	0.0238095238095
10097	50	0.0	0.2	0.0	0.8	0.0	0.0	0.5	0.5
10098	50	0.0	0.16	0.0	0.84	0.0	0.0	0.952380952381	0.047619047619
10099	50	0.0	0.14	0.0	0.86	0.0	0.0	1.0	0.0
101	50	0.0	0.0	0.0	1.0	0.0	0.0	0.3	0.7
10101	50	0.0	0.0	0.0	1.0	0.0	0.0	0.6	0.4
10105	50	0.0	0.24	0.0	0.76	0.0	0.0	1.0	0.0
10109	50	0.0	0.04	0.0	0.96	0.0	0.0	0.895833333333	0.104166666667
10116	50	0.0	0.0	0.0	1.0	0.0	0.0	0.82	0.18
10120	50	0.0	0.0	0.0	1.0	0.0	0.0	0.92	0.08
10123	50	0.0	0.04	0.0	0.96	0.0	0.0	0.541666666667	0.458333333333
10127	50	0.0	0.08	0.0	0.92	0.0	0.0	1.0	0.0
1013	50	0.0	0.0	0.0	1.0	0.0	0.0	0.7	0.3
10137	50	0.0	0.02	0.0	0.98	0.0	0.0	0.938775510204	0.0612244897959
10142	50	0.0	0.0	0.0	1.0	0.0	0.0	0.9	0.1
10150	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
