sample	n_stacks	pop
KOD03_035	22830	AK
KOD03_051	19779	AK
KOD03_052	23027	AK
KOD03_053	13032	AK
KOD03_054	22299	AK
KOD03_055	23255	AK
KOD03_056	19330	AK
KOD03_057	23729	AK
KOD03_058	20870	AK
KOD03_059	15097	AK
KOD03_060	14007	AK
KOD03_061	23435	AK
KOD03_062	11382	AK
KOD03_063	22657	AK
KOD03_064	23927	AK
KOD03_065	23344	AK
KOD03_066	23706	AK
KOD03_067	23505	AK
KOD03_068	15212	AK
KOD03_069	22453	AK
KOD03_070	16472	AK
KOD03_071	23311	AK
KOD03_072	16297	AK
KOD03_073	15033	AK
KOD03_074	22775	AK
KOD03_075	17365	AK
KOD03_076	21689	AK
KOD03_077	19329	AK
KOD03_078	23324	AK
KOD03_079	16673	AK
KOD03_080	16358	AK
KOD03_081	23425	AK
KOD03_082	23110	AK
KOD03_083	20159	AK
KOD03_084	23139	AK
KOD03_085	22900	AK
KOD03_086	18934	AK
KOD03_087	6065	AK
KOD03_088	9425	AK
KOD03_089	23307	AK
KOD03_090	22295	AK
KOD03_091	11278	AK
KOD03_092	3920	AK
KOD03_093	21387	AK
KOD03_094	15467	AK
KOD03_095	17239	AK
KOD03_096	22939	AK
KOD03_097	20303	AK
AD06_001	23495	AK
AD06_002	5899	AK
AD06_003	21742	AK
AD06_004	22602	AK
AD06_005	8761	AK
AD06_006	21312	AK
AD06_007	21770	AK
AD06_008	23250	AK
AD06_009	15914	AK
AD06_010	14092	AK
AD06_011	23464	AK
AD06_012	11928	AK
AD06_013	17198	AK
AD06_014	10076	AK
AD06_015	10109	AK
AD06_016	10001	AK
AD06_017	23443	AK
AD06_018	23042	AK
AD06_019	14847	AK
AD06_020	21494	AK
AD06_021	19860	AK
AD06_022	7077	AK
AD06_023	19336	AK
AD06_024	9093	AK
AD06_025	21963	AK
AD06_026	11299	AK
AD06_027	10602	AK
AD06_028	8381	AK
AD06_029	22528	AK
AD06_030	22860	AK
AD06_031	3113	AK
AD06_032	20947	AK
AD06_033	11439	AK
AD06_034	6942	AK
AD06_035	22386	AK
AD06_036	23037	AK
AD06_037	14882	AK
AD06_038	15324	AK
AD06_039	10879	AK
AD06_040	21765	AK
AD06_041	22468	AK
AD06_042	18221	AK
AD06_043	9007	AK
AD06_044	23234	AK
AD06_045	21768	AK
AD06_046	20564	AK
AD06_047	21594	AK
AD06_048	23047	AK
WC05_001	21199	AK
WC05_002	19698	AK
WC05_003	22272	AK
WC05_004	14178	AK
WC05_005	20094	AK
WC05_006	22542	AK
WC05_007	13572	AK
WC05_008	23577	AK
WC05_009	20273	AK
WC05_010	15175	AK
WC05_011	9411	AK
WC05_012	22798	AK
WC05_013	10127	AK
WC05_014	22152	AK
WC05_015	23838	AK
WC05_016	23362	AK
WC05_017	23277	AK
WC05_018	23445	AK
WC05_019	13360	AK
WC05_020	10341	AK
WC05_021	17645	AK
WC05_022	23336	AK
WC05_023	19190	AK
WC05_024	12133	AK
WC05_025	22840	AK
WC05_026	14046	AK
WC05_027	14524	AK
WC05_028	10827	AK
WC05_029	23237	AK
WC05_030	13635	AK
WC05_031	19475	AK
WC05_032	23058	AK
WC05_033	22073	AK
WC05_034	17500	AK
WC05_035	22446	AK
WC05_036	20617	AK
WC05_037	19569	AK
WC05_038	3436	AK
WC05_039	7581	AK
WC05_040	23430	AK
WC05_041	21409	AK
WC05_042	9939	AK
WC05_043	5667	AK
WC05_044	18163	AK
WC05_045	10483	AK
WC05_046	12194	AK
WC05_047	20223	AK
WC05_048	19288	AK
HS04_001	22682	AK
HS04_002	19639	AK
HS04_003	23042	AK
HS04_004	15314	AK
HS04_005	22752	AK
HS04_006	23468	AK
HS04_007	19581	AK
HS04_008	23737	AK
HS04_009	20513	AK
HS04_010	11488	AK
HS04_011	5907	AK
HS04_012	23258	AK
HS04_013	12654	AK
HS04_014	23260	AK
HS04_015	23957	AK
HS04_016	23477	AK
HS04_017	23671	AK
HS04_018	23421	AK
HS04_019	16718	AK
HS04_020	23165	AK
HS04_021	18744	AK
HS04_022	23459	AK
HS04_023	19157	AK
HS04_024	20082	AK
HS04_025	22624	AK
HS04_026	12326	AK
HS04_027	22583	AK
HS04_028	17262	AK
HS04_029	23322	AK
HS04_030	14051	AK
HS04_031	20302	AK
HS04_032	23472	AK
HS04_033	22806	AK
HS04_034	18564	AK
HS04_035	22582	AK
HS04_036	15497	AK
HS04_037	22286	AK
HS04_038	10130	AK
HS04_039	8281	AK
HS04_040	23443	AK
HS04_041	21563	AK
HS04_042	16706	AK
HS04_043	8488	AK
HS04_044	21731	AK
HS04_045	18256	AK
HS04_046	21287	AK
HS04_047	23179	AK
HS04_048	21691	AK
PI04_001	1430	AK
PI04_002	127	AK
PI04_003	1645	AK
PI04_004	171	AK
PI04_005	92	AK
PI04_006	12965	AK
PI04_007	1778	AK
PI04_008	2573	AK
PI04_009	9	AK
PI04_010	4	AK
PI04_011	1535	AK
PI04_012	73	AK
PI04_013	55	AK
PI04_014	223	AK
PI04_015	39	AK
PI04_016	171	AK
PI04_017	16187	AK
PI04_018	108	AK
PI04_019	647	AK
PI04_020	3038	AK
PI04_021	97	AK
PI04_022	817	AK
PI04_023	1109	AK
PI04_024	41	AK
PI04_025	89	AK
PI04_026	42	AK
PI04_027	169	AK
PI04_028	46	AK
PI04_029	93	AK
PI04_030	2575	AK
PI04_031	8	AK
PI04_032	1355	AK
PI04_033	31	AK
PI04_034	615	AK
PI04_035	1034	AK
PI04_036	12731	AK
PI04_037	59	AK
PI04_038	97	AK
PI04_039	74	AK
PI04_040	996	AK
PI04_041	550	AK
PI04_042	37	AK
PI04_043	62	AK
PI04_044	3136	AK
PI04_045	28	AK
PI04_046	432	AK
