sample	n_loci	population	group
PO010715_02_92bp	5527	Pohang15	Korea
PO010715_02_rep_92bp	5533	Pohang15	Korea
PO010715_04_92bp	5493	Pohang15	Korea
PO010715_06.1_92bp	5268	Pohang15	Korea
PO010715_08.1_92bp	5427	Pohang15	Korea
PO010715_10.1_92bp	5453	Pohang15	Korea
PO010715_11.1_92bp	5441	Pohang15	Korea
PO010715_12_92bp	5499	Pohang15	Korea
PO010715_17.1_92bp	5354	Pohang15	Korea
PO010715_19.1_92bp	5422	Pohang15	Korea
PO010715_26_92bp	5539	Pohang15	Korea
PO010715_27.1_92bp	5368	Pohang15	Korea
PO010715_28.1_92bp	5427	Pohang15	Korea
PO010715_29.1_92bp	5393	Pohang15	Korea
PO020515_01_92bp	5460	Pohang15	Korea
PO020515_03.1_92bp	5428	Pohang15	Korea
PO020515_05.1_92bp	5340	Pohang15	Korea
PO020515_06_92bp	5510	Pohang15	Korea
PO020515_08.1_92bp	5398	Pohang15	Korea
PO020515_09.1_92bp	5270	Pohang15	Korea
PO020515_10.1_92bp	5348	Pohang15	Korea
PO020515_14.1_92bp	5438	Pohang15	Korea
PO020515_15.1_92bp	5492	Pohang15	Korea
PO020515_16.1_92bp	5445	Pohang15	Korea
PO020515_17.1_92bp	5439	Pohang15	Korea
PO031715_03_92bp	5470	Pohang15	Korea
PO031715_04_92bp	5480	Pohang15	Korea
PO031715_13.1_92bp	5444	Pohang15	Korea
PO031715_20.1_92bp	5307	Pohang15	Korea
PO031715_23_92bp	5500	Pohang15	Korea
PO031715_24_92bp	5460	Pohang15	Korea
PO010715_26_2_92bp	5518	Pohang15	Korea
PO010715_07_92bp	5499	Pohang15	Korea
PO010715_07_rep_92bp	5502	Pohang15	Korea
GE011215_01.1_92bp	5466	Geoje15	Korea
GE011215_07.1_92bp	5325	Geoje15	Korea
GE011215_08.1_92bp	5221	Geoje15	Korea
GE011215_09.1_92bp	5416	Geoje15	Korea
GE011215_10.1_92bp	5406	Geoje15	Korea
GE011215_14.1_92bp	5483	Geoje15	Korea
GE011215_15.1_92bp	5441	Geoje15	Korea
GE011215_16.1_92bp	5353	Geoje15	Korea
GE011215_18_92bp	5530	Geoje15	Korea
GE011215_19_92bp	5498	Geoje15	Korea
GE011215_20.1_92bp	5453	Geoje15	Korea
GE011215_21.1_92bp	5433	Geoje15	Korea
GE011215_22_92bp	5521	Geoje15	Korea
GE011215_24.1_92bp	5426	Geoje15	Korea
GE011215_28_92bp	5511	Geoje15	Korea
GE011215_29.1_92bp	5161	Geoje15	Korea
GE011215_30.1_92bp	5487	Geoje15	Korea
GE012315_01.1_92bp	5282	Geoje15	Korea
GE012315_03.1_92bp	5324	Geoje15	Korea
GE012315_04.1_92bp	5358	Geoje15	Korea
GE012315_05.1_92bp	5377	Geoje15	Korea
GE012315_06.1_92bp	5430	Geoje15	Korea
GE012315_08.1_92bp	5436	Geoje15	Korea
GE012315_09.1_92bp	5478	Geoje15	Korea
GE012315_10.1_92bp	5419	Geoje15	Korea
GE012315_11.1_92bp	5482	Geoje15	Korea
GE012315_17.1_92bp	5454	Geoje15	Korea
GE012315_20.1_92bp	5470	Geoje15	Korea
GE012315_22.1_92bp	5298	Geoje15	Korea
GEO012315_02_92bp	5473	Geoje15	Korea
GEO012315_12_92bp	5522	Geoje15	Korea
GEO012315_18_92bp	5463	Geoje15	Korea
GEO012315_21_92bp	5471	Geoje15	Korea
GE012315_11_2_92bp	5569	Geoje15	Korea
GE012315_09_2_92bp	5572	Geoje15	Korea
GE011215_11_92bp	5515	Geoje15	Korea
GE011215_11_rep_92bp	5511	Geoje15	Korea
NA021015_02.1_92bp	5320	Namhae15	Korea
NA021015_03.1_92bp	5279	Namhae15	Korea
NA021015_06.1_92bp	5463	Namhae15	Korea
NA021015_08.1_92bp	5209	Namhae15	Korea
NA021015_09.1_92bp	5483	Namhae15	Korea
NA021015_10.1_92bp	5443	Namhae15	Korea
NA021015_13.1_92bp	5400	Namhae15	Korea
NA021015_14.1_92bp	5452	Namhae15	Korea
NA021015_16.1_92bp	5449	Namhae15	Korea
NA021015_17.1_92bp	5453	Namhae15	Korea
NA021015_21.1_92bp	5425	Namhae15	Korea
NA021015_22.1_92bp	5424	Namhae15	Korea
NA021015_23_92bp	5468	Namhae15	Korea
NA021015_25_92bp	5530	Namhae15	Korea
NA021015_26_92bp	5508	Namhae15	Korea
NA021015_30_92bp	5514	Namhae15	Korea
NA021015_06_2_92bp	5564	Namhae15	Korea
NA021015_09_2_92bp	5597	Namhae15	Korea
NA021015_10_2_92bp	5497	Namhae15	Korea
YS_121316_01_92bp	5520	YellowSea16	Korea
YS_121316_03_92bp	5436	YellowSea16	Korea
YS_121316_05_92bp	5386	YellowSea16	Korea
YS_121316_13_92bp	5511	YellowSea16	Korea
YS_121316_17_92bp	5490	YellowSea16	Korea
YS_121316_18_92bp	5265	YellowSea16	Korea
YS_121316_20.1_92bp	5517	YellowSea16	Korea
YS_121316_21_92bp	5519	YellowSea16	Korea
YS_121316_22_92bp	5522	YellowSea16	Korea
YS_121316_23_92bp	5493	YellowSea16	Korea
YS_121316_24_92bp	5514	YellowSea16	Korea
YS_121316_25_92bp	5482	YellowSea16	Korea
YS_121316_26_92bp	5486	YellowSea16	Korea
YS_121316_27_92bp	5080	YellowSea16	Korea
YS_121316_28_92bp	4998	YellowSea16	Korea
YS_121316_29_92bp	4822	YellowSea16	Korea
YS121315_08.1_92bp	5366	YellowSea16	Korea
YS121315_10.1_92bp	5006	YellowSea16	Korea
YS121315_12_92bp	5488	YellowSea16	Korea
YS121315_12_300_92bp	5316	YellowSea16	Korea
YS121315_14.1_92bp	5453	YellowSea16	Korea
YS121315_15_92bp	5485	YellowSea16	Korea
YS121315_16_92bp	5515	YellowSea16	Korea
YS121316_30_92bp	5483	YellowSea16	Korea
YS_121316_04_92bp	4965	YellowSea16	Korea
YS_121316_19_92bp	4325	YellowSea16	Korea
YS_121316_21_2_92bp	5522	YellowSea16	Korea
YS_121316_20_2_92bp	5536	YellowSea16	Korea
YS121315_14_2_92bp	5514	YellowSea16	Korea
YS_121316_07_92bp	5466	YellowSea16	Korea
JUK07_01_92bp	5191	Jukbyeon07	Korea
JUK07_02.1_92bp	5543	Jukbyeon07	Korea
JUK07_02_rep.1_92bp	5520	Jukbyeon07	Korea
JUK07_03_92bp	5157	Jukbyeon07	Korea
JUK07_06.1_92bp	5501	Jukbyeon07	Korea
JUK07_09.1_92bp	5520	Jukbyeon07	Korea
