sample	n_loci	population	group
GEO012315_18_92bp	19706	Geoje15	Korea
JB021108_40_92bp	7036	JinhaeBay08	Korea
PO010715_10.1_92bp	19927	Pohang15	Korea
HS04_043	6674	HecStrait04	Alaska
JB121807_35_92bp	6605	JinhaeBay07	Korea
GE011215_14.1_92bp	19918	Geoje15	Korea
JUK07_30_92bp	20020	Jukbyeon07	Korea
GE012315_20.1_92bp	19881	Geoje15	Korea
GE011215_19_92bp	19962	Geoje15	Korea
GE012315_22.1_92bp	19038	Geoje15	Korea
JB021108_27_c_92bp	1568	JinhaeBay08	Korea
PWS12_041	17803	PWSound12	Alaska
PS12_032	17451	JuandeFuca12	Alaska
UP03_031	1593	UnimakPass03	Alaska
JUK07_01_92bp	18611	Jukbyeon07	Korea
JB121807_38.1_92bp	17881	JinhaeBay07	Korea
JUK07_31_92bp	20025	Jukbyeon07	Korea
GEO020414_24_300_92bp	19876	Geoje14	Korea
PS12_047	17345	JuandeFuca12	Alaska
PO010715_12_92bp	19946	Pohang15	Korea
PO031715_13.1_92bp	19851	Pohang15	Korea
JUK07_26_92bp	19661	Jukbyeon07	Korea
GS13_006	17896	SalishSea12_13	Alaska
AD06_048	16260	Adak06	Alaska
JB121807_08_rep_92bp	18778	JinhaeBay07	Korea
YS_121316_21_92bp	20215	YellowSea16	Korea
PS12_041	16888	JuandeFuca12	Alaska
UP03_039	5569	UnimakPass03	Alaska
UP03_045	17303	UnimakPass03	Alaska
WC05_048	14951	WashCoast05	Alaska
UP03_044	17748	UnimakPass03	Alaska
WC05_046	9519	WashCoast05	Alaska
WC05_047	15183	WashCoast05	Alaska
WC05_044	14110	WashCoast05	Alaska
WC05_045	8193	WashCoast05	Alaska
WC05_042	7759	WashCoast05	Alaska
JB121807_19.1_92bp	18710	JinhaeBay07	Korea
JB121807_32.1_92bp	17916	JinhaeBay07	Korea
WC05_041	15907	WashCoast05	Alaska
UP03_046	17682	UnimakPass03	Alaska
GEO020414_25_300_92bp	17632	Geoje14	Korea
PWS12_134	16837	PWSound12	Alaska
PWS12_133	12776	PWSound12	Alaska
PWS12_132	15040	PWSound12	Alaska
PWS12_131	17886	PWSound12	Alaska
UP03_040	17552	UnimakPass03	Alaska
UP03_043	16150	UnimakPass03	Alaska
BOR07_09_92bp	20077	Boryeong07	Korea
UP03_042	13919	UnimakPass03	Alaska
HS04_033	17823	HecStrait04	Alaska
HS04_032	18071	HecStrait04	Alaska
HS04_031	16218	HecStrait04	Alaska
HS04_030	11145	HecStrait04	Alaska
HS04_037	17496	HecStrait04	Alaska
HS04_036	12334	HecStrait04	Alaska
HS04_035	17721	HecStrait04	Alaska
HS04_034	14813	HecStrait04	Alaska
HS04_039	6505	HecStrait04	Alaska
HS04_038	8017	HecStrait04	Alaska
GEO012315_21_92bp	19716	Geoje15	Korea
BOR07_08.1_92bp	20096	Boryeong07	Korea
GEO020414_10_92bp	16382	Geoje14	Korea
PS12_029	17430	JuandeFuca12	Alaska
PS12_028	15349	JuandeFuca12	Alaska
PS12_021	16039	SalishSea12_13	Alaska
JB021108_39_92bp	16964	JinhaeBay08	Korea
PS12_023	9880	SalishSea12_13	Alaska
PS12_022	17982	SalishSea12_13	Alaska
PS12_025	17934	SalishSea12_13	Alaska
PS12_024	17835	SalishSea12_13	Alaska
JB021108_31.1_92bp	8553	JinhaeBay08	Korea
GE011215_22_92bp	20027	Geoje15	Korea
AD06_014	7740	Adak06	Alaska
GE011215_24.1_92bp	19764	Geoje15	Korea
YS_121316_01_92bp	20197	YellowSea16	Korea
KOD03_058	16510	Kodiak03	Alaska
KOD03_059	11950	Kodiak03	Alaska
KOD03_056	15432	Kodiak03	Alaska
KOD03_057	17958	Kodiak03	Alaska
KOD03_054	17335	Kodiak03	Alaska
KOD03_055	17834	Kodiak03	Alaska
KOD03_052	17751	Kodiak03	Alaska
KOD03_053	10262	Kodiak03	Alaska
KOD03_051	15721	Kodiak03	Alaska
GEO020414_14_300_92bp	19093	Geoje14	Korea
NA021015_22.1_92bp	19734	Namhae15	Korea
NA021015_03.1_92bp	18992	Namhae15	Korea
JB121807_48.1_92bp	13348	JinhaeBay07	Korea
PWS12_003	16557	PWSound12	Alaska
PWS12_002	18407	PWSound12	Alaska
PWS12_001	18263	PWSound12	Alaska
PWS12_007	14214	PWSound12	Alaska
PWS12_006	18246	PWSound12	Alaska
PWS12_005	18283	PWSound12	Alaska
PWS12_004	17623	PWSound12	Alaska
PO010715_27.1_92bp	19530	Pohang15	Korea
PWS12_008	18187	PWSound12	Alaska
GEO020414_11_300_92bp	20043	Geoje14	Korea
PO020515_03.1_92bp	19746	Pohang15	Korea
GEO020414_23_92bp	20129	Geoje14	Korea
