sample	n_loci	population	group
AD06_001	23948	Adak06	Alaska
AD06_002	17531	Adak06	Alaska
AD06_003	23285	Adak06	Alaska
AD06_004	23355	Adak06	Alaska
AD06_005	19933	Adak06	Alaska
AD06_006	23402	Adak06	Alaska
AD06_007	23294	Adak06	Alaska
AD06_008	23661	Adak06	Alaska
AD06_009	22003	Adak06	Alaska
AD06_010	21510	Adak06	Alaska
AD06_011	23993	Adak06	Alaska
AD06_012	20653	Adak06	Alaska
AD06_013	22444	Adak06	Alaska
AD06_014	19876	Adak06	Alaska
AD06_015	20422	Adak06	Alaska
AD06_016	19020	Adak06	Alaska
AD06_017	23970	Adak06	Alaska
AD06_018	23567	Adak06	Alaska
AD06_019	21968	Adak06	Alaska
AD06_020	23493	Adak06	Alaska
AD06_021	23022	Adak06	Alaska
AD06_022	18113	Adak06	Alaska
AD06_023	22734	Adak06	Alaska
AD06_024	19078	Adak06	Alaska
AD06_025	23445	Adak06	Alaska
AD06_026	21037	Adak06	Alaska
AD06_027	20079	Adak06	Alaska
AD06_028	18480	Adak06	Alaska
AD06_029	23524	Adak06	Alaska
AD06_030	23475	Adak06	Alaska
AD06_031	16330	Adak06	Alaska
AD06_032	23178	Adak06	Alaska
AD06_033	20116	Adak06	Alaska
AD06_034	16680	Adak06	Alaska
AD06_035	23404	Adak06	Alaska
AD06_036	23729	Adak06	Alaska
AD06_037	21369	Adak06	Alaska
AD06_038	21879	Adak06	Alaska
AD06_039	19442	Adak06	Alaska
AD06_040	23289	Adak06	Alaska
AD06_041	23435	Adak06	Alaska
AD06_042	22404	Adak06	Alaska
AD06_043	19552	Adak06	Alaska
AD06_044	23834	Adak06	Alaska
AD06_045	23313	Adak06	Alaska
AD06_046	23094	Adak06	Alaska
AD06_047	23247	Adak06	Alaska
AD06_048	23655	Adak06	Alaska
BOR07_01_2_92bp	25107	Boryeong07	Korea
BOR07_01_92bp	22021	Boryeong07	Korea
BOR07_02.1_92bp	25107	Boryeong07	Korea
BOR07_03_92bp	24608	Boryeong07	Korea
BOR07_04_92bp	25122	Boryeong07	Korea
BOR07_05.1_92bp	25134	Boryeong07	Korea
BOR07_06.1_92bp	25152	Boryeong07	Korea
BOR07_07.1_92bp	25147	Boryeong07	Korea
BOR07_08.1_92bp	25102	Boryeong07	Korea
BOR07_09_92bp	25050	Boryeong07	Korea
BOR07_10.1_92bp	25346	Boryeong07	Korea
BOR07_11.1_92bp	25157	Boryeong07	Korea
BOR07_12.1_92bp	25132	Boryeong07	Korea
BOR07_13.1_92bp	25158	Boryeong07	Korea
BOR07_14_92bp	25119	Boryeong07	Korea
BOR07_15_92bp	25183	Boryeong07	Korea
BOR07_16_92bp	25123	Boryeong07	Korea
BOR07_17.1_92bp	25116	Boryeong07	Korea
BOR07_18_92bp	25062	Boryeong07	Korea
BOR07_19.1_92bp	24855	Boryeong07	Korea
BOR07_20.1_92bp	25127	Boryeong07	Korea
BOR07_21.1_92bp	21982	Boryeong07	Korea
BOR07_21_2_92bp	25079	Boryeong07	Korea
BOR07_22_92bp	25128	Boryeong07	Korea
GE011215_01.1_92bp	25122	Geoje15	Korea
GE011215_07.1_92bp	24748	Geoje15	Korea
GE011215_08.1_92bp	24816	Geoje15	Korea
GE011215_09.1_92bp	25116	Geoje15	Korea
GE011215_10.1_92bp	25027	Geoje15	Korea
GE011215_11_92bp	25160	Geoje15	Korea
GE011215_11_rep_92bp	25146	Geoje15	Korea
GE011215_14.1_92bp	25027	Geoje15	Korea
GE011215_15.1_92bp	25057	Geoje15	Korea
GE011215_16.1_92bp	24844	Geoje15	Korea
GE011215_18_92bp	25155	Geoje15	Korea
GE011215_19_92bp	25161	Geoje15	Korea
GE011215_20.1_92bp	25006	Geoje15	Korea
GE011215_21.1_92bp	24970	Geoje15	Korea
GE011215_22_92bp	25184	Geoje15	Korea
GE011215_24.1_92bp	24954	Geoje15	Korea
GE011215_28_92bp	25210	Geoje15	Korea
GE011215_29.1_92bp	24522	Geoje15	Korea
GE011215_30.1_92bp	25308	Geoje15	Korea
GE012315_01.1_92bp	24858	Geoje15	Korea
GE012315_03.1_92bp	24831	Geoje15	Korea
GE012315_04.1_92bp	25035	Geoje15	Korea
GE012315_05.1_92bp	24892	Geoje15	Korea
GE012315_06.1_92bp	24996	Geoje15	Korea
GE012315_08.1_92bp	25058	Geoje15	Korea
GE012315_09.1_92bp	25322	Geoje15	Korea
GE012315_09_2_92bp	25578	Geoje15	Korea
GE012315_10.1_92bp	25131	Geoje15	Korea
GE012315_11.1_92bp	25321	Geoje15	Korea
GE012315_11_2_92bp	25557	Geoje15	Korea
GE012315_17.1_92bp	25007	Geoje15	Korea
GE012315_20.1_92bp	25112	Geoje15	Korea
GE012315_22.1_92bp	24664	Geoje15	Korea
GEO012315_02_92bp	24996	Geoje15	Korea
GEO012315_12_92bp	25257	Geoje15	Korea
GEO012315_18_92bp	24955	Geoje15	Korea
GEO012315_21_92bp	24996	Geoje15	Korea
GEO020414_10_2_92bp	25137	Geoje14	Korea
GEO020414_10_92bp	24025	Geoje14	Korea
GEO020414_11_300_92bp	25176	Geoje14	Korea
GEO020414_11_92bp	25245	Geoje14	Korea
GEO020414_13_2_92bp	25140	Geoje14	Korea
GEO020414_13_300_92bp	24967	Geoje14	Korea
GEO020414_13_92bp	27	Geoje14	Korea
GEO020414_14_300_92bp	25068	Geoje14	Korea
GEO020414_14_92bp	25152	Geoje14	Korea
GEO020414_15_300_92bp	24479	Geoje14	Korea
GEO020414_15_92bp	24920	Geoje14	Korea
GEO020414_16_300_92bp	25057	Geoje14	Korea
GEO020414_16_92bp	25141	Geoje14	Korea
GEO020414_17_300_92bp	24952	Geoje14	Korea
GEO020414_17_92bp	25200	Geoje14	Korea
GEO020414_23_300_92bp	25188	Geoje14	Korea
GEO020414_23_92bp	25242	Geoje14	Korea
GEO020414_24_300_92bp	25177	Geoje14	Korea
GEO020414_24_92bp	25273	Geoje14	Korea
GEO020414_25_300_92bp	24671	Geoje14	Korea
GEO020414_25_92bp	25117	Geoje14	Korea
GEO020414_26_92bp	24673	Geoje14	Korea
GEO020414_27_92bp	24953	Geoje14	Korea
GEO020414_2_92bp	24797	Geoje14	Korea
GEO020414_29_92bp	24437	Geoje14	Korea
GEO020414_30_2_92bp	25035	Geoje14	Korea
GEO020414_30_92bp	23286	Geoje14	Korea
GEO020414_3_92bp	24957	Geoje14	Korea
GEO020414_4_92bp	25047	Geoje14	Korea
GEO020414_5_92bp	24964	Geoje14	Korea
GEO020414_6_92bp	24511	Geoje14	Korea
GEO020414_7_92bp	25144	Geoje14	Korea
GEO020414_8_300_92bp	25140	Geoje14	Korea
GEO020414_8_92bp	25160	Geoje14	Korea
