"sample"	"n_loci"	"population"	"group"
"220"	"JB021108_10.1_92bp"	17424	"JinhaeBay08"	"Korea"
"640"	"WC05_039"	17453	"WashCoast05"	"Alaska"
"2"	"AD06_002"	17531	"Adak06"	"Alaska"
"500"	"PS12_043"	17740	"JuandeFuca12"	"Alaska"
"643"	"WC05_042"	17808	"WashCoast05"	"Alaska"
"579"	"UP03_026"	18059	"UnimakPass03"	"Alaska"
"22"	"AD06_022"	18113	"Adak06"	"Alaska"
"241"	"JB021108_28_92bp"	18174	"JinhaeBay08"	"Korea"
"395"	"KOD03_088"	18229	"Kodiak03"	"Alaska"
"291"	"JB121807_23_92bp"	18303	"JinhaeBay07"	"Korea"
"277"	"JB121807_09.1_92bp"	18306	"JinhaeBay07"	"Korea"
"211"	"JB021108_01.1_92bp"	18316	"JinhaeBay08"	"Korea"
"28"	"AD06_028"	18480	"Adak06"	"Alaska"
"496"	"PS12_039"	18506	"JuandeFuca12"	"Alaska"
"201"	"HS04_039"	18566	"HecStrait04"	"Alaska"
"614"	"WC05_013"	18627	"WashCoast05"	"Alaska"
"621"	"WC05_020"	18743	"WashCoast05"	"Alaska"
"154"	"GS13_009"	18761	"SalishSea12_13"	"Alaska"
"173"	"HS04_011"	18782	"HecStrait04"	"Alaska"
"629"	"WC05_028"	18937	"WashCoast05"	"Alaska"
"577"	"UP03_024"	18951	"UnimakPass03"	"Alaska"
"16"	"AD06_016"	19020	"Adak06"	"Alaska"
"24"	"AD06_024"	19078	"Adak06"	"Alaska"
"461"	"PS12_004"	19132	"SalishSea12_13"	"Alaska"
"398"	"KOD03_091"	19139	"Kodiak03"	"Alaska"
"647"	"WC05_046"	19372	"WashCoast05"	"Alaska"
"39"	"AD06_039"	19442	"Adak06"	"Alaska"
"43"	"AD06_043"	19552	"Adak06"	"Alaska"
"480"	"PS12_023"	19604	"SalishSea12_13"	"Alaska"
"283"	"JB121807_16.1_92bp"	19647	"JinhaeBay07"	"Korea"
"200"	"HS04_038"	19698	"HecStrait04"	"Alaska"
"535"	"PWS12_056"	19759	"PWSound12"	"Alaska"
"147"	"GS13_002"	19769	"SalishSea12_13"	"Alaska"
"369"	"KOD03_062"	19815	"Kodiak03"	"Alaska"
"14"	"AD06_014"	19876	"Adak06"	"Alaska"
"499"	"PS12_042"	19906	"JuandeFuca12"	"Alaska"
"172"	"HS04_010"	19907	"HecStrait04"	"Alaska"
"5"	"AD06_005"	19933	"Adak06"	"Alaska"
"270"	"JB121807_04.1_92bp"	20018	"JinhaeBay07"	"Korea"
"205"	"HS04_043"	20046	"HecStrait04"	"Alaska"
"587"	"UP03_034"	20053	"UnimakPass03"	"Alaska"
"27"	"AD06_027"	20079	"Adak06"	"Alaska"
"612"	"WC05_011"	20093	"WashCoast05"	"Alaska"
"646"	"WC05_045"	20103	"WashCoast05"	"Alaska"
"33"	"AD06_033"	20116	"Adak06"	"Alaska"
"155"	"GS13_010"	20138	"SalishSea12_13"	"Alaska"
"149"	"GS13_004"	20175	"SalishSea12_13"	"Alaska"
"467"	"PS12_010"	20238	"SalishSea12_13"	"Alaska"
"625"	"WC05_024"	20240	"WashCoast05"	"Alaska"
"620"	"WC05_019"	20299	"WashCoast05"	"Alaska"
"311"	"JB121807_41.1_92bp"	20328	"JinhaeBay07"	"Korea"
"15"	"AD06_015"	20422	"Adak06"	"Alaska"
"569"	"UP03_016"	20608	"UnimakPass03"	"Alaska"
"319"	"JB121807_48.1_92bp"	20621	"JinhaeBay07"	"Korea"
"468"	"PS12_011"	20650	"SalishSea12_13"	"Alaska"
"12"	"AD06_012"	20653	"Adak06"	"Alaska"
"289"	"JB121807_22_c_92bp"	20815	"JinhaeBay07"	"Korea"
"175"	"HS04_013"	20933	"HecStrait04"	"Alaska"
"586"	"UP03_033"	20933	"UnimakPass03"	"Alaska"
"360"	"KOD03_053"	20937	"Kodiak03"	"Alaska"
"188"	"HS04_026"	20944	"HecStrait04"	"Alaska"
"476"	"PS12_019"	20953	"SalishSea12_13"	"Alaska"
"296"	"JB121807_27_92bp"	21004	"JinhaeBay07"	"Korea"
"628"	"WC05_027"	21029	"WashCoast05"	"Alaska"
"26"	"AD06_026"	21037	"Adak06"	"Alaska"
"627"	"WC05_026"	21051	"WashCoast05"	"Alaska"
"608"	"WC05_007"	21066	"WashCoast05"	"Alaska"
"152"	"GS13_007"	21090	"SalishSea12_13"	"Alaska"
"236"	"JB021108_25.1_92bp"	21136	"JinhaeBay08"	"Korea"
"581"	"UP03_028"	21155	"UnimakPass03"	"Alaska"
"160"	"GS13_015"	21200	"SalishSea12_13"	"Alaska"
"375"	"KOD03_068"	21238	"Kodiak03"	"Alaska"
"611"	"WC05_010"	21243	"WashCoast05"	"Alaska"
"366"	"KOD03_059"	21244	"Kodiak03"	"Alaska"
"605"	"WC05_004"	21257	"WashCoast05"	"Alaska"
"631"	"WC05_030"	21260	"WashCoast05"	"Alaska"
"37"	"AD06_037"	21369	"Adak06"	"Alaska"
"495"	"PS12_038"	21371	"JuandeFuca12"	"Alaska"
"367"	"KOD03_060"	21505	"Kodiak03"	"Alaska"
"10"	"AD06_010"	21510	"Adak06"	"Alaska"
"534"	"PWS12_055"	21541	"PWSound12"	"Alaska"
"272"	"JB121807_05_92bp"	21545	"JinhaeBay07"	"Korea"
"192"	"HS04_030"	21608	"HecStrait04"	"Alaska"
"459"	"PS12_002"	21636	"SalishSea12_13"	"Alaska"
"552"	"PWS12_133"	21644	"PWSound12"	"Alaska"
"401"	"KOD03_094"	21655	"Kodiak03"	"Alaska"
"380"	"KOD03_073"	21716	"Kodiak03"	"Alaska"
"635"	"WC05_034"	21719	"WashCoast05"	"Alaska"
"464"	"PS12_007"	21775	"SalishSea12_13"	"Alaska"
"542"	"PWS12_076"	21792	"PWSound12"	"Alaska"
"300"	"JB121807_30_92bp"	21844	"JinhaeBay07"	"Korea"
"38"	"AD06_038"	21879	"Adak06"	"Alaska"
"256"	"JB021108_38.1_92bp"	21889	"JinhaeBay08"	"Korea"
"166"	"HS04_004"	21891	"HecStrait04"	"Alaska"
"377"	"KOD03_070"	21901	"Kodiak03"	"Alaska"
"204"	"HS04_042"	21904	"HecStrait04"	"Alaska"
"387"	"KOD03_080"	21913	"Kodiak03"	"Alaska"
"568"	"UP03_015"	21952	"UnimakPass03"	"Alaska"
"19"	"AD06_019"	21968	"Adak06"	"Alaska"
"70"	"BOR07_21.1_92bp"	21982	"Boryeong07"	"Korea"
"280"	"JB121807_12.1_92bp"	21996	"JinhaeBay07"	"Korea"
"487"	"PS12_030"	21997	"JuandeFuca12"	"Alaska"
"9"	"AD06_009"	22003	"Adak06"	"Alaska"
"50"	"BOR07_01_92bp"	22021	"Boryeong07"	"Korea"
