sample	n_loci	population	group
GEO012315_18_92bp	24570	Geoje15	Korea
JB021108_40_92bp	11704	JinhaeBay08	Korea
PO010715_10.1_92bp	24570	Pohang15	Korea
HS04_043	16328	HecStrait04	Alaska
JB121807_35_92bp	11482	JinhaeBay07	Korea
GE011215_14.1_92bp	24623	Geoje15	Korea
JUK07_30_92bp	24640	Jukbyeon07	Korea
GE012315_20.1_92bp	24624	Geoje15	Korea
GE011215_19_92bp	24791	Geoje15	Korea
GE012315_22.1_92bp	23968	Geoje15	Korea
JB021108_27_c_92bp	2509	JinhaeBay08	Korea
PWS12_041	22767	PWSound12	Alaska
PS12_032	23263	JuandeFuca12	Alaska
UP03_031	9061	UnimakPass03	Alaska
JUK07_01_92bp	23199	Jukbyeon07	Korea
JB121807_38.1_92bp	23617	JinhaeBay07	Korea
JUK07_31_92bp	24748	Jukbyeon07	Korea
GEO020414_24_300_92bp	24751	Geoje14	Korea
PS12_047	22946	JuandeFuca12	Alaska
PO010715_12_92bp	24793	Pohang15	Korea
PO031715_13.1_92bp	24655	Pohang15	Korea
JUK07_26_92bp	24324	Jukbyeon07	Korea
GS13_006	22865	SalishSea12_13	Alaska
AD06_048	23126	Adak06	Alaska
JB121807_08_rep_92bp	24612	JinhaeBay07	Korea
YS_121316_21_92bp	24796	YellowSea16	Korea
PS12_041	22576	JuandeFuca12	Alaska
UP03_039	12918	UnimakPass03	Alaska
UP03_045	22825	UnimakPass03	Alaska
WC05_048	21590	WashCoast05	Alaska
UP03_044	23368	UnimakPass03	Alaska
WC05_046	16646	WashCoast05	Alaska
WC05_047	21967	WashCoast05	Alaska
WC05_044	20556	WashCoast05	Alaska
WC05_045	16707	WashCoast05	Alaska
WC05_042	14688	WashCoast05	Alaska
JB121807_19.1_92bp	24490	JinhaeBay07	Korea
JB121807_32.1_92bp	23617	JinhaeBay07	Korea
WC05_041	22298	WashCoast05	Alaska
UP03_046	23002	UnimakPass03	Alaska
GEO020414_25_300_92bp	22330	Geoje14	Korea
PWS12_134	22199	PWSound12	Alaska
PWS12_133	19652	PWSound12	Alaska
PWS12_132	21097	PWSound12	Alaska
PWS12_131	22735	PWSound12	Alaska
UP03_040	22800	UnimakPass03	Alaska
UP03_043	21948	UnimakPass03	Alaska
BOR07_09_92bp	24696	Boryeong07	Korea
UP03_042	20749	UnimakPass03	Alaska
HS04_033	22862	HecStrait04	Alaska
HS04_032	23369	HecStrait04	Alaska
HS04_031	22087	HecStrait04	Alaska
HS04_030	19200	HecStrait04	Alaska
HS04_037	22744	HecStrait04	Alaska
HS04_036	20158	HecStrait04	Alaska
HS04_035	22815	HecStrait04	Alaska
HS04_034	21073	HecStrait04	Alaska
HS04_039	14588	HecStrait04	Alaska
HS04_038	16296	HecStrait04	Alaska
GEO012315_21_92bp	24605	Geoje15	Korea
BOR07_08.1_92bp	24707	Boryeong07	Korea
GEO020414_10_92bp	21180	Geoje14	Korea
PS12_029	23048	JuandeFuca12	Alaska
PS12_028	21569	JuandeFuca12	Alaska
PS12_021	21854	SalishSea12_13	Alaska
JB021108_39_92bp	22095	JinhaeBay08	Korea
PS12_023	16975	SalishSea12_13	Alaska
PS12_022	23211	SalishSea12_13	Alaska
PS12_025	23012	SalishSea12_13	Alaska
PS12_024	22927	SalishSea12_13	Alaska
JB021108_31.1_92bp	13663	JinhaeBay08	Korea
GE011215_22_92bp	24841	Geoje15	Korea
AD06_014	16079	Adak06	Alaska
GE011215_24.1_92bp	24459	Geoje15	Korea
YS_121316_01_92bp	24772	YellowSea16	Korea
KOD03_058	22073	Kodiak03	Alaska
KOD03_059	19021	Kodiak03	Alaska
KOD03_056	21580	Kodiak03	Alaska
KOD03_057	23630	Kodiak03	Alaska
KOD03_054	22831	Kodiak03	Alaska
KOD03_055	23277	Kodiak03	Alaska
KOD03_052	22957	Kodiak03	Alaska
KOD03_053	18266	Kodiak03	Alaska
KOD03_051	21697	Kodiak03	Alaska
GEO020414_14_300_92bp	23760	Geoje14	Korea
NA021015_22.1_92bp	24448	Namhae15	Korea
NA021015_03.1_92bp	24085	Namhae15	Korea
JB121807_48.1_92bp	19014	JinhaeBay07	Korea
PWS12_003	22127	PWSound12	Alaska
PWS12_002	23621	PWSound12	Alaska
PWS12_001	23260	PWSound12	Alaska
PWS12_007	20707	PWSound12	Alaska
PWS12_006	23149	PWSound12	Alaska
PWS12_005	23280	PWSound12	Alaska
PWS12_004	22642	PWSound12	Alaska
PO010715_27.1_92bp	24365	Pohang15	Korea
PWS12_008	23043	PWSound12	Alaska
GEO020414_11_300_92bp	24795	Geoje14	Korea
PO020515_03.1_92bp	24457	Pohang15	Korea
GEO020414_23_92bp	24783	Geoje14	Korea
GS13_007	18118	SalishSea12_13	Alaska
JB021108_10.1_92bp	15537	JinhaeBay08	Korea
JB021108_14_92bp	15621	JinhaeBay08	Korea
GEO020414_30_2_92bp	23568	Geoje14	Korea
BOR07_21.1_92bp	20279	Boryeong07	Korea
JB021108_37_rep.1_92bp	24493	JinhaeBay08	Korea
YS_121316_23_92bp	24717	YellowSea16	Korea
BOR07_17.1_92bp	24718	Boryeong07	Korea
PWS12_094	22673	PWSound12	Alaska
PWS12_095	22787	PWSound12	Alaska
PWS12_096	22704	PWSound12	Alaska
PWS12_097	21749	PWSound12	Alaska
JB121807_13_c_92bp	14986	JinhaeBay07	Korea
AD06_024	15400	Adak06	Alaska
JUK07_36.1_92bp	24496	Jukbyeon07	Korea
PWS12_033	22510	PWSound12	Alaska
JB021108_01.1_92bp	15924	JinhaeBay08	Korea
WC05_008	23478	WashCoast05	Alaska
WC05_009	21830	WashCoast05	Alaska
WC05_002	21622	WashCoast05	Alaska
WC05_003	22656	WashCoast05	Alaska
YS_121316_25_92bp	24644	YellowSea16	Korea
WC05_001	22268	WashCoast05	Alaska
WC05_006	22943	WashCoast05	Alaska
WC05_007	18353	WashCoast05	Alaska
WC05_004	18719	WashCoast05	Alaska
WC05_005	21975	WashCoast05	Alaska
JB021108_11_92bp	5984	JinhaeBay08	Korea
JB121807_29_92bp	24007	JinhaeBay07	Korea
GE012315_17.1_92bp	24555	Geoje15	Korea
JUK07_06_2_92bp	24601	Jukbyeon07	Korea
UP03_016	18006	UnimakPass03	Alaska
UP03_017	22466	UnimakPass03	Alaska
UP03_014	22833	UnimakPass03	Alaska
UP03_015	19784	UnimakPass03	Alaska
UP03_012	21557	UnimakPass03	Alaska
UP03_013	23035	UnimakPass03	Alaska
UP03_010	23068	UnimakPass03	Alaska
JB021108_14_2_92bp	23607	JinhaeBay08	Korea
JB021108_09.1_92bp	24058	JinhaeBay08	Korea
UP03_018	23233	UnimakPass03	Alaska
UP03_019	22656	UnimakPass03	Alaska
GS13_010	17141	SalishSea12_13	Alaska
JB121807_06.1_92bp	24555	JinhaeBay07	Korea
GS13_012	23209	SalishSea12_13	Alaska
JB021108_28_92bp	16126	JinhaeBay08	Korea
GS13_014	21281	SalishSea12_13	Alaska
GE011215_21.1_92bp	24498	Geoje15	Korea
GS13_016	22789	SalishSea12_13	Alaska
GS13_017	22639	SalishSea12_13	Alaska
GE011215_11_rep_92bp	24735	Geoje15	Korea
JB021108_16_92bp	24863	JinhaeBay08	Korea
JB021108_11_rep_92bp	21397	JinhaeBay08	Korea
PWS12_015	22362	PWSound12	Alaska
JUK07_33_92bp	24576	Jukbyeon07	Korea
JUK07_04_92bp	24245	Jukbyeon07	Korea
JB121807_42_92bp	21447	JinhaeBay07	Korea
GEO020414_13_2_92bp	24612	Geoje14	Korea
JB021108_22.1_92bp	21996	JinhaeBay08	Korea
GEO020414_7_92bp	24782	Geoje14	Korea
AD06_017	23354	Adak06	Alaska
AD06_016	15495	Adak06	Alaska
AD06_015	16803	Adak06	Alaska
GEO020414_8_300_92bp	24775	Geoje14	Korea
JUK07_03_92bp	23273	Jukbyeon07	Korea
AD06_012	17545	Adak06	Alaska
GEO020414_17_92bp	24191	Geoje14	Korea
AD06_010	18695	Adak06	Alaska
AD06_019	19534	Adak06	Alaska
AD06_018	23078	Adak06	Alaska
PO010715_08.1_92bp	24505	Pohang15	Korea
UP03_030	23233	UnimakPass03	Alaska
