Locus	Fst
3	0.026
5	0.6249
6	0.0303
11	0.0172
16	0.0369
19	0.0231
20	0.0183
24	0.0805
39	0.0493
53	0.0439
54	0.9054
63	0.0229
67	0.0197
75	0.158
86	0.0257
88	0.0185
91	0.0357
92	0.4897
93	0.2581
98	0.0003
101	0.2663
109	0.1495
111	0.0172
117	0.962
121	0.0285
126	-0.0008
139	0.0303
142	0.0029
148	0.0278
160	0.0103
164	0.1766
166	0.0147
167	0.0192
169	0.0002
174	0.0554
183	0.0829
187	0.0371
189	0.0329
192	0.0318
198	0.8067
200	0.0974
206	0.1497
212	0.0107
220	0.7746
221	0.0117
227	0.0734
228	0.0358
232	0.1238
236	0.2408
240	0.2691
244	0.0598
245	0.036
246	0.0143
248	0.0244
253	0.0018
256	0.6727
263	0.1337
265	0.0489
287	0.3418
297	0.0566
298	0.0132
308	0.0236
315	0.2289
331	0.0109
348	0.8839
364	0.6839
367	0.6916
368	0.011
373	0.0074
376	0.0351
377	0.1376
379	-0.0044
380	0.0585
381	0.3892
388	0.0541
391	0.0643
392	0.04
404	0.0181
410	0.1988
411	0.0239
415	0.2532
419	0.3547
420	0.0377
422	0.0088
425	0.2338
440	0.3897
445	0.0723
463	0.0658
472	0.0195
481	0.0515
490	0.7175
494	0.0094
512	-0.0015
514	0.6259
522	0.4301
525	0.0728
528	0.0666
534	0.0033
535	0.0316
541	0.0962
545	0.081
548	0.0503
554	0.017
557	0.0768
561	0.0554
571	0.0717
579	0.049
589	0.0353
592	0.0345
594	0.0466
597	0.0302
605	0.0408
612	0.0711
613	-0.0062
616	0.5151
617	0.842
618	0.1263
630	0.0515
644	0.0582
647	0.004
660	-
663	0.0012
669	0.632
671	0.0161
673	0.0997
691	0.0077
694	0.0143
695	0.034
700	0.0036
705	0.0402
707	0.0197
708	0.0207
716	0.1287
719	0.0605
721	0.3012
730	0.0075
733	0.0128
734	0.0228
735	0.9812
739	0.0133
746	0.0353
752	0.0554
756	0.0253
765	0.4437
766	0.033
768	0.0285
769	0.0114
772	0.0251
780	0.1551
786	0.0117
792	0.067
803	0.0101
805	0.1109
813	0.07
815	0.3389
820	0.1478
825	-0.0002
829	0.043
832	0.0726
844	0.0118
860	0.0373
862	0.0258
885	0.0386
888	0.0709
