Locus	fst	chromosome	position
15791	0.0193	LG01	141695
12205	-0.004	LG01	144969
15232	0.006	LG01	1020445
13670	-0.0018	LG01	1022687
3096	0.1639	LG01	1380478
16742	0	LG01	1741024
23271	0.0878	LG01	2020904
5208	-0.0028	LG01	2044448
13090	0.0422	LG01	2507110
14344	0.0249	LG01	2557271
3917	0.0046	LG01	2734304
24936	0.0157	LG01	2977826
25135	0.038	LG01	3189475
14379	0.0115	LG01	3282792
13486	-0.0053	LG01	3357702
9350	0.0224	LG01	3570289
8336	0.0564	LG01	3590892
1617	0.0091	LG01	3728784
21801	0.0535	LG01	3842286
15543	-0.0052	LG01	3923225
19183	-0.0044	LG01	4056640
18328	-0.0012	LG01	4337363
22648	0.0368	LG01	4342933
1773	-0.002	LG01	4343021
20195	0.1085	LG01	4436797
6409	-0.0039	LG01	4436885
18309	-0.0014	LG01	4438940
24083	0.028	LG01	4439028
13162	0.0645	LG01	4650983
11437	0.0337	LG01	4662599
19437	0.0775	LG01	4662687
16955	0.0502	LG01	4680553
14814	0.013	LG01	4757332
5894	-0.002	LG01	5179409
14329	-0.0046	LG01	5404659
13937	-3e-04	LG01	5901020
14234	0.0846	LG01	5909093
11400	0.2572	LG01	5957030
24153	0.0182	LG01	5987265
8445	-0.0046	LG01	6120990
4739	0.0555	LG01	6163089
24874	-0.0043	LG01	6163947
16209	0.0229	LG01	6164035
15217	-0.0053	LG01	6363572
13020	0.2883	LG01	6378884
20794	0.0415	LG01	6675702
22437	-0.0017	LG01	6834192
17825	-8e-04	LG01	6887258
15240	0.0026	LG01	7286931
15269	0.0391	LG01	7489971
8242	0.0094	LG01	7621451
10366	0.0358	LG01	7718267
3843	0.1422	LG01	7799052
24178	0.0221	LG01	7923832
12771	0.0248	LG01	7923920
9801	0.1829	LG01	8078099
1190	-0.0014	LG01	8092422
20559	0.0518	LG01	8160450
13142	0.0399	LG01	8383158
4132	0.016	LG01	8475035
8218	-0.0056	LG01	8477564
23556	-0.0063	LG01	8703318
1094	0.0136	LG01	8989975
15675	0.2322	LG01	8990063
5482	6e-04	LG01	9010262
7545	0.1019	LG01	9399694
1713	0.0065	LG01	9493971
23449	-0.0044	LG01	9519370
1393	0.0494	LG01	9598261
8312	-0.0058	LG01	9665796
17660	0.1776	LG01	9866994
9645	0.0605	LG01	10419488
2455	0.0243	LG01	10925525
8789	-0.0054	LG01	11152405
11140	-0.0071	LG01	11291570
5753	0.0818	LG01	11309141
9596	0.0266	LG01	11383360
17561	0.0023	LG01	11481567
23584	-0.0052	LG01	11497482
22978	2e-04	LG01	11703390
1602	0.1611	LG01	11804307
2780	0.3479	LG01	11869646
13506	0.0054	LG01	12222620
24673	0.0036	LG01	12331744
21844	-0.0047	LG01	12649886
21720	0.0085	LG01	12649886
9825	0.0117	LG01	12866887
9456	0.0175	LG01	12895039
17342	-0.0061	LG01	13165795
13276	-0.0019	LG01	13203369
7855	-0.0039	LG01	13272763
1176	0.0277	LG01	13275503
23055	0.0053	LG01	13348517
17074	-0.0069	LG01	13460605
19716	0.1045	LG01	13543599
15548	0.1498	LG01	13549939
7573	0.059	LG01	13566886
253	-0.0055	LG01	13663746
11711	-0.0066	LG01	14052789
24779	0.2302	LG01	14182553
16291	0.0295	LG01	14215233
14720	0.0828	LG01	14360204
22931	6e-04	LG01	14391336
20245	0.0178	LG01	14915282
8568	0.0118	LG01	14990824
6220	0.0833	LG01	15305774
5584	0.0074	LG01	15478086
16036	0.0072	LG01	15698538
5925	-0.0031	LG01	15884506
12756	-0.0058	LG01	15941922
20222	-0.001	LG01	15949701
16522	0.0015	LG01	16029166
6077	0.0059	LG01	16099585
15053	0.0318	LG01	16100804
765	0.1457	LG01	16350985
21518	0.3148	LG01	16668458
2990	0.0452	LG01	17231504
24372	-0.0049	LG01	17254201
6225	-0.005	LG01	17343059
23717	0.1294	LG01	17410032
16441	-0.003	LG01	17478244
3473	0.0101	LG01	17544233
7823	-0.0062	LG01	17686137
15708	0.0064	LG01	17762848
23879	0.0102	LG01	17874079
3794	-0.0033	LG01	17891914
13135	0.0385	LG01	17894333
4365	-0.0037	LG01	18164746
22376	0.0614	LG01	18270121
10477	0.0744	LG01	18299147
18099	0.0399	LG01	18634387
8649	0.0162	LG01	18885301
6218	0.053	LG01	18938963
7173	-0.0054	LG01	18990205
4301	-0.0045	LG01	18990497
20154	0.049	LG01	19065023
1275	0.0998	LG01	19119404
12082	0.0282	LG01	19122718
6687	0.0335	LG01	19131955
25090	0.0429	LG01	19484176
17462	0.0076	LG01	19558080
4103	0.0283	LG01	19759592
20926	0.0018	LG01	19851693
9000	-0.0049	LG01	20164805
17329	0.0016	LG01	20190450
1730	0.0137	LG01	20219379
15393	0.0625	LG01	20244563
16989	-0.0047	LG01	20244651
3223	0.0681	LG01	21052003
18566	0.0836	LG01	21078734
21583	0.0196	LG01	21139714
24866	0.0121	LG01	21344701
19900	0.0594	LG01	21474610
10039	0.0178	LG01	21639498
7286	-0.0065	LG01	21876491
10399	0.0017	LG01	22235777
12877	-0.006	LG01	22265414
16033	0.0242	LG01	22274751
1037	0.0419	LG01	22314645
9965	0.0195	LG01	22419167
18308	0.0226	LG01	22419255
23529	0.0479	LG01	22426003
7275	0.0292	LG01	22595118
24934	0.0182	LG01	22930946
11054	0.017	LG01	22931034
2866	0.0042	LG01	23087036
25204	0.053	LG01	23131382
9277	0.0109	LG01	23131469
5569	0.1532	LG01	23205145
13275	0.0571	LG01	23209262
9894	0.1218	LG01	23601228
22373	0.0215	LG01	23816773
4003	0.0615	LG01	24038892
17121	0.1319	LG01	24067024
11504	0.007	LG01	24263046
3776	0.0952	LG01	24455925
19526	0.0425	LG01	24606463
4909	0.0489	LG01	24794728
11479	0.2181	LG01	24916735
9421	0.0256	LG01	24972595
19996	-0.0054	LG01	25476068
8948	-0.0033	LG01	25476939
9870	0.0044	LG01	25537657
19340	-0.0024	LG01	25547121
7341	-0.0019	LG01	25623962
16833	0.0178	LG01	25695043
13766	0.0409	LG01	26270788
126	0.0266	LG01	26277273
2672	0.072	LG01	26278837
9996	-0.0063	LG01	26278925
23915	0.0145	LG01	26446274
6410	0.0324	LG01	26825592
15925	0.0305	LG01	26825871
1059	-0.0037	LG01	27624343
2973	0.097	LG01	27732633
3630	-0.006	LG01	28032467
2966	0.2003	LG01	28089763
13923	-0.0022	LG01	28259281
9530	0.0382	LG02	486766
9673	0.047	LG02	549312
5748	0.0268	LG02	558992
12161	-0.006	LG02	704956
22330	-0.0037	LG02	1459777
2227	0.0108	LG02	1753025
12720	0.034	LG02	1753113
23643	0.0435	LG02	2178449
12652	0.0234	LG02	2196715
24808	-0.0059	LG02	2862479
8450	1e-04	LG02	2934383
14890	0.0184	LG02	3068799
19616	0.0027	LG02	3134816
5650	0.0109	LG02	3684400
20570	0.0064	LG02	3848141
11304	0.0039	LG02	4112741
14293	0.0071	LG02	4229502
17606	-0.0056	LG02	4524449
23345	0.0012	LG02	4533055
10191	0.0046	LG02	5034803
13038	-0.0062	LG02	5142106
18002	0.0763	LG02	5475402
16683	0.0127	LG02	5502143
15713	-0.0012	LG02	5557301
13249	0.0446	LG02	5557389
20284	0.0844	LG02	5625109
21377	0.0178	LG02	5810716
8277	0.039	LG02	5947585
9741	0.0394	LG02	5980256
803	0.0071	LG02	6015120
19750	0.0171	LG02	6566985
19094	0.0292	LG02	6619151
6195	-0.0055	LG02	6622660
11378	0.0059	LG02	7657629
20552	0.3488	LG02	7704733
