locus prob log10(PO) qval alpha fst
3_75 0.0102505 -1.98478 0.79296 -0.00056221 0.16113
5_36 0.024901 -1.5928 0.53761 0.023661 0.16498
6_49 0.0092505 -2.0298 0.84032 0.0026877 0.16144
11_49 0.0088004 -2.0517 0.85400 0.00021276 0.16099
16_59 0.010301 -1.9826 0.79034 -0.0014880 0.16088
19_91 0.027451 -1.5493 0.52234 -0.032562 0.15826
20_88 0.010201 -1.9869 0.79514 -0.0065805 0.16027
24_57 0.010251 -1.9848 0.79296 0.0043612 0.16178
39_36 0.012501 -1.8976 0.68222 -0.0079401 0.16021
53_84 0.015751 -1.7958 0.62368 -0.011450 0.15974
54_91 1.0000 1000.0 0.0000 2.3800 0.64098
63_78 0.011201 -1.9459 0.73680 0.0025920 0.16157
67_28 0.010901 -1.9578 0.75414 -0.0068335 0.16023
75_48 0.010751 -1.9639 0.76323 0.0072645 0.16204
86_65 0.0087504 -2.0542 0.85524 -0.0015904 0.16078
88_61 0.18481 -0.64454 0.26862 -0.31002 0.13852
91_88 0.0076504 -2.1130 0.87700 -9.6397e-05 0.16093
92_41 0.79914 0.59973 0.023393 1.1551 0.37882
93_56 0.024851 -1.5937 0.53859 0.024706 0.16527
98_40 0.014151 -1.8430 0.64499 -0.014643 0.15973
101_40 0.0052003 -2.2817 0.89277 0.00018690 0.16084
109_73 0.010301 -1.9826 0.79034 0.0061316 0.16188
111_79 0.011101 -1.9498 0.74190 -0.0036424 0.16065
117_62 1.0000 1000.0 0.0000 2.1392 0.59052
121_62 0.0098005 -2.0045 0.81637 -0.00091006 0.16088
126_78 0.35952 -0.25079 0.15999 -0.64728 0.11592
139_71 0.0079504 -2.0961 0.87258 -0.00018434 0.16090
142_91 0.010901 -1.9578 0.75414 -0.0040668 0.16070
148_88 0.018201 -1.7319 0.59475 -0.018799 0.15956
160_61 0.010901 -1.9578 0.75414 -0.0011002 0.16106
164_55 0.0095005 -2.0181 0.82986 0.0033938 0.16144
166_78 0.012351 -1.9029 0.68725 -0.0058932 0.16054
167_47 0.027151 -1.5543 0.52495 -0.036264 0.15814
169_76 0.040902 -1.3701 0.45961 -0.063211 0.15643
174_91 0.0093505 -2.0251 0.83638 -0.0017046 0.16089
183_55 0.010451 -1.9763 0.78237 -0.0056658 0.16024
187_52 0.011001 -1.9538 0.74810 -0.0054633 0.16047
189_28 0.14481 -0.77127 0.30210 -0.22599 0.14402
192_82 0.0083004 -2.0773 0.86664 0.00064316 0.16109
198_50 1.0000 1000.0 0.0000 1.8166 0.51685
200_65 0.0081504 -2.0853 0.86940 -0.00092719 0.16089
206_70 0.0099505 -1.9978 0.80899 0.0057420 0.16186
212_71 0.012851 -1.8855 0.67288 -0.010026 0.16001
220_76 1.0000 1000.0 0.0000 1.6060 0.46902
221_37 0.64593 0.26110 0.058985 -1.2121 0.078786
227_47 0.022351 -1.6409 0.55699 -0.018886 0.15910
228_89 0.0092505 -2.0298 0.84032 -0.0014087 0.16082
232_56 0.0071004 -2.1456 0.88214 0.0033081 0.16134
236_29 0.0090005 -2.0418 0.84753 0.0049020 0.16170
240_71 0.024351 -1.6028 0.54249 0.025705 0.16545
244_78 0.0097005 -2.0090 0.82059 -0.0015063 0.16087
245_66 0.0083504 -2.0747 0.86552 -0.0029660 0.16057
246_47 0.0090005 -2.0418 0.84753 -0.00043894 0.16103
248_70 0.0077504 -2.1073 0.87556 0.00076137 0.16112
253_78 0.013051 -1.8787 0.66812 -0.0088460 0.16021
256_50 0.95980 1.3779 0.0041137 1.5129 0.45075
263_66 0.0051503 -2.2859 0.89301 0.0011398 0.16098
265_28 0.0075504 -2.1187 0.87803 0.00055727 0.16100
287_55 0.020501 -1.6792 0.57358 0.020153 0.16439
297_73 0.0089504 -2.0443 0.84893 -0.0013734 0.16090
298_35 0.012551 -1.8958 0.68058 -0.0079228 0.16017
308_46 0.0093005 -2.0274 0.83835 -0.0041336 0.16047
315_48 0.010301 -1.9826 0.79034 0.0079394 0.16223
331_54 0.66428 0.29638 0.051905 -1.3239 0.074500
348_68 1.0000 1000.0 0.0000 1.9447 0.54614
364_48 0.98370 1.7807 0.0010165 1.5837 0.46532
367_29 0.99080 2.0322 0.00063054 1.6131 0.47159
368_37 0.011951 -1.9174 0.70465 -0.0075471 0.16024
373_59 0.41492 -0.14925 0.13549 -0.74776 0.10899
376_68 0.011301 -1.9420 0.73198 -0.0048115 0.16061
377_89 0.0057503 -2.2378 0.89060 -0.00066243 0.16074
379_64 0.0096005 -2.0135 0.82528 0.0012662 0.16127
380_51 0.0064003 -2.1910 0.88657 -0.00048523 0.16079
381_80 0.066703 -1.1459 0.39068 0.087185 0.17709
