Locus	fst	chromosome	position
1	19718	0.8414	LG04	15786063
2	23990	0.1377	LG05	9266375
3	14478	0.0511	LG12	25449544
4	23992	0.535	LG07	2322767
5	19712	0.0194	LG16	15208311
6	19716	0.0708	LG01	13543599
7	21633	0.5105	LG16	3885750
8	23448	0.0563	LG11	26240894
9	4025	0.0268	LG03	24223878
10	11546	0.1415	LG10	12653334
11	13732	0.0797	LG07	4878672
12	25250	0.8177	LG10	4629105
13	23441	0.0186	LG22	4571253
14	166	0.0281	LG02	23270721
15	13738	0.0323	LG08	20524780
16	11386	0.0299	LG15	19591012
17	18243	0.5518	LG23	3883723
18	17522	0.0395	LG20	894030
19	5980	0.3561	LG09	21886663
20	16238	0.0378	LG08	5811809
21	5984	0.3142	LG11	13375051
22	10894	0.099	LG18	11058911
23	22261	0.1868	LG04	20221981
24	7514	0.0014	LG09	9462378
25	19158	0.2349	LG15	9445017
26	19408	0.0609	LG05	22952177
27	25624	0.155	LG19	12075773
28	348	0.9291	LG16	19876759
29	3991	0.2894	LG03	11820911
30	13597	0.9838	LG15	8387655
31	25060	0.0169	LG19	6221949
32	19371	0.2012	LG09	10689203
33	19372	0.0095	LG07	30915399
34	24840	0.0067	LG17	15615212
35	14296	0.0137	LG22	20639374
36	22999	0.2571	LG16	7683559
37	12701	0.108	LG06	653437
38	12705	0.4746	LG18	9156806
39	6156	0.0062	LG02	15037451
40	6157	0.3299	LG06	14713694
41	6158	0.1481	LG11	24273058
42	6797	0.1657	LG11	11597003
43	10965	0.0445	LG05	13105253
44	13600	-0.0019	LG16	6622274
45	13607	0.0781	LG15	24471470
46	4734	0.3333	LG17	16510645
47	2319	0.462	LG07	20997192
48	4739	0.1526	LG01	6163089
49	8305	0.0502	LG02	11675992
50	23848	0.038	LG17	12182417
51	23449	0.8793	LG01	9519370
52	5851	0.2743	LG02	21921687
53	298	0.0366	LG20	17936497
54	5853	0.0563	LG09	9910448
55	297	0.0842	LG05	20858577
56	5859	0.0271	LG23	5934977
57	17654	0.0377	LG14	14918702
58	21100	0.0334	LG20	15135577
59	24941	0.1904	LG11	20323618
60	3680	0.8481	LG17	8605809
61	3776	0.8465	LG01	24455925
62	19752	0.0831	LG09	14153515
63	15958	0.0151	LG23	12977353
64	22983	0.0687	LG03	21749404
65	25284	0.0471	LG11	18813106
66	23364	0.914	LG21	1951878
67	4834	0.9725	LG11	12058857
68	12962	0.0172	LG07	20991578
69	19971	0.0024	LG15	18510285
70	13547	0.3102	LG06	17746245
71	16257	0.5616	LG11	15142617
72	21999	0.0106	LG16	15198199
73	19975	0.6589	LG03	29149035
74	17382	0.0338	LG21	18336350
75	25114	0.015	LG01	9008309
76	12108	0.093	LG13	414978
77	22719	0.0541	LG16	26563582
78	17384	0.1251	LG09	2170302
79	18188	0.4599	LG09	19813932
80	23368	0.7763	LG19	11098386
81	15526	0.0616	LG21	16277340
82	7992	0.007	LG20	17181919
83	12017	0.6224	LG09	12286191
84	15527	0.0614	LG21	9637925
85	22488	0.1875	LG09	17756102
86	17258	0.0226	LG15	26153891
87	15528	0.4465	LG16	13025420
88	11768	0.1805	LG07	21989855
89	16384	0.0355	LG15	18797867
90	11762	0.0815	LG04	4067370
91	11760	0.0604	LG07	9519203
92	2261	0.0667	LG21	19768537
93	17254	0.0163	LG21	9839979
94	17255	0.0796	LG16	14444680
