locus prob log10(PO) qval alpha fst
3_75 0.0108505 -1.95981 0.770379 -0.0041786 0.12252
5_36 0.035352 -1.4360 0.46189 0.036718 0.12778
6_49 0.0092005 -2.0322 0.83791 0.0010547 0.12286
11_49 0.0086004 -2.0617 0.85377 -0.00080109 0.12262
16_59 0.011651 -1.9286 0.72903 -0.00094010 0.12284
19_91 0.019801 -1.6946 0.56300 -0.019613 0.12131
20_88 0.0089504 -2.0443 0.84504 -0.0038620 0.12232
24_57 0.010251 -1.9848 0.79764 0.0054760 0.12354
39_36 0.012351 -1.9029 0.69931 -0.0081764 0.12208
53_84 0.014551 -1.8307 0.64045 -0.010755 0.12179
54_91 1.0000 1000.0 0.0000 2.5190 0.56466
63_78 0.0093505 -2.0251 0.83313 0.0016281 0.12305
67_28 0.0099505 -1.9978 0.81064 -0.0053737 0.12223
75_48 0.018751 -1.7188 0.57694 0.015948 0.12479
86_65 0.0078504 -2.1017 0.86849 -0.0014247 0.12255
88_61 0.16696 -0.69806 0.24829 -0.26510 0.10770
91_88 0.0070004 -2.1518 0.87793 0.00051588 0.12270
92_41 0.81124 0.63324 0.022037 1.2267 0.31268
93_56 0.024301 -1.6037 0.53173 0.026272 0.12640
98_40 0.015651 -1.7986 0.61988 -0.014501 0.12178
101_40 0.0041002 -2.3854 0.89472 0.00053674 0.12261
109_73 0.010551 -1.9721 0.78429 0.0068398 0.12352
111_79 0.012051 -1.9137 0.71238 -0.0065292 0.12227
117_62 1.0000 1000.0 0.0000 2.2642 0.51097
121_62 0.0068503 -2.1613 0.87961 -0.0012629 0.12251
126_78 0.39232 -0.19004 0.13771 -0.68406 0.085827
139_71 0.0072004 -2.1395 0.87611 -0.00033533 0.12261
142_91 0.011951 -1.9174 0.71533 -0.0065881 0.12230
148_88 0.056253 -1.2247 0.40103 -0.097619 0.11767
160_61 0.012451 -1.8994 0.69621 -0.0025115 0.12265
164_55 0.0088504 -2.0492 0.84767 0.0026547 0.12298
166_78 0.013551 -1.8621 0.66382 -0.0082147 0.12221
167_47 0.018701 -1.7199 0.57735 -0.019514 0.12135
169_76 0.045902 -1.3178 0.42486 -0.070916 0.11871
174_91 0.010551 -1.9721 0.78429 -0.0039939 0.12244
183_55 0.0090505 -2.0394 0.84204 -0.0048999 0.12219
187_52 0.012851 -1.8855 0.68201 -0.0076849 0.12220
189_28 0.0094005 -2.0227 0.83057 -0.0053553 0.12216
192_82 0.0076504 -2.1130 0.87093 -0.00077723 0.12261
198_50 0.99995 4.3010 3.5213e-06 1.9194 0.43848
200_65 0.010151 -1.9891 0.80220 -0.0013957 0.12266
206_70 0.0091505 -2.0346 0.83954 0.0054276 0.12336
