Locus	fst	chromosome	position
1	3	0.026	LG21	18027708
2	5	0.6249	LG11	27261814
3	6	0.0303	LG10	5565406
4	11	0.0172	LG10	22879220
5	16	0.0369	LG21	7743712
6	19	0.0231	LG21	4032093
7	20	0.0183	LG01	8417786
8	24	0.0805	LG20	9392547
9	39	0.0493	LG09	17882115
10	53	0.0439	LG11	26240806
11	54	0.9054	LG20	10911887
12	63	0.0229	LG07	8250504
13	67	0.0197	LG01	25118415
14	75	0.158	LG14	16964648
15	86	0.0257	LG04	5514604
16	88	0.0185	LG15	17142273
17	91	0.0357	LG14	5057159
18	92	0.4897	LG10	10496043
19	93	0.2581	LG21	16435657
20	98	0.0003	LG12	20292473
21	101	0.2663	LG03	20685759
22	109	0.1495	LG05	10536052
23	111	0.0172	LG02	19524547
24	117	0.962	LG16	670282
25	121	0.0285	LG07	14639666
26	126	-0.0008	LG01	26277273
27	139	0.0303	LG19	5505913
28	142	0.0029	LG16	348177
29	148	0.0278	LG14	23216958
30	160	0.0103	LG22	2265503
31	164	0.1766	LG04	20273388
32	166	0.0147	LG02	23270721
33	167	0.0192	LG12	26759763
34	169	0.0002	LG03	15330761
35	174	0.0554	LG08	1312422
36	183	0.0829	LG19	12157293
37	187	0.0371	LG12	25008487
38	189	0.0329	LG03	25718099
39	192	0.0318	LG15	8400989
40	198	0.8067	LG10	12542466
41	200	0.0974	LG08	1227839
42	206	0.1497	LG03	19138705
43	212	0.0107	LG16	17455795
44	220	0.7746	LG04	13609089
45	221	0.0117	LG04	1318919
46	227	0.0734	LG08	13650675
47	228	0.0358	LG17	14007228
48	232	0.1238	LG20	15056758
49	236	0.2408	LG19	13680590
50	240	0.2691	LG15	22676655
51	244	0.0598	LG10	5851012
52	245	0.036	LG22	16807954
53	246	0.0143	LG02	17086725
54	248	0.0244	LG06	10068536
55	253	0.0018	LG01	13663746
56	256	0.6727	LG08	13184454
57	263	0.1337	LG09	19977194
58	265	0.0489	LG02	4572030
59	287	0.3418	LG18	6244277
60	297	0.0566	LG05	20858577
61	298	0.0132	LG20	17936497
62	308	0.0236	LG11	15470496
63	315	0.2289	LG13	21280470
64	331	0.0109	LG14	21214207
65	348	0.8839	LG16	19876759
66	364	0.6839	LG13	13518047
67	367	0.6916	LG13	13517959
68	368	0.011	LG02	8817267
69	373	0.0074	LG08	21935513
70	376	0.0351	LG17	491060
71	377	0.1376	LG17	4388510
72	379	-0.0044	LG09	18491323
73	380	0.0585	LG20	8995844
74	381	0.3892	LG06	10890799
75	388	0.0541	LG14	9808221
76	391	0.0643	LG16	21523873
77	392	0.04	LG23	8351293
78	404	0.0181	LG13	423107
79	410	0.1988	LG09	13926079
80	411	0.0239	LG11	28215278
81	415	0.2532	LG09	6944185
82	419	0.3547	LG17	10517407
83	420	0.0377	LG17	11891252
84	422	0.0088	LG19	2645644
85	425	0.2338	LG20	5151213
86	440	0.3897	LG03	27467841
87	445	0.0723	LG14	11240709
88	463	0.0658	LG21	9638567
89	472	0.0195	LG10	23241108
90	481	0.0515	LG03	26628801
91	490	0.7175	LG14	1523992
92	494	0.0094	LG11	27847476
93	512	-0.0015	LG18	9558850
94	514	0.6259	LG20	1413400
95	522	0.4301	LG12	18820544
96	525	0.0728	LG22	19123984
97	528	0.0666	LG08	15156053
98	534	0.0033	LG05	20110056
99	535	0.0316	LG21	5362930
100	541	0.0962	LG12	10886813
101	545	0.081	LG08	10413548
102	548	0.0503	LG14	26573044
103	554	0.017	LG14	7209191
104	557	0.0768	LG16	17552701
105	561	0.0554	LG09	10073918
106	571	0.0717	LG08	11071974
107	579	0.049	LG20	5032562
108	589	0.0353	LG05	2535105
109	592	0.0345	LG05	7679170
110	594	0.0466	LG20	21987431
111	597	0.0302	LG15	20571696
112	605	0.0408	LG16	11855044
113	612	0.0711	LG21	15008260
114	613	-0.0062	LG22	6028173
115	616	0.5151	LG14	1538720
116	617	0.842	LG09	11297440
117	618	0.1263	LG14	2325174
118	630	0.0515	LG23	8025312
119	644	0.0582	LG20	4187239
120	647	0.004	LG22	19872092
121	660	-	LG12	11266320
122	663	0.0012	LG14	22324245
123	669	0.632	LG01	12788651
124	671	0.0161	LG23	17377949
125	673	0.0997	LG21	6249646
126	691	0.0077	LG14	8500453
127	694	0.0143	LG19	13093143
128	695	0.034	LG02	16820235
129	700	0.0036	LG21	9085847
130	705	0.0402	LG13	17217650
131	707	0.0197	LG22	1978209
132	708	0.0207	LG09	1654444
133	716	0.1287	LG10	23520241
134	719	0.0605	LG11	14396040
135	721	0.3012	LG14	12869166
136	730	0.0075	LG17	10130879
137	733	0.0128	LG06	18660007
138	734	0.0228	LG13	25259416
139	735	0.9812	LG16	14151077
140	739	0.0133	LG23	14881136
141	746	0.0353	LG21	18110489
142	752	0.0554	LG11	8223689
143	756	0.0253	LG11	3127754
144	765	0.4437	LG01	16350985
145	766	0.033	LG02	17006437
146	768	0.0285	LG19	7893544
147	769	0.0114	LG20	8455617
148	772	0.0251	LG12	19202962
149	780	0.1551	LG12	4213605
150	786	0.0117	LG20	10305701
151	792	0.067	LG22	13579970
152	803	0.0101	LG02	6015120
153	805	0.1109	LG21	9856598
154	813	0.07	LG06	12873880
155	815	0.3389	LG14	7114942
156	820	0.1478	LG08	6783271
157	825	-0.0002	LG04	33313977
158	829	0.043	LG01	22477868
159	832	0.0726	LG15	8433971
160	844	0.0118	LG14	25532106
161	860	0.0373	LG15	8162379
162	862	0.0258	LG23	3032160
163	885	0.0386	LG10	5851100
164	888	0.0709	LG19	5854828
165	899	0.0633	LG23	11912788
166	901	0.0288	LG19	14535981
167	917	0.0322	LG09	23966054
168	925	0.3641	LG07	16246230
169	926	0.0258	LG06	8571939
170	927	0.0051	LG06	6420980
171	940	0.0351	LG14	2567418
172	941	0.2025	LG23	16779334
173	943	0.0442	LG08	17866162
174	951	0.0848	LG22	3422278
175	952	0.0214	LG16	15094047
176	954	0.1454	LG06	8064417
177	960	0.04	LG12	10174457
178	962	0.0104	LG23	22332615
179	964	0.7607	LG07	28218086
180	966	0.0364	LG13	18698689
181	974	0.0095	LG15	18002768
182	982	0.0292	LG05	18446161
183	986	0.0151	LG09	18413149
184	992	0.0217	LG21	3580050
185	1000	0.0212	LG20	21700794
186	1002	0.277	LG14	22855271
187	1007	0.0099	LG16	14981817
188	1017	0.0043	LG06	6804646
189	1020	0.7395	LG18	17770636
190	1027	0.039	LG11	880476
191	1031	0.0864	LG15	10603181
192	1036	0.1765	LG07	28626276
193	1037	0.0399	LG01	22314645
194	1047	0.1586	LG09	6946806
195	1048	0.1939	LG13	21014787
196	1052	0.0015	LG03	29149123
197	1053	0.0443	LG13	11331788
198	1054	0.6023	LG06	19898749
199	1059	0.1061	LG01	27624343
200	1066	0.0206	LG15	25606927
201	1073	0.0646	LG10	2603183
202	1078	0.0225	LG14	1738653
203	1082	0.0065	LG02	7995350
204	1085	0.0355	LG03	9056737
205	1089	0.0145	LG08	13112738
206	1091	0.0271	LG04	987643
207	1092	0.037	LG20	20701546
208	1094	0.2431	LG01	8989975
209	1098	0.1364	LG08	13960352
210	1104	0.0222	LG01	12761963
211	1122	0.4291	LG04	16838600
212	1126	0.0196	LG15	17499768
213	1138	0.0293	LG04	14058546
214	1157	0.0578	LG11	26193891
215	1159	0.0169	LG14	22877258
216	1160	0.2736	LG15	17477533
217	1162	0.0232	LG04	31408269
218	1167	-0.0007	LG11	10595723
219	1176	0.4066	LG01	13275503
220	1190	0.6211	LG01	8092422
221	1193	0.0066	LG03	24543439
222	1197	0.0873	LG20	15002118
223	1201	0.0673	LG16	8523827
224	1205	0.0327	LG18	2123484
225	1206	0.0273	LG02	4112829
226	1218	0.0037	LG03	27647413
227	1228	0.0046	LG13	20016866
228	1229	0.0634	LG20	13703518
229	1253	0.027	LG22	11919118
230	1254	0.0598	LG20	20099558
231	1258	0.0314	LG07	27182155
232	1262	-	LG10	17743127
233	1266	0.0336	LG08	20768613
234	1275	0.1148	LG01	19119404
235	1285	0.1103	LG20	6673367
236	1287	0.0324	LG03	7081654
237	1294	0.082	LG22	6705225
238	1306	0.2389	LG13	11880001
239	1311	0.0513	LG09	12622187
240	1323	0.1145	LG20	6539707
241	1339	0.0581	LG14	17204107
242	1345	0.2167	LG02	23955104
243	1349	0.0254	LG22	16461504
244	1354	0.0162	LG12	3284303
245	1372	0.0561	LG14	20906701
246	1392	0.1014	LG04	31306420
247	1393	0.4298	LG01	9598261
248	1407	0.2139	LG23	12976106
249	1420	0.0269	LG03	1176528
250	1441	0.0279	LG14	10322868
251	1451	0.0063	LG03	20425799
252	1452	0.0705	LG20	5697820
253	1454	0.0243	LG05	18200049
254	1463	0.0298	LG14	16098739
255	1469	0.0623	LG20	12562983
256	1473	0.0606	LG11	27198631
257	1474	0.0073	LG12	7753631
258	1478	0.0251	LG11	20773184
259	1482	0.0254	LG13	10971676
260	1490	0.0304	LG07	23424347
261	1499	0.0639	LG04	25352161
262	1503	0.1986	LG21	15279223
263	1504	0.0396	LG09	6084778
264	1519	0.0302	LG11	19513503
265	1547	0.0556	LG11	7746059
266	1555	0.1119	LG07	13431477
267	1560	0.2448	LG15	15461179
268	1565	0.3442	LG01	12864533
269	1567	0.1322	LG15	17339469
270	1568	-0.0017	LG12	23698751
271	1571	0.8145	LG13	12440085
272	1572	-0.0073	LG13	17972384
273	1581	0.0051	LG12	12097734
274	1582	0.0132	LG09	16940306
275	1589	0.0074	LG15	8882522
276	1590	0.0337	LG22	5312405
277	1592	0.0086	LG10	2502491
278	1596	0.0248	LG16	22145857
279	1602	0.1008	LG01	11804307
280	1617	0.0798	LG01	3728784
281	1629	0.0193	LG22	18697916
282	1635	0.0379	LG13	5076698
283	1638	0.0426	LG04	14007496
284	1655	0.0398	LG11	24272512
285	1660	0.0165	LG18	7683702
286	1689	-0.0014	LG13	21043471
287	1693	0.1124	LG08	10243819
288	1698	-	LG13	14576126
289	1711	0.0056	LG18	6879063
290	1712	0.0099	LG14	28035100
291	1713	0.0619	LG01	9493971
292	1722	0.0137	LG15	7404476
293	1729	0.0104	LG18	16054673
294	1730	0.0405	LG01	20219379
295	1734	0.0249	LG17	16433379
296	1737	0.0468	LG07	14640691
297	1738	0.1	LG16	27755689
298	1739	0.0145	LG22	11675953
299	1748	0.0227	LG18	18341373
300	1756	0.0292	LG11	8086242
301	1770	0.0307	LG19	9781979
302	1773	0.1963	LG01	4343021
303	1794	0.312	LG09	24143400
304	1817	0.0029	LG17	7587295
305	1821	0.327	LG08	14640764
306	1833	0.0302	LG01	9761602
307	1844	0.0536	LG15	17981722
308	1845	0.0039	LG03	16345097
309	1848	0.1795	LG01	13443093
310	1855	0.0152	LG02	23270633
311	1858	-0.0045	LG02	13158554
312	1859	0.0323	LG04	22949532
313	1872	0.1197	LG10	21232603
314	1881	0.9878	LG12	11484342
315	1889	0.0297	LG22	17138763
316	1906	-0.0031	LG02	19009588
317	1907	0.1841	LG10	17098895
318	1911	0.3142	LG21	3578040
319	1926	0.0094	LG20	20827715
320	1933	0.6183	LG21	12444588
321	1936	0.027	LG14	24505155
322	1939	0.4583	LG23	947149
323	1957	0.0623	LG03	20523113
324	1961	0.0761	LG05	18759149
325	1962	0.0351	LG05	20623937
326	1963	0.0275	LG11	17081118
327	1968	0.0265	LG05	10680722
328	1969	0.0305	LG23	1571051
329	1970	0.0319	LG14	5451290
330	1975	0.5769	LG14	5051097
331	1978	0.0561	LG11	18595849
332	1983	0.1342	LG13	11362580
333	1995	0.1054	LG03	20433399
334	2029	0.4461	LG16	1408228
335	2033	0.2892	LG04	24372151
336	2038	0.0514	LG19	9585216
337	2046	0.1384	LG05	11189734
338	2057	0.0288	LG04	14495195
339	2058	0.0108	LG17	5380965
340	2069	0.3122	LG07	17433168
341	2071	0.0423	LG11	19958497
342	2075	0.0553	LG05	21654489
343	2082	0.0371	LG17	8854605
344	2087	0.0633	LG07	28942026
345	2100	0.1857	LG17	4283147
346	2110	0.052	LG02	15714736
347	2118	0.0154	LG16	25894782
348	2127	0.0395	LG15	18189153
349	2135	0.4195	LG21	10135760
350	2148	0.0329	LG03	24816799
351	2149	0.0641	LG16	13928206
352	2151	0.0193	LG01	7446401
353	2153	0.0471	LG11	20773096
354	2154	0.0776	LG04	24968352
355	2160	0.0832	LG12	18822680
356	2175	0.2603	LG15	5358650
357	2176	0.0345	LG04	18406174
358	2196	0.7605	LG02	13700077
359	2204	0.0147	LG14	7233760
360	2206	0.1641	LG22	13391318
361	2225	0.0672	LG11	14495794
362	2227	0.5139	LG02	1753025
363	2230	0.0127	LG09	11505320
364	2234	0.0805	LG08	18949206
365	2251	0.0133	LG23	15597949
366	2258	0.2315	LG13	7099455
367	2261	0.043	LG21	19768537
368	2274	0.1361	LG13	1229015
369	2279	0.0608	LG19	9742404
370	2309	0.0227	LG23	2794005
371	2319	0.3448	LG07	20997192
372	2327	0.0028	LG17	1002493
373	2329	0.0739	LG16	24549889
374	2331	0.0167	LG06	15803151
375	2332	0.0469	LG02	11144818
376	2334	0.3751	LG04	13791139
377	2335	0.0355	LG12	6026045
378	2346	0.0638	LG04	26005081
379	2349	0.1326	LG16	9310784
380	2353	0.0363	LG17	4205312
381	2362	0.0662	LG01	13543511
382	2366	0.0215	LG21	21010013
383	2368	0.2445	LG08	26184505
384	2370	0.1706	LG05	6913864
385	2371	0.0464	LG03	8761931
386	2382	0.0279	LG23	570487
387	2390	0.1995	LG13	19759312
388	2399	-	LG19	3269647
389	2400	-	LG08	24451697
390	2408	0.6879	LG08	11860507
391	2417	0.1417	LG20	14555094
392	2425	0.6876	LG14	8286219
393	2429	0.133	LG14	26890038
394	2446	0.8564	LG03	29018446
395	2454	0.0568	LG07	21594394
396	2455	0.0365	LG01	10925525
397	2456	0.0604	LG21	13077508
398	2468	0.0859	LG11	6043896
399	2491	0.0237	LG17	12103417
400	2497	0.0879	LG20	22149852
401	2498	0.0486	LG23	2830661
402	2506	0.0279	LG08	11296393
403	2520	0.0681	LG07	12362085
404	2522	0.2485	LG06	8028686
405	2539	0.0095	LG15	25129974
406	2550	0.1426	LG14	4334323
407	2554	-0.0044	LG22	16243903
408	2558	0.0445	LG10	22020828
409	2564	0.1249	LG23	13632032
410	2587	0.0311	LG14	202833
411	2601	0.0793	LG21	19584532
412	2603	0.1195	LG23	14392966
413	2604	0.0199	LG11	14815925
414	2607	0.0363	LG15	12236853
415	2621	0.1018	LG04	378962
416	2623	0.029	LG19	2707850
417	2646	0.0156	LG03	727009
418	2647	0.3567	LG03	8603218
419	2648	0.0317	LG17	5506104
420	2672	0.0103	LG01	26278837
421	2677	0.0338	LG21	9477851
422	2682	0.0425	LG13	23528989
423	2690	0.0548	LG22	9892159
424	2694	0.0267	LG21	8442668
425	2705	0.0131	LG10	22879308
426	2706	-	LG12	16946944
427	2709	0.0504	LG19	18872684
428	2718	0.0651	LG22	16526905
429	2733	0.0187	LG02	20586675
430	2735	0.8982	LG07	13236326
431	2742	0.3367	LG04	26781953
432	2751	0.0039	LG23	22985440
433	2752	0.1382	LG14	29071558
434	2762	0.0846	LG22	122447
435	2769	0.0143	LG21	21919607
436	2780	0.0918	LG01	11869646
437	2786	0.0543	LG16	30316865
438	2792	0.0224	LG09	14618268
