locus,prob,log10(PO),qval,alpha,fst,log10q,outlier
5_36,1,1000,0,1.2994,0.46541,-Inf,True
54_91,1,1000,0,2.5529,0.74224,-Inf,True
92_41,1,1000,0,1.582,0.53252,-Inf,True
117_62,1,1000,0,2.4714,0.72755,-Inf,True
126_78,0.98615,1.8525,0.0010639,-2.2321,0.032234,-2.97309919110974,True
189_28,0.76804,0.51997,0.026806,-1.2483,0.083652,-1.57176798674567,True
198_50,1,1000,0,2.0419,0.63888,-Inf,True
220_76,1,1000,0,1.6787,0.55573,-Inf,True
221_37,0.80299,0.61022,0.022561,-1.5255,0.071008,-1.64664165447341,True
240_71,0.9022,0.96494,0.0094225,1.0969,0.42148,-2.02583385387836,True
256_50,1,1000,0,1.8936,0.605,-Inf,True
287_55,0.94795,1.2603,0.0053504,1.0778,0.41536,-2.2716137485771,True
331_54,0.77959,0.54863,0.02542,-1.4766,0.074852,-1.59482445378201,True
348_68,1,1000,0,2.2256,0.67854,-Inf,True
364_48,1,1000,0,1.8959,0.60553,-Inf,True
367_29,1,1000,0,1.9147,0.60985,-Inf,True
373_59,0.99615,2.4128,0.0003659,-2.0237,0.036658,-3.43663759051339,True
381_80,1,1000,0,1.5024,0.51357,-Inf,True
419_59,0.9979,2.6768,0.0001748,1.3267,0.47221,-3.75745857170162,True
490_42,1,1000,0,1.8261,0.59019,-Inf,True
514_78,0.9999,3.9999,5.0003e-06,1.2371,0.45058,-5.30100393877677,True
534_53,0.9976,2.6187,0.00019241,-2.199,0.031606,-3.71577236040652,True
613_30,0.80934,0.62787,0.021653,-1.874,0.061168,-1.66448192410577,True
616_42,1,1000,0,1.3931,0.48771,-Inf,True
617_66,1,1000,0,1.708,0.56299,-Inf,True
669_43,1,1000,0,1.7327,0.56769,-Inf,True
700_40,0.96935,1.5,0.0025198,-1.998,0.040455,-2.59863392840232,True
735_70,1,1000,0,2.9212,0.80297,-Inf,True
765_32,1,1000,0,1.5179,0.51733,-Inf,True
769_63,0.95655,1.3427,0.0038404,-1.8373,0.046423,-2.41562353897997,True
815_86,0.9987,2.8855,7.4708e-05,1.3451,0.47646,-4.12663288988707,True
927_91,0.9858,1.8415,0.0011567,-2.0305,0.03801,-2.93677926441801,True
964_90,1,1000,0,1.6659,0.55279,-Inf,True
974_81,0.78954,0.5742,0.024428,-1.4814,0.073539,-1.61211208867617,True
1020_35,1,1000,0,1.3208,0.47038,-Inf,True
1054_84,1,1000,0,1.6585,0.55064,-Inf,True
1176_29,0.9999,3.9999,5.0003e-06,1.4423,0.49933,-5.30100393877677,True
1190_32,1,1000,0,1.7014,0.56075,-Inf,True
1193_50,0.98965,1.9805,0.00076214,-2.0331,0.037346,-3.11796524435235,True
1228_69,0.9956,2.3546,0.00038642,-2.0766,0.035263,-3.41294040382783,True
1393_44,1,1000,0,1.529,0.51981,-Inf,True
1565_85,0.78489,0.56215,0.024755,0.98139,0.39821,-1.6063370693325,True
1571_90,1,1000,0,2.1308,0.65837,-Inf,True
1629_82,0.90305,0.96914,0.0090813,-1.5581,0.060889,-2.04185197720423,True
1881_78,1,1000,0,2.9665,0.80997,-Inf,True
1911_85,0.9781,1.6499,0.0018711,1.1886,0.4404,-2.72790300122921,True
1933_85,0.99995,4.301,2.7305e-06,1.2314,0.44925,-5.56375781912844,True
1939_44,0.94715,1.2534,0.0054473,1.0573,0.41041,-2.26381870610069,True
1975_66,0.99975,3.6019,1.1166e-05,1.1185,0.42263,-4.95210237648559,True
2029_74,0.99995,4.301,2.7305e-06,1.4117,0.49216,-5.56375781912844,True
2069_41,0.71149,0.392,0.03598,0.76608,0.35017,-1.44393884099047,True
2118_67,0.98815,1.9211,0.00089135,-1.8874,0.041835,-3.04995173117998,True
2196_52,1,1000,0,2.1269,0.6574,-Inf,True
2204_63,0.92815,1.1112,0.0070585,-1.6871,0.054265,-2.15128758095058,True
2227_90,1,1000,0,1.534,0.52117,-Inf,True
2319_62,0.99645,2.4482,0.00030307,1.2557,0.45549,-3.5184570510269,True
2327_69,0.76304,0.50787,0.027516,-1.6086,0.072599,-1.56041469922244,True
2334_75,0.62588,0.22348,0.047624,0.69956,0.33737,-1.3221741304563,True
2408_39,1,1000,0,1.8315,0.59065,-Inf,True
2425_39,1,1000,0,1.5697,0.52977,-Inf,True
2446_50,1,1000,0,1.9782,0.62498,-Inf,True
2539_46,0.9562,1.3391,0.0040089,-1.8633,0.045801,-2.39697477687241,True
2604_80,0.9542,1.3188,0.0042666,-1.6947,0.051398,-2.36991807097609,True
2647_80,0.98795,1.9137,0.00091824,1.1688,0.43532,-3.03704379259712,True
2735_76,1,1000,0,2.5546,0.74263,-Inf,True
2742_74,0.66593,0.2996,0.041697,0.82195,0.36481,-1.37989519035752,True
2826_51,0.86399,0.80295,0.014939,0.8122,0.35581,-1.82567847273596,True
2844_90,0.63963,0.24918,0.045584,-1.2727,0.094486,-1.3411875681046,True
2874_78,1,1000,0,1.6895,0.55762,-Inf,True
2934_73,0.9932,2.1645,0.00052099,-2.3015,0.029783,-3.28317061256708,True
2974_48,1,1000,0,1.9396,0.61593,-Inf,True
2990_79,1,1000,0,1.9754,0.62462,-Inf,True
2997_63,1,1000,0,1.5504,0.52506,-Inf,True
3000_77,0.998,2.6981,0.00014236,-2.354,0.027697,-3.84661202066819,True
3015_76,1,1000,0,2.1024,0.65178,-Inf,True
3076_54,1,1000,0,1.5195,0.51788,-Inf,True
3096_79,1,1000,0,1.9862,0.62611,-Inf,True
3186_73,1,1000,0,1.4738,0.50699,-Inf,True
3195_89,1,1000,0,1.352,0.47782,-Inf,True
3341_58,1,1000,0,1.3306,0.47287,-Inf,True
3342_57,0.99995,4.301,2.7305e-06,1.5267,0.51932,-5.56375781912844,True
3396_46,0.9999,3.9999,5.0003e-06,1.3256,0.47172,-5.30100393877677,True
3437_63,0.93895,1.1869,0.006175,-1.72,0.05202,-2.2093630380683,True
3460_56,1,1000,0,1.4902,0.51102,-Inf,True
3499_78,0.94155,1.207,0.0058454,1.0178,0.40141,-2.23318576476752,True
3523_34,1,1000,0,2.4929,0.73161,-Inf,True
3680_38,1,1000,0,1.918,0.61112,-Inf,True
3708_57,1,1000,0,2.5352,0.73901,-Inf,True
3753_32,0.9996,3.3977,1.4584e-05,1.1485,0.42971,-4.83612334435308,True
3756_59,0.979,1.6685,0.0018257,1.2359,0.45154,-2.73857058444055,True
3776_57,1,1000,0,1.4241,0.49513,-Inf,True
3828_44,0.969,1.4949,0.0025824,-2.1911,0.035385,-2.58797648695802,True
3875_79,1,1000,0,2.7331,0.77347,-Inf,True
3929_43,0.66828,0.30419,0.041229,-1.332,0.089816,-1.38479719878459,True
3940_64,0.99995,4.301,2.7305e-06,1.1106,0.4206,-5.56375781912844,True
3972_48,0.9962,2.4185,0.00034766,1.3072,0.46762,-3.45884527416745,True
4010_57,0.90495,0.97865,0.0085711,0.95718,0.38843,-2.06696343790485,True
4062_70,1,1000,0,1.6716,0.55417,-Inf,True
4092_64,0.64508,0.25949,0.044099,0.75779,0.35054,-1.35557125859125,True
4132_64,0.81389,0.6408,0.021357,-1.3183,0.077152,-1.67045975234334,True
4133_67,1,1000,0,1.6818,0.55635,-Inf,True
4176_76,0.98885,1.9478,0.00081245,-2.411,0.02782,-3.09020335698573,True
4188_69,1,1000,0,1.959,0.61985,-Inf,True
4192_59,0.74469,0.4649,0.030384,-1.189,0.087884,-1.51735505260706,True
4301_62,0.92905,1.1171,0.0069297,-1.8823,0.047871,-2.15928556642207,True
4365_60,1,1000,0,2.6224,0.7549,-Inf,True
4402_81,1,1000,0,1.9289,0.61368,-Inf,True
4539_57,1,1000,0,2.4159,0.71675,-Inf,True
4541_45,0.80464,0.61477,0.021955,0.72904,0.33838,-1.65846655855959,True
4575_53,0.96675,1.4635,0.0029017,-1.8291,0.045822,-2.53734749027163,True
4620_80,1,1000,0,1.8279,0.59023,-Inf,True
4660_88,0.9044,0.97588,0.0087401,1.1037,0.42301,-2.05848359834961,True
4671_56,0.9989,2.9581,5.736e-05,1.0676,0.41078,-4.24139085734026,True
4720_40,0.71414,0.39762,0.035155,-1.1462,0.092085,-1.45401289772863,True
4747_79,1,1000,0,2.3785,0.70933,-Inf,True
4754_67,0.86159,0.79414,0.015384,-1.6739,0.060617,-1.81293072876958,True
4799_75,0.9521,1.2983,0.0047071,-1.6713,0.052481,-2.32724657522498,True
4834_53,1,1000,0,2.9917,0.81374,-Inf,True
4836_32,1,1000,0,1.4444,0.49982,-Inf,True
4893_83,1,1000,0,1.655,0.54985,-Inf,True
4905_55,1,1000,0,2.3009,0.69421,-Inf,True
4911_32,0.81969,0.65763,0.020209,-1.4073,0.073414,-1.69445517610502,True
4958_56,0.93125,1.1318,0.0064237,1.1447,0.43169,-2.19221474970118,True
4989_29,0.79324,0.58394,0.024107,-1.6096,0.069555,-1.61785683211575,True
4998_74,0.87574,0.84806,0.013633,-1.4859,0.065718,-1.86540856528912,True
5002_78,0.9838,1.7834,0.0013934,-1.8637,0.04316,-2.85592419380145,True
5011_29,1,1000,0,1.7873,0.58051,-Inf,True
5052_78,0.87434,0.8425,0.013839,1.0553,0.41263,-1.85889529067207,True
5071_32,0.72839,0.42841,0.032718,-1.3114,0.084874,-1.48521325192954,True
5079_75,0.98985,1.9891,0.00073864,-2.1687,0.033696,-3.13156717744743,True
