locus prob log10(PO) qval alpha fst
3_75 0.00900045 -2.04181 0.605342 -0.00095323 0.15872
5_36 1.0000 1000.0 0.0000 1.7071 0.47859
6_49 0.0064003 -2.1910 0.69220 0.0023375 0.15907
11_49 0.0051503 -2.2859 0.72842 0.00013338 0.15873
16_59 0.0076004 -2.1159 0.65407 -0.0016556 0.15857
19_91 0.64093 0.25164 0.051781 -1.1134 0.081537
20_88 0.49457 -0.0094250 0.081857 -0.91178 0.097705
24_57 0.011551 -1.9324 0.53120 0.0092200 0.16032
39_36 0.0068003 -2.1645 0.67928 -0.0018025 0.15849
53_84 0.057653 -1.2134 0.32074 -0.059474 0.15352
54_91 1.0000 1000.0 0.0000 2.8234 0.71386
63_78 0.0076504 -2.1130 0.65193 -0.00043675 0.15873
67_28 0.67443 0.31630 0.045984 -1.2076 0.076859
75_48 0.0066503 -2.1743 0.68344 0.00011831 0.15873
86_65 0.029151 -1.5225 0.39412 -0.041722 0.15573
88_61 0.96420 1.4303 0.0032918 -1.7978 0.038770
91_88 0.013351 -1.8687 0.50038 -0.0092117 0.15798
92_41 1.0000 1000.0 0.0000 1.9051 0.52265
93_56 1.0000 1000.0 0.0000 1.2812 0.38620
98_40 0.014601 -1.8292 0.48209 -0.011953 0.15767
101_40 0.0054003 -2.2652 0.72307 0.0019188 0.15893
109_73 0.13181 -0.81868 0.23111 0.12698 0.18002
111_79 0.0095005 -2.0181 0.58729 -0.0043509 0.15831
117_62 1.0000 1000.0 0.0000 2.7756 0.70494
121_62 0.017601 -1.7468 0.45324 -0.018679 0.15729
126_78 0.99790 2.6768 0.00010112 -2.2432 0.024690
139_71 0.020901 -1.6707 0.43223 -0.025160 0.15677
142_91 0.0079004 -2.0989 0.64295 -0.00030625 0.15878
148_88 0.017151 -1.7582 0.45643 -0.013881 0.15746
160_61 0.010501 -1.9742 0.55739 -0.0040501 0.15837
164_55 0.099805 -0.95518 0.26672 0.094922 0.17468
166_78 0.011101 -1.9498 0.54084 -0.0069373 0.15805
167_47 0.71829 0.40649 0.037345 -1.2663 0.071249
169_76 0.99200 2.0934 0.00056001 -2.3827 0.023679
174_91 0.0068003 -2.1645 0.67928 0.00059763 0.15880
183_55 0.0096005 -2.0135 0.58453 -0.0052247 0.15815
187_52 0.0078504 -2.1017 0.64442 0.00037840 0.15882
189_28 0.019701 -1.6969 0.44070 -0.015657 0.15722
192_82 0.012751 -1.8889 0.50894 -0.0085869 0.15802
198_50 1.0000 1000.0 0.0000 2.3774 0.62556
200_65 0.0069503 -2.1550 0.67454 0.0024972 0.15906
206_70 0.055603 -1.2301 0.32621 0.050392 0.16708
212_71 0.43302 -0.11706 0.10256 -0.79565 0.10536
220_76 1.0000 1000.0 0.0000 1.8917 0.51973
221_37 0.99810 2.7204 9.3673e-05 -2.1574 0.026357
227_47 0.038352 -1.3992 0.36296 -0.034076 0.15559
228_89 0.0076504 -2.1130 0.65193 0.0026399 0.15915
232_56 0.0059503 -2.2229 0.70804 0.0021431 0.15899
236_29 0.97160 1.5341 0.0023956 1.0614 0.34232
240_71 1.0000 1000.0 0.0000 1.3952 0.41064
244_78 0.0063003 -2.1979 0.69611 0.0014110 0.15893
245_66 0.33217 -0.30331 0.13078 -0.54454 0.11977
246_47 0.0086504 -2.0592 0.61669 -0.0017369 0.15859
248_70 0.016201 -1.7834 0.46602 -0.014554 0.15766
253_78 0.0086004 -2.0617 0.61813 -0.0035177 0.15843
256_50 1.0000 1000.0 0.0000 2.2144 0.59061
263_66 0.0042502 -2.3697 0.73663 0.00031952 0.15871
265_28 0.012451 -1.8994 0.51365 -0.0090828 0.15794
287_55 1.0000 1000.0 0.0000 1.4138 0.41425
297_73 0.0053503 -2.2693 0.72395 0.00087509 0.15881
298_35 0.52148 0.037331 0.073056 -0.87325 0.097169
308_46 0.27496 -0.42108 0.15015 -0.44348 0.12679
315_48 0.96770 1.4765 0.0029324 1.0761 0.34541
331_54 0.95700 1.3474 0.0042383 -1.6782 0.042154
348_68 1.0000 1000.0 0.0000 2.5812 0.66742
364_48 1.0000 1000.0 0.0000 2.2675 0.60202
367_29 1.0000 1000.0 0.0000 2.2761 0.60390
368_37 0.60868 0.19186 0.055695 -1.0479 0.085850
373_59 0.99840 2.7952 8.3899e-05 -2.0647 0.028316
376_68 0.0068503 -2.1613 0.67790 0.00015296 0.15879
377_89 0.0042502 -2.3697 0.73663 -0.00072190 0.15857
379_64 0.0083504 -2.0747 0.62628 0.00069969 0.15891
380_51 0.010701 -1.9659 0.55296 -0.0057434 0.15816
381_80 1.0000 1000.0 0.0000 1.7182 0.48116
388_77 0.0059503 -2.2229 0.70804 0.0012234 0.15887
391_49 0.0051503 -2.2859 0.72842 0.00028020 0.15872
392_34 0.0065503 -2.1809 0.68644 -0.00074774 0.15865
404_77 0.0087004 -2.0567 0.61485 -0.0034960 0.15835
410_60 0.015251 -1.8100 0.47306 0.010971 0.16046
411_53 0.20156 -0.59784 0.18636 -0.32107 0.13538
415_88 0.17086 -0.68599 0.20227 0.14017 0.18147
419_59 1.0000 1000.0 0.0000 1.5812 0.45092
420_65 0.027101 -1.5551 0.40180 -0.029679 0.15625
422_68 0.88884 0.90289 0.011016 -1.7331 0.047068
425_88 0.0066503 -2.1743 0.68344 0.0025281 0.15902
440_43 1.0000 1000.0 0.0000 1.1092 0.34945
445_54 0.0058503 -2.2303 0.71059 -0.00078085 0.15860
463_77 0.0060003 -2.2192 0.70582 0.0021085 0.15901
472_84 0.18081 -0.65617 0.19456 -0.33996 0.13626
481_87 0.011651 -1.9286 0.52863 -0.0068391 0.15821
490_42 1.0000 1000.0 0.0000 2.2231 0.59272
494_59 0.94115 1.2039 0.0055448 -1.9534 0.037784
512_73 0.0097505 -2.0067 0.57906 -0.0045152 0.15839
514_78 1.0000 1000.0 0.0000 1.4125 0.41374
522_56 1.0000 1000.0 0.0000 1.0992 0.34725
525_48 0.016451 -1.7766 0.46217 -0.012237 0.15752
528_85 0.0067503 -2.1677 0.68019 -0.0011803 0.15858
534_53 0.99370 2.1979 0.00041323 -2.0069 0.030629
535_75 0.11936 -0.86796 0.24626 -0.17910 0.14536
541_28 0.017451 -1.7505 0.45431 -0.011746 0.15751
545_39 0.0051503 -2.2859 0.72842 0.0013366 0.15887
548_43 0.0073004 -2.1335 0.66372 -0.0026828 0.15841
554_63 0.14366 -0.77532 0.22081 -0.25688 0.14135
557_40 0.0061003 -2.2120 0.70333 -0.0014543 0.15852
561_29 0.0056503 -2.2455 0.71750 0.0011920 0.15886
571_34 0.010351 -1.9805 0.56173 -0.0066889 0.15801
579_47 0.0055503 -2.2533 0.71940 0.00080138 0.15879
589_59 0.0066003 -2.1776 0.68574 -0.00088438 0.15861
592_62 0.39342 -0.18803 0.11302 -0.63844 0.11282
594_43 0.0065003 -2.1842 0.68870 0.0017024 0.15895
597_34 0.14396 -0.77426 0.22034 -0.21873 0.14246
605_85 0.011801 -1.9229 0.52563 -0.0082528 0.15792
612_65 0.0050003 -2.2988 0.73076 0.00053830 0.15875
613_30 0.99950 3.3008 2.6291e-05 -2.6277 0.017478
616_42 1.0000 1000.0 0.0000 1.8161 0.50287
617_66 1.0000 1000.0 0.0000 2.1470 0.57633
618_35 0.0038502 -2.4128 0.73933 0.00024659 0.15869
630_79 0.0065003 -2.1842 0.68870 0.0018752 0.15901
644_85 0.0048002 -2.3166 0.73268 -5.6035e-05 0.15868
647_56 0.096405 -0.97188 0.27323 -0.16277 0.14738
660_41 0.012351 -1.9029 0.51638 0.0087768 0.16030
663_90 0.010501 -1.9742 0.55739 -0.0010011 0.15886
669_43 1.0000 1000.0 0.0000 1.9820 0.53935
671_70 0.0082004 -2.0826 0.63193 -0.0036425 0.15837
673_76 0.0060503 -2.2156 0.70435 -0.0015913 0.15852
691_74 0.30977 -0.34796 0.13823 -0.49321 0.12287
694_47 0.011151 -1.9478 0.53894 -0.0072546 0.15802
695_52 0.093105 -0.98859 0.27710 -0.12087 0.14908
700_40 0.65423 0.27695 0.049887 -0.99173 0.084080
705_76 0.60193 0.17959 0.057773 -0.86324 0.091904
707_85 0.47672 -0.040464 0.088349 -0.87733 0.10001
708_48 0.60543 0.18594 0.056385 -1.0502 0.086153
716_59 0.016351 -1.7793 0.46397 0.012725 0.16077
719_48 0.0073004 -2.1335 0.66372 0.0033449 0.15919
721_39 0.23841 -0.50439 0.16561 0.17577 0.18663
730_60 0.0077504 -2.1073 0.64788 -0.0019925 0.15853
733_28 0.18756 -0.63665 0.19215 -0.34899 0.13558
734_45 0.0080504 -2.0907 0.63776 0.00075195 0.15891
735_70 1.0000 1000.0 0.0000 3.4666 0.81641
739_62 0.0084504 -2.0694 0.62339 0.0032908 0.15931
746_62 0.0095005 -2.0181 0.58729 -0.0035597 0.15845
752_70 0.030602 -1.5008 0.38759 -0.026369 0.15627
756_31 0.0079504 -2.0961 0.64112 -0.0024594 0.15848
765_32 1.0000 1000.0 0.0000 1.8322 0.50645
766_64 0.087504 -1.0182 0.28390 -0.13799 0.14872
768_53 0.0058503 -2.2303 0.71059 -0.0017099 0.15851
769_63 0.97500 1.5910 0.0019499 -1.8529 0.036251
772_85 0.0065003 -2.1842 0.68870 -0.0018110 0.15851
780_34 0.0051003 -2.2902 0.72940 -0.00054798 0.15860
786_29 0.70834 0.38536 0.040048 -1.3624 0.069882
792_76 0.0076004 -2.1159 0.65407 0.0031210 0.15917
803_85 0.0082004 -2.0826 0.63193 0.0027579 0.15916
805_81 0.0053503 -2.2693 0.72395 -0.0020493 0.15843
813_74 0.0055003 -2.2572 0.72066 0.0012200 0.15885
815_86 1.0000 1000.0 0.0000 1.6198 0.45940
820_47 0.046752 -1.3094 0.34334 0.042863 0.16586
825_91 0.11916 -0.86878 0.24717 -0.20014 0.14470
