Locus	fst	chromosome	position
7241	0.1024	LG01	77324
15791	0.0127	LG01	141695
16040	0.016	LG01	214355
5023	0.0107	LG01	214443
15232	1e-04	LG01	1020445
16742	-0.0034	LG01	1741024
23271	-0.0019	LG01	2020904
5208	-0.0097	LG01	2044448
13090	-0.0052	LG01	2507110
14344	0.1052	LG01	2557271
3464	-0.0055	LG01	2734393
25135	-0.0032	LG01	3189475
14379	3e-04	LG01	3282792
16039	-5e-04	LG01	3360383
1617	3e-04	LG01	3728784
21801	0.0054	LG01	3842286
15543	-0.0017	LG01	3923225
19183	2e-04	LG01	4056640
18328	-0.0019	LG01	4337363
22648	0.0079	LG01	4342933
1773	-8e-04	LG01	4343021
20195	0.0014	LG01	4436797
24083	0.0071	LG01	4439028
13162	0.0116	LG01	4650983
14814	-0.0031	LG01	4757332
5894	-9e-04	LG01	5179409
14329	-1e-04	LG01	5404659
13937	1e-04	LG01	5901020
14234	0.0166	LG01	5909093
8445	0.0093	LG01	6120990
4739	-0.0034	LG01	6163089
24874	-0.0057	LG01	6163947
24436	0.0053	LG01	6191353
15217	5e-04	LG01	6363572
19232	-0.0061	LG01	6367870
13020	0.013	LG01	6378884
15240	-0.0079	LG01	7286931
20343	-0.0068	LG01	7310623
2151	-0.0075	LG01	7446401
15269	0.0259	LG01	7489971
8242	-0.0067	LG01	7621451
10366	0.019	LG01	7718267
1190	0.0013	LG01	8092422
13142	0.0038	LG01	8383158
20	0.0043	LG01	8417786
4132	0.0107	LG01	8475035
4244	0.0118	LG01	8751793
8148	0.0299	LG01	8752897
23057	0.011	LG01	8762573
24643	0.0061	LG01	8762661
20437	0.0076	LG01	8869410
1094	0.0098	LG01	8989975
15675	3e-04	LG01	8990063
25114	1e-04	LG01	9008309
12917	7e-04	LG01	9329019
16982	0.0144	LG01	9333078
7545	0.0078	LG01	9399694
23449	-0.0027	LG01	9519370
11115	0.013	LG01	9595976
14661	0.0354	LG01	9665708
4494	0.0054	LG01	9685227
12793	0.0553	LG01	9691847
1833	0.0062	LG01	9761602
9729	0.0172	LG01	10497992
13041	0.0249	LG01	10868696
11140	-0.0066	LG01	11291570
9596	7e-04	LG01	11383360
22978	-0.0039	LG01	11703390
2780	-0.0041	LG01	11869646
24673	-6e-04	LG01	12331744
19031	0.0121	LG01	12492400
21720	1e-04	LG01	12649886
21844	3e-04	LG01	12649886
1104	0.0122	LG01	12761963
669	0.0545	LG01	12788651
1565	0.0063	LG01	12864533
9825	0.0042	LG01	12866887
9456	-0.0028	LG01	12895039
17342	-0.0011	LG01	13165795
13276	-0.0029	LG01	13203369
15037	-0.0071	LG01	13433828
1848	-0.0022	LG01	13443093
8920	0.0104	LG01	13525139
2362	-8e-04	LG01	13543511
253	9e-04	LG01	13663746
17183	0.0047	LG01	14174929
24779	0	LG01	14182553
14720	-0.0012	LG01	14360204
22931	3e-04	LG01	14391336
20245	0.0413	LG01	14915282
10524	0.0157	LG01	15222575
6220	0.0252	LG01	15305774
12001	4e-04	LG01	15477998
5584	0.022	LG01	15478086
14461	0.0034	LG01	15523673
16036	0.0699	LG01	15698538
20222	0.0137	LG01	15949701
765	3e-04	LG01	16350985
9305	0.0045	LG01	16799615
15427	0.0087	LG01	17088969
2990	0.0023	LG01	17231504
24372	-0.0127	LG01	17254201
6225	-0.0019	LG01	17343059
14934	0.046	LG01	17381925
23717	0.0168	LG01	17410032
16441	0.0012	LG01	17478244
11370	-0.0025	LG01	17483374
7823	0.0036	LG01	17686137
15708	0.0103	LG01	17762848
23836	7e-04	LG01	17891826
3794	-0.0015	LG01	17891914
13135	0.0105	LG01	17894333
4365	0.0053	LG01	18164746
10477	0.0016	LG01	18299147
18099	4e-04	LG01	18634387
6218	0.0096	LG01	18938963
7173	0.0291	LG01	18990205
4301	-0.0038	LG01	18990497
20154	4e-04	LG01	19065023
20926	0.0031	LG01	19851693
9000	4e-04	LG01	20164805
15443	0.003	LG01	20190362
17329	0.0027	LG01	20190450
24989	0.0029	LG01	20217301
7326	0.0098	LG01	20934271
3223	7e-04	LG01	21052003
21583	0.0208	LG01	21139714
24866	-8e-04	LG01	21344701
17281	-0.0099	LG01	21440315
24790	0.0082	LG01	21474522
2874	-0.0024	LG01	21713494
10399	-0.0015	LG01	22235777
12877	-0.0055	LG01	22265414
16033	-0.0051	LG01	22274751
829	0.0039	LG01	22477868
24934	0.003	LG01	22930946
11054	0.0124	LG01	22931034
2866	-0.007	LG01	23087036
6801	-9e-04	LG01	23099470
9277	0.0096	LG01	23131469
5569	0.0062	LG01	23205145
9926	0.0052	LG01	23296870
22373	-0.006	LG01	23816773
4003	-0.0052	LG01	24038892
17121	-0.0057	LG01	24067024
3776	0.0037	LG01	24455925
4909	0.013	LG01	24794728
11479	-0.0025	LG01	24916735
9421	0.0013	LG01	24972595
67	0.005	LG01	25118415
8948	-0.0031	LG01	25476939
9870	7e-04	LG01	25537657
7341	-0.0012	LG01	25623962
13766	6e-04	LG01	26270788
126	0.0021	LG01	26277273
2672	-2e-04	LG01	26278837
9996	-0.0027	LG01	26278925
23915	0.0033	LG01	26446274
14634	0.0016	LG01	26802776
1059	0.0043	LG01	27624343
2973	0.0325	LG01	27732633
3630	1e-04	LG01	28032467
25095	0.0102	LG01	28089675
2966	7e-04	LG01	28089763
13923	-0.0029	LG01	28259281
9530	-0.0035	LG02	486766
9673	0.0087	LG02	549312
16332	-0.0013	LG02	563449
18249	0.0021	LG02	565546
12161	-7e-04	LG02	704956
2227	4e-04	LG02	1753025
12720	0.0066	LG02	1753113
16396	0.015	LG02	1855213
12652	-0.0081	LG02	2196715
5819	0.0088	LG02	2217111
21402	-0.0122	LG02	2444342
24808	-0.0013	LG02	2862479
8450	0.0093	LG02	2934383
14890	0.0033	LG02	3068799
11304	0.013	LG02	4112741
1206	-0.003	LG02	4112829
14293	0.0112	LG02	4229502
20501	-0.0082	LG02	4299068
5692	-0.0032	LG02	4299155
17606	0.0108	LG02	4524449
23345	0.0154	LG02	4533055
265	0.0328	LG02	4572030
13038	-0.0078	LG02	5142106
24740	-0.0124	LG02	5175883
16683	0.0029	LG02	5502143
15714	-0.0049	LG02	5577796
20284	-0.0056	LG02	5625109
8581	0.0174	LG02	5756973
21377	0.0019	LG02	5810716
20373	0.0109	LG02	5899155
8277	-0.0058	LG02	5947585
9741	-0.0014	LG02	5980256
803	4e-04	LG02	6015120
19750	-0.0057	LG02	6566985
9632	0.0045	LG02	6571036
1082	-0.0029	LG02	7995350
6709	0.0031	LG02	8318815
15007	-0.005	LG02	8436896
6441	0.1213	LG02	8567129
10012	0.1142	LG02	8567215
14655	0.0127	LG02	8606584
7132	0.0236	LG02	8637797
368	-0.0022	LG02	8817267
21296	-0.005	LG02	8900071
12065	0.023	LG02	9912651
15557	0.016	LG02	9912739
17073	0.0057	LG02	10365156
23838	0.0276	LG02	11039942
19045	8e-04	LG02	11101487
2332	0.0039	LG02	11144818
10113	0.0073	LG02	11368661
20452	4e-04	LG02	11371678
19126	0.0083	LG02	11403166
6887	0.012	LG02	11466154
8305	-0.0024	LG02	11675992
8547	-0.002	LG02	11866579
15735	3e-04	LG02	11907621
17332	0.0227	LG02	12300457
3116	0.0177	LG02	12426111
17016	-0.0027	LG02	12664574
15872	0.045	LG02	13098019
1858	-0.0068	LG02	13158554
2196	1e-04	LG02	13700077
22699	-0.0011	LG02	13825179
7332	0.0119	LG02	14302912
3172	0.0102	LG02	14430240
18049	-0.0115	LG02	15045848
5196	0.025	LG02	16247316
18780	0.0244	LG02	16247404
695	0.0109	LG02	16820235
3791	-8e-04	LG02	16926107
766	0.0185	LG02	17006437
246	0.0116	LG02	17086725
14249	0.0273	LG02	17331983
22014	0.0374	LG02	17465390
9604	0.0029	LG02	17526987
11273	0.011	LG02	17972205
23203	-0.0028	LG02	18131841
17978	0.0274	LG02	18279914
8045	-0.0011	LG02	18447659
21277	0.0012	LG02	18598638
3721	0.0222	LG02	18900520
23624	0.0207	LG02	19001001
1906	-0.0119	LG02	19009588
23112	0.0068	LG02	19178339
17391	-0.0043	LG02	19424468
22131	0.0252	LG02	19717408
