Locus	Fst
23990	0.1393
16074	0.0677
17526	0.3381
23448	0.0580
4025	0.0374
11546	0.1481
11547	0.2091
11548	0.1874
22663	0.1617
23445	0.3646
11385	0.0099
8805	0.0397
5980	0.2970
5987	0.1369
17523	0.3373
24713	0.0268
348	0.9109
19377	0.4395
19371	0.2269
25065	0.0228
12701	0.0611
12705	0.5573
22003	0.2471
22007	0.0326
6797	0.1690
10965	0.0554
6795	0.0462
4736	0.1902
2310	0.2077
23449	0.9028
5851	0.2764
25662	-0.0040
297	0.0854
292	0.3045
3680	0.8535
21107	0.0853
25289	0.2649
25286	0.8703
16490	0.2151
19971	0.0071
13547	0.2950
16709	0.0129
22710	0.1216
16255	0.1502
25444	0.5058
25445	0.9918
25446	0.0466
4836	0.4932
22719	0.0603
22718	0.0082
18188	0.4678
22488	0.1832
11769	0.1112
25594	0.0104
1132	0.1177
11762	0.1496
17252	0.1639
17255	0.0677
20744	0.0963
2446	0.8999
17038	0.8136
24886	0.2430
7861	0.1312
101	0.3683
21613	0.3888
4810	0.5593
11089	0.1781
21290	0.7023
9416	0.4073
11611	0.4720
12122	0.0404
6374	0.1568
12124	0.5459
11618	0.0394
6377	0.2484
20520	0.0715
10414	0.0744
11947	0.1283
11945	0.0356
14134	0.0250
10419	0.1933
14137	0.1003
9630	0.1462
2638	0.0306
16925	-0.0056
14628	0.0269
24871	0.1307
9744	0.0690
93	0.3566
10568	0.3612
9749	0.0716
21437	-0.0067
1995	0.1476
22813	0.2876
1629	0.0397
3208	0.1649
13059	0.0568
13052	0.0278
21251	0.0268
8831	0.2481
18925	0.1771
18703	0.2373
2866	0.0937
14715	0.8016
15661	0.0186
15667	0.4444
7671	0.1930
20259	0.2050
3342	0.6033
5451	0.0513
7077	0.7220
21709	0.0015
21708	0.0353
1753	0.0780
1176	0.4965
15910	0.1074
8165	0.1030
16902	0.0544
23055	0.3863
13941	0.0328
23051	0.0224
5532	0.1904
5538	0.1597
1285	0.1802
14405	0.2643
11162	0.0964
1578	0.5803
7187	0.0086
23619	0.2051
8019	0.3080
23612	0.1069
22954	0.0336
8543	0.4455
23614	0.4978
10761	0.0315
6570	0.3218
7452	0.8657
4380	0.6016
5622	0.4821
23870	-0.0012
8499	0.8294
7698	0.0754
23127	0.0863
23290	0.0507
3832	0.0712
3833	0.0674
18938	0.8557
23478	0.6811
13720	0.1980
10480	0.4849
4032	0.4829
10880	0.0470
11576	0.1462
12878	0.1292
11378	0.0204
11375	0.0381
11376	0.0840
5661	0.0106
19387	0.0147
379	0.0419
6532	0.5986
19360	0.9421
16665	-0.0005
25055	0.0788
391	0.0496
390	0.1593
6147	0.1037
23848	0.0218
6144	0.7638
22013	0.1419
22011	0.0041
23872	0.0345
6926	0.4906
21470	0.0463
13610	0.1436
4720	0.0428
5845	0.1802
25612	0.1878
25615	0.0055
25616	-0.0009
25618	0.0104
11286	0.3211
17629	0.0143
22706	0.1629
16718	0.1472
22701	0.6233
25431	0.3084
19965	0.0666
19967	0.0446
16712	0.4806
25125	0.0832
25436	-0.0009
16179	0.0254
23685	0.6786
12005	-0.0027
20570	0.0621
11591	0.1602
20731	0.8321
9530	0.0004
25545	0.0019
25546	0.0677
7854	0.6078
25542	0.0018
24895	0.0784
21603	0.5926
25522	0.0065
2052	0.6952
4536	0.0673
13441	0.3547
4823	0.1303
21280	0.0111
21933	0.0015
9406	0.3751
21285	0.1813
10620	0.7045
9331	0.0952
20083	0.5815
20082	0.0710
22801	0.0653
23150	0.0245
20649	0.3154
22806	0.0961
10398	0.0615
20646	0.0749
7219	0.0423
21730	0.0009
13196	0.4071
12220	0.1058
10713	0.1526
2694	0.0354
6218	0.0348
19975	0.6679
23883	0.0224
15701	0.1293
6814	0.0987
9755	0.0055
23334	0.0677
10577	0.0043
18934	0.2120
3233	0.0777
7327	0.1255
18931	0.1313
7322	0.0106
3235	0.0999
1617	0.1334
7328	0.7111
5190	0.0191
8847	0.1983
15677	0.6666
18713	0.1034
3351	0.2631
20061	0.1407
20068	0.1754
18629	0.4281
15907	0.0027
6965	0.0713
15903	0.0081
15456	0.0060
18768	0.3514
8155	0.4105
768	0.0526
8150	0.0126
8623	0.0928
18159	0.0406
5508	0.3918
23722	0.0656
14478	0.0526
11113	0.0297
14476	0.0561
546	0.1368
545	0.1221
7193	0.0362
13845	0.5972
23603	0.4599
23608	0.2204
3887	0.5035
16389	0.8593
8020	0.0621
9985	0.0047
8534	0.8662
9980	0.5110
14505	0.1218
14506	0.0390
11023	0.0290
14502	0.2428
6565	0.8407
6567	-0.0010
6560	0.3186
5614	0.0002
10211	0.0050
419	0.0977
7688	0.3773
3827	0.5489
23267	-
22640	0.3333
8449	0.0987
11566	0.1277
13991	0.0814
23845	0.0431
7535	0.2206
367	0.7832
364	0.7702
24772	0.0455
19353	0.1512
19351	0.0347
19608	0.1189
16659	0.1956
20623	0.1103
22029	0.0081
16650	0.0114
22337	0.0023
12726	0.1470
23866	0.5847
4754	0.0093
10980	0.1349
10983	0.1025
25602	0.1326
9967	0.1154
24600	0.1126
5875	0.1787
11293	0.0022
11290	0.3254
25132	0.4122
3750	0.2269
25139	0.0184
3756	0.3187
2196	0.8429
16231	0.1457
19910	0.1086
256	0.6133
25424	0.0040
11741	0.1732
21616	-0.0010
2204	0.0020
12034	0.0615
19735	0.6759
19598	-0.0025
6687	0.1353
18760	0.0798
20899	0.1018
21381	0.1577
25554	0.0094
25552	-0.0013
16343	0.1118
164	0.2018
167	-0.0024
7841	0.6920
13295	0.2286
13650	0.9259
4525	0.2179
4832	0.0412
4522	0.1008
4837	0.0915
12108	0.0977
11638	0.2338
7998	0.0221
2510	0.0927
6199	0.0481
23429	0.2743
2733	-0.0018
10167	0.0769
20091	0.2614
23342	0.1119
20096	0.2601
10160	0.2345
9187	0.0836
9185	0.0768
13180	0.2552
20656	0.0058
10366	0.0468
17746	0.2149
5052	0.4332
5053	0.4946
14889	0.1367
16906	0.0021
16905	0.0126
14881	0.0137
14882	0.3805
1818	0.1505
7206	0.5340
14887	0.3364
12213	0.1309
23094	0.1691
12217	0.0068
12216	0.0326
6225	0.1290
10769	0.0830
6229	-0.0018
1157	0.1087
18892	0.2480
14864	0.0050
21921	0.0822
15841	0.0570
22726	0.0359
25402	0.0012
10504	-0.0083
1973	0.4183
3223	0.0599
13275	0.0688
12127	0.2689
8857	0.0336
805	0.1746
804	0.1483
12920	0.3763
18099	0.6876
15607	0.3607
18092	0.4839
2842	0.3886
14268	0.1745
3325	0.0256
14266	0.0870
14260	0.2154
10184	0.2944
5279	0.1220
18452	0.1433
5516	0.3797
8149	0.1550
18166	0.4754
23078	0.0692
15934	0.7355
8637	0.0426
8143	0.0296
6997	0.0101
8145	-0.0020
1153	0.0437
8630	0.0394
24543	0.0487
15112	0.1146
1553	0.0772
1555	0.1508
11102	0.0375
54	0.9413
11101	0.1121
2995	0.0667
2997	0.6081
8707	0.3863
25426	0.0003
15598	0.1522
56	0.0094
13857	0.2752
24083	0.8110
5607	0.0205
5600	0.0688
8527	0.0609
8526	0.0955
8525	0.4441
12584	0.1067
6519	0.0844
14510	0.0831
15168	0.0382
1393	0.4134
22655	0.1199
3814	0.2901
23494	0.0568
23490	-0.0064
22386	0.1238
22385	0.2699
6424	0.0001
11359	-0.0013
19160	0.2241
12450	0.1728
12458	0.0765
22033	-0.0024
16134	0.0489
16135	0.6352
19340	0.0644
19342	0.0840
23674	0.2926
19294	0.3553
10994	0.1472
23817	0.0900
9976	-0.0149
19761	0.2196
9971	0.1890
25638	-0.0017
25634	-0.0010
9979	0.0056
9978	0.2763
25416	0.8262
25414	0.0249
17359	0.0402
25411	0.0161
25410	0.0046
17606	0.1417
17357	0.1162
24942	0.2342
25419	-0.0009
24941	0.2071
12025	0.0492
12026	0.0174
22729	0.1169
2185	0.2102
227	0.1159
4604	0.0555
2188	0.0866
25389	0.0067
4601	0.1131
23927	0.2410
23926	0.3031
23922	0.1815
23929	0.0721
6693	0.1263
19587	0.3306
6697	0.1003
19581	0.2091
19418	0.1088
154	0.1342
20719	0.8916
21629	-0.0053
25561	0.3280
16823	0.2153
25566	-0.0010
25564	-0.0021
25568	-0.0097
17516	0.0412
16358	0.2015
25091	0.5293
12114	0.7559
12116	0.0766
13462	0.0235
10824	0.1404
4514	0.1412
6187	0.0738
9428	0.6045
6182	0.0059
9421	0.1918
2506	0.0285
17777	0.0311
2726	0.2049
14517	0.1116
5281	0.1110
10172	0.3574
5287	0.1029
7945	0.0846
9192	0.0024
7940	0.3548
22828	0.0014
22824	0.7254
20667	0.1724
22821	0.0433
3782	0.1429
3780	0.5500
8993	0.4072
16911	0.0688
10772	0.0899
9514	0.9064
10828	0.7999
20500	0.0135
6230	0.3484
4998	0.0150
20447	0.0569
20444	0.2311
1547	0.0448
20913	0.1293
11820	0.6582
11823	0.9520
9770	0.0664
10514	0.0474
92	0.4715
18954	0.0933
9284	0.1212
18959	0.0922
13240	0.0581
813	0.0959
815	0.4656
18770	0.0599
2856	0.3070
1490	0.0640
10207	0.0470
21907	0.1733
19517	0.2260
1499	0.0624
14213	0.0009
10194	0.0901
5264	0.0455
10199	0.1448
15855	0.0212
21084	0.3665
1122	0.5551
8601	0.6711
6983	0.3020
11136	0.0260
11132	0.1612
15104	0.1645
14329	0.7331
17675	0.5843
17985	0.0231
3023	0.1351
24370	0.0663
24372	0.0081
25468	0.0007
522	0.6023
15585	0.0731
8045	0.5448
13869	0.0200
4195	0.3085
4192	0.0428
5677	0.1573
4354	0.1013
21317	0.0505
8288	0.0217
8289	0.1732
11003	0.2082
14526	0.1903
14524	0.1451
13056	0.1853
9359	0.0858
24287	0.0175
22621	0.2522
22626	0.2024
11346	0.0748
23248	0.0434
15327	0.1598
8196	0.2769
5709	0.0931
24751	0.0760
8195	0.3109
5705	0.0324
12449	0.2036
7559	0.1101
23395	0.1389
24598	0.0367
19628	0.0043
22283	0.0616
13641	0.4303
22284	0.0970
13883	0.0975
6754	0.8654
25628	0.0012
24621	0.1572
9947	0.4106
25620	0.2270
25622	0.0953
25623	0.0021
25624	0.0250
19045	0.2361
19023	0.1557
14243	0.3031
19245	0.0890
9270	0.0020
16743	0.0659
16746	0.0120
16748	0.5870
24971	0.5192
17342	0.5854
24976	0.2430
16219	0.3067
6429	0.8606
25390	0.0013
13509	0.1783
12055	0.0898
12054	-0.0019
2946	0.0365
12058	0.6119
236	0.1957
13504	-0.0001
24232	0.0578
4616	0.0713
20051	0.0540
12693	0.9161
23933	0.0064
2229	0.0138
2227	0.6446
24196	0.1472
20609	0.1733
10836	0.0599
5923	0.1381
10839	0.1859
21875	0.1787
21659	-0.0009
20164	0.1438
21879	0.7045
148	0.0249
21097	0.0101
7823	0.0174
25577	-0.0023
25572	0.5257
25085	0.5796
2081	0.0665
2536	0.1382
17760	0.3017
10699	0.0221
9168	0.0468
7227	0.0818
7950	0.1617
10691	0.0643
10342	0.0063
5071	0.0170
10346	0.3505
1831	0.4656
3798	0.1227
16965	0.0461
2153	0.0758
4989	-0.0009
930	0.4014
2158	0.2747
12277	0.2852
20905	0.0084
10523	0.1397
10520	0.0878
18566	0.7271
10529	0.4508
14667	0.1617
1951	0.7460
22445	0.0768
9704	0.1086
8872	0.0234
8878	0.2089
24114	0.0913
13258	0.2591
18419	0.0787
11905	0.1205
18415	0.0065
821	0.2919
4407	0.8096
4258	0.1211
4400	0.3348
15625	0.0227
12902	0.4939
3309	0.2885
20296	0.2717
5491	0.1436
5258	0.1717
20057	0.2406
21509	0.4690
9389	0.1505
15489	0.0567
2417	0.1878
15482	0.2858
1131	0.0029
15954	0.2464
15139	0.0425
11124	0.0489
12263	0.0511
24562	0.0831
15137	0.0867
15136	0.2479
7781	0.0390
17977	0.1252
7142	0.2864
18743	0.4904
8722	0.0843
13670	0.0053
8726	0.0520
1227	0.1029
8502	0.2611
8504	0.1538
8509	0.0438
23124	0.0201
4183	0.3372
13874	0.0744
