Locus	chromosome	position	fst
7241	LG01	77324	0.1202
15791	LG01	141695	0.7873
12205	LG01	144969	0.0853
16040	LG01	214355	0.0105
5023	LG01	214443	0.0135
15232	LG01	1020445	-0.0015
13670	LG01	1022687	0.0327
3096	LG01	1380478	0.8257
23271	LG01	2020904	0.5849
5208	LG01	2044448	0.0174
13090	LG01	2507110	0.6277
14344	LG01	2557271	0.189
3917	LG01	2734304	0.0121
3464	LG01	2734393	0.0198
24936	LG01	2977826	0.0428
25135	LG01	3189475	0.0298
14379	LG01	3282792	0.0119
13486	LG01	3357702	0.024
16039	LG01	3360383	0.0289
9350	LG01	3570289	0.1568
1617	LG01	3728784	0.1466
21801	LG01	3842286	-0.001
15543	LG01	3923225	0.0141
18328	LG01	4337363	-0.0013
22648	LG01	4342933	0.1033
1773	LG01	4343021	0.3028
20195	LG01	4436797	0.5353
6409	LG01	4436885	0.0169
18309	LG01	4438940	0.012
24083	LG01	4439028	0.8152
13162	LG01	4650983	0.2107
11437	LG01	4662599	0.0515
16955	LG01	4680553	0.1577
5894	LG01	5179409	0.0638
14329	LG01	5404659	0.7605
13937	LG01	5901020	0.3763
14234	LG01	5909093	0.223
11400	LG01	5957030	0.0523
4739	LG01	6163089	0.169
24874	LG01	6163947	0.0227
16209	LG01	6164035	0.0419
24436	LG01	6191353	0.1309
15217	LG01	6363572	0.0475
19232	LG01	6367870	0.0181
20794	LG01	6675702	0.0077
22437	LG01	6834192	0.0577
17825	LG01	6887258	0.9695
15240	LG01	7286931	0.2362
20343	LG01	7310623	0.0264
15269	LG01	7489971	0.1418
8242	LG01	7621451	0.0008
10366	LG01	7718267	-0.0015
24178	LG01	7923832	0.0328
12771	LG01	7923920	0.0152
9801	LG01	8078099	0.0301
1190	LG01	8092422	0.7647
20559	LG01	8160450	0.1627
13142	LG01	8383158	0.4637
20	LG01	8417786	0.0206
4132	LG01	8475035	0.0329
23556	LG01	8703318	0.1917
4244	LG01	8751793	0.0211
8148	LG01	8752897	0.106
23057	LG01	8762573	0.9693
24643	LG01	8762661	0.9664
20437	LG01	8869410	0.1063
1094	LG01	8989975	0.3325
15675	LG01	8990063	0.0204
25114	LG01	9008309	0.0122
5482	LG01	9010262	0.0532
12917	LG01	9329019	0.1189
16982	LG01	9333078	0.023
7545	LG01	9399694	0.8814
1713	LG01	9493971	0.106
23449	LG01	9519370	0.9008
11115	LG01	9595976	0.0729
1393	LG01	9598261	0.5847
14661	LG01	9665708	0.018
8312	LG01	9665796	0.1226
4494	LG01	9685227	0.0845
1833	LG01	9761602	0.0446
17660	LG01	9866994	0.0237
9645	LG01	10419488	0.0126
9729	LG01	10497992	0.0207
13041	LG01	10868696	0.0458
2455	LG01	10925525	0.0463
8789	LG01	11152405	0.2159
11140	LG01	11291570	0.5225
5753	LG01	11309141	0.0075
9596	LG01	11383360	0.0295
17561	LG01	11481567	0.157
22978	LG01	11703390	0.7638
1602	LG01	11804307	0.0372
2780	LG01	11869646	0.0257
13506	LG01	12222620	0.0384
24673	LG01	12331744	0.7479
19031	LG01	12492400	0.038
21720	LG01	12649886	0.0213
1104	LG01	12761963	0.0184
669	LG01	12788651	0.7485
9825	LG01	12866887	0.6225
9456	LG01	12895039	0.918
