Locus	fst	chromosome	position
1	19718	-0.0041	LG04	15786063
2	23990	0.0255	LG05	9266375
3	14478	-0.0047	LG12	25449544
4	19716	0.1449	LG01	13543599
5	21633	0.0965	LG16	3885750
6	23448	0.0141	LG11	26240894
7	4025	0.012	LG03	24223878
8	11546	0.0036	LG10	12653334
9	13732	0.0254	LG07	4878672
10	25250	-0.0015	LG10	4629105
11	166	-0.0042	LG02	23270721
12	11386	0.0215	LG15	19591012
13	5980	0.0034	LG09	21886663
14	16238	-0.0043	LG08	5811809
15	5984	0.0297	LG11	13375051
16	7514	-0.0051	LG09	9462378
17	19158	0.0105	LG15	9445017
18	25624	0.0019	LG19	12075773
19	348	-9e-04	LG16	19876759
20	19371	0.0376	LG09	10689203
21	19372	0.008	LG07	30915399
22	24840	-0.0041	LG17	15615212
23	14296	0.0045	LG22	20639374
24	22999	0.1093	LG16	7683559
25	12701	0.0756	LG06	653437
26	12705	0.0733	LG18	9156806
27	6156	-0.0028	LG02	15037451
28	6158	0.0893	LG11	24273058
29	6797	-0.0038	LG11	11597003
30	10965	0.0347	LG05	13105253
31	13600	0.121	LG16	6622274
32	13607	0.1658	LG15	24471470
33	2319	0.0183	LG07	20997192
34	4739	0.065	LG01	6163089
35	8305	0.0058	LG02	11675992
36	23449	-0.0071	LG01	9519370
37	5851	0.0174	LG02	21921687
38	5853	0.0484	LG09	9910448
39	297	0.0245	LG05	20858577
40	5859	-0.0097	LG23	5934977
41	17654	0.0448	LG14	14918702
42	21100	0.0328	LG20	15135577
43	24941	-0.0047	LG11	20323618
44	3680	0.008	LG17	8605809
45	3776	0.1299	LG01	24455925
46	15958	0.1582	LG23	12977353
47	25284	0.037	LG11	18813106
48	23364	-0.0036	LG21	1951878
49	4834	0.0393	LG11	12058857
50	12962	0.0717	LG07	20991578
51	19971	-0.0027	LG15	18510285
52	13547	0.0166	LG06	17746245
53	16257	0.0187	LG11	15142617
54	19975	0.0033	LG03	29149035
55	12108	-0.0055	LG13	414978
56	22719	-0.0027	LG16	26563582
57	18188	0.0083	LG09	19813932
58	23368	0.0096	LG19	11098386
59	15526	0.0211	LG21	16277340
60	7992	0.0196	LG20	17181919
61	12017	0.0949	LG09	12286191
62	22488	0.0218	LG09	17756102
63	15528	0.155	LG16	13025420
64	11768	0.026	LG07	21989855
65	11760	0.0389	LG07	9519203
66	2261	0.0155	LG21	19768537
67	17254	0.0441	LG21	9839979
68	17255	-0.0047	LG16	14444680
69	17256	0.0235	LG12	25161246
70	20744	-0.0073	LG05	23975122
71	2446	-0.0072	LG03	29018446
72	17036	-0.0074	LG07	16603045
73	17038	8e-04	LG09	17129440
74	9252	-0.0027	LG10	2489942
75	9251	0.0125	LG11	26642181
76	7865	0.0046	LG08	11365031
77	109	-0.0064	LG05	10536052
78	24886	0.1915	LG16	16745561
79	22900	0.1699	LG08	8301243
80	21614	0.0459	LG06	8028774
81	12430	-0.0044	LG21	18156381
82	101	0.0479	LG03	20685759
83	22905	-0.0078	LG22	4615278
84	7869	-0.0097	LG17	10688746
85	5824	-0.0068	LG04	9835263
86	2046	-0.007	LG05	11189734
87	4815	-0.006	LG03	12288968
88	15536	-0.0068	LG07	5891920
89	16814	0.2478	LG14	2926912
90	21290	0.026	LG05	16180064
91	21924	0.05	LG22	6202798
92	21921	0.0821	LG06	17047252
93	9419	0.0188	LG08	24203128
94	12123	0.0353	LG06	1575634
95	22541	0.0425	LG05	20236929
96	11618	0.044	LG13	13050029
97	6377	-0.0076	LG11	27229186
98	20522	0.0718	LG09	2507199
99	10414	0.0012	LG16	17455883
100	10413	0.0063	LG03	19637006
101	20526	0.0188	LG08	5973861
102	10410	0.1991	LG14	6016044
103	11947	0.0185	LG15	7306164
104	11943	0.0276	LG07	20442784
105	10386	-0.0028	LG06	3618928
106	24089	-0.0081	LG18	11306607
107	19758	0.0365	LG20	13703430
108	19391	0.0242	LG15	26295688
109	24083	0.0405	LG01	4439028
110	9323	0.0189	LG21	22259790
111	8098	-0.0035	LG05	7346643
112	9326	0.0155	LG19	12260534
113	8943	0.269	LG13	3879446
114	13338	0.0241	LG18	20235757
115	21721	0.0289	LG19	7685592
116	8948	-0.0048	LG01	25476939
117	9347	-0.0075	LG22	17143940
118	21726	-0.0054	LG14	5603751
119	14626	0.069	LG06	237123
120	20593	0.0063	LG13	16159441
121	6807	0.0655	LG05	9917870
122	6802	0.1387	LG22	7924236
123	98	-0.0055	LG12	20292473
124	10560	0.0862	LG17	11340830
125	9741	0.0421	LG02	5980256
126	93	0.0347	LG21	16435657
127	92	0.0094	LG10	10496043
128	20413	-0.0072	LG04	22474367
129	3207	0.0179	LG08	5648759
130	1995	0.0232	LG03	20433399
131	13935	0.0716	LG07	20916719
132	22813	0.0432	LG17	945052
133	1629	-0.0056	LG22	18697916
134	19393	0.1895	LG15	14447479
135	24158	0.0187	LG20	1953008
136	21540	0.0087	LG08	6956890
137	21704	-9e-04	LG14	2137806
138	13052	0.0207	LG11	18447466
139	8831	0.0186	LG21	12302764
140	17977	-0.0028	LG14	24906233
141	18703	-0.0081	LG20	19712595
142	2861	0.0215	LG14	15397625
143	2866	-0.0018	LG01	23087036
144	18704	-0.007	LG22	2749624
145	9228	0.013	LG15	14543912
146	14710	0.0206	LG23	3145700
147	14247	-0.0027	LG20	1842713
148	12948	0.0956	LG14	19332362
149	15667	3e-04	LG20	23656667
150	12946	0.0434	LG07	26921264
151	12945	0.0037	LG10	13448653
152	3348	0.0062	LG16	19834425
153	20259	0.0322	LG19	9435515
154	3342	0.0476	LG21	13232316
155	1190	-0.0073	LG01	8092422
156	1193	-0.0046	LG03	24543439
157	3341	0.0025	LG14	28893155
158	20257	-0.0051	LG13	23629689
159	20255	0.0087	LG04	17092539
160	18637	0.054	LG05	21652083
161	11415	0.0188	LG12	25161775
162	13333	0.3562	LG17	2707127
163	1176	0.0413	LG01	13275503
164	12493	0.0549	LG11	21490717
165	15442	-0.0069	LG03	23446575
166	6970	0.1311	LG16	12280659
167	6971	0.2112	LG03	2817594
168	4251	-0.0052	LG10	16638251
169	8168	0.0044	LG12	5940810
170	18149	0.1106	LG18	22171134
171	5539	0.0309	LG18	15263037
172	5538	0.027	LG23	9616094
173	24742	5e-04	LG22	8820938
174	1285	-0.0076	LG20	6673367
175	12068	0.0375	LG19	9420848
176	1287	0.0937	LG03	7081654
177	11166	0.142	LG03	2817506
178	11162	-0.0026	LG03	25703336
179	514	0.003	LG20	1413400
180	8086	-3e-04	LG13	14527894
181	19785	0.1294	LG07	19665494
182	1572	-0.0052	LG13	17972384
183	1571	0.0048	LG13	12440085
184	7183	-0.0051	LG13	16489759
185	18328	-8e-04	LG01	4337363
186	8389	0.011	LG14	9808133
187	8388	-0.0033	LG14	12461609
188	12709	-0.0068	LG15	18555128
189	18075	-0.0051	LG15	6218214
190	10232	-0.0027	LG16	26051334
191	8019	0.0828	LG16	24992183
192	8018	0.0067	LG04	18659305
193	8547	0.0679	LG02	11866579
194	23617	4e-04	LG02	22626275
195	23615	-0.004	LG10	14722708
196	6576	-0.0056	LG20	11159306
197	7450	-0.0062	LG16	23321770
198	4381	0.026	LG07	30092491
199	5623	-0.0013	LG08	7239686
200	5622	0.0439	LG12	17015598
201	7458	-0.005	LG07	17761824
202	12065	0.0183	LG02	9912651
203	8493	0.0426	LG11	17108879
204	404	-1e-04	LG13	423107
205	7690	0.0195	LG14	11180651
206	2033	-0.0064	LG04	24372151
207	8499	0.2224	LG04	23394825
208	7698	-0.0076	LG14	27129721
209	3834	-0.0066	LG19	2026203
210	23475	0.1162	LG03	11682954
211	3832	-0.0057	LG14	17957361
212	3833	0.0025	LG12	7696087
213	18938	-0.0058	LG23	14589392
214	22476	0.0026	LG14	20170436
215	4031	-0.0058	LG13	1193395
216	4032	-0.0043	LG16	28482320
217	13724	-0.0041	LG08	21563933
218	1229	0.0491	LG20	13703518
219	10882	0.0021	LG05	11668653
220	4036	0.0629	LG21	15316907
221	11576	-0.0019	LG07	10877109
222	11574	0.0217	LG17	10579200
223	23279	0.0563	LG16	8142193
224	16375	0.1159	LG12	17446219
225	12218	-0.0035	LG16	27383916
226	11378	0.0017	LG02	7657629
227	15788	0.0333	LG12	25185115
228	10960	0.0412	LG13	24575456
229	19384	0.0406	LG22	2473590
230	20867	0.0918	LG06	15224176
231	379	-0.0013	LG09	18491323
232	19146	0.1169	LG16	13115937
233	15003	0.0135	LG12	8128215
234	373	0.0014	LG08	21935513
235	377	-0.0038	LG17	4388510
236	376	-0.0056	LG17	491060
237	14909	0.0261	LG18	19225818
238	13608	0.1494	LG22	4982979
239	16667	0.0193	LG09	19262015
240	19360	0.0044	LG09	21644883
241	14864	0.0084	LG14	12377418
242	392	0.0121	LG23	8351293
243	391	-0.0029	LG16	21523873
244	12711	0.0956	LG22	19701486
245	6147	-0.0037	LG03	2759270
246	6144	-0.0071	LG12	6428619
247	22011	0.0439	LG10	4306943
248	2309	0.0061	LG23	2794005
249	5668	-0.0079	LG12	23159905
250	4729	-0.0063	LG15	10706163
251	21470	0.0194	LG08	24761922
252	10978	0.0301	LG11	3709479
253	4727	-0.0063	LG06	489796
254	13610	0.0108	LG18	18734658
255	4720	-0.007	LG18	19645438
256	23082	0.0121	LG18	13862641
257	5845	0.0373	LG13	14709344
258	19304	-0.003	LG20	16370657
259	11282	0.0207	LG11	2541278
260	17625	0.0111	LG14	1955317
261	17624	0.0437	LG18	12170837
262	17629	0.0183	LG05	14114194
263	21118	0.1918	LG09	17644011
264	16482	-6e-04	LG13	9438752
265	2880	0.0771	LG20	8455705
266	16480	-0.0024	LG15	14087189
267	4620	0.058	LG10	7813485
268	244	0.0096	LG10	5851012
269	13533	0.0187	LG16	10109648
270	246	0.0065	LG02	17086725
271	240	0.0049	LG15	22676655
272	13537	0.0866	LG06	8949504
273	19964	-0.0052	LG11	5576643
274	23457	-0.0051	LG07	2323253
275	23685	0.0714	LG15	10818312
276	2279	0.0574	LG19	9742404
277	11759	0.356	LG08	18102613
278	24196	0.0043	LG11	3832245
279	11591	0.2318	LG12	9634261
280	25059	0.0782	LG07	12195992
281	20885	-0.0069	LG07	12288312
282	20732	0.0857	LG14	7233848
283	20735	5e-04	LG04	16801618
284	9538	0.0686	LG10	18851597
285	2455	0.0285	LG01	10925525
286	23427	0.0717	LG05	5411902
287	9247	-0.0065	LG18	1960035
288	9530	0.0368	LG02	486766
289	17282	0.0117	LG17	14093189
290	7855	-0.0061	LG01	13272763
291	174	0.0541	LG08	1312422
292	24976	-0.0055	LG05	20961741
293	17533	0.0066	LG04	9999171
294	23146	0.0681	LG10	23430455
295	4539	0.0637	LG23	192827
296	23159	0.0594	LG08	24547395
297	4824	-0.0013	LG15	19559265
298	21106	0.079	LG22	7620118
299	3694	0.0075	LG04	23536033
300	14166	-0.0067	LG15	21897538
