locus prob log10(PO) qval alpha fst
3_75 0.00100005 -2.99954 0.911747 -0.00014214 0.16825
5_36 0.0022001 -2.6566 0.76490 0.0016520 0.16851
6_49 0.0011001 -2.9581 0.89636 -0.00013170 0.16823
11_49 0.00075004 -3.1246 0.93671 1.2155e-05 0.16824
16_59 0.00085004 -3.0702 0.92821 0.00041102 0.16831
19_91 0.0020501 -2.6873 0.77163 -0.0022932 0.16803
20_88 0.0010501 -2.9783 0.90438 -0.00052623 0.16818
24_57 0.0012501 -2.9025 0.86749 0.00031350 0.16830
39_36 0.0014501 -2.8380 0.82712 -0.00090996 0.16815
53_84 0.0025001 -2.6010 0.75162 -0.0020783 0.16803
54_91 1.0000 1000.0 0.0000 2.3173 0.63576
63_78 0.0011501 -2.9388 0.88756 0.00023966 0.16832
67_28 0.0010501 -2.9783 0.90438 -0.00066863 0.16817
75_48 0.0010501 -2.9783 0.90438 0.00053237 0.16832
86_65 0.00075004 -3.1246 0.93671 -0.00013668 0.16822
88_61 0.0091005 -2.0370 0.59723 -0.014849 0.16713
91_88 0.00075004 -3.1246 0.93671 0.00033767 0.16829
92_41 0.059353 -1.2000 0.34937 0.086973 0.18481
93_56 0.0018001 -2.7439 0.78782 0.0016339 0.16852
98_40 0.0014501 -2.8380 0.82712 -0.0012848 0.16813
101_40 0.00045002 -3.3466 0.94797 7.5020e-05 0.16824
109_73 0.00055003 -3.2594 0.94564 0.00033352 0.16828
111_79 0.00070004 -3.1546 0.93984 -6.7091e-05 0.16823
117_62 1.0000 1000.0 0.0000 2.0767 0.58551
121_62 0.00065003 -3.1868 0.94221 -8.0059e-05 0.16823
126_78 0.020801 -1.6728 0.49188 -0.039645 0.16548
139_71 0.0010001 -2.9995 0.91175 -4.3048e-05 0.16822
142_91 0.0013501 -2.8691 0.84761 -0.00038848 0.16821
148_88 0.0021501 -2.6666 0.76794 -0.0015272 0.16814
160_61 0.00095005 -3.0218 0.91872 -0.00034432 0.16822
164_55 0.00070004 -3.1546 0.93984 0.00010575 0.16826
166_78 0.00095005 -3.0218 0.91872 -0.00049825 0.16820
167_47 0.0021501 -2.6666 0.76794 -0.0021581 0.16806
169_76 0.0026001 -2.5839 0.74725 -0.0041761 0.16793
174_91 0.00075004 -3.1246 0.93671 0.00019794 0.16826
183_55 0.0010501 -2.9783 0.90438 -0.00059202 0.16817
187_52 0.0011501 -2.9388 0.88756 -0.00048634 0.16821
189_28 0.0076004 -2.1159 0.61581 -0.010439 0.16738
192_82 0.00095005 -3.0218 0.91872 6.1191e-05 0.16825
198_50 0.99975 3.6019 2.1496e-05 1.7581 0.51332
200_65 0.0011501 -2.9388 0.88756 -0.00042730 0.16819
206_70 0.0013001 -2.8855 0.85594 0.00068482 0.16836
212_71 0.0012001 -2.9203 0.87760 -0.00070214 0.16817
220_76 1.0000 1000.0 0.0000 1.5439 0.46499
221_37 0.075604 -1.0873 0.31433 -0.15381 0.15782
227_47 0.0022001 -2.6566 0.76490 -0.0023449 0.16801
228_89 0.00055003 -3.2594 0.94564 -5.0833e-05 0.16823
232_56 0.00060003 -3.2216 0.94407 0.00026747 0.16827
236_29 0.0010001 -2.9995 0.91175 0.00063259 0.16834
240_71 0.0018001 -2.7439 0.78782 0.0016954 0.16854
244_78 0.00075004 -3.1246 0.93671 -0.00051905 0.16818
245_66 0.0010501 -2.9783 0.90438 -0.00035414 0.16819
246_47 0.00080004 -3.0965 0.93293 0.00011359 0.16828
248_70 0.0012501 -2.9025 0.86749 -0.00045276 0.16821
253_78 0.0019001 -2.7204 0.78092 -0.00072485 0.16821
256_50 0.19871 -0.60557 0.18494 0.31719 0.22956
263_66 0.00050003 -3.3008 0.94708 8.3719e-05 0.16824
265_28 0.00095005 -3.0218 0.91872 9.2499e-05 0.16825
287_55 0.0013501 -2.8691 0.84761 0.0011936 0.16844
297_73 0.0012501 -2.9025 0.86749 -0.00022685 0.16823
298_35 0.0012001 -2.9203 0.87760 -0.00097133 0.16814
308_46 0.0010501 -2.9783 0.90438 -0.00073583 0.16817
315_48 0.00050003 -3.3008 0.94708 0.00023297 0.16827
331_54 0.11326 -0.89374 0.25331 -0.24525 0.15231
348_68 1.0000 1000.0 0.0000 1.8791 0.54075
364_48 0.30272 -0.36238 0.11721 0.48646 0.26236
367_29 0.47677 -0.040377 0.059178 0.76817 0.31701
368_37 0.0015001 -2.8232 0.81975 -0.00066164 0.16817
373_59 0.019801 -1.6946 0.49770 -0.035597 0.16570
376_68 0.00095005 -3.0218 0.91872 -0.00049530 0.16819
377_89 0.00055003 -3.2594 0.94564 -7.9603e-05 0.16822
379_64 0.00095005 -3.0218 0.91872 6.0948e-05 0.16826
380_51 0.00070004 -3.1546 0.93984 6.6264e-06 0.16823
381_80 0.0053003 -2.2734 0.65996 0.0063350 0.16941
388_77 0.0011501 -2.9388 0.88756 0.00029746 0.16829
391_49 0.0010501 -2.9783 0.90438 -0.00021114 0.16823
392_34 0.00095005 -3.0218 0.91872 -8.7980e-05 0.16824
404_77 0.0011001 -2.9581 0.89636 -0.00035025 0.16822
410_60 0.00080004 -3.0965 0.93293 0.00051392 0.16831
411_53 0.0010501 -2.9783 0.90438 -0.00045662 0.16819
415_88 0.00055003 -3.2594 0.94564 0.00015970 0.16825
419_59 0.0027501 -2.5594 0.74056 0.0028321 0.16875
420_65 0.00085004 -3.0702 0.92821 -0.00022357 0.16821
422_68 0.0015001 -2.8232 0.81975 -0.0014817 0.16810
425_88 0.00050003 -3.3008 0.94708 -5.6538e-05 0.16822
440_43 0.00080004 -3.0965 0.93293 0.00042745 0.16830
445_54 0.00045002 -3.3466 0.94797 0.00010481 0.16824
463_77 0.00080004 -3.0965 0.93293 1.2306e-05 0.16825
472_84 0.00085004 -3.0702 0.92821 -0.00047021 0.16819
481_87 0.00070004 -3.1546 0.93984 0.00018141 0.16827
490_42 0.99985 3.8238 1.3593e-05 1.7418 0.50976
494_59 0.0012501 -2.9025 0.86749 -0.00087759 0.16815
512_73 0.0019501 -2.7091 0.77798 -0.0027846 0.16803
514_78 0.10336 -0.93829 0.26486 0.10842 0.18751
522_56 0.0012001 -2.9203 0.87760 0.00083400 0.16837
525_48 0.0014001 -2.8532 0.83716 -0.00087912 0.16814
528_85 0.00055003 -3.2594 0.94564 -9.0282e-05 0.16822
534_53 0.017701 -1.7442 0.51117 -0.032012 0.16595
535_75 0.00080004 -3.0965 0.93293 -0.00033479 0.16819
541_28 0.0017001 -2.7688 0.79740 -0.0013620 0.16810
545_39 0.00055003 -3.2594 0.94564 -0.00030676 0.16820
548_43 0.00025001 -3.6019 0.94931 -2.2553e-05 0.16822
554_63 0.0010001 -2.9995 0.91175 -0.00022303 0.16821
557_40 0.00065003 -3.1868 0.94221 -4.8884e-05 0.16822
