Locus	chromosome	position	fst
7241	PCodG	77324	0.1202
15791	PCodG	141695	0.7873
12205	PCodG	144969	0.0853
16040	PCodG	214355	0.0105
5023	PCodG	214443	0.0135
15232	PCodG	1020445	-0.0015
13670	PCodG	1022687	0.0327
3096	PCodG	1380478	0.8257
23271	PCodG	2020904	0.5849
5208	PCodG	2044448	0.0174
13090	PCodG	2507110	0.6277
14344	PCodG	2557271	0.189
3917	PCodG	2734304	0.0121
3464	PCodG	2734393	0.0198
24936	PCodG	2977826	0.0428
25135	PCodG	3189475	0.0298
14379	PCodG	3282792	0.0119
13486	PCodG	3357702	0.024
16039	PCodG	3360383	0.0289
9350	PCodG	3570289	0.1568
1617	PCodG	3728784	0.1466
21801	PCodG	3842286	-0.001
15543	PCodG	3923225	0.0141
18328	PCodG	4337363	-0.0013
22648	PCodG	4342933	0.1033
1773	PCodG	4343021	0.3028
20195	PCodG	4436797	0.5353
6409	PCodG	4436885	0.0169
18309	PCodG	4438940	0.012
24083	PCodG	4439028	0.8152
13162	PCodG	4650983	0.2107
11437	PCodG	4662599	0.0515
16955	PCodG	4680553	0.1577
5894	PCodG	5179409	0.0638
14329	PCodG	5404659	0.7605
13937	PCodG	5901020	0.3763
14234	PCodG	5909093	0.223
11400	PCodG	5957030	0.0523
4739	PCodG	6163089	0.169
24874	PCodG	6163947	0.0227
16209	PCodG	6164035	0.0419
24436	PCodG	6191353	0.1309
15217	PCodG	6363572	0.0475
19232	PCodG	6367870	0.0181
20794	PCodG	6675702	0.0077
22437	PCodG	6834192	0.0577
17825	PCodG	6887258	0.9695
15240	PCodG	7286931	0.2362
20343	PCodG	7310623	0.0264
15269	PCodG	7489971	0.1418
8242	PCodG	7621451	0.0008
10366	PCodG	7718267	-0.0015
24178	PCodG	7923832	0.0328
12771	PCodG	7923920	0.0152
9801	PCodG	8078099	0.0301
1190	PCodG	8092422	0.7647
20559	PCodG	8160450	0.1627
13142	PCodG	8383158	0.4637
20	PCodG	8417786	0.0206
4132	PCodG	8475035	0.0329
23556	PCodG	8703318	0.1917
4244	PCodG	8751793	0.0211
8148	PCodG	8752897	0.106
23057	PCodG	8762573	0.9693
24643	PCodG	8762661	0.9664
20437	PCodG	8869410	0.1063
1094	PCodG	8989975	0.3325
15675	PCodG	8990063	0.0204
