Locus	fst	chromosome	position
1	3	0.026	LG21	18027708
2	5	0.6249	LG11	27261814
3	6	0.0303	LG10	5565406
4	11	0.0172	LG10	22879220
5	16	0.0369	LG21	7743712
6	19	0.0231	LG21	4032093
7	20	0.0183	LG01	8417786
8	24	0.0805	LG20	9392547
9	39	0.0493	LG09	17882115
10	53	0.0439	LG11	26240806
11	54	0.9054	LG20	10911887
12	63	0.0229	LG07	8250504
13	67	0.0197	LG01	25118415
14	75	0.158	LG14	16964648
15	86	0.0257	LG04	5514604
16	88	0.0185	LG15	17142273
17	91	0.0357	LG14	5057159
18	92	0.4897	LG10	10496043
19	93	0.2581	LG21	16435657
20	98	3e-04	LG12	20292473
21	101	0.2663	LG03	20685759
22	109	0.1495	LG05	10536052
23	111	0.0172	LG02	19524547
24	117	0.962	LG16	670282
25	121	0.0285	LG07	14639666
26	126	-8e-04	LG01	26277273
27	139	0.0303	LG19	5505913
28	142	0.0029	LG16	348177
29	148	0.0278	LG14	23216958
30	160	0.0103	LG22	2265503
31	164	0.1766	LG04	20273388
32	166	0.0147	LG02	23270721
33	167	0.0192	LG12	26759763
34	169	2e-04	LG03	15330761
35	174	0.0554	LG08	1312422
36	183	0.0829	LG19	12157293
37	187	0.0371	LG12	25008487
38	189	0.0329	LG03	25718099
39	192	0.0318	LG15	8400989
40	198	0.8067	LG10	12542466
41	200	0.0974	LG08	1227839
42	206	0.1497	LG03	19138705
43	212	0.0107	LG16	17455795
44	220	0.7746	LG04	13609089
45	221	0.0117	LG04	1318919
46	227	0.0734	LG08	13650675
47	228	0.0358	LG17	14007228
48	232	0.1238	LG20	15056758
49	236	0.2408	LG19	13680590
50	240	0.2691	LG15	22676655
51	244	0.0598	LG10	5851012
52	245	0.036	LG22	16807954
53	246	0.0143	LG02	17086725
54	248	0.0244	LG06	10068536
55	253	0.0018	LG01	13663746
56	256	0.6727	LG08	13184454
57	263	0.1337	LG09	19977194
58	265	0.0489	LG02	4572030
59	287	0.3418	LG18	6244277
60	297	0.0566	LG05	20858577
61	298	0.0132	LG20	17936497
62	308	0.0236	LG11	15470496
63	315	0.2289	LG13	21280470
64	331	0.0109	LG14	21214207
65	348	0.8839	LG16	19876759
66	364	0.6839	LG13	13518047
67	367	0.6916	LG13	13517959
68	368	0.011	LG02	8817267
69	373	0.0074	LG08	21935513
70	376	0.0351	LG17	491060
71	377	0.1376	LG17	4388510
72	379	-0.0044	LG09	18491323
73	380	0.0585	LG20	8995844
74	381	0.3892	LG06	10890799
75	388	0.0541	LG14	9808221
76	391	0.0643	LG16	21523873
77	392	0.04	LG23	8351293
78	404	0.0181	LG13	423107
79	410	0.1988	LG09	13926079
80	411	0.0239	LG11	28215278
81	415	0.2532	LG09	6944185
82	419	0.3547	LG17	10517407
83	420	0.0377	LG17	11891252
84	422	0.0088	LG19	2645644
85	425	0.2338	LG20	5151213
86	440	0.3897	LG03	27467841
87	445	0.0723	LG14	11240709
88	463	0.0658	LG21	9638567
89	472	0.0195	LG10	23241108
90	481	0.0515	LG03	26628801
91	490	0.7175	LG14	1523992
92	494	0.0094	LG11	27847476
93	512	-0.0015	LG18	9558850
94	514	0.6259	LG20	1413400
95	522	0.4301	LG12	18820544
96	525	0.0728	LG22	19123984
97	528	0.0666	LG08	15156053
98	534	0.0033	LG05	20110056
99	535	0.0316	LG21	5362930
100	541	0.0962	LG12	10886813
101	545	0.081	LG08	10413548
102	548	0.0503	LG14	26573044
103	554	0.017	LG14	7209191
104	557	0.0768	LG16	17552701
105	561	0.0554	LG09	10073918
106	571	0.0717	LG08	11071974
107	579	0.049	LG20	5032562
108	589	0.0353	LG05	2535105
109	592	0.0345	LG05	7679170
110	594	0.0466	LG20	21987431
111	597	0.0302	LG15	20571696
112	605	0.0408	LG16	11855044
113	612	0.0711	LG21	15008260
114	613	-0.0062	LG22	6028173
115	616	0.5151	LG14	1538720
116	617	0.842	LG09	11297440
117	618	0.1263	LG14	2325174
118	630	0.0515	LG23	8025312
119	644	0.0582	LG20	4187239
120	647	0.004	LG22	19872092
121	663	0.0012	LG14	22324245
122	669	0.632	LG01	12788651
123	671	0.0161	LG23	17377949
124	673	0.0997	LG21	6249646
125	691	0.0077	LG14	8500453
126	694	0.0143	LG19	13093143
127	695	0.034	LG02	16820235
128	700	0.0036	LG21	9085847
129	705	0.0402	LG13	17217650
130	707	0.0197	LG22	1978209
131	708	0.0207	LG09	1654444
132	716	0.1287	LG10	23520241
133	719	0.0605	LG11	14396040
134	721	0.3012	LG14	12869166
135	730	0.0075	LG17	10130879
136	733	0.0128	LG06	18660007
137	734	0.0228	LG13	25259416
138	735	0.9812	LG16	14151077
139	739	0.0133	LG23	14881136
140	746	0.0353	LG21	18110489
141	752	0.0554	LG11	8223689
142	756	0.0253	LG11	3127754
143	765	0.4437	LG01	16350985
144	766	0.033	LG02	17006437
145	768	0.0285	LG19	7893544
146	769	0.0114	LG20	8455617
147	772	0.0251	LG12	19202962
148	780	0.1551	LG12	4213605
149	786	0.0117	LG20	10305701
150	792	0.067	LG22	13579970
151	803	0.0101	LG02	6015120
152	805	0.1109	LG21	9856598
153	813	0.07	LG06	12873880
154	815	0.3389	LG14	7114942
155	820	0.1478	LG08	6783271
156	825	-2e-04	LG04	33313977
157	829	0.043	LG01	22477868
158	832	0.0726	LG15	8433971
159	844	0.0118	LG14	25532106
160	860	0.0373	LG15	8162379
161	862	0.0258	LG23	3032160
162	885	0.0386	LG10	5851100
163	888	0.0709	LG19	5854828
164	899	0.0633	LG23	11912788
165	901	0.0288	LG19	14535981
166	917	0.0322	LG09	23966054
167	925	0.3641	LG07	16246230
168	926	0.0258	LG06	8571939
169	927	0.0051	LG06	6420980
170	940	0.0351	LG14	2567418
171	941	0.2025	LG23	16779334
172	943	0.0442	LG08	17866162
173	951	0.0848	LG22	3422278
174	952	0.0214	LG16	15094047
175	954	0.1454	LG06	8064417
176	960	0.04	LG12	10174457
177	962	0.0104	LG23	22332615
178	964	0.7607	LG07	28218086
179	966	0.0364	LG13	18698689
180	974	0.0095	LG15	18002768
181	982	0.0292	LG05	18446161
182	986	0.0151	LG09	18413149
183	992	0.0217	LG21	3580050
184	1000	0.0212	LG20	21700794
185	1002	0.277	LG14	22855271
186	1007	0.0099	LG16	14981817
187	1017	0.0043	LG06	6804646
188	1020	0.7395	LG18	17770636
189	1027	0.039	LG11	880476
190	1031	0.0864	LG15	10603181
191	1036	0.1765	LG07	28626276
192	1037	0.0399	LG01	22314645
193	1047	0.1586	LG09	6946806
194	1048	0.1939	LG13	21014787
195	1052	0.0015	LG03	29149123
196	1053	0.0443	LG13	11331788
197	1054	0.6023	LG06	19898749
198	1059	0.1061	LG01	27624343
199	1066	0.0206	LG15	25606927
200	1073	0.0646	LG10	2603183
201	1078	0.0225	LG14	1738653
202	1082	0.0065	LG02	7995350
203	1085	0.0355	LG03	9056737
204	1089	0.0145	LG08	13112738
205	1091	0.0271	LG04	987643
206	1092	0.037	LG20	20701546
207	1094	0.2431	LG01	8989975
208	1098	0.1364	LG08	13960352
209	1104	0.0222	LG01	12761963
210	1122	0.4291	LG04	16838600
211	1126	0.0196	LG15	17499768
212	1138	0.0293	LG04	14058546
213	1157	0.0578	LG11	26193891
214	1159	0.0169	LG14	22877258
215	1160	0.2736	LG15	17477533
216	1162	0.0232	LG04	31408269
217	1167	-7e-04	LG11	10595723
218	1176	0.4066	LG01	13275503
219	1190	0.6211	LG01	8092422
220	1193	0.0066	LG03	24543439
221	1197	0.0873	LG20	15002118
222	1201	0.0673	LG16	8523827
223	1205	0.0327	LG18	2123484
224	1206	0.0273	LG02	4112829
225	1218	0.0037	LG03	27647413
226	1228	0.0046	LG13	20016866
227	1229	0.0634	LG20	13703518
228	1253	0.027	LG22	11919118
229	1254	0.0598	LG20	20099558
230	1258	0.0314	LG07	27182155
231	1266	0.0336	LG08	20768613
232	1275	0.1148	LG01	19119404
233	1285	0.1103	LG20	6673367
234	1287	0.0324	LG03	7081654
235	1294	0.082	LG22	6705225
236	1306	0.2389	LG13	11880001
237	1311	0.0513	LG09	12622187
238	1323	0.1145	LG20	6539707
239	1339	0.0581	LG14	17204107
240	1345	0.2167	LG02	23955104
241	1349	0.0254	LG22	16461504
242	1354	0.0162	LG12	3284303
243	1372	0.0561	LG14	20906701
244	1392	0.1014	LG04	31306420
245	1393	0.4298	LG01	9598261
246	1407	0.2139	LG23	12976106
247	1420	0.0269	LG03	1176528
248	1441	0.0279	LG14	10322868
249	1451	0.0063	LG03	20425799
250	1452	0.0705	LG20	5697820
251	1454	0.0243	LG05	18200049
252	1463	0.0298	LG14	16098739
253	1469	0.0623	LG20	12562983
254	1473	0.0606	LG11	27198631
255	1474	0.0073	LG12	7753631
256	1478	0.0251	LG11	20773184
257	1482	0.0254	LG13	10971676
258	1490	0.0304	LG07	23424347
259	1499	0.0639	LG04	25352161
260	1503	0.1986	LG21	15279223
261	1504	0.0396	LG09	6084778
262	1519	0.0302	LG11	19513503
263	1547	0.0556	LG11	7746059
264	1555	0.1119	LG07	13431477
265	1560	0.2448	LG15	15461179
266	1565	0.3442	LG01	12864533
267	1567	0.1322	LG15	17339469
268	1568	-0.0017	LG12	23698751
269	1571	0.8145	LG13	12440085
270	1572	-0.0073	LG13	17972384
271	1581	0.0051	LG12	12097734
272	1582	0.0132	LG09	16940306
273	1589	0.0074	LG15	8882522
274	1590	0.0337	LG22	5312405
275	1592	0.0086	LG10	2502491
276	1596	0.0248	LG16	22145857
277	1602	0.1008	LG01	11804307
278	1617	0.0798	LG01	3728784
279	1629	0.0193	LG22	18697916
280	1635	0.0379	LG13	5076698
281	1638	0.0426	LG04	14007496
282	1655	0.0398	LG11	24272512
283	1660	0.0165	LG18	7683702
284	1689	-0.0014	LG13	21043471
285	1693	0.1124	LG08	10243819
286	1711	0.0056	LG18	6879063
287	1712	0.0099	LG14	28035100
288	1713	0.0619	LG01	9493971
289	1722	0.0137	LG15	7404476
290	1729	0.0104	LG18	16054673
291	1730	0.0405	LG01	20219379
292	1734	0.0249	LG17	16433379
293	1737	0.0468	LG07	14640691
294	1738	0.1	LG16	27755689
295	1739	0.0145	LG22	11675953
296	1748	0.0227	LG18	18341373
297	1756	0.0292	LG11	8086242
298	1770	0.0307	LG19	9781979
299	1773	0.1963	LG01	4343021
300	1794	0.312	LG09	24143400
301	1817	0.0029	LG17	7587295
302	1821	0.327	LG08	14640764
303	1833	0.0302	LG01	9761602
304	1844	0.0536	LG15	17981722
305	1845	0.0039	LG03	16345097
306	1848	0.1795	LG01	13443093
307	1855	0.0152	LG02	23270633
308	1858	-0.0045	LG02	13158554
309	1859	0.0323	LG04	22949532
310	1872	0.1197	LG10	21232603
311	1881	0.9878	LG12	11484342
312	1889	0.0297	LG22	17138763
313	1906	-0.0031	LG02	19009588
314	1907	0.1841	LG10	17098895
315	1911	0.3142	LG21	3578040
316	1926	0.0094	LG20	20827715
317	1933	0.6183	LG21	12444588
318	1936	0.027	LG14	24505155
319	1939	0.4583	LG23	947149
320	1957	0.0623	LG03	20523113
321	1961	0.0761	LG05	18759149
322	1962	0.0351	LG05	20623937
323	1963	0.0275	LG11	17081118
324	1968	0.0265	LG05	10680722
325	1969	0.0305	LG23	1571051
326	1970	0.0319	LG14	5451290
327	1975	0.5769	LG14	5051097
328	1978	0.0561	LG11	18595849
329	1983	0.1342	LG13	11362580
330	1995	0.1054	LG03	20433399
331	2029	0.4461	LG16	1408228
332	2033	0.2892	LG04	24372151
333	2038	0.0514	LG19	9585216
334	2046	0.1384	LG05	11189734
335	2057	0.0288	LG04	14495195
336	2058	0.0108	LG17	5380965
337	2069	0.3122	LG07	17433168
338	2071	0.0423	LG11	19958497
339	2075	0.0553	LG05	21654489
340	2082	0.0371	LG17	8854605
341	2087	0.0633	LG07	28942026
342	2100	0.1857	LG17	4283147
343	2110	0.052	LG02	15714736
344	2118	0.0154	LG16	25894782
345	2127	0.0395	LG15	18189153
346	2135	0.4195	LG21	10135760
347	2148	0.0329	LG03	24816799
348	2149	0.0641	LG16	13928206
349	2151	0.0193	LG01	7446401
350	2153	0.0471	LG11	20773096
351	2154	0.0776	LG04	24968352
352	2160	0.0832	LG12	18822680
353	2175	0.2603	LG15	5358650
354	2176	0.0345	LG04	18406174
355	2196	0.7605	LG02	13700077
356	2204	0.0147	LG14	7233760
357	2206	0.1641	LG22	13391318
358	2225	0.0672	LG11	14495794
359	2227	0.5139	LG02	1753025
360	2230	0.0127	LG09	11505320
361	2234	0.0805	LG08	18949206
362	2251	0.0133	LG23	15597949
363	2258	0.2315	LG13	7099455
364	2261	0.043	LG21	19768537
365	2274	0.1361	LG13	1229015
366	2279	0.0608	LG19	9742404
367	2309	0.0227	LG23	2794005
368	2319	0.3448	LG07	20997192
369	2327	0.0028	LG17	1002493
370	2329	0.0739	LG16	24549889
371	2331	0.0167	LG06	15803151
372	2332	0.0469	LG02	11144818
373	2334	0.3751	LG04	13791139
374	2335	0.0355	LG12	6026045
375	2346	0.0638	LG04	26005081
376	2349	0.1326	LG16	9310784
377	2353	0.0363	LG17	4205312
378	2362	0.0662	LG01	13543511
379	2366	0.0215	LG21	21010013
380	2368	0.2445	LG08	26184505
381	2370	0.1706	LG05	6913864
382	2371	0.0464	LG03	8761931
383	2382	0.0279	LG23	570487
384	2390	0.1995	LG13	19759312
385	2408	0.6879	LG08	11860507
386	2417	0.1417	LG20	14555094
387	2425	0.6876	LG14	8286219
388	2429	0.133	LG14	26890038
389	2446	0.8564	LG03	29018446
390	2454	0.0568	LG07	21594394
391	2455	0.0365	LG01	10925525
392	2456	0.0604	LG21	13077508
393	2468	0.0859	LG11	6043896
394	2491	0.0237	LG17	12103417
395	2497	0.0879	LG20	22149852
396	2498	0.0486	LG23	2830661
397	2506	0.0279	LG08	11296393
398	2520	0.0681	LG07	12362085
399	2522	0.2485	LG06	8028686
400	2539	0.0095	LG15	25129974
401	2550	0.1426	LG14	4334323
402	2554	-0.0044	LG22	16243903
403	2558	0.0445	LG10	22020828
404	2564	0.1249	LG23	13632032
405	2587	0.0311	LG14	202833
406	2601	0.0793	LG21	19584532
407	2603	0.1195	LG23	14392966
408	2604	0.0199	LG11	14815925
409	2607	0.0363	LG15	12236853
410	2621	0.1018	LG04	378962
411	2623	0.029	LG19	2707850
412	2646	0.0156	LG03	727009
413	2647	0.3567	LG03	8603218
414	2648	0.0317	LG17	5506104
415	2672	0.0103	LG01	26278837
416	2677	0.0338	LG21	9477851
417	2682	0.0425	LG13	23528989
418	2690	0.0548	LG22	9892159
419	2694	0.0267	LG21	8442668
420	2705	0.0131	LG10	22879308
421	2709	0.0504	LG19	18872684
422	2718	0.0651	LG22	16526905
423	2733	0.0187	LG02	20586675
424	2735	0.8982	LG07	13236326
425	2742	0.3367	LG04	26781953
426	2751	0.0039	LG23	22985440
427	2752	0.1382	LG14	29071558
428	2762	0.0846	LG22	122447
429	2769	0.0143	LG21	21919607
430	2780	0.0918	LG01	11869646
431	2786	0.0543	LG16	30316865
432	2792	0.0224	LG09	14618268
433	2794	0.0159	LG14	23846952
434	2810	0.0463	LG05	10974598
435	2813	0.0494	LG15	16004593
436	2820	0.0937	LG15	17496341
437	2824	0.3706	LG13	18962061
