Locus	fst	chromosome	c_pos
7241	0.123	PCodG	77324
15791	0.7754	PCodG	141695
12205	0.0845	PCodG	144969
16040	0.0117	PCodG	214355
5023	0.0152	PCodG	214443
15232	-0.0015	PCodG	1020445
13670	0.0321	PCodG	1022687
3096	0.8218	PCodG	1380478
16742	0.1863	PCodG	1741024
23271	0.5724	PCodG	2020904
5208	0.0199	PCodG	2044448
13090	0.6168	PCodG	2507110
14344	0.1869	PCodG	2557271
3917	0.0118	PCodG	2734304
3464	0.0219	PCodG	2734393
24936	0.0419	PCodG	2977826
25135	0.0323	PCodG	3189475
14379	0.0085	PCodG	3282792
13486	0.0234	PCodG	3357702
16039	0.0301	PCodG	3360383
9350	0.1627	PCodG	3570289
8336	0.081	PCodG	3590892
1617	0.1394	PCodG	3728784
21801	-0.0008	PCodG	3842286
15543	0.0137	PCodG	3923225
19183	0.8576	PCodG	4056640
18328	-0.0016	PCodG	4337363
22648	0.1058	PCodG	4342933
1773	0.2966	PCodG	4343021
20195	0.5402	PCodG	4436797
6409	0.0144	PCodG	4436885
18309	0.0118	PCodG	4438940
24083	0.817	PCodG	4439028
13162	0.2154	PCodG	4650983
11437	0.0491	PCodG	4662599
19437	0.0433	PCodG	4662687
16955	0.1552	PCodG	4680553
14814	0.2528	PCodG	4757332
5894	0.0695	PCodG	5179409
14329	0.7621	PCodG	5404659
13937	0.3829	PCodG	5901020
14234	0.2292	PCodG	5909093
11400	0.05	PCodG	5957030
24153	0.094	PCodG	5987265
8445	0.2413	PCodG	6120990
4739	0.1541	PCodG	6163089
24874	0.0157	PCodG	6163947
16209	0.0409	PCodG	6164035
24436	0.1353	PCodG	6191353
15217	0.0471	PCodG	6363572
19232	0.0181	PCodG	6367870
13020	0.0555	PCodG	6378884
20794	0.0074	PCodG	6675702
22437	0.0544	PCodG	6834192
17825	0.9681	PCodG	6887258
15240	0.2419	PCodG	7286931
20343	0.0273	PCodG	7310623
2151	0.0341	PCodG	7446401
15269	0.1343	PCodG	7489971
8242	0.0005	PCodG	7621451
10366	-0.0018	PCodG	7718267
3843	0.0357	PCodG	7799052
24178	0.0347	PCodG	7923832
12771	0.0125	PCodG	7923920
9801	0.0276	PCodG	8078099
1190	0.7632	PCodG	8092422
20559	0.1599	PCodG	8160450
13142	0.4732	PCodG	8383158
20	0.0227	PCodG	8417786
4132	0.036	PCodG	8475035
8218	0.0235	PCodG	8477564
23556	0.1874	PCodG	8703318
4244	0.0216	PCodG	8751793
8148	0.1078	PCodG	8752897
23057	0.9678	PCodG	8762573
24643	0.9666	PCodG	8762661
20437	0.1063	PCodG	8869410
1094	0.3367	PCodG	8989975
15675	0.0197	PCodG	8990063
25114	0.0135	PCodG	9008309
5482	0.0573	PCodG	9010262
12917	0.1221	PCodG	9329019
16982	0.0236	PCodG	9333078
7545	0.8788	PCodG	9399694
1713	0.0995	PCodG	9493971
23449	0.8979	PCodG	9519370
11115	0.075	PCodG	9595976
1393	0.5724	PCodG	9598261
14661	0.0197	PCodG	9665708
8312	0.1167	PCodG	9665796
4494	0.0838	PCodG	9685227
12793	0.2932	PCodG	9691847
1833	0.0468	PCodG	9761602
17660	0.021	PCodG	9866994
9645	0.01	PCodG	10419488
9729	0.0217	PCodG	10497992
13041	0.0469	PCodG	10868696
2455	0.0454	PCodG	10925525
8789	0.2072	PCodG	11152405
11140	0.512	PCodG	11291570
5753	0.0073	PCodG	11309141
9596	0.0258	PCodG	11383360
17561	0.1542	PCodG	11481567
23584	0.0853	PCodG	11497482
22978	0.77	PCodG	11703390
1602	0.0343	PCodG	11804307
2780	0.0218	PCodG	11869646
13506	0.0423	PCodG	12222620
24673	0.7436	PCodG	12331744
19031	0.0378	PCodG	12492400
21844	0.0294	PCodG	12649886
21720	0.023	PCodG	12649886
1104	0.0177	PCodG	12761963
669	0.7555	PCodG	12788651
1565	0.5023	PCodG	12864533
9825	0.6176	PCodG	12866887
9456	0.9179	PCodG	12895039
17342	0.5939	PCodG	13165795
13276	0.2286	PCodG	13203369
7855	0.3244	PCodG	13272763
1176	0.5105	PCodG	13275503
23055	0.432	PCodG	13348517
15037	0.1065	PCodG	13433828
1848	0.2759	PCodG	13443093
17074	0.0512	PCodG	13460605
8920	0.0237	PCodG	13525139
2362	0.127	PCodG	13543511
19716	0.0817	PCodG	13543599
15548	0.0605	PCodG	13549939
7573	0.1962	PCodG	13566886
253	0.0109	PCodG	13663746
11711	0.2553	PCodG	14052789
17183	0.1729	PCodG	14174929
24779	0.0314	PCodG	14182553
16291	0.1855	PCodG	14215233
14720	0.9753	PCodG	14360204
22931	0.0435	PCodG	14391336
20245	0.3082	PCodG	14915282
8568	0.0463	PCodG	14990824
10524	0.0312	PCodG	15222575
6220	0.9724	PCodG	15305774
12001	0.0358	PCodG	15477998
5584	0.0426	PCodG	15478086
14461	0.1082	PCodG	15523673
16036	0.0119	PCodG	15698538
5925	0.0111	PCodG	15884506
12756	0.0548	PCodG	15941922
20222	0.7587	PCodG	15949701
16522	0.0072	PCodG	16029166
6077	0.0715	PCodG	16099585
15053	0.0445	PCodG	16100804
765	0.5881	PCodG	16350985
21518	0.0947	PCodG	16668458
9305	0.3074	PCodG	16799615
15427	0.0848	PCodG	17088969
2990	0.917	PCodG	17231504
24372	0.0091	PCodG	17254201
6225	0.137	PCodG	17343059
14934	0.0489	PCodG	17381925
23717	0.1499	PCodG	17410032
16441	0.1177	PCodG	17478244
11370	0.052	PCodG	17483374
3473	0.0485	PCodG	17544233
7823	0.0213	PCodG	17686137
15708	0.2836	PCodG	17762848
23879	0.0481	PCodG	17874079
23836	0.0023	PCodG	17891826
3794	0.0417	PCodG	17891914
13135	0.0173	PCodG	17894333
4365	0.9714	PCodG	18164746
22376	0.1777	PCodG	18270121
10477	0.4283	PCodG	18299147
18099	0.6928	PCodG	18634387
8649	0.0084	PCodG	18885301
6218	0.0325	PCodG	18938963
7173	0.0369	PCodG	18990205
4301	0.0022	PCodG	18990497
20154	0.9006	PCodG	19065023
1275	0.01	PCodG	19119404
12082	0.0532	PCodG	19122718
6687	0.1415	PCodG	19131955
25090	0.0184	PCodG	19484176
17462	0.2832	PCodG	19558080
4103	0.0211	PCodG	19759592
20926	0.3535	PCodG	19851693
9000	0.0345	PCodG	20164805
15443	0.0981	PCodG	20190362
17329	0.0187	PCodG	20190450
24989	0.032	PCodG	20217301
1730	0.0174	PCodG	20219379
15393	0.2518	PCodG	20244563
16989	0.0392	PCodG	20244651
7326	0.0667	PCodG	20934271
3223	0.0632	PCodG	21052003
18566	0.7928	PCodG	21078734
21583	0.0192	PCodG	21139714
24866	0.0965	PCodG	21344701
17281	0.0193	PCodG	21440315
24790	0.0727	PCodG	21474522
19900	0.0118	PCodG	21474610
10039	0.0136	PCodG	21639498
2874	0.7248	PCodG	21713494
7286	0.1104	PCodG	21876491
10399	0.0328	PCodG	22235777
12877	0.2648	PCodG	22265414
16033	0.2016	PCodG	22274751
1037	0.0135	PCodG	22314645
9965	0.0613	PCodG	22419167
18308	0.0112	PCodG	22419255
23529	0.0792	PCodG	22426003
829	0.058	PCodG	22477868
7275	0.0574	PCodG	22595118
24934	0.0666	PCodG	22930946
11054	0.0985	PCodG	22931034
2866	0.1057	PCodG	23087036
6801	0.0009	PCodG	23099470
25204	0.0688	PCodG	23131382
9277	0.2885	PCodG	23131469
5569	0.0249	PCodG	23205145
13275	0.0774	PCodG	23209262
9926	0.021	PCodG	23296870
9894	0.0455	PCodG	23601228
22373	0.7305	PCodG	23816773
4003	0.0045	PCodG	24038892
17121	0.0059	PCodG	24067024
11504	0.5038	PCodG	24263046
3776	0.8585	PCodG	24455925
19526	0.066	PCodG	24606463
4909	0.0021	PCodG	24794728
11479	0.8197	PCodG	24916735
9421	0.202	PCodG	24972595
67	0.0323	PCodG	25118415
19996	0.0003	PCodG	25476068
8948	0.0175	PCodG	25476939
9870	0.0938	PCodG	25537657
19340	0.0646	PCodG	25547121
7341	0.0253	PCodG	25623962
16833	0.0296	PCodG	25695043
13766	0.0451	PCodG	26270788
126	-0.0008	PCodG	26277273
2672	-0.0014	PCodG	26278837
9996	0.5254	PCodG	26278925
23915	0.0569	PCodG	26446274
14634	0.0303	PCodG	26802776
6410	0.2111	PCodG	26825592
15925	0.0116	PCodG	26825871
1059	0.1872	PCodG	27624343
2973	0.0827	PCodG	27732633
3630	0.2419	PCodG	28032467
25095	0.0245	PCodG	28089675
2966	0.1234	PCodG	28089763
13923	0.6669	PCodG	28259281
9530	0.0009	PCodG	28790718
9673	0.0679	PCodG	28853264
5748	0.0517	PCodG	28862944
16332	0.0083	PCodG	28867401
18249	0.005	PCodG	28869498
12161	0.6224	PCodG	29008908
22330	0.0347	PCodG	29763729
2227	0.6513	PCodG	30056977
12720	0.6591	PCodG	30057065
16396	0.017	PCodG	30159165
23643	0.0068	PCodG	30482401
12652	0.0104	PCodG	30500667
5819	0.0095	PCodG	30521063
21402	0.0545	PCodG	30748294
24808	0.0299	PCodG	31166431
8450	0.0004	PCodG	31238335
14890	0.1088	PCodG	31372751
19616	0.2196	PCodG	31438768
5650	0.2229	PCodG	31988352
20570	0.0741	PCodG	32152093
11304	0.2396	PCodG	32416693
1206	0.0437	PCodG	32416781
14293	-0.0019	PCodG	32533454
20501	0.0384	PCodG	32603020
5692	0.0282	PCodG	32603107
17606	-0.0015	PCodG	32828401
23345	0.0072	PCodG	32837007
265	0.0316	PCodG	32875982
10191	0.0371	PCodG	33338755
13038	0.4158	PCodG	33446058
24740	0.0929	PCodG	33479835
