Locus	Program
75	1
1345	1
1407	1
2349	1
2947	1
2985	1
3226	4
3855	1
4556	1
4599	4
4715	2
4734	4
4856	3
5273	1
5707	4
6432	4
6441	1
7000	1
7241	3
7509	3
8586	2
8671	1
9211	1
9452	1
10012	3
10706	1
10913	2
11741	4
11990	2
12233	2
12711	1
12779	1
13286	4
13406	1
13411	4
13693	1
13724	1
13911	1
14011	1
14236	1
14344	1
14514	4
14554	1
14754	1
15274	3
15568	1
16036	1
16650	3
16752	1
16834	1
17440	1
18276	1
18478	1
18633	1
19081	1
20078	3
20705	4
21148	2
22145	1
22276	1
22637	3
22918	1
24940	4
25323	1
4255	1
