Locus	fst	chromosome	c_pos
7241	0.1024	LG01	77324
15791	0.0127	LG01	141695
16040	0.016	LG01	214355
5023	0.0107	LG01	214443
15232	0.0001	LG01	1020445
16742	-0.0034	LG01	1741024
23271	-0.0019	LG01	2020904
5208	-0.0097	LG01	2044448
13090	-0.0052	LG01	2507110
14344	0.1052	LG01	2557271
3464	-0.0055	LG01	2734393
25135	-0.0032	LG01	3189475
14379	0.0003	LG01	3282792
16039	-0.0005	LG01	3360383
1617	0.0003	LG01	3728784
21801	0.0054	LG01	3842286
15543	-0.0017	LG01	3923225
19183	0.0002	LG01	4056640
18328	-0.0019	LG01	4337363
22648	0.0079	LG01	4342933
1773	-0.0008	LG01	4343021
20195	0.0014	LG01	4436797
24083	0.0071	LG01	4439028
13162	0.0116	LG01	4650983
14814	-0.0031	LG01	4757332
5894	-0.0009	LG01	5179409
14329	-0.0001	LG01	5404659
13937	0.0001	LG01	5901020
14234	0.0166	LG01	5909093
8445	0.0093	LG01	6120990
4739	-0.0034	LG01	6163089
24874	-0.0057	LG01	6163947
24436	0.0053	LG01	6191353
15217	0.0005	LG01	6363572
19232	-0.0061	LG01	6367870
13020	0.013	LG01	6378884
15240	-0.0079	LG01	7286931
20343	-0.0068	LG01	7310623
2151	-0.0075	LG01	7446401
15269	0.0259	LG01	7489971
8242	-0.0067	LG01	7621451
10366	0.019	LG01	7718267
1190	0.0013	LG01	8092422
13142	0.0038	LG01	8383158
20	0.0043	LG01	8417786
4132	0.0107	LG01	8475035
4244	0.0118	LG01	8751793
8148	0.0299	LG01	8752897
23057	0.011	LG01	8762573
24643	0.0061	LG01	8762661
20437	0.0076	LG01	8869410
1094	0.0098	LG01	8989975
15675	0.0003	LG01	8990063
25114	0.0001	LG01	9008309
12917	0.0007	LG01	9329019
16982	0.0144	LG01	9333078
7545	0.0078	LG01	9399694
23449	-0.0027	LG01	9519370
11115	0.013	LG01	9595976
14661	0.0354	LG01	9665708
4494	0.0054	LG01	9685227
12793	0.0553	LG01	9691847
1833	0.0062	LG01	9761602
9729	0.0172	LG01	10497992
13041	0.0249	LG01	10868696
11140	-0.0066	LG01	11291570
9596	0.0007	LG01	11383360
22978	-0.0039	LG01	11703390
2780	-0.0041	LG01	11869646
24673	-0.0006	LG01	12331744
19031	0.0121	LG01	12492400
21720	0.0001	LG01	12649886
21844	0.0003	LG01	12649886
1104	0.0122	LG01	12761963
669	0.0545	LG01	12788651
1565	0.0063	LG01	12864533
9825	0.0042	LG01	12866887
9456	-0.0028	LG01	12895039
17342	-0.0011	LG01	13165795
13276	-0.0029	LG01	13203369
15037	-0.0071	LG01	13433828
1848	-0.0022	LG01	13443093
8920	0.0104	LG01	13525139
2362	-0.0008	LG01	13543511
253	0.0009	LG01	13663746
17183	0.0047	LG01	14174929
24779	0	LG01	14182553
14720	-0.0012	LG01	14360204
22931	0.0003	LG01	14391336
20245	0.0413	LG01	14915282
10524	0.0157	LG01	15222575
6220	0.0252	LG01	15305774
12001	0.0004	LG01	15477998
5584	0.022	LG01	15478086
14461	0.0034	LG01	15523673
16036	0.0699	LG01	15698538
20222	0.0137	LG01	15949701
765	0.0003	LG01	16350985
9305	0.0045	LG01	16799615
15427	0.0087	LG01	17088969
2990	0.0023	LG01	17231504
24372	-0.0127	LG01	17254201
6225	-0.0019	LG01	17343059
14934	0.046	LG01	17381925
23717	0.0168	LG01	17410032
16441	0.0012	LG01	17478244
11370	-0.0025	LG01	17483374
7823	0.0036	LG01	17686137
15708	0.0103	LG01	17762848
23836	0.0007	LG01	17891826
3794	-0.0015	LG01	17891914
13135	0.0105	LG01	17894333
4365	0.0053	LG01	18164746
10477	0.0016	LG01	18299147
18099	0.0004	LG01	18634387
6218	0.0096	LG01	18938963
7173	0.0291	LG01	18990205
4301	-0.0038	LG01	18990497
20154	0.0004	LG01	19065023
20926	0.0031	LG01	19851693
9000	0.0004	LG01	20164805
15443	0.003	LG01	20190362
17329	0.0027	LG01	20190450
24989	0.0029	LG01	20217301
7326	0.0098	LG01	20934271
3223	0.0007	LG01	21052003
21583	0.0208	LG01	21139714
24866	-0.0008	LG01	21344701
17281	-0.0099	LG01	21440315
24790	0.0082	LG01	21474522
2874	-0.0024	LG01	21713494
10399	-0.0015	LG01	22235777
12877	-0.0055	LG01	22265414
16033	-0.0051	LG01	22274751
829	0.0039	LG01	22477868
24934	0.003	LG01	22930946
11054	0.0124	LG01	22931034
2866	-0.007	LG01	23087036
6801	-0.0009	LG01	23099470
9277	0.0096	LG01	23131469
5569	0.0062	LG01	23205145
9926	0.0052	LG01	23296870
22373	-0.006	LG01	23816773
4003	-0.0052	LG01	24038892
17121	-0.0057	LG01	24067024
3776	0.0037	LG01	24455925
4909	0.013	LG01	24794728
11479	-0.0025	LG01	24916735
9421	0.0013	LG01	24972595
67	0.005	LG01	25118415
8948	-0.0031	LG01	25476939
9870	0.0007	LG01	25537657
7341	-0.0012	LG01	25623962
13766	0.0006	LG01	26270788
126	0.0021	LG01	26277273
2672	-0.0002	LG01	26278837
9996	-0.0027	LG01	26278925
23915	0.0033	LG01	26446274
14634	0.0016	LG01	26802776
1059	0.0043	LG01	27624343
2973	0.0325	LG01	27732633
3630	0.0001	LG01	28032467
25095	0.0102	LG01	28089675
2966	0.0007	LG01	28089763
13923	-0.0029	LG01	28259281
9530	-0.0035	LG02	28790718
9673	0.0087	LG02	28853264
16332	-0.0013	LG02	28867401
18249	0.0021	LG02	28869498
12161	-0.0007	LG02	29008908
2227	0.0004	LG02	30056977
12720	0.0066	LG02	30057065
16396	0.015	LG02	30159165
12652	-0.0081	LG02	30500667
5819	0.0088	LG02	30521063
21402	-0.0122	LG02	30748294
24808	-0.0013	LG02	31166431
8450	0.0093	LG02	31238335
14890	0.0033	LG02	31372751
11304	0.013	LG02	32416693
1206	-0.003	LG02	32416781
14293	0.0112	LG02	32533454
20501	-0.0082	LG02	32603020
5692	-0.0032	LG02	32603107
17606	0.0108	LG02	32828401
23345	0.0154	LG02	32837007
265	0.0328	LG02	32875982
13038	-0.0078	LG02	33446058
24740	-0.0124	LG02	33479835
16683	0.0029	LG02	33806095
15714	-0.0049	LG02	33881748
20284	-0.0056	LG02	33929061
8581	0.0174	LG02	34060925
21377	0.0019	LG02	34114668
20373	0.0109	LG02	34203107
8277	-0.0058	LG02	34251537
9741	-0.0014	LG02	34284208
803	0.0004	LG02	34319072
19750	-0.0057	LG02	34870937
9632	0.0045	LG02	34874988
1082	-0.0029	LG02	36299302
6709	0.0031	LG02	36622767
15007	-0.005	LG02	36740848
6441	0.1213	LG02	36871081
10012	0.1142	LG02	36871167
14655	0.0127	LG02	36910536
7132	0.0236	LG02	36941749
368	-0.0022	LG02	37121219
21296	-0.005	LG02	37204023
12065	0.023	LG02	38216603
15557	0.016	LG02	38216691
17073	0.0057	LG02	38669108
23838	0.0276	LG02	39343894
19045	0.0008	LG02	39405439
2332	0.0039	LG02	39448770
10113	0.0073	LG02	39672613
20452	0.0004	LG02	39675630
19126	0.0083	LG02	39707118
6887	0.012	LG02	39770106
8305	-0.0024	LG02	39979944
8547	-0.002	LG02	40170531
15735	0.0003	LG02	40211573
17332	0.0227	LG02	40604409
3116	0.0177	LG02	40730063
17016	-0.0027	LG02	40968526
15872	0.045	LG02	41401971
1858	-0.0068	LG02	41462506
2196	0.0001	LG02	42004029
22699	-0.0011	LG02	42129131
7332	0.0119	LG02	42606864
3172	0.0102	LG02	42734192
18049	-0.0115	LG02	43349800
5196	0.025	LG02	44551268
18780	0.0244	LG02	44551356
695	0.0109	LG02	45124187
3791	-0.0008	LG02	45230059
766	0.0185	LG02	45310389
246	0.0116	LG02	45390677
14249	0.0273	LG02	45635935
22014	0.0374	LG02	45769342
9604	0.0029	LG02	45830939
11273	0.011	LG02	46276157
23203	-0.0028	LG02	46435793
17978	0.0274	LG02	46583866
8045	-0.0011	LG02	46751611
21277	0.0012	LG02	46902590
3721	0.0222	LG02	47204472
23624	0.0207	LG02	47304953
1906	-0.0119	LG02	47313540
23112	0.0068	LG02	47482291
17391	-0.0043	LG02	47728420
22131	0.0252	LG02	48021360
