chromosome	position	num_markers	loci_names
LG01	12825250.9731544	23	13506,24673,19031,21720,21844,1104,669,1565,9825,9456,17342,13276,7855,1176,23055,15037,1848,17074,8920,2362,19716,15548,7573
LG01	13004324.5100671	23	24673,19031,21720,21844,1104,669,1565,9825,9456,17342,13276,7855,1176,23055,15037,1848,17074,8920,2362,19716,15548,7573,253
LG01	13183398.0469799	22	19031,21720,21844,1104,669,1565,9825,9456,17342,13276,7855,1176,23055,15037,1848,17074,8920,2362,19716,15548,7573,253
LG01	18376530.6174497	17	7823,15708,23879,23836,3794,13135,4365,22376,10477,18099,8649,6218,7173,4301,20154,1275,12082
LG01	24465030.8724832	10	22373,4003,17121,11504,3776,19526,4909,11479,9421,67
LG02	9051007.03355705	10	6709,6275,15007,6441,10012,14655,7132,368,21296,7390
LG02	9198445.54362416	10	6441,10012,14655,7132,368,21296,7390,24148,12065,15557
LG02	9345884.05369128	8	14655,7132,368,21296,7390,24148,12065,15557
LG02	12589531.2751678	8	8547,15735,3623,17332,3116,17016,15872,1858
LG02	12736969.7852349	6	3623,17332,3116,17016,15872,1858
LG02	18044756.147651	9	14249,22014,9604,11273,12434,23203,17978,8045,21277
LG02	18192194.6577181	9	22014,9604,11273,12434,23203,17978,8045,21277,3721
LG04	15190086.295302	12	2057,21683,16474,9992,9714,12768,12570,19718,22434,20057,21419,12952
LG04	15409791.3624161	10	16474,9992,9714,12768,12570,19718,22434,20057,21419,12952
LG04	15629496.4295302	8	9714,12768,12570,19718,22434,20057,21419,12952
LG04	15849201.4966443	8	9714,12768,12570,19718,22434,20057,21419,12952
LG04	16068906.5637584	8	12768,12570,19718,22434,20057,21419,12952,20735
LG04	24637404.1812081	8	22908,2033,4133,2154,20574,8590,12352,1499
LG04	24857109.2483221	9	2033,4133,2154,20574,8590,12352,1499,23840,13845
LG04	25076814.3154362	13	2033,4133,2154,20574,8590,12352,1499,23840,13845,4777,23422,20158,18577
LG06	16922717.114094	12	9684,12544,6652,9582,16968,21921,15615,23650,22783,3973,24868,2885
LG06	17081930.3825503	11	9582,16968,21921,15615,23650,22783,3973,24868,2885,23346,13547
LG06	17241143.6510067	11	9582,16968,21921,15615,23650,22783,3973,24868,2885,23346,13547
LG06	19947769.2147651	6	23788,5232,1054,8805,5336,12069
LG07	12739230.0604027	12	16062,25059,20885,23563,2520,14810,5031,17322,2735,3195,22035,1555
LG07	12935029.7114094	12	25059,20885,23563,2520,14810,5031,17322,2735,3195,22035,1555,14640
LG07	13130829.3624161	8	14810,5031,17322,2735,3195,22035,1555,14640
LG07	13326629.0134228	8	14810,5031,17322,2735,3195,22035,1555,14640
LG07	15480425.1744966	14	25567,10999,14546,22166,11149,10285,16881,24274,4637,24467,21874,4660,16218,17141
LG07	15676224.8255034	13	16881,24274,4637,24467,21874,4660,16218,17141,7479,925,7171,6697,3324
LG07	28011602.8389262	20	11406,12394,20472,11176,19020,22989,16425,4514,19879,21785,12564,22430,16718,25032,16834,24680,964,7313,1036,19685
LG07	28207402.4899329	17	16425,4514,19879,21785,12564,22430,16718,25032,16834,24680,964,7313,1036,19685,17993,11566,2087
LG07	28403202.1409396	17	4514,19879,21785,12564,22430,16718,25032,16834,24680,964,7313,1036,19685,17993,11566,2087,21723
LG08	11804195.0872483	13	571,2506,7865,9679,13723,17666,20578,22563,23593,2408,16121,18615,10726
LG08	11968169.6979866	14	2506,7865,9679,13723,17666,20578,22563,23593,2408,16121,18615,10726,17267,14044
LG08	12132144.3087248	14	9679,13723,17666,20578,22563,23593,2408,16121,18615,10726,17267,14044,4368,23293
LG08	12296118.9194631	11	20578,22563,23593,2408,16121,18615,10726,17267,14044,4368,23293
LG08	12460093.5302013	14	20578,22563,23593,2408,16121,18615,10726,17267,14044,4368,23293,1089,7501,256
LG08	24102290.8926174	9	10401,9419,22526,23159,21092,22824,21470,4609,3197
LG08	24266265.5033557	8	9419,22526,23159,21092,22824,21470,4609,3197
LG08	24430240.114094	9	9419,22526,23159,21092,22824,21470,4609,3197,18726
LG09	17097850.6778523	21	13129,9611,17901,4617,17959,1582,4090,18043,17001,9980,17038,16009,10687,4142,11056,21118,5451,22640,9966,22488,4960
LG09	17255189.7718121	23	13129,9611,17901,4617,17959,1582,4090,18043,17001,9980,17038,16009,10687,4142,11056,21118,5451,22640,9966,22488,4960,14555,39
LG09	21346006.2147651	4	23178,19360,5980,18319
LG09	21503345.3087248	4	23178,19360,5980,18319
LG09	21660684.4026846	4	19360,5980,18319,12384
LG10	10678289.1006711	8	17181,10966,92,12725,21971,8033,17999,13125
LG10	10836955.8926174	7	10966,92,12725,21971,8033,17999,13125
LG10	10995622.6845638	8	10966,92,12725,21971,8033,17999,13125,12182
LG10	12106290.2281879	9	17999,13125,12182,198,11049,14190,11546,20081,13791
LG11	6667103.04026846	8	8196,2468,4336,12889,6203,12897,9158,6550
LG11	6846052.60402685	8	4336,12889,6203,12897,9158,6550,5281,12810
LG11	7025002.16778523	8	12889,6203,12897,9158,6550,5281,12810,1547
LG11	7203951.73154362	7	6203,12897,9158,6550,5281,12810,1547
LG11	12035589.9530201	16	17087,23927,9585,16429,6797,6890,21789,8536,11594,4834,24071,4188,5337,9203,23709,17709
LG11	12214539.5167785	13	16429,6797,6890,21789,8536,11594,4834,24071,4188,5337,9203,23709,17709
