Locus	Fst
19718	0.8414
23990	0.1377
14478	0.0511
23992	0.5350
19712	0.0194
19716	0.0708
21633	0.5105
23448	0.0563
4025	0.0268
11546	0.1415
13732	0.0797
25250	0.8177
23441	0.0186
166	0.0281
13738	0.0323
11386	0.0299
18243	0.5518
17522	0.0395
5980	0.3561
16238	0.0378
5984	0.3142
10894	0.0990
22261	0.1868
7514	0.0014
19158	0.2349
19408	0.0609
25624	0.1550
348	0.9291
3991	0.2894
13597	0.9838
25060	0.0169
19371	0.2012
19372	0.0095
24840	0.0067
14296	0.0137
22999	0.2571
12701	0.1080
12705	0.4746
6156	0.0062
6157	0.3299
6158	0.1481
6797	0.1657
10965	0.0445
13600	-0.0019
13607	0.0781
4734	0.3333
2319	0.4620
4739	0.1526
8305	0.0502
23848	0.0380
23449	0.8793
5851	0.2743
298	0.0366
5853	0.0563
297	0.0842
5859	0.0271
17654	0.0377
21100	0.0334
24941	0.1904
3680	0.8481
3776	0.8465
19752	0.0831
15958	0.0151
22983	0.0687
25284	0.0471
23364	0.9140
4834	0.9725
12962	0.0172
19971	0.0024
13547	0.3102
16257	0.5616
21999	0.0106
19975	0.6589
17382	0.0338
25114	0.0150
12108	0.0930
22719	0.0541
17384	0.1251
18188	0.4599
23368	0.7763
15526	0.0616
7992	0.0070
12017	0.6224
15527	0.0614
22488	0.1875
17258	0.0226
15528	0.4465
11768	0.1805
16384	0.0355
11762	0.0815
11760	0.0604
2261	0.0667
17254	0.0163
17255	0.0796
17256	0.0320
20744	0.0888
2446	0.9038
17036	0.0835
17038	0.8123
9252	0.0583
10706	0.3430
9251	0.8231
22908	0.1223
7865	-0.0017
109	0.2447
24886	0.2426
22900	0.0121
21614	0.3378
12430	0.0194
101	0.3798
21611	0.0265
22905	0.0367
7869	0.0016
5824	0.6320
2046	0.2515
4815	0.0289
15536	0.0930
4818	0.4700
16814	0.0351
21290	0.6808
23627	0.0508
21924	0.0233
9415	0.5293
21921	0.0438
11262	0.0204
9418	0.0060
9419	0.5845
12123	0.0240
12122	0.1113
22541	0.1899
11618	0.0653
6377	0.3374
20522	0.0143
10414	0.0644
10413	0.0694
11126	0.0138
20526	0.3108
10410	0.0149
14130	0.0400
11947	0.1160
11943	0.1225
10386	0.1463
24089	0.2540
19758	0.0783
19391	0.1549
10380	0.0053
24083	0.7977
9323	0.1583
9632	0.0106
8098	0.0735
9326	0.5438
8943	0.0362
13338	0.0739
21721	0.0023
8948	0.0117
21723	0.0553
9347	0.0000
21726	0.1575
24659	0.0962
12233	0.0671
6203	0.1784
18065	0.3453
2682	0.0565
14626	0.4720
14620	0.0398
20593	0.0139
6807	0.0070
15714	0.0107
6802	0.7630
6803	0.0228
6801	0.0014
98	0.0086
10560	0.0410
9740	0.0364
9741	0.0618
91	0.0314
93	0.3764
92	0.6170
20413	0.0562
3207	0.5090
10092	0.0319
1995	0.1447
13935	0.2918
22813	0.3142
1629	0.0390
5189	0.0183
19393	0.2608
24158	0.0384
21540	0.1530
21704	0.5326
13052	0.0303
8831	0.2367
17977	0.0800
13054	0.3244
18703	0.2252
2861	0.0274
20791	0.0190
2866	0.0945
18704	0.6133
554	0.0267
557	0.1269
9228	0.0239
14710	0.0253
14247	0.0375
12948	0.0766
14714	0.0391
17973	0.1004
12942	0.0174
7674	0.0956
15667	0.4161
12946	0.3491
12945	0.6726
14249	0.0141
24740	0.1018
3348	0.0536
20259	0.0373
3342	0.5895
1190	0.7435
1193	0.0126
3341	0.7535
20257	0.0181
1197	0.1493
20255	0.1008
18637	0.0167
18633	0.0410
1756	0.0164
11415	0.0095
13333	0.0449
1176	0.4743
12493	0.0189
8160	0.0300
15443	0.1064
15442	0.0670
6970	0.0180
6971	0.4020
4251	0.5127
23057	0.9706
8168	0.1510
4255	0.0500
23502	0.0207
4257	0.0462
23500	0.0168
18149	0.0654
18073	0.0680
5534	0.2832
5539	0.0423
5538	0.1131
24528	0.1315
24742	0.0477
1285	0.1440
12068	0.1492
1287	0.0112
11165	0.1038
11166	0.8154
24253	0.0165
