Locus	Fst
19718	-0.0041
23990	0.0255
14478	-0.0047
19716	0.1449
21633	0.0965
23448	0.0141
4025	0.0120
11546	0.0036
13732	0.0254
25250	-0.0015
166	-0.0042
11386	0.0215
5980	0.0034
16238	-0.0043
5984	0.0297
7514	-0.0051
19158	0.0105
25624	0.0019
348	-0.0009
19371	0.0376
19372	0.0080
24840	-0.0041
14296	0.0045
22999	0.1093
12701	0.0756
12705	0.0733
6156	-0.0028
6158	0.0893
6797	-0.0038
10965	0.0347
13600	0.1210
13607	0.1658
2319	0.0183
4739	0.0650
8305	0.0058
23449	-0.0071
5851	0.0174
5853	0.0484
297	0.0245
5859	-0.0097
17654	0.0448
21100	0.0328
24941	-0.0047
3680	0.0080
3776	0.1299
15958	0.1582
25284	0.0370
23364	-0.0036
4834	0.0393
12962	0.0717
19971	-0.0027
13547	0.0166
16257	0.0187
19975	0.0033
12108	-0.0055
22719	-0.0027
18188	0.0083
23368	0.0096
15526	0.0211
7992	0.0196
12017	0.0949
22488	0.0218
15528	0.1550
11768	0.0260
11760	0.0389
2261	0.0155
17254	0.0441
17255	-0.0047
17256	0.0235
20744	-0.0073
2446	-0.0072
17036	-0.0074
17038	0.0008
9252	-0.0027
9251	0.0125
7865	0.0046
109	-0.0064
24886	0.1915
22900	0.1699
21614	0.0459
12430	-0.0044
101	0.0479
22905	-0.0078
7869	-0.0097
5824	-0.0068
2046	-0.0070
4815	-0.0060
15536	-0.0068
16814	0.2478
21290	0.0260
21924	0.0500
21921	0.0821
9419	0.0188
12123	0.0353
22541	0.0425
11618	0.0440
6377	-0.0076
20522	0.0718
10414	0.0012
10413	0.0063
20526	0.0188
10410	0.1991
11947	0.0185
11943	0.0276
10386	-0.0028
24089	-0.0081
19758	0.0365
19391	0.0242
24083	0.0405
9323	0.0189
8098	-0.0035
9326	0.0155
8943	0.2690
13338	0.0241
21721	0.0289
8948	-0.0048
9347	-0.0075
21726	-0.0054
14626	0.0690
20593	0.0063
6807	0.0655
6802	0.1387
98	-0.0055
10560	0.0862
9741	0.0421
93	0.0347
92	0.0094
20413	-0.0072
3207	0.0179
1995	0.0232
13935	0.0716
22813	0.0432
1629	-0.0056
19393	0.1895
24158	0.0187
21540	0.0087
21704	-0.0009
13052	0.0207
8831	0.0186
17977	-0.0028
18703	-0.0081
2861	0.0215
2866	-0.0018
18704	-0.0070
9228	0.0130
14710	0.0206
14247	-0.0027
12948	0.0956
15667	0.0003
12946	0.0434
12945	0.0037
3348	0.0062
20259	0.0322
3342	0.0476
1190	-0.0073
1193	-0.0046
3341	0.0025
20257	-0.0051
20255	0.0087
18637	0.0540
11415	0.0188
13333	0.3562
1176	0.0413
12493	0.0549
15442	-0.0069
6970	0.1311
6971	0.2112
4251	-0.0052
8168	0.0044
18149	0.1106
5539	0.0309
5538	0.0270
24742	0.0005
1285	-0.0076
12068	0.0375
1287	0.0937
11166	0.1420
11162	-0.0026
514	0.0030
8086	-0.0003
19785	0.1294
1572	-0.0052
1571	0.0048
7183	-0.0051
18328	-0.0008
8389	0.0110
8388	-0.0033
12709	-0.0068
18075	-0.0051
10232	-0.0027
8019	0.0828
8018	0.0067
8547	0.0679
23617	0.0004
23615	-0.0040
6576	-0.0056
7450	-0.0062
4381	0.0260
5623	-0.0013
5622	0.0439
7458	-0.0050
12065	0.0183
