locus	n.pairs	n.both.miss	n.b1.miss	n.b2.miss	n.both.genod	n.matched	n.mismatch.hom2hom	n.mismatch.het2hom	n.mismatch.hom2het
10000	50	5	0	3	42	42	0	0	0
10004	50	1	0	2	47	46	0	0	1
10011	50	5	0	6	39	39	0	0	0
10012	50	4	46	0	0	0	0	0	0
10016	50	3	0	1	46	46	0	0	0
10018	50	1	0	2	47	0	43	4	0
10019	50	1	0	3	46	46	0	0	0
10023	50	0	0	1	49	49	0	0	0
10026	50	7	0	1	42	39	0	1	2
10027	50	2	0	48	0	0	0	0	0
10036	50	18	0	7	25	25	0	0	0
1004	50	50	0	0	0	0	0	0	0
10040	50	3	0	2	45	45	0	0	0
10043	50	0	0	0	50	48	0	0	2
10048	50	1	0	2	47	9	11	27	0
10049	50	1	0	2	47	47	0	0	0
1005	50	0	0	46	4	0	0	0	4
10051	50	50	0	0	0	0	0	0	0
10055	50	4	0	0	46	45	0	0	1
10057	50	0	2	0	48	47	0	0	1
10070	50	1	0	0	49	46	0	0	3
10073	50	50	0	0	0	0	0	0	0
10086	50	0	0	1	49	49	0	0	0
10096	50	8	0	5	37	37	0	0	0
10097	50	10	0	2	38	38	0	0	0
10098	50	8	0	3	39	39	0	0	0
10099	50	8	0	4	38	38	0	0	0
101	50	0	0	0	50	50	0	0	0
10101	50	0	0	0	50	48	0	0	2
10105	50	7	5	0	38	26	0	12	0
10109	50	2	0	4	44	44	0	0	0
10116	50	1	0	2	47	45	0	0	2
10120	50	0	0	3	47	47	0	0	0
10123	50	2	0	3	45	44	0	0	1
10127	50	3	0	47	0	0	0	0	0
1013	50	0	0	1	49	49	0	0	0
10137	50	1	0	1	48	48	0	0	0
10142	50	0	0	1	49	49	0	0	0
10150	50	50	0	0	0	0	0	0	0
10152	50	0	0	1	49	49	0	0	0
10155	50	22	26	0	2	1	0	1	0
1016	50	4	45	0	1	0	0	1	0
10160	50	3	0	47	0	0	0	0	0
10164	50	50	0	0	0	0	0	0	0
10166	50	47	0	3	0	0	0	0	0
10168	50	0	0	50	0	0	0	0	0
10170	50	1	0	1	48	47	0	0	1
10171	50	50	0	0	0	0	0	0	0
10172	50	50	0	0	0	0	0	0	0
10173	50	50	0	0	0	0	0	0	0
10177	50	1	0	2	47	46	0	0	1
1018	50	6	0	44	0	0	0	0	0
10180	50	5	1	0	44	42	0	0	2
10183	50	1	0	1	48	47	0	0	1
10189	50	1	0	4	45	45	0	0	0
10193	50	4	41	0	5	0	0	5	0
10195	50	2	0	5	43	42	0	0	1
10196	50	49	0	1	0	0	0	0	0
10201	50	3	0	2	45	45	0	0	0
10203	50	50	0	0	0	0	0	0	0
10204	50	50	0	0	0	0	0	0	0
10206	50	4	0	3	43	43	0	0	0
1021	50	50	0	0	0	0	0	0	0
10213	50	6	0	0	44	44	0	0	0
10221	50	8	0	2	40	40	0	0	0
10225	50	0	0	1	49	48	0	0	1
10228	50	3	0	2	45	44	0	0	1
10233	50	0	0	0	50	48	0	0	2
10235	50	3	0	47	0	0	0	0	0
10237	50	11	23	2	14	5	0	9	0
10238	50	50	0	0	0	0	0	0	0
1024	50	9	0	4	37	36	0	0	1
10242	50	7	0	2	41	40	0	0	1
10245	50	50	0	0	0	0	0	0	0
10246	50	11	0	5	34	32	0	0	2
10247	50	50	0	0	0	0	0	0	0
10248	50	5	0	2	43	43	0	0	0
10249	50	0	0	4	46	46	0	0	0
1025	50	0	0	2	48	47	0	0	1
10250	50	0	0	0	50	49	0	0	1
10255	50	1	0	2	47	0	38	8	1
10257	50	4	0	0	46	46	0	0	0
10260	50	4	45	0	1	0	1	0	0
10261	50	18	0	9	23	23	0	0	0
10271	50	7	0	4	39	39	0	0	0
10278	50	1	0	1	48	45	0	0	3
10281	50	2	0	2	46	46	0	0	0
10283	50	1	0	0	49	49	0	0	0
10285	50	1	0	2	47	47	0	0	0
10294	50	10	39	0	1	0	1	0	0
10296	50	1	0	3	46	6	15	25	0
10303	50	1	0	3	46	46	0	0	0
10307	50	2	0	1	47	47	0	0	0
10309	50	0	0	0	50	50	0	0	0
10312	50	0	0	0	50	49	0	0	1
10314	50	0	0	1	49	47	0	0	2
10315	50	11	0	8	31	26	0	0	5
10319	50	1	0	2	47	45	0	0	2
10320	50	1	0	0	49	48	0	0	1
10322	50	0	0	1	49	49	0	0	0
10326	50	0	0	0	50	49	0	0	1
10332	50	13	2	3	32	32	0	0	0
10333	50	50	0	0	0	0	0	0	0
10335	50	49	0	1	0	0	0	0	0
10341	50	50	0	0	0	0	0	0	0
10342	50	3	47	0	0	0	0	0	0
10344	50	4	1	3	42	41	0	0	1
10353	50	50	0	0	0	0	0	0	0
10354	50	50	0	0	0	0	0	0	0
10355	50	0	0	1	49	49	0	0	0
10360	50	12	0	6	32	32	0	0	0
10364	50	4	0	0	46	46	0	0	0
10366	50	2	0	48	0	0	0	0	0
10368	50	0	0	1	49	49	0	0	0
10369	50	17	26	1	6	2	0	4	0
1037	50	2	15	0	33	1	10	22	0
10372	50	50	0	0	0	0	0	0	0
10376	50	50	0	0	0	0	0	0	0
10377	50	3	0	1	46	42	0	0	4
10381	50	0	0	2	48	48	0	0	0
10382	50	2	0	3	45	45	0	0	0
10388	50	2	0	4	44	44	0	0	0
1039	50	0	0	2	48	48	0	0	0
10390	50	50	0	0	0	0	0	0	0
10391	50	22	7	0	21	17	0	4	0
10396	50	4	5	1	40	22	0	18	0
10403	50	4	0	3	43	35	0	8	0
10404	50	50	0	0	0	0	0	0	0
1041	50	0	0	0	50	50	0	0	0
10410	50	50	0	0	0	0	0	0	0
10413	50	5	0	44	1	1	0	0	0
10419	50	0	0	0	50	0	48	2	0
10422	50	2	48	0	0	0	0	0	0
10428	50	1	0	2	47	45	0	0	2
10432	50	50	0	0	0	0	0	0	0
10438	50	6	0	4	40	40	0	0	0
1044	50	0	0	4	46	45	0	0	1
10440	50	50	0	0	0	0	0	0	0
10441	50	50	0	0	0	0	0	0	0
10443	50	6	0	1	43	1	4	0	38
10445	50	0	0	1	49	49	0	0	0
10448	50	0	0	50	0	0	0	0	0
10456	50	10	0	8	32	32	0	0	0
10461	50	0	0	1	49	38	1	9	1
10466	50	0	0	1	49	48	0	0	1
10467	50	50	0	0	0	0	0	0	0
10468	50	9	0	3	38	37	0	0	1
10469	50	50	0	0	0	0	0	0	0
10470	50	16	0	10	24	24	0	0	0
10474	50	5	0	3	42	42	0	0	0
10477	50	6	0	3	41	41	0	0	0
10479	50	0	0	50	0	0	0	0	0
10480	50	50	0	0	0	0	0	0	0
10484	50	50	0	0	0	0	0	0	0
10486	50	50	0	0	0	0	0	0	0
10489	50	50	0	0	0	0	0	0	0
1049	50	4	0	1	45	45	0	0	0
10490	50	5	0	5	40	39	0	0	1
10491	50	7	43	0	0	0	0	0	0
10492	50	2	0	1	47	47	0	0	0
10500	50	6	0	3	41	40	0	0	1
10502	50	4	33	0	13	2	0	11	0
10504	50	1	2	1	46	0	28	18	0
10505	50	2	0	0	48	47	0	0	1
10507	50	4	0	5	41	41	0	0	0
10509	50	8	0	4	38	37	0	0	1
10513	50	50	0	0	0	0	0	0	0
10515	50	0	0	0	50	49	0	0	1
10517	50	1	0	2	47	47	0	0	0
10518	50	11	0	39	0	0	0	0	0
10520	50	2	35	0	13	1	0	12	0
10521	50	0	0	2	48	47	0	0	1
10527	50	5	0	5	40	40	0	0	0
10543	50	1	41	0	8	3	0	5	0
10548	50	3	0	3	44	44	0	0	0
10550	50	1	0	2	47	47	0	0	0
10553	50	5	0	3	42	40	0	0	2
1056	50	0	0	2	48	45	0	0	3
10564	50	3	0	1	46	46	0	0	0
10567	50	2	0	1	47	47	0	0	0
10569	50	1	0	0	49	49	0	0	0
10570	50	49	0	1	0	0	0	0	0
10578	50	6	0	44	0	0	0	0	0
1058	50	0	0	0	50	50	0	0	0
10581	50	1	0	49	0	0	0	0	0
10587	50	50	0	0	0	0	0	0	0
10588	50	11	1	7	31	1	26	4	0
10589	50	1	0	2	47	46	0	0	1
1059	50	7	0	6	37	37	0	0	0
10591	50	4	0	7	39	37	0	0	2
10595	50	50	0	0	0	0	0	0	0
10598	50	1	0	0	49	0	47	2	0
106	50	1	0	1	48	48	0	0	0
1060	50	0	0	2	48	47	0	0	1
10603	50	0	26	0	24	2	0	21	1
10605	50	0	1	1	48	47	0	0	1
10607	50	0	1	3	46	44	0	1	1
10612	50	50	0	0	0	0	0	0	0
10613	50	4	0	3	43	42	0	0	1
10620	50	4	0	3	43	43	0	0	0
10623	50	3	0	3	44	44	0	0	0
10630	50	0	0	1	49	49	0	0	0
10633	50	4	0	2	44	44	0	0	0
10635	50	2	0	0	48	48	0	0	0
10636	50	5	0	5	40	40	0	0	0
10637	50	1	0	0	49	48	0	0	1
10642	50	3	0	2	45	43	0	2	0
10644	50	1	0	2	47	47	0	0	0
10647	50	4	0	0	46	46	0	0	0
10648	50	3	0	4	43	43	0	0	0
10652	50	0	0	1	49	48	0	1	0
10653	50	4	0	46	0	0	0	0	0
10654	50	2	0	1	47	46	0	0	1
10655	50	18	32	0	0	0	0	0	0
10660	50	3	0	0	47	47	0	0	0
10661	50	6	44	0	0	0	0	0	0
10662	50	5	0	2	43	41	0	0	2
10664	50	1	0	0	49	49	0	0	0
10665	50	50	0	0	0	0	0	0	0
10673	50	7	43	0	0	0	0	0	0
10677	50	50	0	0	0	0	0	0	0
10679	50	10	0	6	34	0	32	2	0
10682	50	4	0	1	45	45	0	0	0
10683	50	1	25	0	24	3	0	21	0
10684	50	7	0	4	39	39	0	0	0
10687	50	8	0	4	38	38	0	0	0
10689	50	2	0	6	42	42	0	0	0
10691	50	0	50	0	0	0	0	0	0
10692	50	1	0	2	47	47	0	0	0
10693	50	5	0	1	44	44	0	0	0
10699	50	0	0	2	48	48	0	0	0
10704	50	5	0	3	42	42	0	0	0
10705	50	50	0	0	0	0	0	0	0
10706	50	0	0	1	49	48	0	0	1
1071	50	1	4	1	44	37	0	7	0
10715	50	1	1	2	46	45	0	0	1
10719	50	1	0	1	48	48	0	0	0
10722	50	0	0	2	48	48	0	0	0
10727	50	0	0	2	48	48	0	0	0
10735	50	2	0	48	0	0	0	0	0
10740	50	6	0	5	39	39	0	0	0
10745	50	0	0	49	1	0	1	0	0
10751	50	50	0	0	0	0	0	0	0
10753	50	1	47	0	2	0	0	2	0
1076	50	50	0	0	0	0	0	0	0
10763	50	4	0	1	45	43	0	0	2
10765	50	50	0	0	0	0	0	0	0
1077	50	2	42	0	6	0	0	6	0
10770	50	3	0	8	39	39	0	0	0
10771	50	0	0	2	48	47	0	0	1
10780	50	4	1	0	45	1	0	44	0
10783	50	1	1	3	45	41	0	0	4
10786	50	2	0	2	46	46	0	0	0
10790	50	2	5	3	40	20	0	20	0
10792	50	15	35	0	0	0	0	0	0
10793	50	16	0	1	33	33	0	0	0
10794	50	1	0	3	46	45	0	0	1
10800	50	2	0	2	46	43	0	0	3
10815	50	4	1	0	45	44	0	0	1
10817	50	50	0	0	0	0	0	0	0
1082	50	50	0	0	0	0	0	0	0
10820	50	3	46	0	1	0	1	0	0
10821	50	49	1	0	0	0	0	0	0
10822	50	0	0	1	49	49	0	0	0
10823	50	0	0	4	46	42	0	0	4
10824	50	0	0	2	48	42	0	6	0
10826	50	2	0	0	48	47	0	0	1
10828	50	5	0	4	41	40	0	0	1
1083	50	50	0	0	0	0	0	0	0
10830	50	0	0	1	49	49	0	0	0
10831	50	0	0	2	48	48	0	0	0
10834	50	50	0	0	0	0	0	0	0
10842	50	2	0	2	46	46	0	0	0
10845	50	8	1	2	39	38	0	0	1
10848	50	1	0	5	44	44	0	0	0
10849	50	50	0	0	0	0	0	0	0
1085	50	0	0	49	1	0	1	0	0
10850	50	4	46	0	0	0	0	0	0
10854	50	8	0	3	39	39	0	0	0
10857	50	4	0	46	0	0	0	0	0
1086	50	2	0	0	48	48	0	0	0
10861	50	5	0	0	45	45	0	0	0
1087	50	3	0	1	46	44	0	0	2
10873	50	2	0	2	46	33	0	3	10
10875	50	4	0	2	44	44	0	0	0
10883	50	10	0	5	35	35	0	0	0
10884	50	2	48	0	0	0	0	0	0
10887	50	0	0	0	50	49	0	0	1
10891	50	2	0	3	45	44	0	0	1
