locus	p_missing_KOR	p_missing_AK
1_80	0.0276073619632	0.0169971671388
5_81	0.358895705521	0.368271954674
48_65	0.0920245398773	0.0821529745042
54_91	0.0153374233129	0.0056657223796
56_45	0.263803680982	0.0538243626062
80_82	0.0276073619632	0.0509915014164
92_41	0.0674846625767	0.881019830028
93_56	0.361963190184	0.583569405099
101_39	0.0337423312883	0.0481586402266
105_80	0.0306748466258	0.0198300283286
111_79	0.205521472393	0.71954674221
114_71	0.0766871165644	0.886685552408
116_73	0.0736196319018	0.883852691218
126_78	0.20245398773	0.473087818697
138_76	0.0674846625767	0.0793201133144
148_88	0.0490797546012	0.0226628895184
154_30	0.0398773006135	0.243626062323
159_50	0.199386503067	1.0
164_55	0.058282208589	0.042492917847
167_47	0.340490797546	0.365439093484
179_43	0.0613496932515	1.0
180_70	0.0429447852761	0.0878186968839
195_67	0.546012269939	0.903682719547
198_50	1.0	0.110481586402
200_65	0.349693251534	0.220963172805
204_56	0.365030674847	0.597733711048
213_83	0.0828220858896	0.0679886685552
216_53	0.0153374233129	1.0
227_47	0.0705521472393	0.0198300283286
231_42	0.355828220859	0.0481586402266
233_29	0.665644171779	0.0793201133144
236_29	0.346625766871	0.475920679887
240_71	0.349693251534	0.881019830028
256_50	0.0644171779141	0.881019830028
264_40	0.0613496932515	0.0453257790368
265_42	0.61963190184	1.0
287_55	0.0368098159509	0.229461756374
288_90	0.0613496932515	0.042492917847
292_60	0.0490797546012	0.359773371105
297_73	0.0705521472393	0.220963172805
302_29	0.475460122699	1.0
304_91	0.211656441718	0.886685552408
315_48	0.349693251534	0.657223796034
320_88	0.0368098159509	0.0396600566572
324_29	0.276073619632	0.0481586402266
330_34	0.555214723926	1.0
331_54	0.365030674847	1.0
344_37	0.0644171779141	0.0906515580737
348_68	0.211656441718	0.70821529745
362_65	0.0766871165644	1.0
364_48	0.0613496932515	0.070821529745
367_29	0.0337423312883	0.0311614730878
378_91	0.328220858896	1.0
379_72	0.0644171779141	0.232294617564
381_80	0.358895705521	0.71388101983
388_77	0.242331288344	1.0
390_89	0.0398773006135	0.0651558073654
391_43	0.0306748466258	0.365439093484
397_75	0.705521472393	1.0
400_73	0.564417177914	1.0
406_61	0.638036809816	0.490084985836
419_84	0.0674846625767	0.0339943342776
432_46	0.509202453988	0.886685552408
440_43	0.0368098159509	1.0
463_77	0.0490797546012	0.416430594901
472_58	0.0460122699387	0.215297450425
479_64	0.0490797546012	0.056657223796
485_55	0.0398773006135	0.0254957507082
490_42	0.0306748466258	0.0226628895184
496_90	0.0398773006135	0.0651558073654
498_79	0.58282208589	0.070821529745
508_50	0.355828220859	1.0
512_79	0.0490797546012	0.0056657223796
522_56	0.20245398773	0.0821529745042
530_86	0.352760736196	0.0849858356941
532_39	0.717791411043	1.0
545_39	0.0521472392638	0.0226628895184
546_56	0.0368098159509	0.645892351275
549_38	0.0460122699387	0.14164305949
554_73	0.368098159509	1.0
561_29	0.0674846625767	0.0339943342776
566_51	0.343558282209	1.0
571_76	0.223926380368	1.0
576_56	0.0736196319018	0.416430594901
584_74	0.0429447852761	0.215297450425
589_59	0.0460122699387	0.0764872521246
594_43	0.358895705521	0.467422096317
604_53	0.0705521472393	0.218130311615
612_65	0.0276073619632	0.0226628895184
616_42	0.0613496932515	0.070821529745
617_59	0.0429447852761	0.0198300283286
632_85	0.496932515337	0.543909348442
640_57	0.757668711656	1.0
644_85	0.0276073619632	0.0254957507082
700_40	0.0705521472393	0.0623229461756
705_76	0.0398773006135	0.220963172805
735_67	0.0245398773006	0.0311614730878
758_37	0.0552147239264	0.594900849858
765_32	0.0337423312883	0.0651558073654
768_53	0.0276073619632	0.00849858356941
769_63	0.211656441718	0.889518413598
772_85	0.0368098159509	0.0226628895184
780_34	0.0521472392638	0.359773371105
792_76	0.386503067485	1.0
801_79	0.711656441718	0.0906515580737
804_81	0.0613496932515	0.0849858356941
805_81	0.0552147239264	0.886685552408
813_74	0.0460122699387	0.0934844192635
815_86	0.0644171779141	0.215297450425
817_43	0.435582822086	1.0
821_64	0.0490797546012	0.0226628895184
840_28	0.0398773006135	0.756373937677
844_68	0.561349693252	1.0
