locus	n_missing	p_missing
1_80	7	0.0108695652174
3_75	14	0.0217391304348
5_36	35	0.054347826087
6_49	3	0.00465838509317
10_49	1	0.00155279503106
11_49	12	0.0186335403727
16_59	3	0.00465838509317
19_91	5	0.00776397515528
20_88	13	0.0201863354037
24_57	1	0.00155279503106
39_36	6	0.00931677018634
40_73	360	0.55900621118
53_84	26	0.0403726708075
54_91	1	0.00155279503106
61_85	55	0.0854037267081
63_78	22	0.0341614906832
67_28	16	0.0248447204969
71_74	3	0.00465838509317
72_70	224	0.347826086957
74_52	16	0.0248447204969
75_48	88	0.136645962733
80_82	5	0.00776397515528
81_64	337	0.523291925466
86_65	4	0.00621118012422
88_61	32	0.0496894409938
91_88	33	0.0512422360248
92_41	37	0.0574534161491
93_56	14	0.0217391304348
98_40	18	0.027950310559
101_40	7	0.0108695652174
102_77	48	0.0745341614907
106_69	55	0.0854037267081
109_73	28	0.0434782608696
111_79	13	0.0201863354037
113_83	20	0.0310559006211
114_71	31	0.0481366459627
116_73	23	0.0357142857143
117_62	10	0.0155279503106
120_70	9	0.0139751552795
121_62	65	0.100931677019
124_66	343	0.532608695652
126_78	13	0.0201863354037
127_57	25	0.0388198757764
139_71	78	0.121118012422
142_91	23	0.0357142857143
146_55	87	0.135093167702
148_88	5	0.00776397515528
160_61	3	0.00465838509317
164_55	6	0.00931677018634
166_78	16	0.0248447204969
167_47	10	0.0155279503106
169_76	5	0.00776397515528
174_91	74	0.114906832298
179_43	341	0.52950310559
183_55	59	0.0916149068323
184_64	9	0.0139751552795
187_52	17	0.026397515528
189_28	17	0.026397515528
192_82	145	0.225155279503
195_63	107	0.166149068323
198_50	45	0.0698757763975
200_65	13	0.0201863354037
206_70	5	0.00776397515528
208_51	352	0.546583850932
212_71	4	0.00621118012422
216_51	338	0.524844720497
220_76	33	0.0512422360248
221_37	25	0.0388198757764
227_47	7	0.0108695652174
228_89	1	0.00155279503106
231_42	17	0.026397515528
232_56	10	0.0155279503106
233_29	64	0.0993788819876
236_29	11	0.0170807453416
240_71	31	0.0481366459627
244_78	84	0.130434782609
245_66	6	0.00931677018634
246_47	10	0.0155279503106
248_70	10	0.0155279503106
249_85	14	0.0217391304348
253_78	8	0.0124223602484
255_44	4	0.00621118012422
256_50	15	0.0232919254658
263_66	14	0.0217391304348
265_28	138	0.214285714286
277_62	266	0.413043478261
284_90	4	0.00621118012422
286_69	47	0.0729813664596
287_55	5	0.00776397515528
297_73	13	0.0201863354037
298_35	22	0.0341614906832
304_85	56	0.0869565217391
308_46	2	0.00310559006211
314_85	293	0.454968944099
315_48	22	0.0341614906832
330_73	192	0.298136645963
331_54	46	0.0714285714286
344_37	8	0.0124223602484
348_68	17	0.026397515528
358_46	1	0.00155279503106
362_65	164	0.254658385093
364_48	10	0.0155279503106
367_29	6	0.00931677018634
368_37	3	0.00465838509317
370_37	47	0.0729813664596
373_59	41	0.0636645962733
375_44	342	0.531055900621
376_68	2	0.00310559006211
377_89	28	0.0434782608696
378_91	354	0.549689440994
379_64	8	0.0124223602484
380_51	5	0.00776397515528
381_80	35	0.054347826087
386_85	19	0.0295031055901
388_77	48	0.0745341614907
391_49	6	0.00931677018634
