Locus	fst	chromosome	position
Ot010598_Ots01p	-0.0078	Ots01	0
Ot018821_Ots01p	-0.0087	Ots01	0
Ot036743_Ots01p	0.0134	Ots01	0
Ot051272_Ots01p	-0.012	Ots01	0
Ot052674_Ots01p	0.0548	Ots01	0
Ot055731_Ots01p	-0.0059	Ots01	0
Ot056394_Ots01p	0.0581	Ots01	0
Ot016214_Ots01p	-0.0104	Ots01	0.01
Ot040238_Ots01p	0.0034	Ots01	0.01
Ot014775_Ots01p	0.0042	Ots01	0.03
Ot020486_Ots01p	-0.0117	Ots01	0.04
Ot021200_Ots01p	-0.0056	Ots01	0.04
Ot024279_Ots01p	-0.0109	Ots01	0.04
Ot005631_Ots01p	-0.0094	Ots01	1.95
Ot019899_Ots01p	0.0974	Ots01	1.95
Ot020360_Ots01p	-0.0123	Ots01	1.95
Ot023544_Ots01p	-0.005	Ots01	1.95
Ot026346_Ots01p	-0.009	Ots01	1.95
Ot031539_Ots01p	0.0064	Ots01	1.95
Ot036140_Ots01p	-0.0118	Ots01	1.95
Ot046471_Ots01p	0.0265	Ots01	1.95
Ot047777_Ots01p	-0.0021	Ots01	1.95
Ot048783_Ots01p	-0.0039	Ots01	1.95
Ot053843_Ots01p	-0.0002	Ots01	1.95
Ot030505_Ots01p	0.0468	Ots01	1.98
Ot037273_Ots01p	0.0116	Ots01	1.98
Ot054382_Ots01p	-0.0085	Ots01	2.37
Ot006098_Ots01p	-0.0095	Ots01	3.96
Ot009437_Ots01p	-0.0019	Ots01	3.96
Ot010885_Ots01p	0.0022	Ots01	3.96
Ot017870_Ots01p	0.0003	Ots01	3.96
Ot002608_Ots01p	-0.0073	Ots01	4.64
Ot011402_Ots01p	-0.0123	Ots01	4.64
Ot028491_Ots01p	-0.0022	Ots01	4.64
Ot040730_Ots01p	0.0065	Ots01	4.64
Ot055118_Ots01p	-0.0149	Ots01	4.88
Ot026878	0.0078	Ots01	6.085
Ot009720_Ots01p	0.0124	Ots01	8.12
Ot002510_Ots01p	-0.0096	Ots01	10.22
Ot006437_Ots01p	-0.0065	Ots01	10.22
Ot013330_Ots01p	0.0336	Ots01	10.22
Ot018685_Ots01p	-0.0033	Ots01	10.22
Ot019299_Ots01p	0.1188	Ots01	10.22
Ot016647_Ots01p	-0.008	Ots01	10.47
Ot002153_Ots01p	-0.0112	Ots01	10.76
Ot026225_Ots01p	0.021	Ots01	10.76
Ot005625_Ots01p	-0.0006	Ots01	14.15
Ot023429_Ots01p	-0.0067	Ots01	14.15
Ot028488_Ots01p	-0.0099	Ots01	14.15
Ot033835_Ots01p	0.0111	Ots01	14.87
Ot000336_Ots01p	0.0021	Ots01	16.29
Ot001766_Ots01p	-0.0059	Ots01	16.29
Ot007813_Ots01p	0.0438	Ots01	16.29
Ot009791_Ots01p	0.0123	Ots01	16.29
Ot016034_Ots01p	0.0298	Ots01	16.29
Ot039542_Ots01p	-0.0097	Ots01	16.29
Ot013586_Ots01p	-0.01	Ots01	16.54
Ot004134_Ots01p	-0.0118	Ots01	17.98
Ot012443_Ots01p	-0.0128	Ots01	17.98
Ot024504_Ots01p	-0.0151	Ots01	17.98
