Locus	fst	chromosome	position
1	19718	-0.003	LG04	15786063
2	23990	0.0277	LG05	9266375
3	14478	-0.0024	LG12	25449544
4	19716	0.1045	LG01	13543599
5	21633	0.1075	LG16	3885750
6	23448	0.0095	LG11	26240894
7	4025	0.0059	LG03	24223878
8	11546	0.0048	LG10	12653334
9	13732	0.0182	LG07	4878672
10	25250	0.0018	LG10	4629105
11	166	-0.0022	LG02	23270721
12	11386	0.0226	LG15	19591012
13	5980	-0.0034	LG09	21886663
14	16238	-0.0041	LG08	5811809
15	5984	0.0206	LG11	13375051
16	7514	-0.0029	LG09	9462378
17	19158	0.011	LG15	9445017
18	25624	0.0185	LG19	12075773
19	348	-0.003	LG16	19876759
20	19371	0.0421	LG09	10689203
21	19372	0.0074	LG07	30915399
22	24840	-0.0055	LG17	15615212
23	14296	0.0077	LG22	20639374
24	22999	0.085	LG16	7683559
25	12701	0.0738	LG06	653437
26	12705	0.0633	LG18	9156806
27	6156	-6e-04	LG02	15037451
28	6158	0.0763	LG11	24273058
29	6797	-1e-04	LG11	11597003
30	10965	0.0333	LG05	13105253
31	13600	0.0985	LG16	6622274
32	13607	0.106	LG15	24471470
33	2319	0.0023	LG07	20997192
34	4739	0.0555	LG01	6163089
35	8305	0.0026	LG02	11675992
36	23449	-0.0044	LG01	9519370
37	5851	0.007	LG02	21921687
38	5853	0.0649	LG09	9910448
39	297	0.0311	LG05	20858577
40	5859	-0.0057	LG23	5934977
41	17654	0.0477	LG14	14918702
42	21100	0.0504	LG20	15135577
43	24941	-0.002	LG11	20323618
44	3680	0.0094	LG17	8605809
45	3776	0.0952	LG01	24455925
46	15958	0.18	LG23	12977353
47	25284	0.0432	LG11	18813106
48	23364	-0.0024	LG21	1951878
49	4834	0.0554	LG11	12058857
50	12962	0.0832	LG07	20991578
51	19971	-0.0055	LG15	18510285
52	13547	0.033	LG06	17746245
53	16257	0.0228	LG11	15142617
54	19975	-0.0015	LG03	29149035
55	12108	-0.0054	LG13	414978
56	22719	-7e-04	LG16	26563582
57	18188	0.0014	LG09	19813932
58	23368	0.0103	LG19	11098386
59	15526	0.0293	LG21	16277340
60	7992	0.0177	LG20	17181919
61	12017	0.1133	LG09	12286191
62	22488	0.0199	LG09	17756102
63	15528	0.1767	LG16	13025420
64	11768	0.0373	LG07	21989855
65	11760	0.038	LG07	9519203
66	2261	0.0121	LG21	19768537
67	17254	0.0587	LG21	9839979
68	17255	-0.0039	LG16	14444680
69	17256	0.0213	LG12	25161246
70	20744	-0.0034	LG05	23975122
71	2446	-0.0062	LG03	29018446
72	17036	-0.006	LG07	16603045
73	17038	0.0119	LG09	17129440
74	9252	-0.0034	LG10	2489942
75	9251	-0.0014	LG11	26642181
76	7865	0.0082	LG08	11365031
77	109	-0.0052	LG05	10536052
78	24886	0.1993	LG16	16745561
79	22900	0.1762	LG08	8301243
80	21614	0.0321	LG06	8028774
81	12430	0.0064	LG21	18156381
82	101	0.043	LG03	20685759
83	22905	-0.0026	LG22	4615278
84	7869	0.0044	LG17	10688746
85	5824	-0.0056	LG04	9835263
86	2046	-0.0049	LG05	11189734
87	4815	-0.0029	LG03	12288968
88	15536	-0.0034	LG07	5891920
89	16814	0.1725	LG14	2926912
90	21290	0.0284	LG05	16180064
91	23627	-0.0045	LG22	11043718
92	21924	0.0465	LG22	6202798
93	21921	0.0739	LG06	17047252
94	9419	0.0176	LG08	24203128
95	12123	0.0197	LG06	1575634
96	22541	0.0311	LG05	20236929
97	11618	0.0404	LG13	13050029
98	6377	-0.0044	LG11	27229186
99	20522	0.0869	LG09	2507199
100	10414	-0.0048	LG16	17455883
101	10413	0.0076	LG03	19637006
102	20526	0.0172	LG08	5973861
103	10410	0.1982	LG14	6016044
104	11947	0.0188	LG15	7306164
105	11943	0.0251	LG07	20442784
106	10386	-0.0049	LG06	3618928
107	24089	-0.0058	LG18	11306607
108	19758	0.039	LG20	13703430
109	19391	0.0202	LG15	26295688
110	24083	0.028	LG01	4439028
111	9323	0.0176	LG21	22259790
112	8098	-0.0047	LG05	7346643
113	9326	0.0191	LG19	12260534
114	8943	0.223	LG13	3879446
115	13338	0.0348	LG18	20235757
116	21721	0.0206	LG19	7685592
117	8948	-0.0033	LG01	25476939
118	9347	-0.0057	LG22	17143940
119	21726	-0.0046	LG14	5603751
120	14626	0.0503	LG06	237123
121	20593	0.0059	LG13	16159441
122	6807	0.0588	LG05	9917870
123	6802	0.1376	LG22	7924236
124	98	-0.0041	LG12	20292473
125	10560	0.0974	LG17	11340830
126	9741	0.0394	LG02	5980256
127	93	0.0419	LG21	16435657
128	92	0.0104	LG10	10496043
129	20413	-0.0037	LG04	22474367
130	3207	0.0148	LG08	5648759
131	1995	0.0267	LG03	20433399
132	13935	0.0577	LG07	20916719
133	22813	0.0368	LG17	945052
134	1629	-0.0047	LG22	18697916
135	19393	0.1966	LG15	14447479
136	24158	0.0395	LG20	1953008
137	21540	0.0039	LG08	6956890
138	21704	0.0067	LG14	2137806
139	13052	0.0157	LG11	18447466
140	8831	0.0115	LG21	12302764
141	17977	0.0022	LG14	24906233
142	18703	-0.0067	LG20	19712595
143	2861	0.0197	LG14	15397625
144	2866	0.0042	LG01	23087036
145	18704	-0.0069	LG22	2749624
146	9228	0.0115	LG15	14543912
147	14710	0.0174	LG23	3145700
148	14247	-0.0048	LG20	1842713
149	12948	0.0822	LG14	19332362
150	15667	0.004	LG20	23656667
151	12946	0.0392	LG07	26921264
152	12945	0.0032	LG10	13448653
153	3348	0.0131	LG16	19834425
154	20259	0.0282	LG19	9435515
155	3342	0.0467	LG21	13232316
156	1190	-0.0014	LG01	8092422
157	1193	-0.001	LG03	24543439
158	3341	0.0029	LG14	28893155
159	20257	0.0097	LG13	23629689
160	20255	0.0118	LG04	17092539
161	18637	0.0694	LG05	21652083
162	11415	0.0114	LG12	25161775
163	13333	0.3525	LG17	2707127
164	1176	0.0277	LG01	13275503
165	12493	0.0584	LG11	21490717
166	15442	-0.0055	LG03	23446575
167	6970	0.1135	LG16	12280659
168	6971	0.1882	LG03	2817594
169	4251	-0.0058	LG10	16638251
170	8168	6e-04	LG12	5940810
171	18149	0.0911	LG18	22171134
172	5539	0.0318	LG18	15263037
173	5538	0.027	LG23	9616094
174	24742	0.0059	LG22	8820938
175	1285	-0.0058	LG20	6673367
176	12068	0.0276	LG19	9420848
177	1287	0.1042	LG03	7081654
178	11166	0.1102	LG03	2817506
179	11162	0.0017	LG03	25703336
180	514	0.0044	LG20	1413400
