Locus	LG	Position	C.Position
20	LG01	8417786	8417786
126	LG01	26277273	26277273
253	LG01	13663746	13663746
669	LG01	12788651	12788651
765	LG01	16350985	16350985
1037	LG01	22314645	22314645
1176	LG01	13275503	13275503
1275	LG01	19119404	19119404
1393	LG01	9598261	9598261
1617	LG01	3728784	3728784
1713	LG01	9493971	9493971
1932	LG01	17764204	17764204
2362	LG01	13543511	13543511
2672	LG01	26278837	26278837
2780	LG01	11869646	11869646
2866	LG01	23087036	23087036
2874	LG01	21713494	21713494
2973	LG01	27732633	27732633
2990	LG01	17231504	17231504
3096	LG01	1380478	1380478
3147	LG01	9089476	9089476
3464	LG01	2734393	2734393
3470	LG01	24875903	24875903
3630	LG01	28032467	28032467
3794	LG01	17891914	17891914
3917	LG01	2734304	2734304
4001	LG01	16539719	16539719
4003	LG01	24038892	24038892
4103	LG01	19759592	19759592
4293	LG01	950746	950746
4365	LG01	18164746	18164746
4494	LG01	9685227	9685227
4794	LG01	17737464	17737464
5023	LG01	214443	214443
5062	LG01	2507022	2507022
5100	LG01	19851781	19851781
5237	LG01	19664836	19664836
5285	LG01	3925470	3925470
5482	LG01	9010262	9010262
5569	LG01	23205145	23205145
5894	LG01	5179409	5179409
6077	LG01	16099585	16099585
6118	LG01	7928342	7928342
6225	LG01	17343059	17343059
6409	LG01	4436885	4436885
6410	LG01	26825592	26825592
6687	LG01	19131955	19131955
7275	LG01	22595118	22595118
7545	LG01	9399694	9399694
7573	LG01	13566886	13566886
7671	LG01	15937558	15937558
7793	LG01	14654622	14654622
8242	LG01	7621451	7621451
8568	LG01	14990824	14990824
8789	LG01	11152405	11152405
9000	LG01	20164805	20164805
9305	LG01	16799615	16799615
9421	LG01	24972595	24972595
9454	LG01	20940596	20940596
9456	LG01	12895039	12895039
9559	LG01	16809414	16809414
9596	LG01	11383360	11383360
9625	LG01	23464462	23464462
9870	LG01	25537657	25537657
9926	LG01	23296870	23296870
9965	LG01	22419167	22419167
9971	LG01	20704098	20704098
9996	LG01	26278925	26278925
10466	LG01	25246286	25246286
10524	LG01	15222575	15222575
10680	LG01	16535358	16535358
11115	LG01	9595976	9595976
11437	LG01	4662599	4662599
11504	LG01	24263046	24263046
11711	LG01	14052789	14052789
12001	LG01	15477998	15477998
12082	LG01	19122718	19122718
12205	LG01	144969	144969
12480	LG01	907791	907791
12771	LG01	7923920	7923920
12877	LG01	22265414	22265414
12917	LG01	9329019	9329019
13041	LG01	10868696	10868696
13142	LG01	8383158	8383158
13275	LG01	23209262	23209262
13486	LG01	3357702	3357702
13506	LG01	12222620	12222620
13536	LG01	5711276	5711276
14226	LG01	4712996	4712996
14329	LG01	5404659	5404659
14379	LG01	3282792	3282792
14461	LG01	15523673	15523673
