locus	n_missing	p_missing
1_80	15	0.0220913107511
5_81	247	0.363770250368
48_65	59	0.0868924889543
54_91	7	0.0103092783505
56_45	105	0.154639175258
80_82	27	0.039764359352
92_41	333	0.490427098675
93_56	324	0.477172312224
101_39	28	0.0412371134021
105_80	17	0.0250368188513
111_79	321	0.472754050074
114_71	338	0.497790868925
116_73	336	0.494845360825
126_78	233	0.343151693667
138_76	50	0.0736377025037
148_88	24	0.0353460972018
154_30	99	0.145802650957
159_50	418	0.615611192931
164_55	34	0.0500736377025
167_47	240	0.353460972018
179_43	373	0.549337260677
180_70	45	0.0662739322533
195_67	497	0.731958762887
198_50	365	0.537555228277
200_65	192	0.282768777614
204_56	330	0.486008836524
213_83	51	0.0751104565538
216_53	358	0.527245949926
227_47	30	0.0441826215022
231_42	133	0.19587628866
233_29	245	0.360824742268
236_29	281	0.413843888071
240_71	425	0.625920471281
256_50	332	0.488954344624
264_40	36	0.0530191458027
265_42	555	0.817378497791
287_55	93	0.136966126657
288_90	35	0.0515463917526
292_60	143	0.210603829161
297_73	101	0.148748159057
302_29	508	0.748159057437
304_91	382	0.562592047128
315_48	346	0.509572901325
320_88	26	0.0382916053019
324_29	107	0.157584683358
330_34	534	0.786450662739
331_54	472	0.695139911635
344_37	53	0.0780559646539
348_68	319	0.469808541973
362_65	378	0.556701030928
364_48	45	0.0662739322533
367_29	22	0.0324005891016
378_91	460	0.677466863034
379_72	103	0.151693667158
381_80	369	0.543446244477
388_77	432	0.636229749632
390_89	36	0.0530191458027
391_43	139	0.20471281296
397_75	583	0.858615611193
400_73	537	0.79086892489
406_61	381	0.561119293078
419_84	34	0.0500736377025
432_46	479	0.705449189985
440_43	365	0.537555228277
463_77	163	0.240058910162
472_58	91	0.134020618557
479_64	36	0.0530191458027
485_55	22	0.0324005891016
490_42	18	0.0265095729013
496_90	36	0.0530191458027
498_79	215	0.316642120766
508_50	469	0.690721649485
512_79	18	0.0265095729013
522_56	95	0.139911634757
530_86	145	0.213549337261
532_39	587	0.864506627393
545_39	25	0.0368188512518
546_56	240	0.353460972018
549_38	65	0.0957290132548
554_73	473	0.696612665685
561_29	34	0.0500736377025
566_51	465	0.684830633284
571_76	426	0.627393225331
576_56	171	0.251840942563
584_74	90	0.132547864507
589_59	42	0.0618556701031
594_43	282	0.415316642121
604_53	100	0.147275405007
612_65	17	0.0250368188513
616_42	45	0.0662739322533
617_59	21	0.0309278350515
632_85	354	0.521354933726
640_57	600	0.883652430044
644_85	18	0.0265095729013
700_40	45	0.0662739322533
705_76	91	0.134020618557
735_67	19	0.0279823269514
758_37	228	0.335787923417
765_32	34	0.0500736377025
768_53	12	0.0176730486009
769_63	383	0.564064801178
772_85	20	0.0294550810015
780_34	144	0.212076583211
792_76	479	0.705449189985
801_79	264	0.388807069219
804_81	50	0.0736377025037
805_81	331	0.487481590574
813_74	48	0.0706921944035
815_86	97	0.142857142857
817_43	495	0.729013254786
821_64	24	0.0353460972018
840_28	280	0.412371134021
844_68	536	0.789396170839
845_42	47	0.0692194403535
851_37	432	0.636229749632
888_53	361	0.531664212077
889_80	365	0.537555228277
899_77	77	0.113402061856
907_40	470	0.692194403535
925_70	56	0.0824742268041
927_91	374	0.550810014728
928_52	98	0.144329896907
930_83	27	0.039764359352
943_84	421	0.620029455081
963_40	593	0.873343151694
996_85	63	0.0927835051546
1011_74	209	0.307805596465
1016_52	374	0.550810014728
1020_35	48	0.0706921944035
1030_46	482	0.709867452135
1031_39	199	0.293078055965
1036_89	382	0.562592047128
1047_79	88	0.129602356406
1052_83	197	0.290132547865
1054_31	104	0.153166421208
1055_50	436	0.642120765832
1058_87	445	0.655375552283
1071_83	43	0.0633284241532
1078_82	48	0.0706921944035
1081_54	39	0.0574374079529
1115_46	465	0.684830633284
1122_82	131	0.19293078056
1129_60	388	0.571428571429
1131_85	319	0.469808541973
1132_65	28	0.0412371134021
1152_74	540	0.79528718704
1153_60	327	0.481590574374
1155_91	477	0.702503681885
1157_35	44	0.0648011782032
1159_43	353	0.519882179676
1162_33	242	0.356406480118
1176_29	41	0.060382916053
1189_65	366	0.539027982327
1213_90	31	0.0456553755523
1223_46	380	0.559646539028
1227_61	328	0.483063328424
1228_69	254	0.374079528719
1267_28	388	0.571428571429
1278_32	26	0.0382916053019
1283_65	377	0.555228276878
1285_49	148	0.217967599411
1288_56	483	0.711340206186
1293_61	33	0.0486008836524
1296_57	137	0.20176730486
1303_58	24	0.0353460972018
1306_48	40	0.0589101620029
1313_62	509	0.749631811487
1320_76	260	0.382916053019
1322_89	449	0.661266568483
1323_80	407	0.59941089838
1337_30	289	0.425625920471
1362_49	91	0.134020618557
1363_52	18	0.0265095729013
1389_42	488	0.718703976436
1393_44	324	0.477172312224
1394_52	492	0.724594992636
1406_89	337	0.496318114875
1412_84	172	0.253313696613
1413_77	46	0.0677466863034
1414_66	112	0.164948453608
1427_41	297	0.437407952872
1441_81	193	0.284241531664
1480_57	560	0.824742268041
1490_77	253	0.372606774669
1499_87	229	0.337260677467
1515_55	586	0.863033873343
1523_63	238	0.350515463918
1547_68	206	0.303387334315
1553_29	34	0.0500736377025
1555_48	26	0.0382916053019
1576_88	421	0.620029455081
1577_91	100	0.147275405007
1578_79	179	0.263622974963
1582_43	221	0.325478645066
1589_78	20	0.0294550810015
1590_47	244	0.359351988218
1593_79	18	0.0265095729013
1595_50	471	0.693667157585
1600_79	507	0.746686303387
1617_39	48	0.0706921944035
1629_82	64	0.0942562592047
1645_66	235	0.346097201767
1655_39	82	0.120765832106
1663_54	584	0.860088365243
1693_34	185	0.272459499264
1701_79	16	0.0235640648012
1707_72	470	0.692194403535
1716_79	368	0.541973490427
1723_88	469	0.690721649485
1725_74	80	0.117820324006
1730_80	508	0.748159057437
1732_71	603	0.888070692194
1737_88	234	0.344624447717
1753_50	120	0.176730486009
1759_84	605	0.891016200295
1762_50	371	0.546391752577
1770_63	472	0.695139911635
1773_87	481	0.708394698085
1791_56	328	0.483063328424
1794_40	288	0.424153166421
1797_35	595	0.876288659794
1802_68	564	0.830633284242
1806_57	598	0.880706921944
1814_40	427	0.628865979381
1818_73	27	0.039764359352
1821_80	241	0.354933726068
1828_48	33	0.0486008836524
1831_30	39	0.0574374079529
1859_46	196	0.288659793814
1873_55	326	0.480117820324
1877_35	26	0.0382916053019
1882_60	574	0.845360824742
1886_59	559	0.823269513991
1889_29	22	0.0324005891016
1893_33	98	0.144329896907
1901_91	468	0.689248895434
1908_45	521	0.767304860088
1911_86	375	0.552282768778
1936_69	48	0.0706921944035
1951_31	30	0.0441826215022
1963_76	470	0.692194403535
1973_60	24	0.0353460972018
1983_73	19	0.0279823269514
1984_74	471	0.693667157585
1995_70	26	0.0382916053019
1997_30	581	0.855670103093
2007_78	78	0.114874815906
2023_91	236	0.347569955817
2029_74	304	0.447717231222
2050_65	425	0.625920471281
2052_33	91	0.134020618557
2059_82	18	0.0265095729013
2063_39	300	0.441826215022
2069_41	112	0.164948453608
2071_67	147	0.216494845361
2073_78	324	0.477172312224
2077_52	423	0.622974963181
2078_47	470	0.692194403535
2081_34	25	0.0368188512518
2092_48	343	0.505154639175
2094_36	202	0.297496318115
2096_49	18	0.0265095729013
2099_78	291	0.428571428571
2108_80	467	0.687776141384
2113_77	291	0.428571428571
2118_67	42	0.0618556701031
2135_88	29	0.0427098674521
2153_64	191	0.281296023564
2158_28	92	0.135493372607
2173_28	137	0.20176730486
2175_47	239	0.351988217968
2185_39	182	0.268041237113
2188_70	80	0.117820324006
2196_52	19	0.0279823269514
2203_84	99	0.145802650957
2204_63	330	0.486008836524
2208_74	417	0.614138438881
2214_90	371	0.546391752577
2218_65	43	0.0633284241532
2227_90	36	0.0530191458027
2229_28	329	0.484536082474
2253_30	146	0.215022091311
2258_86	102	0.150220913108
2275_28	373	0.549337260677
2279_89	380	0.559646539028
2282_76	582	0.857142857143
2298_57	502	0.739322533137
2310_56	38	0.0559646539028
2319_62	469	0.690721649485
2333_29	51	0.0751104565538
2343_68	369	0.543446244477
2371_47	28	0.0412371134021
2390_55	29	0.0427098674521
2391_40	281	0.413843888071
2415_38	396	0.583210603829
2417_73	27	0.039764359352
2444_55	489	0.720176730486
2446_50	32	0.0471281296024
2449_71	366	0.539027982327
2452_62	418	0.615611192931
2458_91	138	0.20324005891
2462_32	591	0.870397643594
2465_31	566	0.833578792342
2467_73	384	0.565537555228
2468_49	250	0.368188512518
2472_29	338	0.497790868925
2478_83	444	0.653902798233
2489_44	605	0.891016200295
2490_62	391	0.575846833579
2498_87	334	0.491899852725
2504_59	507	0.746686303387
2506_41	22	0.0324005891016
2510_63	34	0.0500736377025
2520_62	21	0.0309278350515
2522_52	42	0.0618556701031
2524_49	418	0.615611192931
2531_41	425	0.625920471281
2536_31	196	0.288659793814
2539_46	451	0.664212076583
2549_37	245	0.360824742268
2561_43	331	0.487481590574
2569_61	60	0.0883652430044
2587_81	152	0.223858615611
2600_32	472	0.695139911635
2604_80	33	0.0486008836524
2607_77	212	0.312223858616
2610_74	209	0.307805596465
2613_35	341	0.502209131075
2622_78	428	0.630338733432
2629_67	373	0.549337260677
2638_89	194	0.285714285714
2646_90	471	0.693667157585
2647_80	18	0.0265095729013
2672_52	327	0.481590574374
2673_85	33	0.0486008836524
2675_41	596	0.877761413844
2681_76	566	0.833578792342
2694_85	34	0.0500736377025
2695_90	433	0.637702503682
2700_70	474	0.698085419735
2706_37	592	0.871870397644
2714_81	425	0.625920471281
2719_35	590	0.868924889543
2726_87	64	0.0942562592047
2730_31	475	0.699558173785
2733_71	99	0.145802650957
2737_91	537	0.79086892489
2738_53	414	0.60972017673
2749_91	422	0.621502209131
2752_28	36	0.0530191458027
2756_75	565	0.832106038292
2762_38	199	0.293078055965
2767_47	199	0.293078055965
2769_41	15	0.0220913107511
2770_75	332	0.488954344624
2780_54	287	0.422680412371
2785_46	469	0.690721649485
2787_67	250	0.368188512518
2791_31	507	0.746686303387
2793_44	543	0.79970544919
2798_80	215	0.316642120766
2802_90	341	0.502209131075
2830_85	279	0.410898379971
2842_54	93	0.136966126657
2850_85	366	0.539027982327
2853_49	6	0.00883652430044
2856_87	191	0.281296023564
2860_61	143	0.210603829161
2866_89	99	0.145802650957
2876_67	370	0.544918998527
2880_29	63	0.0927835051546
2883_77	82	0.120765832106
2905_67	92	0.135493372607
2917_52	183	0.269513991163
2921_42	24	0.0353460972018
2922_46	241	0.354933726068
2924_71	320	0.471281296024
2926_40	249	0.366715758468
2934_37	169	0.248895434462
2946_69	192	0.282768777614
2958_45	543	0.79970544919
2964_58	373	0.549337260677
2965_63	37	0.0544918998527
2967_65	477	0.702503681885
2972_39	12	0.0176730486009
2973_81	426	0.627393225331
2977_34	23	0.0338733431517
2995_88	24	0.0353460972018
2997_90	137	0.20176730486
