locus prob log10(PO) qval alpha fst
3_75 0.000950048 -3.02184 0.820834 -0.00036281 0.20392
5_36 0.99975 3.6019 7.5761e-06 1.2460 0.46727
6_49 0.00080004 -3.0965 0.84903 0.00010734 0.20399
11_49 0.0012001 -2.9203 0.76065 -0.00097382 0.20389
16_59 0.0010501 -2.9783 0.79600 -0.00042460 0.20391
19_91 0.0019501 -2.7091 0.62043 -0.0023283 0.20373
20_88 0.0019501 -2.7091 0.62043 -0.0017459 0.20378
24_57 0.0010001 -2.9995 0.80826 0.00039514 0.20405
39_36 0.00050003 -3.3008 0.88193 -0.00032910 0.20392
53_84 0.0025001 -2.6010 0.56661 -0.0021899 0.20371
54_91 1.0000 1000.0 0.0000 2.4980 0.74375
63_78 0.0012001 -2.9203 0.76065 -0.00024982 0.20393
67_28 0.0027001 -2.5674 0.55143 -0.0027374 0.20369
75_48 0.00035002 -3.4558 0.88757 5.4234e-05 0.20397
86_65 0.0015501 -2.8090 0.67773 -0.00092820 0.20387
88_61 0.0077004 -2.1101 0.42479 -0.012989 0.20282
91_88 0.00060003 -3.2216 0.87459 -0.00030130 0.20393
92_41 1.0000 1000.0 0.0000 1.5342 0.53580
93_56 0.010301 -1.9826 0.39639 0.011111 0.20627
98_40 0.0022001 -2.6566 0.59651 -0.0023514 0.20373
101_40 0.00060003 -3.2216 0.87459 0.00019294 0.20399
109_73 0.0010001 -2.9995 0.80826 0.00074073 0.20411
111_79 0.00085004 -3.0702 0.84096 -0.00048231 0.20390
117_62 1.0000 1000.0 0.0000 2.4220 0.73011
121_62 0.00075004 -3.1246 0.85688 -0.00033477 0.20393
126_78 0.90040 0.95615 0.0068668 -2.0854 0.047162
139_71 0.0014501 -2.8380 0.69785 -0.00045373 0.20393
142_91 0.00085004 -3.0702 0.84096 -0.00032554 0.20393
148_88 0.0011501 -2.9388 0.77322 -0.00073455 0.20388
160_61 0.00080004 -3.0965 0.84903 -0.00018331 0.20395
164_55 0.00050003 -3.3008 0.88193 0.00015582 0.20399
166_78 0.0012501 -2.9025 0.74700 -0.00086510 0.20388
167_47 0.015451 -1.8043 0.35748 -0.028347 0.20153
169_76 0.0088004 -2.0517 0.40836 -0.019537 0.20249
174_91 0.00085004 -3.0702 0.84096 -1.5431e-05 0.20397
183_55 0.00090005 -3.0453 0.83108 -0.00028941 0.20393
187_52 0.00090005 -3.0453 0.83108 8.1191e-05 0.20398
189_28 0.13306 -0.81395 0.18715 -0.23549 0.18297
192_82 0.0011501 -2.9388 0.77322 -0.00040997 0.20394
198_50 1.0000 1000.0 0.0000 1.9867 0.64048
200_65 0.00060003 -3.2216 0.87459 0.00016271 0.20399
206_70 0.00060003 -3.2216 0.87459 0.00012139 0.20398
212_71 0.0025501 -2.5923 0.56342 -0.0031485 0.20367
220_76 1.0000 1000.0 0.0000 1.6270 0.55810
221_37 0.23446 -0.51389 0.14071 -0.47979 0.16474
227_47 0.0026501 -2.5756 0.55647 -0.0026484 0.20366
228_89 0.0011501 -2.9388 0.77322 0.00019390 0.20401
232_56 0.00060003 -3.2216 0.87459 0.00032662 0.20402
