Locus	Fst
3	0.0126
5	0.1659
6	0.0169
11	0.0581
16	0.0258
19	0.0216
24	0.0763
39	0.0186
53	0.0084
54	0.0118
63	0.015
88	-0.0066
92	0.0252
93	-0.0012
98	0.006
101	0.0302
109	-0.0105
111	-0.0089
117	0.0089
126	0.0114
142	-0.0052
148	0.0068
160	-0.0008
164	0.0533
166	-0.0073
167	0.0287
169	0.0049
174	0.0257
183	0.0038
187	0.0344
189	0.0541
198	-0.0068
200	0.034
206	0.0098
220	-0.0043
221	0.0069
227	-0.0016
228	0.0375
236	0.0862
240	0.0033
244	0.0257
246	0.0141
253	0.0091
256	0.0599
263	0.0007
287	-0.0068
297	0.0077
315	0.043
331	-0.0011
348	-0.0027
364	0.0735
367	0.0545
373	0.0035
376	0.0124
377	-0.009
379	0.0286
381	0.0154
388	0.0128
391	0.0079
392	0.0207
404	-0.0054
410	0.031
415	0.0046
419	0.034
425	-0.0071
440	0.0227
463	0.0223
490	0.0052
512	-0.0085
514	0.006
522	0.0051
525	-0.0047
534	0.0189
541	-0.0014
545	0.0026
561	0.0072
571	0.129
579	-0.0028
589	-0.0147
594	0.0175
605	-0.0011
612	-0.0033
613	-0.0052
616	0.0051
617	-0.0032
618	-0.008
630	0.0305
644	-0.0042
647	0.048
660	0.0483
671	0.0047
673	-0.0011
694	-0.0111
695	0.0254
700	0.0195
705	0.0049
716	0.0465
719	0.0305
721	0.0295
730	0.002
734	0.012
739	0.0293
752	0.0293
756	0.0166
765	0.0674
768	-0.0029
769	0.0232
772	0.0055
780	-0.0053
786	-0.0004
792	0.0399
803	0.07
805	0.01
813	0.0097
815	0.0111
820	0.0338
825	0.033
832	-0.0048
844	-0.0024
860	0.04
885	0.0984
888	0.0128
899	0.0129
925	0.0022
927	0.0612
941	0.0696
943	0.014
951	0.0067
952	-0.0043
960	0.0102
962	0.0054
964	-0.0069
966	0.0214
974	0.0394
982	0.0342
1002	0.0621
1020	-0.0123
1027	0.0167
1031	0.002
1036	0.0149
1037	0.0481
1047	0.0358
1048	0.0017
1053	0.04
1054	0.0593
1059	0.0105
1066	0.0058
1073	0.0246
1078	0.0009
1089	-0.0004
1091	-0.006
1092	0.0199
1094	0.0118
1098	-0.0033
1104	0.0019
1122	-0.0048
1138	0.0037
1157	-0.0083
1159	0.0314
1160	0.0311
1162	0.01
1167	0.0337
1176	0.068
1190	0.0081
1193	0.0014
1197	-0.0013
1206	-0.0006
1218	0.0124
1228	0.0225
1229	0.0122
1253	0.0148
1254	-0.0015
1258	0.0088
1262	0.0366
1266	-0.0152
1275	0.1157
1285	0.0185
1287	0.0226
1294	0.0299
1306	0.0481
1311	0.0335
1323	-0.0018
1339	0.0074
1345	-0.0012
1349	0.0001
1392	0.0211
1393	0.0192
1407	-0.0019
1420	-0.0012
1441	0.0355
1451	0.037
1452	-0.0017
1454	-0.0032
1463	0.0113
1469	-0.0071
1473	-0.0048
1474	-0.0016
1490	-0.0014
1499	0.0305
1503	-0.0064
1504	-0.0011
1519	0.0022
1547	0.0166
1555	0.0201
1560	0.104
1567	0.0411
1568	0.0666
1571	0.0043
1572	0.0256
1582	-0.0093
1589	-0.0081
1590	-0.0047
1596	0.001
1602	0.0747
1617	-0.0011
1629	-0.0133
1638	0.0001
1655	0.0306
1660	0.0027
1689	0.0192
1693	0.0073
1698	0.0482
1711	-0.0035
1712	-0.0013
1713	0.0077
1722	-0.0049
1729	-0.0024
1730	0.0327
1734	-0.0007
1737	0.0006
1738	0.0019
1739	0.0668
1770	-0.0018
1773	-0.0107
1794	0.0254
1817	-0.0066
1821	0.0141
1845	0.044
1848	-0.0019
1855	-0.0071
1872	0.0743
1881	0.0183
1889	-0.0038
1906	0.0076
1907	0.038
1911	0.1
1933	0.0224
1936	0.0002
1939	0.0249
1957	-0.0029
1961	0.0289
1962	0.036
1963	-0.0065
1968	-0.0001
1970	0.0179
1975	-0.0082
1978	0.0484
1983	0.0047
1995	0.0197
2029	0.0383
2033	0
2038	-0.0014
2046	0.003
2069	0.0099
2071	0.0206
2075	0.0478
2082	0.0437
2100	0.0017
