VCF_Index	Locus	Pvalue	Qvalue	sq.M.dist
163	1372_89	0.000402779060349488	0.0319547886951006	23.2145440695739
335	3226_52	3.19601802195708e-09	4.56405417013888e-06	54.2092253363498
507	4599_66	7.23794575405416e-05	0.0114845606401046	27.8070119323438
521	4734_49	4.2280187382701e-05	0.00754724567463894	29.2385667727901
537	4856_76	0.000741799461780614	0.0481510102953533	21.5708517686098
630	5707_76	3.69200125640574e-06	0.00175744667423561	35.7001910897908
704	6432_60	8.12380508534451e-06	0.00271937579942756	33.6150302118304
705	6441_39	0.000143821532065561	0.0157987282605071	25.9741618388573
808	7241_88	0.000579166103717347	0.0413537322492254	22.2376947503205
842	7509_89	0.000215745923285202	0.0220067613175303	24.889119706897
1132	10012_73	8.92823187880734e-05	0.0127499074343407	27.2473345340238
1326	11741_72	9.52133096963219e-06	0.00271937579942756	33.194807838205
1370	12054_79	0.000137443687265366	0.0157987282605071	26.0954009481195
1513	13286_89	0.000243839825374841	0.023214265672726	24.5611872039648
1529	13411_68	0.000292666126562826	0.026121255540111	24.0718499219075
1646	14514_84	2.00830802688037e-05	0.00477992018090161	31.2164611914427
1732	15274_32	0.000312959013865072	0.0262893660817634	23.8920024764316
1885	16650_83	0.00010554223161655	0.0137017222119961	26.8008450634728
2237	20078_54	0.000735281177512088	0.0481510102953533	21.594650309051
2308	20705_78	4.13982762949955e-05	0.00754724567463894	29.2946406855473
2487	22637_61	0.000570529209668884	0.0413537322492254	22.2781460506055
2758	24940_51	1.19767711274487e-06	0.00085516777179433	38.6700664868293
