chromosome	position	Fst/Fct	Mean_boostrap	lower_95	upper_95	pvalue	positive	negative	selection
LG01	827324	0.0675531558451193	0.112139622283451	0.0238908999097119	0.49612751106598	0.373238749727345	0	0	No
LG01	1006397.53691275	0.12897322399421	0.115592186692543	0.0172249150303901	0.498349386964754	0.538445236227453	0	0	No
LG01	1185471.0738255	0.26555416758727	0.123858347194907	0.0205605240526078	0.466940455617051	0.871309278924282	0	0	No
LG01	1364544.61073826	0.422305979604007	0.127823923160711	0.0250959170155606	0.492572585414002	0.991310845976899	0	0	No
LG01	1543618.14765101	0.436022627609818	0.12225424483772	0.0273042291160673	0.461883701593372	0.994701766547589	0	0	No
LG01	1722691.68456376	0.338749560256089	0.130683775407017	0.0243857730570143	0.469601299720496	0.959199904320589	0	0	No
LG01	1901765.22147651	0.294659915225705	0.125633591914352	0.0245513505184527	0.456549905513225	0.919123089869005	0	0	No
LG01	2080838.75838926	0.296393704611923	0.12759928006308	0.0291282376779764	0.445068055871708	0.926925710349621	0	0	No
LG01	2259912.29530201	0.3023903724369	0.140668771065871	0.0354604273165846	0.395351674398276	0.951669608078973	0	0	No
LG01	2438985.83221477	0.26616692908229	0.139772394117334	0.0351264987537826	0.398701643270777	0.899632678284517	0	0	No
LG01	2618059.36912752	0.192172552617666	0.141223150264609	0.0351182367522903	0.396861789340818	0.697887156888355	0	0	No
LG01	2797132.90604027	0.115113334795976	0.144715403534706	0.0392987041362014	0.377801807222877	0.37248814771645	0	0	No
LG01	2976206.44295302	0.0595096810523007	0.148557999749627	0.046366355170869	0.356205551782881	0.138986597343516	0	0	No
LG01	3155279.97986577	0.0420102574659124	0.148859333248583	0.0469377666445398	0.35240398051284	0.0953850774125878	0	1	Yes
LG01	3334353.51677852	0.0519063403193836	0.149608433869716	0.0465107593587301	0.348921836897651	0.112545111081107	0	0	No
LG01	3513427.05369127	0.0776632226023911	0.152368504550385	0.0486529343091516	0.339349616581032	0.166570680913653	0	0	No
LG01	3692500.59060403	0.119870318330392	0.151001734255671	0.0496973953709073	0.339370158804939	0.343139381890342	0	0	No
LG01	3871574.12751678	0.188944886791386	0.149124565259012	0.0525493344732044	0.341326389429664	0.697626137720044	0	0	No
LG01	4050647.66442953	0.254536809267842	0.153467569241137	0.05986092703806	0.318253388124114	0.932138489558559	0	0	No
LG01	4229721.20134228	0.262335274622004	0.155461798888876	0.0618938300252666	0.307639921741333	0.952186329504917	0	0	No
LG01	4408794.73825503	0.239828519563207	0.155995107761833	0.0606922969875857	0.305975265378558	0.904726621561446	0	0	No
LG01	4587868.27516779	0.21413936161209	0.155853962328647	0.0587108050878895	0.305648183680255	0.816769219307881	0	0	No
LG01	4766941.81208054	0.192250291984212	0.153096957470154	0.0561745763208034	0.322647278467202	0.711573904677493	0	0	No
LG01	4946015.34899329	0.187226901563819	0.151144321054849	0.0514626171547522	0.337401720378784	0.68244965832757	0	0	No
LG01	5125088.88590604	0.253230877151307	0.135959074011727	0.0379372950750459	0.429066782596382	0.873362268394736	0	0	No
LG01	5304162.42281879	0.380344165321225	0.113318106936808	0.0299689608878128	0.481350404408555	0.979049537706787	0	0	No
LG01	5483235.95973154	0.402904427710111	0.132449336064217	0.0368331268664643	0.452782665384929	0.993432911730958	0	0	No
LG01	5662309.49664429	0.271901189337818	0.14906136781379	0.0491834400793236	0.347176871789266	0.938652460311691	0	0	No
LG01	5841383.03355705	0.180977769198875	0.151630295152039	0.0532542753801061	0.330265157542026	0.655241735171828	0	0	No
LG01	6020456.5704698	0.138891105638355	0.155121136961473	0.0557613099180143	0.312187166952844	0.404589097444331	0	0	No
LG01	6199530.10738255	0.111264400126683	0.155840641160098	0.058147271994989	0.307549212215038	0.246654806199324	0	0	No
LG01	6378603.6442953	0.0972659950603288	0.153811733504383	0.0583426918797803	0.313418088627703	0.198915264037833	0	0	No
LG01	6557677.18120805	0.126162943111236	0.15264333471145	0.0542938308530316	0.328308888572221	0.356863459817881	0	0	No
LG01	6736750.7181208	0.225705389291064	0.14244021959769	0.0451002805459951	0.374034690988763	0.826469548963911	0	0	No
LG01	6915824.25503356	0.307867575199461	0.13778619400821	0.0399697789707151	0.394988875564547	0.960633955546711	0	0	No
LG01	7094897.79194631	0.252775157235013	0.147233771779943	0.042343898694171	0.365240467704917	0.88912077552136	0	0	No
LG01	7273971.32885906	0.14534036177582	0.145669879406791	0.044117929473716	0.367183194885832	0.498477151765172	0	0	No
LG01	7453044.86577181	0.0865918274547785	0.150176307111328	0.0468858567810218	0.345945048269123	0.213199860232751	0	0	No
LG01	7632118.40268456	0.0703609038600154	0.152493719528693	0.0527878202628214	0.329932933845797	0.131090604936998	0	0	No
LG01	7811191.93959732	0.0971228348020168	0.153392811858123	0.0542752529300551	0.324141798023698	0.214514705527013	0	0	No
LG01	7990265.47651007	0.151049944965203	0.153565042070433	0.0554546857067633	0.325180504269501	0.485907690023715	0	0	No
LG01	8169339.01342282	0.199072452363649	0.153519282102845	0.0578122182716256	0.316811983574215	0.748525350716415	0	0	No
LG01	8348412.55033557	0.223753397349138	0.154241819305641	0.0625434655881771	0.309857667474798	0.8574591981738	0	0	No
LG01	8527486.08724832	0.254141964949274	0.155211734235159	0.0643052572898262	0.300222105395255	0.945527531917184	0	0	No
LG01	8706559.62416107	0.276324963991443	0.156603938298046	0.0636149784739335	0.298928020078207	0.974669661643499	0	0	No
LG01	8885633.16107383	0.263935106634392	0.155841763861461	0.0633025486530285	0.299336324450528	0.959519120339618	0	0	No
LG01	9064706.69798658	0.243332115792767	0.155754916802319	0.0678927751240761	0.295798606999845	0.929785451574691	0	0	No
LG01	9243780.23489933	0.261788744659477	0.156409130008313	0.0713233039242521	0.289734400949156	0.968050908015524	0	0	No
LG01	9422853.77181208	0.280332476197532	0.156271557741277	0.0668132967252651	0.294050299661927	0.982001521439364	0	0	No
LG01	9601927.30872483	0.257170201291609	0.156081000176086	0.0616708493983316	0.300463853066133	0.947582725355019	0	0	No
LG01	9781000.84563758	0.21267576080578	0.154929753543107	0.0569629198975798	0.31310255044533	0.805230648232564	0	0	No
LG01	9960074.38255033	0.159868826805021	0.151913955081094	0.0554417140943406	0.329035262166269	0.543961217426697	0	0	No
LG01	10139147.9194631	0.0920208880375102	0.148397841252174	0.0505065664535635	0.349456691175346	0.239545640096548	0	0	No
