Locus	Fst
19718	-0.0030
23990	0.0277
14478	-0.0024
19716	0.1045
21633	0.1075
23448	0.0095
4025	0.0059
11546	0.0048
13732	0.0182
25250	0.0018
166	-0.0022
11386	0.0226
5980	-0.0034
16238	-0.0041
5984	0.0206
7514	-0.0029
19158	0.0110
25624	0.0185
348	-0.0030
19371	0.0421
19372	0.0074
24840	-0.0055
14296	0.0077
22999	0.0850
12701	0.0738
12705	0.0633
6156	-0.0006
6158	0.0763
6797	-0.0001
10965	0.0333
13600	0.0985
13607	0.1060
2319	0.0023
4739	0.0555
8305	0.0026
23449	-0.0044
5851	0.0070
5853	0.0649
297	0.0311
5859	-0.0057
17654	0.0477
21100	0.0504
24941	-0.0020
3680	0.0094
3776	0.0952
15958	0.1800
25284	0.0432
23364	-0.0024
4834	0.0554
12962	0.0832
19971	-0.0055
13547	0.0330
16257	0.0228
19975	-0.0015
12108	-0.0054
22719	-0.0007
18188	0.0014
23368	0.0103
15526	0.0293
7992	0.0177
12017	0.1133
22488	0.0199
15528	0.1767
11768	0.0373
11760	0.0380
2261	0.0121
17254	0.0587
17255	-0.0039
17256	0.0213
20744	-0.0034
2446	-0.0062
17036	-0.0060
17038	0.0119
9252	-0.0034
9251	-0.0014
7865	0.0082
109	-0.0052
24886	0.1993
22900	0.1762
21614	0.0321
12430	0.0064
101	0.0430
22905	-0.0026
7869	0.0044
5824	-0.0056
2046	-0.0049
4815	-0.0029
15536	-0.0034
16814	0.1725
21290	0.0284
23627	-0.0045
21924	0.0465
21921	0.0739
9419	0.0176
12123	0.0197
22541	0.0311
11618	0.0404
6377	-0.0044
20522	0.0869
10414	-0.0048
10413	0.0076
20526	0.0172
10410	0.1982
11947	0.0188
11943	0.0251
10386	-0.0049
24089	-0.0058
19758	0.0390
19391	0.0202
24083	0.0280
9323	0.0176
8098	-0.0047
9326	0.0191
8943	0.2230
13338	0.0348
21721	0.0206
8948	-0.0033
9347	-0.0057
21726	-0.0046
14626	0.0503
20593	0.0059
6807	0.0588
6802	0.1376
98	-0.0041
10560	0.0974
9741	0.0394
93	0.0419
92	0.0104
20413	-0.0037
3207	0.0148
1995	0.0267
13935	0.0577
22813	0.0368
1629	-0.0047
19393	0.1966
24158	0.0395
21540	0.0039
21704	0.0067
13052	0.0157
8831	0.0115
17977	0.0022
18703	-0.0067
2861	0.0197
2866	0.0042
18704	-0.0069
9228	0.0115
14710	0.0174
14247	-0.0048
12948	0.0822
15667	0.0040
12946	0.0392
12945	0.0032
3348	0.0131
20259	0.0282
3342	0.0467
1190	-0.0014
1193	-0.0010
3341	0.0029
20257	0.0097
20255	0.0118
18637	0.0694
11415	0.0114
13333	0.3525
1176	0.0277
12493	0.0584
15442	-0.0055
6970	0.1135
6971	0.1882
4251	-0.0058
8168	0.0006
18149	0.0911
5539	0.0318
5538	0.0270
24742	0.0059
1285	-0.0058
12068	0.0276
1287	0.1042
11166	0.1102
11162	0.0017
514	0.0044
8086	0.0005
19785	0.1270
1572	-0.0030
1571	0.0066
7183	-0.0029
18328	-0.0012
8389	0.0091
8388	-0.0030
12709	-0.0054
18075	-0.0045
10232	0.0131
8019	0.0806
8018	0.0118
8547	0.0825
23617	-0.0059
23615	-0.0027
6576	-0.0056
7450	-0.0049
4381	0.0236
5623	0.0001
5622	0.0451
7458	-0.0011
12065	0.0169
8493	0.0249
404	0.0032
7690	0.0077
2033	-0.0055
8499	0.2254
7698	-0.0048
3834	-0.0045
23475	0.0993
3832	-0.0058
3833	0.0050
18938	-0.0045
22476	0.0000
4031	-0.0029
4032	-0.0037
13724	0.0032
1229	0.0438
10882	0.0036
4036	0.0511
11576	0.0041
11574	0.0214
23279	0.0424
16375	0.1429
12218	-0.0066
11378	0.0059
15788	0.0409
10960	0.0373
19384	0.0138
20867	0.0821
379	-0.0014
19146	0.1230
15003	0.0202
373	-0.0004
377	0.0024
376	-0.0056
14909	0.0225
13608	0.1146
16667	0.0278
19360	0.0019
14864	0.0216
392	0.0143
391	0.0017
12711	0.0868
6147	-0.0068
6144	-0.0057
22011	0.0416
2309	0.0003
5668	-0.0068
4729	-0.0049
21470	0.0040
10978	0.0286
4727	-0.0003
13610	0.0131
4720	-0.0030
23082	0.0065
5845	0.0465
19304	0.0033
11282	0.0328
17625	-0.0058
17624	0.0613
17629	0.0167
21118	0.1708
16482	0.0005
2880	0.0734
16480	0.0020
4620	0.0404
244	0.0058
13533	0.0171
246	0.0047
240	-0.0027
13537	0.0818
19964	-0.0045
23457	-0.0028
23685	0.0723
2279	0.0530
11759	0.3559
24196	0.0007
11591	0.2423
25059	0.0828
20885	-0.0058
20732	0.0976
20735	0.0268
9538	0.1024
2455	0.0243
23427	0.0806
9247	-0.0031
9530	0.0382
17282	0.0199
7855	-0.0039
174	0.0440
24976	-0.0056
17533	0.0134
23146	0.0672
4539	0.1043
23159	0.0598
4824	0.0046
21106	0.0960
3694	0.0040
14166	-0.0058
6368	0.0558
11627	-0.0009
7988	0.0512
6360	0.1188
23014	-0.0059
10150	0.0572
10151	0.0616
9331	-0.0045
20085	0.0182
20083	0.0018
20082	0.0007
20081	0.0251
24833	0.0233
22800	0.0454
3524	-0.0057
21559	0.0362
20649	0.0174
3523	-0.0008
10396	0.0136
22806	0.0016
10399	0.0017
3228	0.0901
13544	0.0499
13198	0.0162
16933	0.0460
16931	-0.0029
14897	0.1347
13192	0.0098
7214	0.0295
13196	-0.0056
7216	0.0012
14890	0.0184
10715	0.0074
10711	-0.0025
12220	0.0338
10713	-0.0051
2694	0.0055
12668	0.0619
15708	0.0064
18594	0.0177
1602	0.1611
14655	-0.0045
14657	0.0215
23883	-0.0051
14659	0.0071
16245	-0.0021
6816	0.0047
25444	0.2183
9755	0.0190
23334	0.0194
10576	-0.0053
10577	0.0011
20465	0.0261
25446	-0.0065
17909	-0.0063
18934	0.0383
13066	0.0172
7327	0.0899
1968	0.0088
7322	-0.0013
1617	0.0091
3238	0.0032
5196	-0.0047
7328	0.2717
1961	0.0979
1962	-0.0014
1963	-0.0062
8849	0.0196
21060	0.0303
23765	0.0203
8847	0.1091
15675	0.2322
12956	0.0609
15677	0.0705
12952	0.1652
18715	0.0170
11848	0.0852
20265	0.0474
3351	0.0436
17835	0.0031
7666	0.0219
20061	0.0068
5441	-0.0028
20068	0.0638
18535	-0.0066
15373	0.0160
18628	0.0489
18629	0.0175
18821	0.0031
6960	0.0072
6962	0.0046
15903	0.1184
15456	0.0167
6969	0.0061
15459	-0.0054
4536	-0.0052
8152	0.0058
768	-0.0058
8150	-0.0055
769	0.0187
17726	0.0006
23721	-0.0040
11119	-0.0042
1547	0.0182
694	-0.0055
695	0.0689
23727	0.0011
11113	-0.0020
14472	-0.0044
14474	0.0360
11116	0.0437
541	0.0091
545	-0.0016
7193	0.0094
21377	0.0178
13841	-0.0048
15313	0.0037
13845	0.0082
20895	-0.0079
13846	-0.0009
23608	0.0240
12578	-0.0030
23432	0.0178
17318	-0.0034
8026	-0.0045
8027	0.0131
8536	0.0343
12823	-0.0030
14505	0.0182
10215	-0.0051
11027	0.0299
11761	0.0996
14502	0.0467
6565	0.0654
5610	0.1157
5617	0.0102
6563	0.0150
15053	0.0318
415	-0.0005
410	0.0222
14268	-0.0021
419	-0.0036
7688	0.1521
3827	0.0081
3825	0.0214
3822	-0.0056
23467	0.0610
3828	-0.0067
8445	-0.0046
20215	0.0077
15239	0.0715
8183	-0.0044
11566	-0.0051
24586	-0.0018
23845	0.0065
20742	0.0954
4285	-0.0007
24779	0.2302
23753	0.0698
19564	0.0009
24910	-0.0052
367	0.1150
364	0.1975
22242	0.0816
19174	0.0301
19351	0.0199
24751	0.0014
19608	0.0009
16654	0.0242
16121	0.0772
16650	0.0629
381	-0.0069
388	0.0534
12726	0.0394
12725	-0.0039
12723	-0.0054
12721	-0.0055
12720	0.0340
4759	0.0125
19286	0.0169
4754	0.0292
6771	0.3631
6773	0.0177
9965	0.0195
9966	-0.0045
9967	0.0020
24600	-0.0066
11290	-0.0048
22330	-0.0037
23840	0.0336
16955	0.0502
25135	0.0380
17631	0.0001
25130	0.0121
17635	0.0392
19821	0.0006
3750	-0.0072
3753	-0.0032
21289	-0.0060
3756	-0.0032
13523	0.0363
13521	0.0111
4637	0.1249
2196	0.0873
16231	0.0748
253	-0.0055
256	0.0592
23650	0.1448
2204	0.0064
11749	0.0063
25649	-0.0068
15471	0.0605
19735	0.3033
19598	0.1359
11580	0.0122
6687	0.0335
20890	0.0563
2429	0.0166
19088	0.1154
20726	0.1099
18222	0.1123
6270	-0.0013
9502	0.0770
9506	0.0343
2425	0.0385
25554	0.0603
16833	0.0178
169	0.0170
16343	0.0545
164	0.1096
13291	-0.0030
7847	0.1227
167	0.0471
160	0.0001
13295	-0.0024
16839	-0.0027
13297	-0.0022
12107	-0.0062
6357	0.1786
19094	0.0292
6353	0.0355
13458	-0.0060
3683	0.0623
4832	0.0124
4522	0.0048
4837	-0.0065
4836	-0.0056
6195	-0.0055
24371	0.0784
11638	0.0002
9434	0.0026
23429	0.0112
2735	0.0177
16812	0.0424
9610	0.0115
2733	0.0891
11488	0.0096
17070	0.0488
22131	0.0721
10160	0.0520
21204	0.1176
9187	0.0007
9184	-0.0033
13180	0.3378
22295	0.2347
10366	0.0358
13188	0.0437
23426	0.0815
5052	-0.0030
25638	0.0473
25641	-0.0034
14889	0.0049
1817	-0.0020
16904	0.1112
7203	0.0160
7206	0.0675
7205	0.1361
10761	0.0069
10760	0.0585
6220	0.0833
6225	-0.0050
