locus,prob,log10(PO),qval,alpha,fst,log10q,outlier
54_91,1,1000,0,2.3173,0.63576,-Inf,True
117_62,1,1000,0,2.0767,0.58551,-Inf,True
198_50,0.99975,3.6019,2.1496e-05,1.7581,0.51332,-4.66764234657489,True
220_76,1,1000,0,1.5439,0.46499,-Inf,True
348_68,1,1000,0,1.8791,0.54075,-Inf,True
490_42,0.99985,3.8238,1.3593e-05,1.7418,0.50976,-4.86668468310115,True
617_66,0.99995,4.301,3.1916e-06,1.5351,0.46313,-5.49599154359895,True
669_43,1,1000,0,1.6745,0.49466,-Inf,True
735_70,1,1000,0,2.7703,0.72643,-Inf,True
964_90,0.99995,4.301,3.1916e-06,1.376,0.42708,-5.49599154359895,True
1190_32,0.9442,1.2284,0.0039348,1.5294,0.46483,-2.40507733728301,True
1193_50,0.58078,0.14157,0.043095,-1.2914,0.085762,-1.36557311495237,True
1571_90,0.99985,3.8238,1.3593e-05,1.8063,0.52419,-4.86668468310115,True
1881_78,1,1000,0,2.3993,0.65394,-Inf,True
2196_52,1,1000,0,1.8491,0.53365,-Inf,True
2408_39,0.9999,3.9999,8.0812e-06,1.4446,0.44269,-5.092524144834,True
2425_39,0.9849,1.8144,0.0014994,1.1836,0.38525,-2.82408249348991,True
2446_50,1,1000,0,1.7289,0.50691,-Inf,True
2735_76,1,1000,0,1.9809,0.56327,-Inf,True
2874_78,1,1000,0,1.6187,0.48201,-Inf,True
2974_48,0.99985,3.8238,1.3593e-05,1.782,0.51871,-4.86668468310115,True
2990_79,0.99905,3.0218,5.088e-05,1.5184,0.45952,-4.29345289735964,True
3015_76,0.68263,0.33263,0.029962,1.1149,0.38454,-1.52342920031925,True
3076_54,0.53228,0.056148,0.04533,0.7486,0.30994,-1.34361428094131,True
3096_79,0.72374,0.41826,0.022213,1.1825,0.39773,-1.65339278339387,True
3341_58,0.99215,2.1017,0.0004756,1.2646,0.40288,-3.32275815405335,True
3396_46,0.83369,0.70009,0.012952,0.99384,0.35022,-1.88766316425468,True
3460_56,0.98975,1.9848,0.00084749,1.2793,0.40634,-3.07186541757378,True
3523_34,1,1000,0,1.9258,0.55125,-Inf,True
3680_38,0.9989,2.9581,7.6927e-05,1.7159,0.50392,-4.11392120385304,True
3708_57,1,1000,0,2.0961,0.58883,-Inf,True
3875_79,1,1000,0,2.0891,0.5876,-Inf,True
4062_70,0.999,2.9995,5.9133e-05,1.2946,0.40916,-4.22817008733955,True
4133_67,0.99725,2.5594,0.0001537,1.3178,0.41449,-3.81332613250025,True
4188_69,0.74864,0.47397,0.017992,1.2199,0.40495,-1.74492055757242,True
4365_60,1,1000,0,2.0121,0.57059,-Inf,True
4402_81,1,1000,0,1.634,0.48545,-Inf,True
4539_57,1,1000,0,2.1289,0.59546,-Inf,True
4620_80,0.95605,1.3375,0.003043,1.5554,0.47008,-2.51669804764183,True
4747_79,1,1000,0,1.7514,0.51215,-Inf,True
4834_53,1,1000,0,2.261,0.62408,-Inf,True
4905_55,1,1000,0,1.9032,0.54621,-Inf,True
5333_31,0.95185,1.2959,0.0036002,1.5448,0.46791,-2.44367337243168,True
5336_88,1,1000,0,1.8102,0.52558,-Inf,True
5476_35,0.9997,3.5227,2.4075e-05,1.5066,0.45673,-4.61843370420343,True
5541_38,0.69278,0.35316,0.026824,1.1343,0.38843,-1.57147645957924,True
5654_86,0.98675,1.872,0.0010252,1.6228,0.48371,-2.98919140248779,True
6220_71,1,1000,0,2.3477,0.6423,-Inf,True
6426_86,0.92745,1.1066,0.0050886,1.147,0.37992,-2.29340168640717,True
6429_61,0.9999,3.9999,8.0812e-06,1.8748,0.53923,-5.092524144834,True
6526_63,1,1000,0,1.7934,0.52181,-Inf,True
6550_76,1,1000,0,1.7846,0.51968,-Inf,True
6631_29,0.84429,0.73418,0.012045,1.0666,0.366,-1.91919319566564,True
6660_52,0.98455,1.8043,0.0016895,1.6904,0.49875,-2.77224180388908,True
7046_82,0.99005,1.9978,0.00077835,1.2371,0.39693,-3.10882507024939,True
7214_60,1,1000,0,1.9094,0.54788,-Inf,True
7313_69,1,1000,0,1.5703,0.47093,-Inf,True
7545_46,0.99615,2.4128,0.00025795,1.3095,0.41266,-3.58846446779067,True
7690_38,1,1000,0,2.7244,0.71697,-Inf,True
7828_41,0.9998,3.6989,1.7144e-05,1.4409,0.44185,-4.76588784196623,True
8033_75,1,1000,0,2.4353,0.66063,-Inf,True
8048_91,0.59893,0.17416,0.039154,0.88292,0.33682,-1.40722386351181,True
8086_77,1,1000,0,2.1886,0.60968,-Inf,True
8124_33,0.9921,2.0989,0.00053184,1.3995,0.43323,-3.274219002232,True
