Locus	fst	chromosome	c_pos
7241	0.1514	PCodG	77324
15791	0.6224	PCodG	141695
12205	0.0468	PCodG	144969
16040	0.0221	PCodG	214355
5023	0.0187	PCodG	214443
15232	0.0025	PCodG	1020445
13670	0.0217	PCodG	1022687
3096	0.7752	PCodG	1380478
16742	0.1034	PCodG	1741024
23271	0.4105	PCodG	2020904
5208	-0.0016	PCodG	2044448
13090	0.4923	PCodG	2507110
14344	0.2246	PCodG	2557271
3917	-0.0011	PCodG	2734304
3464	0.0043	PCodG	2734393
24936	0.0069	PCodG	2977826
25135	0.0438	PCodG	3189475
14379	0.0118	PCodG	3282792
13486	0.0188	PCodG	3357702
16039	0.0181	PCodG	3360383
9350	0.1056	PCodG	3570289
8336	0.0669	PCodG	3590892
1617	0.0798	PCodG	3728784
21801	0.0092	PCodG	3842286
15543	0.0004	PCodG	3923225
19183	0.7611	PCodG	4056640
18328	-0.0037	PCodG	4337363
22648	0.0644	PCodG	4342933
1773	0.1963	PCodG	4343021
20195	0.4347	PCodG	4436797
6409	0.0216	PCodG	4436885
18309	0.0091	PCodG	4438940
24083	0.7235	PCodG	4439028
13162	0.1353	PCodG	4650983
11437	0.047	PCodG	4662599
19437	0.0572	PCodG	4662687
16955	0.1112	PCodG	4680553
14814	0.1463	PCodG	4757332
5894	0.0363	PCodG	5179409
14329	0.6333	PCodG	5404659
13937	0.2459	PCodG	5901020
14234	0.1625	PCodG	5909093
11400	0.1281	PCodG	5957030
24153	0.0622	PCodG	5987265
8445	0.1682	PCodG	6120990
4739	0.11	PCodG	6163089
24874	0.0051	PCodG	6163947
16209	0.0303	PCodG	6164035
24436	0.0907	PCodG	6191353
15217	0.0293	PCodG	6363572
19232	0.0017	PCodG	6367870
13020	0.0711	PCodG	6378884
20794	0.0412	PCodG	6675702
22437	0.0357	PCodG	6834192
17825	0.9657	PCodG	6887258
15240	0.1605	PCodG	7286931
20343	0.0096	PCodG	7310623
2151	0.0193	PCodG	7446401
15269	0.0685	PCodG	7489971
8242	-0.0004	PCodG	7621451
10366	0.0177	PCodG	7718267
3843	0.0645	PCodG	7799052
24178	0.0456	PCodG	7923832
12771	0.0404	PCodG	7923920
9801	0.1211	PCodG	8078099
1190	0.6211	PCodG	8092422
20559	0.1163	PCodG	8160450
13142	0.3564	PCodG	8383158
20	0.0183	PCodG	8417786
4132	0.0325	PCodG	8475035
8218	0.0173	PCodG	8477564
23556	0.0974	PCodG	8703318
4244	0.0256	PCodG	8751793
8148	0.105	PCodG	8752897
