"","Locus","chromosome","position","fst"
"1",3,"LG21",18027708,0.039
"2",6,"LG10",5565406,0.0456
"3",11,"LG10",22879220,0.0343
"4",16,"LG21",7743712,0.0414
"5",18,"LG04",17492843,0.9551
"6",20,"LG01",8417786,0.0302
"7",36,"LG06",19545065,0.036
"8",45,"LG08",19539446,0.0161
"9",63,"LG07",8250504,0.1582
"10",88,"LG15",17142273,0.0357
"11",91,"LG14",5057159,0.3109
"12",92,"LG10",10496043,0.5896
"13",98,"LG12",20292473,0.0014
"14",101,"LG03",20685759,0.3229
"15",110,"LG14",28381771,0.9793
"16",111,"LG02",19524547,0.0538
"17",126,"LG01",26277273,-0.0014
"18",142,"LG16",348177,0.0247
"19",147,"LG11",12011991,0.0634
"20",154,"LG09",1586487,0.1556
"21",160,"LG22",2265503,0.0176
"22",164,"LG04",20273388,0.203
"23",167,"LG12",26759763,0.0016
"24",169,"LG03",15330761,0.0038
"25",187,"LG12",25008487,0.0162
"26",200,"LG08",1227839,0.1174
"27",209,"LG09",8027810,0.0672
"28",221,"LG04",1318919,0.0399
"29",228,"LG17",14007228,0.0214
"30",231,"LG13",17465362,0.422
"31",240,"LG15",22676655,0.378
"32",248,"LG06",10068536,0.016
"33",253,"LG01",13663746,0.0081
"34",256,"LG08",13184454,0.7062
"35",263,"LG09",19977194,0.245
"36",286,"LG20",11091047,0.0125
"37",331,"LG14",21214207,0.0014
"38",364,"LG13",13518047,0.7516
"39",367,"LG13",13517959,0.7664
"40",368,"LG02",8817267,0.0502
"41",373,"LG08",21935513,0.0112
"42",376,"LG17",491060,0.0296
"43",377,"LG17",4388510,1e-04
"44",381,"LG06",10890799,0.4963
"45",391,"LG16",21523873,0.0557
"46",392,"LG23",8351293,0.0561
"47",402,"LG03",8465112,0.0186
"48",404,"LG13",423107,0.0442
"49",411,"LG11",28215278,0.0688
"50",422,"LG19",2645644,0.0204
"51",472,"LG10",23241108,0.2973
"52",481,"LG03",26628801,0.0351
"53",490,"LG14",1523992,0.8177
"54",495,"LG11",27114764,0.0187
"55",500,"LG08",10822707,8e-04
"56",520,"LG08",8748736,0.0024
"57",528,"LG08",15156053,0.1617
"58",545,"LG08",10413548,0.1285
"59",546,"LG11",28092509,0.1778
"60",561,"LG09",10073918,0.1061
"61",589,"LG05",2535105,0.0904
"62",594,"LG20",21987431,0.0777
"63",597,"LG15",20571696,0.0685
"64",618,"LG14",2325174,0.2475
"65",630,"LG23",8025312,0.0161
"66",647,"LG22",19872092,-0.0016
"67",660,"LG12",11266320,0.0076
"68",669,"LG01",12788651,0.7284
"69",671,"LG23",17377949,0.0335
"70",694,"LG19",13093143,0.0073
"71",699,"LG09",13604737,0.0541
"72",700,"LG21",9085847,0.0301
"73",705,"LG13",17217650,0.0529
"74",708,"LG09",1654444,0.0281
"75",715,"LG06",3477399,0.0183
"76",719,"LG11",14396040,0.1167
"77",730,"LG17",10130879,0.0302
"78",733,"LG06",18660007,0.0245
"79",735,"LG16",14151077,0.0462
"80",746,"LG21",18110489,0.2186
"81",756,"LG11",3127754,0.0217
"82",758,"LG19",20490949,0.1343
"83",765,"LG01",16350985,0.5865
"84",768,"LG19",7893544,0.0547
"85",780,"LG12",4213605,0.2493
"86",786,"LG20",10305701,0.0301
"87",815,"LG14",7114942,0.463
"88",821,"LG12",7732134,0.2832
"89",851,"LG07",6601613,0.2063
"90",859,"LG03",17266739,0.0098
"91",888,"LG19",5854828,0.1189
"92",899,"LG23",11912788,0.1067
"93",912,"LG20",3385491,0.007
"94",917,"LG09",23966054,0.0115
"95",943,"LG08",17866162,0.044
"96",952,"LG16",15094047,0.0355
"97",985,"LG15",20903534,0.0093
"98",986,"LG09",18413149,0.0349
"99",989,"LG09",193692,0.0558
"100",992,"LG21",3580050,0.0421
"101",1000,"LG20",21700794,0.0183
"102",1002,"LG14",22855271,0.3272
"103",1018,"LG09",14755994,0.0364
"104",1020,"LG18",17770636,0.8071
"105",1031,"LG15",10603181,0.1221
"106",1037,"LG01",22314645,0.0022
"107",1040,"LG09",7438826,0.0163
"108",1047,"LG09",6946806,0.1722
"109",1053,"LG13",11331788,0.0102
"110",1054,"LG06",19898749,0.1517
"111",1069,"LG07",8185870,0.0718
"112",1073,"LG10",2603183,0.0504
"113",1075,"LG03",20702986,0.0028
"114",1078,"LG14",1738653,0.029
"115",1083,"LG06",14627239,0.3563
"116",1085,"LG03",9056737,0.0716
"117",1089,"LG08",13112738,0.0184
"118",1091,"LG04",987643,0.0063
