locus,prob,log10(PO),qval,alpha,fst,log10q,outlier
54_91,1,1000,0,2.38,0.64098,-Inf,True
92_41,0.79914,0.59973,0.023393,1.1551,0.37882,-1.63091407917849,True
117_62,1,1000,0,2.1392,0.59052,-Inf,True
198_50,1,1000,0,1.8166,0.51685,-Inf,True
220_76,1,1000,0,1.606,0.46902,-Inf,True
256_50,0.9598,1.3779,0.0041137,1.5129,0.45075,-2.38576738330129,True
348_68,1,1000,0,1.9447,0.54614,-Inf,True
364_48,0.9837,1.7807,0.0010165,1.5837,0.46532,-2.99289261702594,True
367_29,0.9908,2.0322,0.00063054,1.6131,0.47159,-3.200287357579,True
490_42,1,1000,0,1.8065,0.51467,-Inf,True
514_78,0.9589,1.3679,0.0044379,1.0361,0.34449,-2.35282248802954,True
616_42,0.92,1.0607,0.0091349,1.3147,0.40838,-2.03929620251899,True
617_66,1,1000,0,1.6066,0.46925,-Inf,True
669_43,1,1000,0,1.7286,0.49714,-Inf,True
735_70,1,1000,0,2.8162,0.72823,-Inf,True
765_32,0.95705,1.3479,0.004926,1.4395,0.43449,-2.30750559249692,True
964_90,1,1000,0,1.4391,0.43097,-Inf,True
1020_35,0.99455,2.2612,0.00037927,1.2053,0.37983,-3.42105150833789,True
1190_32,0.99945,3.2594,3.5761e-05,1.6738,0.48475,-4.44659034534565,True
1193_50,0.976,1.6092,0.0017164,-2.0526,0.031624,-2.76538149413937,True
1565_85,0.9104,1.0069,0.010347,1.1238,0.36594,-1.98518555091295,True
1571_90,1,1000,0,1.8668,0.52825,-Inf,True
1881_78,1,1000,0,2.4536,0.65744,-Inf,True
1975_66,0.67448,0.3164,0.048408,0.72854,0.28995,-1.31508286007563,True
2196_52,1,1000,0,1.9143,0.53895,-Inf,True
2408_39,1,1000,0,1.5093,0.44716,-Inf,True
2425_39,0.9998,3.6989,1.2926e-05,1.2563,0.39024,-4.88853584841335,True
2446_50,1,1000,0,1.7956,0.51228,-Inf,True
2539_46,0.69663,0.36104,0.042359,-1.3216,0.071912,-1.37305430115209,True
2735_76,1,1000,0,2.0577,0.57117,-Inf,True
2874_78,1,1000,0,1.6709,0.48396,-Inf,True
2934_73,0.76429,0.51088,0.033283,-1.5008,0.062065,-1.47777753500374,True
2974_48,1,1000,0,1.8458,0.5235,-Inf,True
2990_79,1,1000,0,1.5884,0.46523,-Inf,True
3000_77,0.89439,0.92784,0.012381,-1.82,0.04384,-1.90724427640292,True
3015_76,0.99675,2.4867,0.00022736,1.6564,0.48099,-3.64328593941661,True
3076_54,0.9924,2.1159,0.00054873,1.4437,0.43341,-3.26064129553875,True
3096_79,0.9973,2.5674,0.00021057,1.6786,0.48597,-3.67660350286812,True
3195_89,0.95825,1.3608,0.0047607,1.1594,0.37167,-2.32232918513956,True
3341_58,0.99995,4.301,4.7797e-06,1.3306,0.40688,-5.32059936121911,True
3396_46,0.9991,3.0453,7.169e-05,1.2408,0.38716,-4.14454141961396,True
3460_56,1,1000,0,1.3616,0.41381,-Inf,True
3523_34,1,1000,0,1.9913,0.55676,-Inf,True
3680_38,1,1000,0,1.7741,0.50734,-Inf,True
3708_57,1,1000,0,2.1544,0.59276,-Inf,True
3753_32,0.95895,1.3685,0.0042764,1.0239,0.34184,-2.36892167912556,True
3776_57,0.9711,1.5263,0.0021703,1.1599,0.3711,-2.66348022958958,True
3828_44,0.80234,0.60844,0.022138,-1.7232,0.053927,-1.6548616168899,True
3875_79,1,1000,0,2.1496,0.59221,-Inf,True
4062_70,1,1000,0,1.3549,0.4122,-Inf,True
