chromosome	position	num_markers	loci_names
LG01	3155279.97986577	13	13090,14344,3917,3464,24936,25135,14379,13486,16039,9350,8336,1617,21801
LG01	10318221.4563758	12	11115,1393,14661,8312,4494,12793,1833,17660,9645,9729,13041,2455
LG01	12646177.4362416	15	13506,24673,19031,21844,21720,1104,669,1565,9825,9456,17342,13276,7855,1176,23055
LG01	12825250.9731544	23	13506,24673,19031,21844,21720,1104,669,1565,9825,9456,17342,13276,7855,1176,23055,15037,1848,17074,8920,2362,19716,15548,7573
LG01	13004324.5100671	23	24673,19031,21844,21720,1104,669,1565,9825,9456,17342,13276,7855,1176,23055,15037,1848,17074,8920,2362,19716,15548,7573,253
LG01	13183398.0469799	22	19031,21844,21720,1104,669,1565,9825,9456,17342,13276,7855,1176,23055,15037,1848,17074,8920,2362,19716,15548,7573,253
LG01	18376530.6174497	17	7823,15708,23879,23836,3794,13135,4365,22376,10477,18099,8649,6218,7173,4301,20154,1275,12082
LG01	18555604.1543624	16	23879,23836,3794,13135,4365,22376,10477,18099,8649,6218,7173,4301,20154,1275,12082,6687
LG02	2416274.08053691	11	2227,12720,16396,23643,12652,5819,21402,24808,8450,14890,19616
LG02	2563712.59060403	9	16396,23643,12652,5819,21402,24808,8450,14890,19616
LG02	4332974.7114094	11	5650,20570,11304,1206,14293,20501,5692,17606,23345,265,10191
LG02	4480413.22147651	12	20570,11304,1206,14293,20501,5692,17606,23345,265,10191,13038,24740
LG02	4627851.73154362	11	11304,1206,14293,20501,5692,17606,23345,265,10191,13038,24740
LG02	9051007.03355705	10	6709,6275,15007,6441,10012,14655,7132,368,21296,7390
LG02	9198445.54362416	10	6441,10012,14655,7132,368,21296,7390,24148,12065,15557
LG02	9345884.05369128	8	14655,7132,368,21296,7390,24148,12065,15557
LG02	12736969.7852349	6	3623,17332,3116,17016,15872,1858
LG02	16865248.0671141	10	5196,18780,695,15109,3791,766,246,14249,22014,9604
LG02	17012686.5771812	8	695,15109,3791,766,246,14249,22014,9604
LG02	17160125.0872483	8	695,15109,3791,766,246,14249,22014,9604
LG02	17307563.5973154	10	695,15109,3791,766,246,14249,22014,9604,11273,12434
LG02	18044756.147651	9	14249,22014,9604,11273,12434,23203,17978,8045,21277
LG02	18192194.6577181	9	22014,9604,11273,12434,23203,17978,8045,21277,3721
LG02	18339633.1677852	10	11273,12434,23203,17978,8045,21277,3721,23624,1906,22340
LG03	12800773.9597315	6	11290,4815,10910,21185,5902,3312
LG03	21399097.1677852	12	8572,101,11175,7164,19592,13063,25164,12729,22983,12734,12881,6768
LG03	23777356.7785235	14	14972,6429,18535,23001,15442,23706,6993,3885,12623,15604,24194,4025,25450,12922
LG03	23960299.8255034	16	6429,18535,23001,15442,23706,6993,3885,12623,15604,24194,4025,25450,12922,1193,23182,9704
