locus prob log10(PO) qval alpha fst
3_75 0.000850043 -3.07019 0.998841 0.00017310 0.25779
5_36 0.00095005 -3.0218 0.99879 -0.00028778 0.25771
6_49 0.00080004 -3.0965 0.99886 0.00046596 0.25786
11_49 0.00085004 -3.0702 0.99884 -0.00019243 0.25773
16_59 0.00070004 -3.1546 0.99889 0.00016914 0.25780
19_91 0.0011501 -2.9388 0.99867 0.00051666 0.25787
20_88 0.0015501 -2.8090 0.99833 0.0014438 0.25807
24_57 0.00070004 -3.1546 0.99889 0.00023069 0.25779
39_36 0.0012001 -2.9203 0.99863 0.00047808 0.25787
53_84 0.0015001 -2.8232 0.99837 -9.0875e-05 0.25778
54_91 0.0011501 -2.9388 0.99867 0.00062243 0.25790
63_78 0.00070004 -3.1546 0.99889 0.00013346 0.25778
67_28 0.0011501 -2.9388 0.99867 0.00087586 0.25794
75_48 0.00095005 -3.0218 0.99879 0.00076381 0.25792
86_65 0.0015501 -2.8090 0.99833 0.0010246 0.25800
88_61 0.00090005 -3.0453 0.99882 0.00031000 0.25781
91_88 0.0014001 -2.8532 0.99846 0.00059733 0.25789
92_41 0.0011501 -2.9388 0.99867 -0.0010978 0.25760
93_56 0.0015501 -2.8090 0.99833 -0.0010043 0.25762
98_40 0.0010501 -2.9783 0.99873 -4.5570e-05 0.25778
101_40 0.0011001 -2.9581 0.99870 -0.00061620 0.25766
109_73 0.00090005 -3.0453 0.99882 -0.00023750 0.25773
111_79 0.00090005 -3.0453 0.99882 -0.00036883 0.25772
117_62 0.0013501 -2.8691 0.99851 0.00030125 0.25783
121_62 0.00090005 -3.0453 0.99882 0.00071652 0.25791
126_78 0.00095005 -3.0218 0.99879 -0.00066819 0.25767
139_71 0.0010001 -2.9995 0.99876 0.00047471 0.25787
142_91 0.00080004 -3.0965 0.99886 -1.6952e-05 0.25774
148_88 0.0015501 -2.8090 0.99833 -0.00039014 0.25773
160_61 0.0011501 -2.9388 0.99867 8.4172e-05 0.25779
164_55 0.00040002 -3.3977 0.99891 -0.00017978 0.25773
166_78 0.00080004 -3.0965 0.99886 -0.00010724 0.25774
167_47 0.0010001 -2.9995 0.99876 0.00061225 0.25789
169_76 0.00095005 -3.0218 0.99879 0.00030031 0.25783
174_91 0.00090005 -3.0453 0.99882 6.4042e-06 0.25777
183_55 0.00095005 -3.0218 0.99879 3.0597e-05 0.25778
187_52 0.0011001 -2.9581 0.99870 -0.00021700 0.25773
189_28 0.00095005 -3.0218 0.99879 -0.00047860 0.25769
192_82 0.0012001 -2.9203 0.99863 0.0010093 0.25797
198_50 0.00090005 -3.0453 0.99882 -0.00021719 0.25773
200_65 0.0011001 -2.9581 0.99870 -0.00018208 0.25774
206_70 0.00065003 -3.1868 0.99890 -0.00054869 0.25767
212_71 0.0018501 -2.7320 0.99804 0.0012516 0.25805
220_76 0.0015001 -2.8232 0.99837 0.00016004 0.25782
221_37 0.00095005 -3.0218 0.99879 -0.00050578 0.25769
227_47 0.00095005 -3.0218 0.99879 -0.00041741 0.25770
228_89 0.0012001 -2.9203 0.99863 4.8775e-05 0.25778
232_56 0.0011001 -2.9581 0.99870 0.00055476 0.25787
236_29 0.00095005 -3.0218 0.99879 -0.00037388 0.25769
240_71 0.0015001 -2.8232 0.99837 -0.00093709 0.25762
244_78 0.00080004 -3.0965 0.99886 -0.00050423 0.25767
245_66 0.0010501 -2.9783 0.99873 0.00083403 0.25793
246_47 0.0013001 -2.8855 0.99855 0.00042901 0.25785
248_70 0.00090005 -3.0453 0.99882 0.00077718 0.25792
253_78 0.00085004 -3.0702 0.99884 -8.1398e-05 0.25776
256_50 0.00095005 -3.0218 0.99879 -0.00044520 0.25769
263_66 0.00095005 -3.0218 0.99879 7.5225e-05 0.25778
265_28 0.0013501 -2.8691 0.99851 0.0011541 0.25801
287_55 0.0012001 -2.9203 0.99863 -0.00091246 0.25763
297_73 0.00095005 -3.0218 0.99879 -0.00029177 0.25771
298_35 0.0014501 -2.8380 0.99842 0.00063707 0.25791
308_46 0.0013501 -2.8691 0.99851 0.00077969 0.25793
315_48 0.00090005 -3.0453 0.99882 -0.00027751 0.25771
331_54 0.00085004 -3.0702 0.99884 -0.00018972 0.25775
348_68 0.00090005 -3.0453 0.99882 -0.00036201 0.25773
364_48 0.00075004 -3.1246 0.99888 -0.00029411 0.25771
367_29 0.00080004 -3.0965 0.99886 -0.00022199 0.25772
368_37 0.0012001 -2.9203 0.99863 0.00095781 0.25796
373_59 0.00080004 -3.0965 0.99886 -0.00075845 0.25765
376_68 0.0011001 -2.9581 0.99870 -0.00027670 0.25773
377_89 0.00095005 -3.0218 0.99879 -0.00041555 0.25770
379_64 0.0013501 -2.8691 0.99851 0.00057357 0.25788
380_51 0.0011001 -2.9581 0.99870 0.00042081 0.25786
381_80 0.0010501 -2.9783 0.99873 -0.00087959 0.25763
