Locus	fst	chromosome	position
1	5	-0.0073	LG11	27261814
2	11	3e-04	LG10	22879220
3	19	0.0066	LG21	4032093
4	20	0.0043	LG01	8417786
5	39	7e-04	LG09	17882115
6	53	-0.006	LG11	26240806
7	54	1e-04	LG20	10911887
8	67	0.005	LG01	25118415
9	75	0.1124	LG14	16964648
10	86	0.0188	LG04	5514604
11	88	-0.0035	LG15	17142273
12	91	0.0195	LG14	5057159
13	92	-0.0016	LG10	10496043
14	93	-0.0013	LG21	16435657
15	98	0.0051	LG12	20292473
16	101	0.0099	LG03	20685759
17	109	6e-04	LG05	10536052
18	117	0.0012	LG16	670282
19	121	0.018	LG07	14639666
20	126	0.0021	LG01	26277273
21	139	0.0132	LG19	5505913
22	148	-0.0015	LG14	23216958
23	167	6e-04	LG12	26759763
24	169	-0.0066	LG03	15330761
25	183	-0.0088	LG19	12157293
26	187	-1e-04	LG12	25008487
27	189	0.0148	LG03	25718099
28	192	0.0186	LG15	8400989
29	198	5e-04	LG10	12542466
30	206	-0.0011	LG03	19138705
31	212	-0.0045	LG16	17455795
32	220	0.01	LG04	13609089
33	221	-7e-04	LG04	1318919
34	227	-0.0017	LG08	13650675
35	232	-0.0042	LG20	15056758
36	245	0.0106	LG22	16807954
37	246	0.0116	LG02	17086725
38	248	0.0204	LG06	10068536
39	253	9e-04	LG01	13663746
40	263	-6e-04	LG09	19977194
41	265	0.0328	LG02	4572030
42	287	-0.0021	LG18	6244277
43	298	0.0019	LG20	17936497
44	308	-0.001	LG11	15470496
45	331	-0.0092	LG14	21214207
46	348	-0.0025	LG16	19876759
47	368	-0.0022	LG02	8817267
48	373	0.0133	LG08	21935513
49	377	0.0141	LG17	4388510
50	380	0.0151	LG20	8995844
51	410	-0.0104	LG09	13926079
52	411	-0.0053	LG11	28215278
53	415	0.0013	LG09	6944185
54	420	7e-04	LG17	11891252
55	422	-0.0024	LG19	2645644
56	425	-0.0016	LG20	5151213
57	440	0.0113	LG03	27467841
58	445	-0.0016	LG14	11240709
59	472	0.0118	LG10	23241108
60	481	0.0448	LG03	26628801
61	490	-0.002	LG14	1523992
62	494	-0.004	LG11	27847476
63	512	7e-04	LG18	9558850
64	514	0.0041	LG20	1413400
65	522	0.0257	LG12	18820544
66	525	-0.0069	LG22	19123984
67	528	-0.0103	LG08	15156053
68	534	0.0051	LG05	20110056
69	535	0.0071	LG21	5362930
70	541	0.003	LG12	10886813
71	545	4e-04	LG08	10413548
72	548	0.001	LG14	26573044
73	554	0.0078	LG14	7209191
74	557	0.0016	LG16	17552701
75	571	0.0135	LG08	11071974
76	592	0.0126	LG05	7679170
77	597	0.0027	LG15	20571696
78	605	-0.0032	LG16	11855044
79	613	-0.0074	LG22	6028173
80	616	-0.0019	LG14	1538720
81	617	1e-04	LG09	11297440
82	618	-0.004	LG14	2325174
83	647	-0.0014	LG22	19872092
84	663	1e-04	LG14	22324245
85	669	0.0545	LG01	12788651
86	673	0.0315	LG21	6249646
87	691	-0.0046	LG14	8500453
88	695	0.0109	LG02	16820235
89	700	0.0029	LG21	9085847
90	705	0.0127	LG13	17217650
91	707	3e-04	LG22	1978209
92	708	-0.0023	LG09	1654444
93	721	-0.0056	LG14	12869166
94	733	-6e-04	LG06	18660007
95	735	0.0083	LG16	14151077
96	746	0.0249	LG21	18110489
97	752	0.0088	LG11	8223689
98	765	3e-04	LG01	16350985
99	766	0.0185	LG02	17006437
100	769	0.0031	LG20	8455617
101	772	1e-04	LG12	19202962
102	780	0.0036	LG12	4213605
103	786	-0.0047	LG20	10305701
104	803	4e-04	LG02	6015120
105	805	-0.0079	LG21	9856598
106	825	0.0012	LG04	33313977
107	829	0.0039	LG01	22477868
108	844	0.0089	LG14	25532106
109	862	-0.0013	LG23	3032160
110	885	0.0144	LG10	5851100
111	888	0.0084	LG19	5854828
112	901	0.0218	LG19	14535981
113	917	0.0296	LG09	23966054
114	925	0.011	LG07	16246230
115	926	-0.002	LG06	8571939
116	927	-0.004	LG06	6420980
117	940	0.0312	LG14	2567418
118	954	0.0192	LG06	8064417
119	960	0.0366	LG12	10174457
120	964	0.0624	LG07	28218086
121	974	0.0065	LG15	18002768
122	982	-0.0013	LG05	18446161
123	986	0.0021	LG09	18413149
124	992	4e-04	LG21	3580050
125	1000	0.0129	LG20	21700794
126	1002	-0.0016	LG14	22855271
127	1007	0.0078	LG16	14981817
128	1017	-3e-04	LG06	6804646
129	1020	0.0058	LG18	17770636
130	1031	0.0052	LG15	10603181
131	1036	-0.0125	LG07	28626276
132	1047	0.016	LG09	6946806
133	1048	0.002	LG13	21014787
134	1052	-0.0031	LG03	29149123
135	1054	-0.0011	LG06	19898749
136	1059	0.0043	LG01	27624343
137	1073	-0.0043	LG10	2603183
138	1078	8e-04	LG14	1738653
139	1082	-0.0029	LG02	7995350
140	1085	-0.0013	LG03	9056737
141	1089	0.0047	LG08	13112738
142	1094	0.0098	LG01	8989975
143	1104	0.0122	LG01	12761963
144	1122	0.0035	LG04	16838600
145	1126	0.0126	LG15	17499768
146	1138	-0.0016	LG04	14058546
147	1159	0.0055	LG14	22877258
148	1160	-0.0096	LG15	17477533
149	1167	4e-04	LG11	10595723
150	1190	0.0013	LG01	8092422
151	1193	-0.0088	LG03	24543439
152	1197	-0.0061	LG20	15002118
153	1201	-0.0107	LG16	8523827
154	1205	0.0214	LG18	2123484
155	1206	-0.003	LG02	4112829
156	1218	0.0037	LG03	27647413
157	1228	0.0033	LG13	20016866
158	1258	8e-04	LG07	27182155
159	1323	0.0037	LG20	6539707
160	1339	-8e-04	LG14	17204107
161	1345	0.0795	LG02	23955104
162	1354	-0.002	LG12	3284303
163	1372	0.0334	LG14	20906701
164	1392	0.0117	LG04	31306420
165	1407	0.0702	LG23	12976106
166	1420	0.0114	LG03	1176528
167	1441	-0.0053	LG14	10322868
168	1451	8e-04	LG03	20425799
169	1452	0.0038	LG20	5697820
170	1469	-0.0078	LG20	12562983
171	1473	-0.0053	LG11	27198631
172	1478	0.0087	LG11	20773184
173	1482	-0.0018	LG13	10971676
174	1490	-0.002	LG07	23424347
175	1503	0.0186	LG21	15279223
176	1504	-0.0061	LG09	6084778
177	1547	0.0174	LG11	7746059
178	1560	-1e-04	LG15	15461179
179	1565	0.0063	LG01	12864533
180	1568	-0.0051	LG12	23698751
181	1571	-0.002	LG13	12440085
182	1581	-0.0171	LG12	12097734
183	1592	-0.0115	LG10	2502491
184	1617	3e-04	LG01	3728784
185	1629	0.0066	LG22	18697916
186	1635	-0.0047	LG13	5076698
187	1655	0.0044	LG11	24272512
188	1689	-0.0029	LG13	21043471
189	1739	4e-04	LG22	11675953
190	1748	0.0068	LG18	18341373
191	1756	0.0215	LG11	8086242
192	1773	-8e-04	LG01	4343021
193	1794	-0.0011	LG09	24143400
194	1817	0.0014	LG17	7587295
195	1821	-0.0032	LG08	14640764
196	1833	0.0062	LG01	9761602
197	1844	-0.0048	LG15	17981722
198	1845	-0.0022	LG03	16345097
199	1848	-0.0022	LG01	13443093
200	1858	-0.0068	LG02	13158554
201	1859	0.0105	LG04	22949532
202	1881	-0.0025	LG12	11484342
203	1906	-0.0119	LG02	19009588
204	1911	6e-04	LG21	3578040
205	1926	-0.0047	LG20	20827715
206	1933	0.0434	LG21	12444588
207	1939	-0.0044	LG23	947149
208	1957	0.0116	LG03	20523113
209	1969	0.0284	LG23	1571051
210	1975	0.0319	LG14	5051097
211	2029	7e-04	LG16	1408228
212	2033	0.0128	LG04	24372151
213	2038	-9e-04	LG19	9585216
214	2057	0.0087	LG04	14495195
215	2058	-0.006	LG17	5380965
216	2069	-0.0016	LG07	17433168
217	2075	-0.0097	LG05	21654489
218	2087	6e-04	LG07	28942026
219	2100	-0.0022	LG17	4283147
220	2118	0.0101	LG16	25894782
221	2127	4e-04	LG15	18189153
222	2135	0.0193	LG21	10135760
223	2148	0.0106	LG03	24816799
224	2149	0.0097	LG16	13928206
225	2151	-0.0075	LG01	7446401
226	2153	-0.0095	LG11	20773096
227	2175	0.0158	LG15	5358650
228	2196	1e-04	LG02	13700077
229	2204	0.0147	LG14	7233760
230	2206	0.0332	LG22	13391318
231	2227	4e-04	LG02	1753025
232	2230	0.0027	LG09	11505320
233	2234	0.0364	LG08	18949206
234	2251	-0.009	LG23	15597949
235	2258	-0.0056	LG13	7099455
236	2274	0.0066	LG13	1229015
237	2319	-0.0022	LG07	20997192
238	2327	-0.0029	LG17	1002493
239	2329	0.0034	LG16	24549889
240	2332	0.0039	LG02	11144818
241	2334	-0.0031	LG04	13791139
242	2335	-0.0025	LG12	6026045
243	2346	0.0397	LG04	26005081
244	2349	0.1337	LG16	9310784
245	2353	-0.0016	LG17	4205312
246	2362	-8e-04	LG01	13543511
247	2366	4e-04	LG21	21010013
248	2368	0.0183	LG08	26184505
249	2371	0.0213	LG03	8761931
250	2408	-0.0044	LG08	11860507
251	2417	-0.0035	LG20	14555094
252	2425	0.0227	LG14	8286219
253	2429	-8e-04	LG14	26890038
254	2446	0.0055	LG03	29018446
255	2454	0.0193	LG07	21594394
256	2456	-0.0031	LG21	13077508
257	2468	0.0043	LG11	6043896
258	2491	0.014	LG17	12103417
259	2497	0.0498	LG20	22149852
260	2498	-0.0045	LG23	2830661
261	2506	0.0033	LG08	11296393
262	2520	0.0034	LG07	12362085
263	2539	-0.0015	LG15	25129974
264	2550	0.0075	LG14	4334323
265	2554	-0.011	LG22	16243903
266	2558	0.0091	LG10	22020828
267	2564	0.0109	LG23	13632032
268	2587	7e-04	LG14	202833
269	2603	0.023	LG23	14392966
270	2604	0.0024	LG11	14815925
271	2607	0.0055	LG15	12236853
272	2621	0.0038	LG04	378962
273	2647	-0.0021	LG03	8603218
274	2672	-2e-04	LG01	26278837
275	2677	-0.005	LG21	9477851
276	2682	0.0193	LG13	23528989
277	2690	0.0124	LG22	9892159
278	2694	-0.001	LG21	8442668
279	2709	0.0131	LG19	18872684
280	2718	0.0051	LG22	16526905
281	2733	0.0063	LG02	20586675
282	2735	-0.0014	LG07	13236326
283	2742	0.0063	LG04	26781953
284	2751	-4e-04	LG23	22985440
285	2762	8e-04	LG22	122447
286	2769	0.0039	LG21	21919607
287	2780	-0.0041	LG01	11869646
288	2786	-4e-04	LG16	30316865
289	2794	-0.0067	LG14	23846952
290	2810	0.0034	LG05	10974598
291	2820	0.0121	LG15	17496341
292	2824	0.0125	LG13	18962061
293	2826	-0.0039	LG13	18593933
294	2830	0.0019	LG07	23332711
295	2843	-0.0044	LG14	9081425
296	2844	-0.0048	LG16	5617631
297	2866	-0.007	LG01	23087036
298	2874	-0.0024	LG01	21713494
299	2885	-0.008	LG06	17595671
300	2917	3e-04	LG14	24703575
301	2922	0.0091	LG11	24771036
302	2934	-0.0057	LG05	19374392
303	2947	0.0729	LG23	939621
304	2966	7e-04	LG01	28089763
305	2973	0.0325	LG01	27732633
306	2974	7e-04	LG14	9719363
307	2977	0.0165	LG03	25242772
308	2985	0.0777	LG23	17166837
309	2990	0.0023	LG01	17231504
310	2997	9e-04	LG16	15198287
311	2998	-0.0018	LG18	7457147
312	3000	-0.0054	LG21	7459198
313	3004	0.002	LG03	16947961
314	3019	-0.0051	LG20	9261701
315	3039	0.0056	LG11	22402420
316	3043	-0.0077	LG21	21161935
317	3049	0.0045	LG07	5032372
318	3062	-4e-04	LG13	4642806
319	3076	-0.0048	LG18	13129513
320	3102	4e-04	LG14	22294077
321	3111	-0.0082	LG07	16957862
322	3116	0.0177	LG02	12426111
323	3132	-0.0034	LG13	19057220
324	3138	-0.0029	LG20	13442555
325	3172	0.0102	LG02	14430240
326	3175	-0.0022	LG18	5047498
327	3186	3e-04	LG19	9805870
328	3188	-0.0039	LG11	18842454
329	3193	0.0091	LG08	4803505
330	3195	-0.0098	LG07	13297888
331	3196	-0.0071	LG22	19156479
332	3197	-0.0059	LG08	24846203
333	3207	-0.0012	LG08	5648759
334	3223	7e-04	LG01	21052003
335	3226	0.227	LG05	23467528
336	3248	-0.0024	LG10	20021617
337	3258	0.0098	LG11	2454027
338	3261	0.0118	LG18	18120527
339	3266	0.0188	LG11	18795306
340	3280	-0.0098	LG04	8454042
341	3284	0.0236	LG07	9539930
342	3297	0.0495	LG09	4200504
343	3298	0.0019	LG21	12713994
344	3304	0.0042	LG12	21990246
345	3307	-0.0047	LG07	26173439
346	3308	-0.0059	LG14	10599926
347	3324	0.0082	LG07	16407381
348	3331	0.0163	LG16	17157144
349	3338	0.0019	LG16	12671455
350	3341	0.0411	LG14	28893155
351	3343	0.0025	LG12	20424695
352	3351	1e-04	LG19	15047198
353	3356	0.0144	LG23	19265074
354	3362	4e-04	LG11	24536157
355	3375	0.0427	LG19	7130932
356	3378	0.0094	LG17	15944429
357	3381	0.0022	LG05	6350461
358	3396	0.0124	LG06	25314954
359	3406	0.0138	LG16	24229115
360	3416	0.0041	LG19	15655291
361	3417	0.0017	LG14	11676361
362	3428	-8e-04	LG11	3481234
363	3430	0.0386	LG11	14468693
364	3434	0.0044	LG10	6003116
365	3437	0.0121	LG12	23290112
366	3458	-0.0137	LG09	3493810
367	3460	0.0085	LG18	6528272
368	3464	-0.0055	LG01	2734393
369	3480	0.0202	LG12	23074809
370	3484	-0.0089	LG15	23057730
371	3499	-0.0016	LG23	1731017
372	3505	-0.0017	LG12	18593577
373	3523	-0.0012	LG15	5955032
374	3541	0.0036	LG13	24575544
375	3554	0.0075	LG18	16220209
376	3566	0.0081	LG18	18337381
377	3577	0.0119	LG03	17399324
378	3578	8e-04	LG04	23391980
379	3585	0.014	LG05	17298691
380	3594	0.0253	LG14	5903591
381	3600	0.015	LG21	18337123
382	3606	0.0031	LG07	29181476
383	3630	1e-04	LG01	28032467
384	3639	-0.0104	LG17	7633583
385	3659	9e-04	LG16	23334936
386	3680	0.001	LG17	8605809
387	3683	0.0165	LG09	4680682
388	3692	-0.0106	LG06	13048766
389	3694	0.0152	LG04	23536033
390	3708	8e-04	LG13	1535521
391	3721	0.0222	LG02	18900520
392	3734	-5e-04	LG06	5926292
393	3753	-0.0039	LG10	9860946
394	3754	-0.0022	LG19	20346480
395	3776	0.0037	LG01	24455925
396	3780	0.0031	LG22	2810555
397	3791	-8e-04	LG02	16926107
398	3794	-0.0015	LG01	17891914
399	3797	-0.0082	LG21	5722754
400	3798	-0.0017	LG07	23461249
401	3799	8e-04	LG03	11143943
402	3827	0.0082	LG16	18742865
403	3828	-0.0108	LG02	23363691
404	3833	0.023	LG12	7696087
405	3849	-0.002	LG15	22242308
406	3853	-0.0021	LG03	19916664
407	3855	0.0874	LG21	19913962
408	3866	0.0112	LG18	10794024
409	3867	1e-04	LG21	16251957
410	3875	0.0064	LG04	34503689
411	3886	0.0162	LG11	14501523
412	3887	0.0177	LG06	14278663
413	3900	0.004	LG20	4903898
414	3902	0.0385	LG21	11188757
415	3929	0.0034	LG13	6072318
416	3931	-0.0093	LG11	5295900
417	3932	-0.007	LG04	13557402
418	3940	-0.007	LG06	7867156
419	3946	-0.0042	LG19	20490861
420	3952	-0.0048	LG05	13877687
421	3960	0.0316	LG08	10342640
422	3962	0.0165	LG10	605025
423	3973	0.0081	LG06	17505582
424	3991	0.002	LG03	11820911
425	4000	0.0103	LG15	11074597
426	4002	0.0075	LG03	8053673
427	4003	-0.0052	LG01	24038892
428	4010	0.0081	LG03	13761867
429	4013	-0.0053	LG04	33514896
430	4016	0.01	LG16	29559461
431	4025	0.0211	LG03	24223878
432	4032	-0.0039	LG16	28482320
433	4036	-0.0096	LG21	15316907
434	4039	0.0449	LG22	9367737
435	4040	4e-04	LG08	10912553
436	4062	0.0029	LG19	1676774
437	4065	-0.0035	LG06	4009836
438	4070	0.0475	LG20	4384499
439	4081	0.0264	LG22	9230244
440	4083	0.012	LG10	15139047
441	4100	0.0036	LG21	15218089
442	4132	0.0107	LG01	8475035
443	4133	-0.0029	LG04	24866885
444	4137	-0.0034	LG07	11811714
445	4140	-0.0029	LG13	22202718
446	4142	0.0137	LG09	17587809
447	4146	0.0249	LG09	8211355
448	4148	-0.0066	LG21	18381376
449	4156	0.0089	LG13	24013669
450	4159	-0.01	LG23	9262983
451	4162	-0.0103	LG05	14791890
452	4171	6e-04	LG10	17543844
453	4176	-0.0026	LG18	20408482
454	4185	0.0155	LG14	15778586
455	4187	-0.0033	LG19	14116914
456	4191	-0.0058	LG06	20741073
457	4192	0.0131	LG16	23885047
458	4212	0.0143	LG04	33598863
459	4217	-0.0082	LG23	1421669
460	4226	0.0191	LG09	24607602
461	4227	0.013	LG13	18686608
462	4230	-0.0047	LG04	23389886
463	4235	0.034	LG06	14270635
464	4242	-0.0092	LG16	24526804
465	4244	0.0118	LG01	8751793
466	4251	0.0138	LG10	16638251
467	4255	0.0619	LG05	19773629
468	4257	-0.0021	LG21	21235457
469	4280	-0.0038	LG22	357359
470	4301	-0.0038	LG01	18990497
471	4330	0.0325	LG14	25564343
472	4352	-0.0064	LG16	27854956
473	4361	-0.0023	LG11	27160901
474	4365	0.0053	LG01	18164746
475	4371	-0.0023	LG04	20122826
476	4373	0.0082	LG04	22943548
477	4380	0.0036	LG21	5024802
478	4383	-0.0076	LG08	10859832
479	4396	0.0244	LG13	7298301
480	4398	-0.0041	LG06	18998161
481	4402	-0.0063	LG14	17552012
482	4404	0.0288	LG22	7532382
483	4411	0.0031	LG12	22019003
484	4412	0.0201	LG23	9893197
485	4413	0.0078	LG15	4100436
486	4426	-0.0013	LG10	4400003
487	4442	6e-04	LG13	14527982
488	4452	-0.0073	LG06	12297808
489	4453	-0.0042	LG03	9773441
490	4471	-0.0019	LG05	10206004
491	4473	-0.0051	LG12	4009809
492	4489	0.0621	LG04	27352498
493	4491	0.0222	LG08	10633171
494	4494	0.0054	LG01	9685227
495	4499	2e-04	LG20	2829965
496	4507	0.057	LG13	4567648
497	4508	0.0369	LG18	14305873
498	4536	-0.009	LG19	13287200
