Locus	LG	Position
3	LG21	18027708
6	LG10	5565406
11	LG10	22879220
16	LG21	7743712
18	LG04	17492843
20	LG01	8417786
36	LG06	19545065
45	LG08	19539446
63	LG07	8250504
88	LG15	17142273
91	LG14	5057159
92	LG10	10496043
98	LG12	20292473
101	LG03	20685759
110	LG14	28381771
111	LG02	19524547
126	LG01	26277273
142	LG16	348177
147	LG11	12011991
154	LG09	1586487
160	LG22	2265503
164	LG04	20273388
167	LG12	26759763
169	LG03	15330761
187	LG12	25008487
200	LG08	1227839
209	LG09	8027810
221	LG04	1318919
228	LG17	14007228
231	LG13	17465362
240	LG15	22676655
248	LG06	10068536
253	LG01	13663746
256	LG08	13184454
263	LG09	19977194
286	LG20	11091047
331	LG14	21214207
364	LG13	13518047
367	LG13	13517959
368	LG02	8817267
373	LG08	21935513
376	LG17	491060
377	LG17	4388510
381	LG06	10890799
391	LG16	21523873
392	LG23	8351293
402	LG03	8465112
404	LG13	423107
411	LG11	28215278
422	LG19	2645644
472	LG10	23241108
481	LG03	26628801
490	LG14	1523992
495	LG11	27114764
500	LG08	10822707
520	LG08	8748736
528	LG08	15156053
545	LG08	10413548
546	LG11	28092509
561	LG09	10073918
589	LG05	2535105
594	LG20	21987431
597	LG15	20571696
618	LG14	2325174
630	LG23	8025312
647	LG22	19872092
660	LG12	11266320
669	LG01	12788651
671	LG23	17377949
694	LG19	13093143
699	LG09	13604737
700	LG21	9085847
705	LG13	17217650
708	LG09	1654444
715	LG06	3477399
719	LG11	14396040
730	LG17	10130879
733	LG06	18660007
735	LG16	14151077
746	LG21	18110489
756	LG11	3127754
758	LG19	20490949
765	LG01	16350985
768	LG19	7893544
780	LG12	4213605
786	LG20	10305701
815	LG14	7114942
821	LG12	7732134
851	LG07	6601613
859	LG03	17266739
888	LG19	5854828
899	LG23	11912788
912	LG20	3385491
917	LG09	23966054
943	LG08	17866162
952	LG16	15094047
985	LG15	20903534
986	LG09	18413149
989	LG09	193692
992	LG21	3580050
1000	LG20	21700794
1002	LG14	22855271
1018	LG09	14755994
1020	LG18	17770636
1031	LG15	10603181
1037	LG01	22314645
1040	LG09	7438826
1047	LG09	6946806
1053	LG13	11331788
1054	LG06	19898749
1069	LG07	8185870
1073	LG10	2603183
1075	LG03	20702986
1078	LG14	1738653
1083	LG06	14627239
1085	LG03	9056737
1089	LG08	13112738
1091	LG04	987643
1092	LG20	20701546
1098	LG08	13960352
1122	LG04	16838600
1140	LG19	4503553
1151	LG16	15614298
1157	LG11	26193891
1160	LG15	17477533
1162	LG04	31408269
1167	LG11	10595723
1170	LG13	14579752
1176	LG01	13275503
1186	LG16	22797954
1205	LG18	2123484
1229	LG20	13703518
1258	LG07	27182155
1262	LG10	17743127
1266	LG08	20768613
1275	LG01	19119404
1281	LG06	16464160
1285	LG20	6673367
1287	LG03	7081654
1293	LG03	16152548
1306	LG13	11880001
1311	LG09	12622187
1323	LG20	6539707
1328	LG16	17157056
1339	LG14	17204107
1354	LG12	3284303
1362	LG05	11738400
1372	LG14	20906701
1392	LG04	31306420
1393	LG01	9598261
1412	LG13	15878708
1417	LG09	2358155
1420	LG03	1176528
1463	LG14	16098739
1478	LG11	20773184
1482	LG13	10971676
1503	LG21	15279223
1504	LG09	6084778
1531	LG13	19012414
1540	LG18	6276298
1547	LG11	7746059
1560	LG15	15461179
1572	LG13	17972384
1582	LG09	16940306
1586	LG06	12783504
1589	LG15	8882522
1592	LG10	2502491
1617	LG01	3728784
1618	LG06	11739101
1620	LG11	17181817
1660	LG18	7683702
1672	LG12	4111803
1679	LG12	8443013
1689	LG13	21043471
1693	LG08	10243819
1698	LG13	14576126
1705	LG12	1605159
1713	LG01	9493971
1729	LG18	16054673
1739	LG22	11675953
1746	LG19	1670149
1756	LG11	8086242
1794	LG09	24143400
1813	LG16	11478690
1839	LG23	4126465
1844	LG15	17981722
1852	LG06	15446352
1855	LG02	23270633
1858	LG02	13158554
1888	LG18	5106646
1889	LG22	17138763
1895	LG16	22941482
1900	LG19	6567379
1926	LG20	20827715
1929	LG04	20273300
1932	LG01	17764204
1933	LG21	12444588
1936	LG14	24505155
1963	LG11	17081118
1968	LG05	10680722
1978	LG11	18595849
1981	LG05	3174038
1983	LG13	11362580
1993	LG22	4713272
1995	LG03	20433399
2010	LG04	2875965
2029	LG16	1408228
2034	LG09	7118208
2038	LG19	9585216
2041	LG09	13958070
2046	LG05	11189734
2069	LG07	17433168
2082	LG17	8854605
2118	LG16	25894782
2135	LG21	10135760
2141	LG16	27837119
2149	LG16	13928206
2154	LG04	24968352
2173	LG19	3501840
2176	LG04	18406174
2189	LG23	6888771
2204	LG14	7233760
2225	LG11	14495794
2227	LG02	1753025
2229	LG10	18165811
2253	LG04	29344460
2258	LG13	7099455
2274	LG13	1229015
2296	LG08	10125556
2298	LG23	20369706
2329	LG16	24549889
2331	LG06	15803151
2335	LG12	6026045
2353	LG17	4205312
2360	LG09	14623195
2362	LG01	13543511
2368	LG08	26184505
2371	LG03	8761931
2380	LG18	1854131
2382	LG23	570487
2390	LG13	19759312
2391	LG22	8287783
2400	LG08	24451697
2408	LG08	11860507
2417	LG20	14555094
2431	LG19	15102389
2472	LG13	19499466
2481	LG15	11925618
2498	LG23	2830661
2510	LG21	6942075
2520	LG07	12362085
2522	LG06	8028686
2536	LG22	12387202
2539	LG15	25129974
2549	LG03	18928852
2558	LG10	22020828
2564	LG23	13632032
2576	LG16	15488385
2587	LG14	202833
2601	LG21	19584532
2603	LG23	14392966
2604	LG11	14815925
2610	LG18	16146811
2621	LG04	378962
2647	LG03	8603218
2648	LG17	5506104
2657	LG21	19529261
2672	LG01	26278837
2677	LG21	9477851
2692	LG18	8569994
2705	LG10	22879308
2709	LG19	18872684
2718	LG22	16526905
2722	LG07	15353768
2735	LG07	13236326
2741	LG20	10570432
2751	LG23	22985440
2752	LG14	29071558
2762	LG22	122447
2766	LG20	18502891
2780	LG01	11869646
2826	LG13	18593933
2828	LG13	21871455
2830	LG07	23332711
2835	LG12	5180270
2844	LG16	5617631
2847	LG06	12993351
2851	LG08	21068744
2866	LG01	23087036
2874	LG01	21713494
2880	LG20	8455705
2901	LG08	8748824
2919	LG08	25669407
2934	LG05	19374392
2936	LG06	24359660
2957	LG17	6461625
2973	LG01	27732633
2985	LG23	17166837
2990	LG01	17231504
2995	LG03	20582299
3000	LG21	7459198
3004	LG03	16947961
3019	LG20	9261701
3023	LG20	23059969
3035	LG03	3826569
3043	LG21	21161935
3061	LG19	12728793
3066	LG16	5085357
3086	LG16	5738820
3096	LG01	1380478
3109	LG06	23167696
3111	LG07	16957862
3116	LG02	12426111
3120	LG18	1987451
3121	LG10	12858006
3132	LG13	19057220
3133	LG23	5391796
3138	LG20	13442555
3147	LG01	9089476
3152	LG18	16449395
3169	LG20	18878173
3172	LG02	14430240
3191	LG12	12059104
3193	LG08	4803505
3195	LG07	13297888
3197	LG08	24846203
3217	LG05	1699089
3218	LG19	7876975
3228	LG14	25824909
3238	LG23	14600916
3254	LG06	24218085
3266	LG11	18795306
3284	LG07	9539930
3298	LG21	12713994
3303	LG21	6035264
3308	LG14	10599926
3332	LG05	10227092
3341	LG14	28893155
3348	LG16	19834425
3366	LG12	26603820
3373	LG08	8966991
3379	LG14	24722870
3392	LG15	8329462
3412	LG16	19800798
3415	LG23	11685727
3417	LG14	11676361
3428	LG11	3481234
3434	LG10	6003116
3437	LG12	23290112
3460	LG18	6528272
3464	LG01	2734393
3470	LG01	24875903
3480	LG12	23074809
3484	LG15	23057730
3488	LG16	28100360
3501	LG21	12112127
3541	LG13	24575544
3547	LG17	4126590
3550	LG02	14550854
3554	LG18	16220209
3556	LG22	6234215
3594	LG14	5903591
3622	LG21	18382081
3623	LG02	12024231
3630	LG01	28032467
3636	LG14	20385829
3651	LG09	1872590
3677	LG12	13046268
3680	LG17	8605809
3690	LG06	5572528
3692	LG06	13048766
3708	LG13	1535521
3721	LG02	18900520
3753	LG10	9860946
3756	LG11	22468503
3761	LG03	20306369
3794	LG01	17891914
3797	LG21	5722754
3798	LG07	23461249
3806	LG06	10890711
3814	LG23	16003346
3827	LG16	18742865
3832	LG14	17957361
3855	LG21	19913962
3860	LG07	15321950
3861	LG13	6745490
3876	LG08	9741266
3886	LG11	14501523
3887	LG06	14278663
3900	LG20	4903898
3915	LG16	9451438
3917	LG01	2734304
3919	LG08	24762772
3929	LG13	6072318
3931	LG11	5295900
3934	LG05	13727188
3939	LG17	12450113
3940	LG06	7867156
3946	LG19	20490861
3948	LG09	5671531
3957	LG07	823426
3998	LG19	3481765
4001	LG01	16539719
4002	LG03	8053673
4003	LG01	24038892
4004	LG15	7912926
4009	LG20	21155983
4013	LG04	33514896
4025	LG03	24223878
4031	LG13	1193395
4032	LG16	28482320
4036	LG21	15316907
4039	LG22	9367737
4048	LG14	23970431
4069	LG11	12620674
4071	LG05	10063762
4072	LG20	18962693
4088	LG14	20885177
4097	LG17	16950745
4103	LG01	19759592
4140	LG13	22202718
4156	LG13	24013669
4171	LG10	17543844
4172	LG20	5165816
4174	LG22	9047081
4176	LG18	20408482
4183	LG06	18511427
4185	LG14	15778586
4187	LG19	14116914
4206	LG10	9793217
4207	LG21	9732870
4212	LG04	33598863
4227	LG13	18686608
4230	LG04	23389886
4233	LG18	16271893
4255	LG05	19773629
4280	LG22	357359
4283	LG14	18588020
4293	LG01	950746
4303	LG21	7282029
4321	LG15	21881503
4336	LG11	6123685
4352	LG16	27854956
4365	LG01	18164746
4370	LG09	18892407
4398	LG06	18998161
4404	LG22	7532382
4411	LG12	22019003
4442	LG13	14527982
4452	LG06	12297808
4459	LG09	19494289
4464	LG19	4571999
4465	LG13	18013035
4472	LG07	806594
4484	LG05	3970822
4491	LG08	10633171
4494	LG01	9685227
4495	LG18	14023647
4496	LG12	24069748
4499	LG20	2829965
4506	LG21	10071322
4508	LG18	14305873
4510	LG12	20827581
4514	LG07	27682138
4527	LG23	22742749
4536	LG19	13287200
4541	LG21	3250882
4547	LG03	27350741
4570	LG21	5426321
4578	LG15	18490187
4588	LG12	24207382
4599	LG23	4023710
4613	LG05	23973460
4617	LG09	16838649
4630	LG16	15092887
4635	LG17	11899941
4637	LG07	15411923
4644	LG05	11293151
4659	LG12	6507308
4660	LG07	15879034
4661	LG19	14510561
4667	LG09	21626256
4681	LG07	23084471
4696	LG11	24477363
4702	LG09	9449210
4711	LG12	8167261
4729	LG15	10706163
4747	LG03	27467753
4754	LG14	25213748
4759	LG22	19809786
4760	LG14	27989426
4761	LG05	10222929
4762	LG18	16659770
4766	LG20	21148698
4770	LG13	16116538
4782	LG16	29902249
4789	LG02	16999398
4794	LG01	17737464
4815	LG03	12288968
4818	LG05	13382747
4832	LG03	525362
4837	LG11	18564220
4841	LG16	6040999
4856	LG07	20645188
4863	LG03	27837891
4868	LG05	9883509
4891	LG08	15555865
4892	LG18	6589478
4898	LG04	30578438
4901	LG11	26061747
4918	LG03	28992011
4932	LG18	3128529
4976	LG21	5373211
4989	LG14	12252629
4998	LG04	29833176
5002	LG10	1370047
5003	LG11	16390445
5008	LG05	19790330
5023	LG01	214443
5027	LG15	15289336
5030	LG22	15046804
5031	LG07	12728851
5056	LG22	7159596
5060	LG08	9590391
5062	LG01	2507022
5071	LG05	2633866
5100	LG01	19851781
5109	LG04	27524826
5133	LG12	19492744
5148	LG20	19627680
5151	LG14	12928347
5169	LG21	12135222
5171	LG04	27557653
5176	LG16	27148342
5204	LG18	2367161
5217	LG10	16892961
5227	LG23	17985491
5230	LG20	9261613
5232	LG06	19843692
5237	LG01	19664836
5264	LG15	14481775
5273	LG22	4266854
5281	LG11	7506208
5285	LG01	3925470
5287	LG12	20595615
5289	LG20	16846376
5293	LG03	7267492
5303	LG12	19338439
5333	LG14	17190035
5376	LG10	4480531
5387	LG22	10727070
5389	LG08	15134147
5397	LG20	13225715
5427	LG05	18739983
5467	LG19	9386218
5469	LG05	21906804
5476	LG12	468391
5479	LG03	28918553
5481	LG05	5118361
5482	LG01	9010262
5501	LG18	14588802
5516	LG22	5381422
5520	LG04	18708578
5525	LG14	20158677
5541	LG11	10611314
5562	LG20	3274663
5569	LG01	23205145
5570	LG23	13796931
5572	LG11	25112679
5576	LG06	7858844
5580	LG14	8286307
5586	LG23	5729686
5593	LG04	32604286
5594	LG10	23722049
5600	LG05	20613309
5607	LG14	24689458
5614	LG11	23808690
5622	LG12	17015598
5624	LG05	3688022
5633	LG23	7996770
5637	LG16	27428629
5642	LG23	8385469
5645	LG11	27529270
5650	LG02	3684400
5662	LG23	10116938
5685	LG09	4495270
5744	LG23	5048977
5746	LG04	28800174
5757	LG20	5687112
5760	LG07	19207230
5767	LG14	23711420
5770	LG06	9501622
5775	LG05	19917386
5776	LG23	1598146
5781	LG14	5998727
5804	LG03	27076011
5817	LG12	17403958
5819	LG02	2217111
5824	LG04	9835263
5830	LG08	11536700
5844	LG08	9557314
5845	LG13	14709344
5851	LG02	21921687
5852	LG21	9767957
5891	LG22	6395073
5894	LG01	5179409
5923	LG21	20491767
5928	LG10	1369959
5949	LG13	17395120
5953	LG07	14745545
5973	LG17	6461537
5987	LG14	14128047
5995	LG19	15587543
6026	LG20	22696754
6028	LG21	10135672
6029	LG20	2897455
6054	LG08	15301625
6065	LG18	22189991
6077	LG01	16099585
6080	LG23	8352729
6085	LG21	15957906
6094	LG12	8466885
6099	LG09	6849550
6118	LG01	7928342
6124	LG05	14374414
6144	LG12	6428619
6147	LG03	2759270
6156	LG02	15037451
6157	LG06	14713694
6187	LG18	4274680
6199	LG07	10968340
6222	LG22	10346143
6224	LG14	5878793
